DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-05	Maize          	18.769         	2.461          	10.193         	0.000          	6.115          	0.6250         	372.74         	337.15         	183.28         	0.167          	0.0173         	0.1168         	0.000          	0.073          	116.840        	50.484         	0.000          	
1985-04-16	RyeBioenergyBS 	0.934          	0.211          	0.000          	0.651          	0.072          	0.0000         	37.49          	37.49          	144.85         	0.018          	0.0011         	0.0000         	0.015          	0.296          	15.008         	2.720          	2.307          	
1985-09-06	Soybean        	9.748          	1.248          	2.879          	0.000          	5.621          	0.3387         	365.07         	288.33         	154.03         	0.270          	0.0123         	0.1419         	0.000          	0.000          	141.920        	128.328        	0.000          	
1986-04-01	RyeBioenergyBM 	2.763          	0.675          	0.000          	1.879          	0.209          	0.0000         	57.14          	57.14          	101.18         	0.049          	0.0036         	0.0000         	0.041          	0.049          	41.139         	8.211          	2.189          	
1986-09-02	Maize          	14.862         	1.925          	8.048          	0.000          	4.889          	0.6221         	368.88         	260.14         	161.79         	0.166          	0.0154         	0.1171         	0.000          	0.003          	117.089        	48.901         	0.000          	
1987-04-16	RyeBioenergyBS 	1.624          	0.483          	0.000          	1.027          	0.114          	0.0000         	49.24          	49.24          	120.44         	0.026          	0.0022         	0.0000         	0.021          	0.115          	21.441         	4.629          	2.088          	
1987-09-04	Soybean        	6.138          	0.992          	1.626          	0.000          	3.521          	0.3159         	325.83         	187.99         	161.64         	0.182          	0.0098         	0.0894         	0.000          	0.000          	89.412         	92.370         	0.000          	
1988-04-01	RyeBioenergyBM 	2.474          	0.710          	0.000          	1.588          	0.176          	0.0000         	50.81          	50.81          	118.59         	0.044          	0.0038         	0.0000         	0.036          	0.049          	36.205         	7.827          	2.280          	
1988-09-09	Maize          	14.107         	1.898          	7.663          	0.000          	4.546          	0.6277         	407.43         	249.51         	199.15         	0.159          	0.0158         	0.1120         	0.000          	0.000          	112.005        	47.356         	0.000          	
1989-04-16	RyeBioenergyBS 	1.737          	0.495          	0.000          	1.118          	0.124          	0.0000         	52.77          	52.77          	140.08         	0.028          	0.0024         	0.0000         	0.023          	0.136          	23.096         	4.990          	2.066          	
1989-09-03	Soybean        	10.599         	1.232          	3.237          	0.000          	6.130          	0.3456         	292.04         	285.77         	161.68         	0.299          	0.0121         	0.1603         	0.000          	0.000          	160.323        	138.688        	0.000          	
1990-04-01	RyeBioenergyBM 	3.265          	0.818          	0.000          	2.202          	0.245          	0.0000         	73.33          	73.33          	107.44         	0.056          	0.0045         	0.0000         	0.046          	0.073          	46.468         	9.701          	2.110          	
1990-09-03	Maize          	19.712         	2.680          	10.305         	0.000          	6.727          	0.6051         	401.29         	334.11         	191.20         	0.178          	0.0200         	0.1217         	0.000          	0.021          	121.700        	56.549         	0.000          	
1991-04-16	RyeBioenergyBS 	1.583          	0.370          	0.000          	1.091          	0.121          	0.0000         	55.38          	55.38          	157.11         	0.025          	0.0018         	0.0000         	0.021          	0.250          	21.242         	4.144          	1.947          	
1991-09-03	Soybean        	8.270          	1.032          	2.476          	0.000          	4.761          	0.3422         	336.34         	256.63         	144.92         	0.238          	0.0101         	0.1261         	0.000          	0.000          	126.144        	111.495        	0.000          	
1992-04-01	RyeBioenergyBM 	2.626          	0.691          	0.000          	1.742          	0.194          	0.0000         	49.90          	49.90          	111.48         	0.047          	0.0037         	0.0000         	0.039          	0.055          	39.075         	8.050          	2.243          	
1992-09-07	Maize          	19.241         	2.621          	10.082         	0.000          	6.537          	0.6067         	387.56         	328.62         	169.86         	0.175          	0.0189         	0.1201         	0.000          	0.023          	120.137        	54.819         	0.000          	
1993-04-16	RyeBioenergyBS 	1.010          	0.302          	0.000          	0.638          	0.071          	0.0000         	31.92          	31.92          	127.35         	0.018          	0.0015         	0.0000         	0.015          	0.137          	15.051         	3.201          	2.361          	
1993-09-09	Soybean        	7.041          	0.990          	2.056          	0.000          	3.994          	0.3399         	386.81         	221.89         	164.98         	0.184          	0.0097         	0.0963         	0.000          	0.000          	96.269         	87.994         	0.000          	
1994-04-01	RyeBioenergyBM 	1.522          	0.513          	0.000          	0.907          	0.101          	0.0000         	26.05          	26.05          	112.46         	0.032          	0.0030         	0.0000         	0.026          	0.023          	26.264         	5.902          	2.894          	
1994-09-01	Maize          	17.034         	2.152          	9.373          	0.000          	5.510          	0.6298         	353.84         	281.38         	191.68         	0.176          	0.0163         	0.1248         	0.000          	0.008          	124.847        	51.203         	0.000          	
1995-04-16	RyeBioenergyBS 	2.326          	0.521          	0.000          	1.624          	0.180          	0.0000         	74.14          	74.14          	131.48         	0.032          	0.0024         	0.0000         	0.027          	0.181          	26.562         	5.342          	1.636          	
1995-09-07	Soybean        	7.747          	1.078          	2.270          	0.000          	4.399          	0.3403         	323.27         	225.43         	160.02         	0.232          	0.0106         	0.1222         	0.000          	0.000          	122.213        	109.722        	0.000          	
1996-04-01	RyeBioenergyBM 	1.548          	0.529          	0.000          	0.918          	0.102          	0.0000         	23.97          	23.97          	111.75         	0.036          	0.0033         	0.0000         	0.029          	0.012          	29.014         	6.490          	3.161          	
1996-09-03	Maize          	22.208         	2.818          	12.083         	0.000          	7.307          	0.6232         	384.62         	377.03         	180.70         	0.193          	0.0198         	0.1344         	0.000          	0.058          	134.430        	58.083         	0.000          	
1997-04-16	RyeBioenergyBS 	0.808          	0.228          	0.000          	0.522          	0.058          	0.0000         	28.32          	28.32          	151.27         	0.015          	0.0012         	0.0000         	0.012          	0.204          	12.442         	2.547          	2.384          	
1997-09-16	Soybean        	7.522          	1.031          	2.175          	0.000          	4.316          	0.3351         	356.12         	219.93         	174.19         	0.197          	0.0101         	0.1020         	0.000          	0.000          	102.012        	95.144         	0.000          	
1998-04-01	RyeBioenergyBM 	1.885          	0.566          	0.000          	1.187          	0.132          	0.0000         	46.23          	46.23          	106.15         	0.033          	0.0028         	0.0000         	0.027          	0.086          	26.793         	5.815          	2.257          	
1998-09-02	Maize          	17.270         	2.615          	8.648          	0.000          	6.007          	0.5901         	412.89         	291.44         	166.69         	0.178          	0.0203         	0.1205         	0.000          	0.000          	120.504        	57.970         	0.000          	
1999-04-16	RyeBioenergyBS 	1.470          	0.339          	0.000          	1.018          	0.113          	0.0000         	49.98          	49.98          	138.83         	0.023          	0.0016         	0.0000         	0.020          	0.232          	19.693         	3.793          	1.934          	
1999-09-09	Soybean        	7.504          	1.043          	2.148          	0.000          	4.312          	0.3325         	370.91         	245.42         	154.61         	0.214          	0.0102         	0.1103         	0.000          	0.000          	110.302        	103.415        	0.000          	
2000-04-01	RyeBioenergyBM 	3.438          	0.835          	0.000          	2.343          	0.260          	0.0000         	75.87          	75.87          	115.11         	0.054          	0.0043         	0.0000         	0.044          	0.070          	44.374         	9.220          	1.894          	
2000-09-05	Maize          	20.184         	2.587          	10.960         	0.000          	6.637          	0.6228         	379.54         	351.78         	173.10         	0.183          	0.0189         	0.1276         	0.000          	0.038          	127.637        	55.316         	0.000          	
2001-04-16	RyeBioenergyBS 	1.056          	0.350          	0.000          	0.636          	0.071          	0.0000         	32.56          	32.56          	116.10         	0.019          	0.0018         	0.0000         	0.015          	0.123          	15.493         	3.506          	2.437          	
2001-09-05	Soybean        	11.646         	1.420          	3.511          	0.000          	6.715          	0.3434         	348.66         	324.50         	115.44         	0.313          	0.0140         	0.1663         	0.000          	0.000          	166.318        	146.743        	0.000          	
2002-04-01	RyeBioenergyBM 	3.091          	0.624          	0.000          	2.220          	0.247          	0.0000         	61.33          	61.33          	100.84         	0.056          	0.0034         	0.0000         	0.048          	0.120          	47.756         	8.687          	2.151          	
2002-09-03	Maize          	14.725         	2.344          	7.184          	0.000          	5.197          	0.5802         	428.51         	251.49         	178.32         	0.180          	0.0205         	0.1203         	0.000          	0.000          	120.271        	59.251         	0.000          	
2003-04-16	RyeBioenergyBS 	1.333          	0.449          	0.000          	0.795          	0.088          	0.0000         	34.40          	34.40          	119.27         	0.025          	0.0024         	0.0000         	0.021          	0.078          	20.589         	4.669          	2.589          	
2003-09-06	Soybean        	10.810         	1.241          	3.309          	0.000          	6.259          	0.3458         	283.79         	282.14         	169.13         	0.300          	0.0122         	0.1612         	0.000          	0.000          	161.182        	139.269        	0.000          	
2004-04-01	RyeBioenergyBM 	2.569          	0.731          	0.000          	1.654          	0.184          	0.0000         	47.61          	47.61          	89.33          	0.051          	0.0041         	0.0000         	0.042          	0.035          	41.845         	8.768          	2.530          	
2004-08-26	Maize          	22.923         	2.802          	12.678         	0.000          	7.443          	0.6301         	362.36         	361.97         	174.69         	0.203          	0.0205         	0.1426         	0.000          	0.043          	142.621        	60.431         	0.000          	
2005-04-16	RyeBioenergyBS 	1.268          	0.333          	0.000          	0.842          	0.094          	0.0000         	40.82          	40.82          	138.25         	0.022          	0.0016         	0.0000         	0.018          	0.177          	17.968         	3.618          	2.134          	
2005-09-09	Soybean        	11.495         	1.367          	3.500          	0.000          	6.628          	0.3456         	341.06         	319.46         	153.06         	0.308          	0.0134         	0.1645         	0.000          	0.000          	164.540        	143.349        	0.000          	
2006-04-01	RyeBioenergyBM 	2.386          	0.660          	0.000          	1.554          	0.173          	0.0000         	50.95          	50.95          	89.79          	0.041          	0.0033         	0.0000         	0.034          	0.069          	33.847         	7.098          	2.178          	
2006-08-31	Maize          	21.405         	2.945          	11.301         	0.000          	7.159          	0.6122         	415.33         	363.44         	141.32         	0.207          	0.0226         	0.1422         	0.000          	0.016          	142.169        	64.439         	0.000          	
2007-04-16	RyeBioenergyBS 	1.263          	0.320          	0.000          	0.849          	0.094          	0.0000         	40.27          	40.27          	141.39         	0.024          	0.0016         	0.0000         	0.020          	0.198          	19.724         	3.830          	2.323          	
2007-09-07	Soybean        	9.394          	1.252          	2.750          	0.000          	5.393          	0.3377         	391.29         	293.04         	140.04         	0.265          	0.0123         	0.1388         	0.000          	0.000          	138.760        	126.359        	0.000          	
2008-04-01	RyeBioenergyBM 	2.621          	0.685          	0.000          	1.742          	0.194          	0.0000         	55.76          	55.74          	89.59          	0.043          	0.0034         	0.0000         	0.036          	0.084          	36.009         	7.436          	2.067          	
2008-09-01	Maize          	17.678         	2.641          	8.843          	0.000          	6.194          	0.5881         	437.48         	296.36         	162.07         	0.178          	0.0207         	0.1197         	0.000          	0.000          	119.675        	58.356         	0.000          	
2009-04-16	RyeBioenergyBS 	2.024          	0.536          	0.000          	1.339          	0.149          	0.0000         	56.84          	56.84          	123.13         	0.030          	0.0024         	0.0000         	0.025          	0.142          	24.918         	5.195          	1.861          	
2009-08-28	Soybean        	11.255         	1.400          	3.379          	0.000          	6.477          	0.3428         	324.59         	281.61         	142.06         	0.306          	0.0137         	0.1625         	0.000          	0.000          	162.535        	143.883        	0.000          	
2010-04-01	RyeBioenergyBM 	3.220          	0.911          	0.000          	2.078          	0.231          	0.0000         	55.01          	55.01          	99.05          	0.061          	0.0052         	0.0000         	0.050          	0.037          	50.274         	10.821         	2.420          	
2010-08-29	Maize          	17.320         	2.398          	9.030          	0.000          	5.893          	0.6051         	461.44         	293.71         	169.48         	0.193          	0.0215         	0.1323         	0.000          	0.000          	132.298        	61.197         	0.000          	
2011-04-16	RyeBioenergyBS 	2.335          	0.647          	0.000          	1.519          	0.169          	0.0000         	67.04          	67.04          	140.79         	0.033          	0.0029         	0.0000         	0.027          	0.138          	27.468         	5.986          	1.808          	
2011-08-25	Soybean        	8.408          	1.173          	2.431          	0.000          	4.804          	0.3360         	354.09         	232.53         	169.41         	0.234          	0.0115         	0.1216         	0.000          	0.000          	121.623        	112.401        	0.000          	
2012-04-01	RyeBioenergyBM 	5.608          	1.150          	0.000          	4.013          	0.446          	0.0000         	119.63         	119.63         	121.27         	0.071          	0.0056         	0.0000         	0.059          	0.120          	58.774         	12.155         	1.465          	
2012-08-26	Maize          	16.909         	2.454          	8.726          	0.000          	5.729          	0.6037         	434.98         	278.77         	187.68         	0.170          	0.0193         	0.1158         	0.000          	0.000          	115.752        	54.110         	0.000          	
