DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-05	Soybean        	10.544         	1.231          	3.245          	0.000          	6.069          	0.3484         	322.79         	303.88         	159.86         	0.296          	0.0121         	0.1595         	0.000          	0.000          	159.507        	136.260        	0.000          	
1985-04-01	RyeBioenergyBM 	3.341          	0.818          	0.000          	2.271          	0.252          	0.0000         	77.42          	77.42          	87.51          	0.051          	0.0040         	0.0000         	0.042          	0.105          	42.489         	8.761          	1.871          	
1985-09-01	Maize          	19.086         	2.684          	9.617          	0.000          	6.785          	0.5863         	434.41         	320.83         	128.97         	0.175          	0.0194         	0.1178         	0.000          	0.008          	117.793        	56.708         	0.000          	
1986-04-16	RyeBioenergyBS 	1.337          	0.319          	0.000          	0.917          	0.102          	0.0000         	52.25          	52.25          	127.60         	0.022          	0.0015         	0.0000         	0.018          	0.209          	18.285         	3.539          	1.995          	
1986-09-02	Soybean        	7.951          	0.964          	2.407          	0.000          	4.581          	0.3445         	310.61         	243.06         	139.19         	0.231          	0.0095         	0.1235         	0.000          	0.000          	123.454        	107.518        	0.000          	
1987-04-01	RyeBioenergyBM 	1.774          	0.559          	0.000          	1.093          	0.121          	0.0000         	37.59          	37.59          	108.27         	0.035          	0.0031         	0.0000         	0.029          	0.040          	29.151         	6.301          	2.666          	
1987-09-02	Maize          	12.232         	2.098          	5.462          	0.000          	4.672          	0.5390         	392.89         	215.52         	173.58         	0.170          	0.0189         	0.1110         	0.000          	0.000          	110.990        	59.382         	0.000          	
1988-04-16	RyeBioenergyBS 	2.258          	0.606          	0.000          	1.487          	0.165          	0.0000         	67.22          	67.22          	132.56         	0.033          	0.0028         	0.0000         	0.027          	0.139          	27.126         	5.828          	1.824          	
1988-09-10	Soybean        	7.348          	0.903          	2.239          	0.000          	4.205          	0.3475         	344.59         	226.54         	178.33         	0.189          	0.0089         	0.1011         	0.000          	0.000          	101.128        	87.978         	0.000          	
1989-04-01	RyeBioenergyBM 	1.939          	0.594          	0.000          	1.210          	0.134          	0.0000         	46.87          	46.87          	123.18         	0.036          	0.0032         	0.0000         	0.030          	0.061          	29.917         	6.548          	2.472          	
1989-09-03	Maize          	19.650         	2.587          	10.442         	0.000          	6.621          	0.6120         	352.75         	338.31         	176.80         	0.174          	0.0178         	0.1211         	0.000          	0.087          	121.094        	53.380         	0.000          	
1990-04-16	RyeBioenergyBS 	0.787          	0.184          	0.000          	0.542          	0.060          	0.0000         	31.69          	31.69          	159.66         	0.015          	0.0010         	0.0000         	0.013          	0.277          	12.612         	2.352          	2.325          	
1990-09-04	Soybean        	10.273         	1.261          	3.089          	0.000          	5.922          	0.3428         	338.21         	298.47         	170.09         	0.279          	0.0124         	0.1483         	0.000          	0.000          	148.281        	131.119        	0.000          	
1991-04-01	RyeBioenergyBM 	3.513          	0.842          	0.000          	2.404          	0.267          	0.0000         	71.17          	71.17          	116.04         	0.058          	0.0047         	0.0000         	0.048          	0.068          	48.338         	10.055         	2.011          	
1991-09-01	Maize          	15.398         	2.075          	8.228          	0.000          	5.094          	0.6176         	399.21         	275.16         	157.22         	0.176          	0.0172         	0.1233         	0.000          	0.000          	123.332        	52.873         	0.000          	
1992-04-16	RyeBioenergyBS 	1.762          	0.438          	0.000          	1.192          	0.132          	0.0000         	54.10          	54.10          	142.31         	0.026          	0.0020         	0.0000         	0.022          	0.167          	21.882         	4.418          	1.836          	
1992-09-11	Soybean        	10.235         	1.261          	3.092          	0.000          	5.881          	0.3446         	326.29         	293.98         	165.97         	0.285          	0.0124         	0.1519         	0.000          	0.000          	151.925        	132.941        	0.000          	
1993-04-01	RyeBioenergyBM 	1.919          	0.582          	0.000          	1.203          	0.134          	0.0000         	29.24          	29.24          	107.34         	0.045          	0.0037         	0.0000         	0.037          	0.015          	37.219         	7.802          	3.094          	
1993-09-07	Maize          	13.939         	2.161          	7.009          	0.000          	4.770          	0.5951         	460.85         	249.77         	180.45         	0.168          	0.0197         	0.1136         	0.000          	0.000          	113.634        	54.750         	0.000          	
1994-04-16	RyeBioenergyBS 	1.657          	0.524          	0.000          	1.020          	0.113          	0.0000         	45.29          	45.29          	125.23         	0.028          	0.0025         	0.0000         	0.022          	0.094          	22.499         	5.037          	2.205          	
1994-09-04	Soybean        	9.446          	1.111          	2.888          	0.000          	5.447          	0.3465         	303.61         	268.14         	159.65         	0.269          	0.0109         	0.1443         	0.000          	0.000          	144.338        	124.354        	0.000          	
