DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-05	Soybean        	10.544         	1.231          	3.245          	0.000          	6.069          	0.3484         	322.79         	303.88         	159.86         	0.296          	0.0121         	0.1595         	0.000          	0.000          	159.507        	136.260        	0.000          	
1985-03-31	Triticale      	3.266          	0.809          	0.000          	0.000          	2.457          	0.0000         	77.42          	77.42          	87.51          	0.051          	0.0040         	0.0000         	0.000          	0.103          	0.000          	50.910         	0.000          	
1985-09-01	Maize          	19.923         	2.759          	10.171         	0.000          	6.993          	0.5926         	436.22         	333.26         	115.58         	0.200          	0.0223         	0.1359         	0.000          	0.000          	135.857        	64.471         	0.000          	
1986-04-15	Triticale      	1.440          	0.343          	0.000          	0.000          	1.098          	0.0000         	55.16          	55.16          	124.30         	0.023          	0.0016         	0.0000         	0.000          	0.198          	0.000          	23.023         	0.000          	
1986-09-02	Soybean        	8.048          	0.977          	2.434          	0.000          	4.636          	0.3443         	312.85         	246.11         	135.36         	0.233          	0.0096         	0.1247         	0.000          	0.000          	124.669        	108.692        	0.000          	
1987-03-31	Triticale      	1.832          	0.575          	0.000          	0.000          	1.256          	0.0000         	37.87          	37.87          	107.55         	0.037          	0.0032         	0.0000         	0.000          	0.036          	0.000          	37.200         	0.000          	
1987-09-02	Maize          	12.457         	2.131          	5.552          	0.000          	4.774          	0.5377         	393.96         	219.48         	163.82         	0.191          	0.0206         	0.1246         	0.000          	0.000          	124.597        	66.195         	0.000          	
1988-04-15	Triticale      	2.500          	0.663          	0.000          	0.000          	1.837          	0.0000         	70.61          	70.61          	128.60         	0.037          	0.0032         	0.0000         	0.000          	0.122          	0.000          	36.833         	0.000          	
1988-09-10	Soybean        	7.458          	0.919          	2.270          	0.000          	4.268          	0.3472         	348.19         	230.07         	165.43         	0.192          	0.0091         	0.1024         	0.000          	0.000          	102.397        	89.245         	0.000          	
1989-03-31	Triticale      	2.035          	0.621          	0.000          	0.000          	1.414          	0.0000         	47.88          	47.88          	121.40         	0.039          	0.0034         	0.0000         	0.000          	0.052          	0.000          	39.108         	0.000          	
1989-09-03	Maize          	20.758         	2.644          	11.194         	0.000          	6.920          	0.6180         	358.11         	340.66         	160.34         	0.192          	0.0194         	0.1338         	0.000          	0.044          	133.777        	58.048         	0.000          	
1990-04-15	Triticale      	0.813          	0.194          	0.000          	0.000          	0.619          	0.0000         	32.55          	32.55          	157.39         	0.016          	0.0010         	0.0000         	0.000          	0.267          	0.000          	15.651         	0.000          	
1990-09-04	Soybean        	10.310         	1.265          	3.100          	0.000          	5.944          	0.3427         	338.33         	299.71         	166.26         	0.281          	0.0124         	0.1490         	0.000          	0.000          	149.003        	131.773        	0.000          	
1991-03-31	Triticale      	3.561          	0.855          	0.000          	0.000          	2.706          	0.0000         	71.63          	71.63          	115.31         	0.060          	0.0048         	0.0000         	0.000          	0.062          	0.000          	60.379         	0.000          	
