DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-05	Maize          	18.814         	2.464          	10.224         	0.000          	6.127          	0.6253         	372.95         	337.23         	182.95         	0.168          	0.0174         	0.1172         	0.000          	0.071          	117.233        	50.669         	0.000          	
1985-09-05	Soybean        	10.017         	1.266          	2.976          	0.000          	5.775          	0.3401         	361.64         	295.98         	136.85         	0.278          	0.0124         	0.1467         	0.000          	0.000          	146.657        	131.510        	0.000          	
1986-09-02	Maize          	15.154         	1.960          	8.205          	0.000          	4.989          	0.6219         	373.44         	265.07         	151.54         	0.213          	0.0193         	0.1509         	0.000          	0.000          	150.944        	62.503         	0.000          	
1987-09-03	Soybean        	6.318          	1.008          	1.708          	0.000          	3.601          	0.3218         	324.02         	193.26         	154.64         	0.188          	0.0099         	0.0938         	0.000          	0.000          	93.783         	93.825         	0.000          	
1988-09-09	Maize          	14.095         	1.895          	7.661          	0.000          	4.540          	0.6279         	407.26         	249.26         	190.93         	0.194          	0.0187         	0.1365         	0.000          	0.000          	136.529        	57.078         	0.000          	
1989-09-02	Soybean        	10.567         	1.222          	3.252          	0.000          	6.093          	0.3480         	289.19         	284.75         	153.91         	0.300          	0.0120         	0.1616         	0.000          	0.000          	161.646        	138.091        	0.000          	
1990-09-03	Maize          	20.290         	2.708          	10.692         	0.000          	6.890          	0.6081         	402.56         	336.70         	175.80         	0.227          	0.0254         	0.1553         	0.000          	0.000          	155.325        	71.555         	0.000          	
1991-09-01	Soybean        	8.389          	1.043          	2.537          	0.000          	4.809          	0.3454         	336.63         	260.34         	141.94         	0.241          	0.0103         	0.1289         	0.000          	0.000          	128.868        	112.115        	0.000          	
1992-09-07	Maize          	19.998         	2.663          	10.576         	0.000          	6.759          	0.6101         	389.39         	332.83         	159.73         	0.218          	0.0233         	0.1501         	0.000          	0.000          	150.135        	67.716         	0.000          	
1993-09-08	Soybean        	7.135          	1.009          	2.077          	0.000          	4.049          	0.3390         	389.12         	225.98         	153.20         	0.187          	0.0099         	0.0974         	0.000          	0.000          	97.431         	89.458         	0.000          	
1994-09-01	Maize          	17.924         	2.255          	9.864          	0.000          	5.804          	0.6296         	369.63         	294.62         	175.65         	0.201          	0.0191         	0.1421         	0.000          	0.000          	142.089        	58.846         	0.000          	
1995-09-06	Soybean        	8.123          	1.101          	2.401          	0.000          	4.620          	0.3420         	321.74         	236.54         	149.53         	0.244          	0.0108         	0.1293         	0.000          	0.000          	129.300        	114.780        	0.000          	
1996-09-03	Maize          	23.905         	2.920          	13.180         	0.000          	7.805          	0.6281         	391.88         	385.39         	162.66         	0.222          	0.0232         	0.1553         	0.000          	0.003          	155.341        	66.849         	0.000          	
1997-09-14	Soybean        	7.638          	1.051          	2.201          	0.000          	4.387          	0.3341         	354.83         	223.58         	161.13         	0.202          	0.0103         	0.1042         	0.000          	0.000          	104.228        	97.666         	0.000          	
1998-09-02	Maize          	17.407         	2.626          	8.740          	0.000          	6.041          	0.5913         	412.93         	293.93         	150.95         	0.209          	0.0236         	0.1417         	0.000          	0.000          	141.712        	67.778         	0.000          	
1999-09-07	Soybean        	7.440          	1.044          	2.144          	0.000          	4.252          	0.3352         	369.20         	244.47         	145.48         	0.213          	0.0103         	0.1108         	0.000          	0.000          	110.757        	102.523        	0.000          	
2000-09-05	Maize          	21.343         	2.636          	11.746         	0.000          	6.961          	0.6279         	382.77         	355.27         	166.38         	0.227          	0.0232         	0.1589         	0.000          	0.000          	158.919        	67.927         	0.000          	
2001-09-04	Soybean        	11.605         	1.411          	3.507          	0.000          	6.687          	0.3441         	345.89         	324.11         	105.26         	0.314          	0.0139         	0.1673         	0.000          	0.000          	167.250        	146.933        	0.000          	
2002-09-03	Maize          	14.936         	2.371          	7.277          	0.000          	5.288          	0.5792         	429.02         	255.48         	163.18         	0.223          	0.0233         	0.1513         	0.000          	0.000          	151.269        	72.201         	0.000          	
2003-09-04	Soybean        	10.643         	1.226          	3.263          	0.000          	6.154          	0.3465         	280.96         	279.46         	156.42         	0.299          	0.0120         	0.1606         	0.000          	0.000          	160.620        	138.262        	0.000          	
2004-08-26	Maize          	24.168         	2.854          	13.522         	0.000          	7.793          	0.6344         	365.59         	365.40         	159.87         	0.246          	0.0247         	0.1737         	0.000          	0.000          	173.707        	72.670         	0.000          	
2005-09-07	Soybean        	11.621         	1.377          	3.542          	0.000          	6.702          	0.3458         	337.86         	322.93         	140.21         	0.312          	0.0135         	0.1669         	0.000          	0.000          	166.937        	145.199        	0.000          	
2006-08-31	Maize          	21.624         	2.955          	11.452         	0.000          	7.218          	0.6134         	417.51         	364.58         	127.48         	0.246          	0.0268         	0.1697         	0.000          	0.000          	169.741        	76.519         	0.000          	
2007-09-05	Soybean        	9.432          	1.249          	2.767          	0.000          	5.416          	0.3381         	386.85         	293.85         	135.92         	0.267          	0.0123         	0.1398         	0.000          	0.000          	139.750        	126.913        	0.000          	
2008-09-01	Maize          	17.871         	2.665          	8.933          	0.000          	6.273          	0.5875         	437.89         	299.59         	146.25         	0.209          	0.0242         	0.1404         	0.000          	0.000          	140.397        	68.429         	0.000          	
2009-08-27	Soybean        	11.328         	1.398          	3.417          	0.000          	6.513          	0.3441         	322.25         	282.25         	134.80         	0.307          	0.0137         	0.1632         	0.000          	0.000          	163.219        	143.571        	0.000          	
2010-08-29	Maize          	17.624         	2.436          	9.171          	0.000          	6.017          	0.6038         	462.16         	299.49         	159.24         	0.243          	0.0239         	0.1686         	0.000          	0.000          	168.555        	74.680         	0.000          	
2011-08-24	Soybean        	8.396          	1.171          	2.436          	0.000          	4.789          	0.3371         	351.52         	231.06         	159.40         	0.234          	0.0115         	0.1221         	0.000          	0.000          	122.131        	112.190        	0.000          	
2012-08-26	Maize          	18.104         	2.616          	9.288          	0.000          	6.200          	0.5997         	442.58         	300.59         	183.24         	0.232          	0.0257         	0.1585         	0.000          	0.000          	158.519        	73.980         	0.000          	
