DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-05	Soybean        	10.573         	1.233          	3.254          	0.000          	6.086          	0.3484         	322.88         	304.75         	160.00         	0.296          	0.0121         	0.1598         	0.000          	0.000          	159.844        	136.540        	0.000          	
1985-08-30	Maize          	19.749         	2.731          	10.200         	0.000          	6.817          	0.5994         	433.61         	330.20         	116.78         	0.225          	0.0251         	0.1531         	0.000          	0.000          	153.105        	71.789         	0.000          	
1986-09-02	Soybean        	8.072          	0.981          	2.441          	0.000          	4.650          	0.3443         	313.37         	246.88         	134.39         	0.234          	0.0097         	0.1250         	0.000          	0.000          	124.994        	109.000        	0.000          	
1987-08-31	Maize          	12.623         	2.141          	5.798          	0.000          	4.684          	0.5532         	393.51         	221.99         	155.80         	0.195          	0.0211         	0.1291         	0.000          	0.000          	129.116        	66.144         	0.000          	
1988-09-10	Soybean        	7.443          	0.917          	2.266          	0.000          	4.260          	0.3472         	347.53         	229.60         	169.23         	0.191          	0.0090         	0.1022         	0.000          	0.000          	102.231        	89.080         	0.000          	
1989-09-02	Maize          	21.326         	2.656          	11.667         	0.000          	7.003          	0.6249         	358.14         	341.17         	158.92         	0.204          	0.0207         	0.1426         	0.000          	0.017          	142.614        	61.146         	0.000          	
1990-09-04	Soybean        	10.348         	1.271          	3.110          	0.000          	5.967          	0.3426         	338.47         	301.00         	159.79         	0.282          	0.0125         	0.1497         	0.000          	0.000          	149.737        	132.477        	0.000          	
1991-08-31	Maize          	15.503         	2.088          	8.338          	0.000          	5.077          	0.6215         	399.59         	276.98         	151.70         	0.227          	0.0205         	0.1606         	0.000          	0.000          	160.621        	66.527         	0.000          	
1992-09-11	Soybean        	10.200         	1.256          	3.083          	0.000          	5.860          	0.3447         	326.01         	292.88         	159.02         	0.284          	0.0123         	0.1517         	0.000          	0.000          	151.705        	132.639        	0.000          	
1993-09-06	Maize          	14.084         	2.189          	7.050          	0.000          	4.846          	0.5926         	459.42         	252.26         	162.56         	0.196          	0.0215         	0.1328         	0.000          	0.000          	132.805        	62.778         	0.000          	
1994-09-04	Soybean        	9.526          	1.121          	2.912          	0.000          	5.493          	0.3464         	305.03         	270.55         	154.41         	0.271          	0.0110         	0.1457         	0.000          	0.000          	145.656        	125.534        	0.000          	
