DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-05	Maize          	18.801         	2.463          	10.215         	0.000          	6.124          	0.6252         	372.86         	337.21         	183.24         	0.168          	0.0174         	0.1171         	0.000          	0.072          	117.081        	50.611         	0.000          	
1985-04-16	RyeBioenergyBS 	6.375          	1.281          	0.000          	4.585          	0.509          	0.0000         	120.34         	120.34         	79.84          	0.088          	0.0066         	0.0000         	0.073          	0.068          	73.297         	14.703         	1.599          	
1985-09-06	Soybean        	9.575          	1.233          	2.821          	0.000          	5.521          	0.3382         	364.62         	283.08         	153.55         	0.266          	0.0121         	0.1395         	0.000          	0.000          	139.531        	126.538        	0.000          	
1986-04-01	RyeBioenergyBM 	3.559          	0.812          	0.000          	2.472          	0.275          	0.0000         	58.78          	58.78          	102.08         	0.078          	0.0052         	0.0000         	0.065          	0.010          	65.254         	12.407         	2.640          	
1986-09-02	Maize          	14.922         	1.931          	8.081          	0.000          	4.909          	0.6221         	370.61         	260.95         	161.69         	0.170          	0.0157         	0.1202         	0.000          	0.001          	120.245        	50.120         	0.000          	
1987-04-16	RyeBioenergyBS 	3.882          	1.013          	0.000          	2.582          	0.287          	0.0000         	64.93          	64.93          	113.36         	0.078          	0.0061         	0.0000         	0.065          	0.024          	64.506         	13.267         	2.498          	
1987-09-04	Soybean        	6.209          	0.999          	1.648          	0.000          	3.562          	0.3164         	326.30         	190.10         	161.73         	0.184          	0.0098         	0.0906         	0.000          	0.000          	90.614         	93.325         	0.000          	
1988-04-01	RyeBioenergyBM 	3.372          	0.905          	0.000          	2.221          	0.247          	0.0000         	53.64          	53.64          	117.16         	0.073          	0.0057         	0.0000         	0.061          	0.011          	61.006         	12.493         	2.747          	
1988-09-09	Maize          	14.118         	1.899          	7.669          	0.000          	4.550          	0.6277         	407.51         	249.73         	199.59         	0.163          	0.0162         	0.1147         	0.000          	0.000          	114.749        	48.486         	0.000          	
1989-04-16	RyeBioenergyBS 	4.584          	1.081          	0.000          	3.152          	0.350          	0.0000         	74.69          	74.69          	124.34         	0.093          	0.0071         	0.0000         	0.078          	0.006          	77.726         	15.751         	2.466          	
1989-09-03	Soybean        	10.612         	1.232          	3.242          	0.000          	6.138          	0.3456         	292.04         	286.09         	160.84         	0.299          	0.0121         	0.1605         	0.000          	0.000          	160.470        	138.787        	0.000          	
1990-04-01	RyeBioenergyBM 	4.353          	1.010          	0.000          	3.009          	0.334          	0.0000         	76.83          	76.83          	106.33         	0.087          	0.0065         	0.0000         	0.072          	0.017          	72.452         	14.543         	2.408          	
1990-09-03	Maize          	19.854         	2.685          	10.404         	0.000          	6.765          	0.6060         	401.84         	334.69         	192.66         	0.181          	0.0204         	0.1238         	0.000          	0.014          	123.751        	57.432         	0.000          	
1991-04-16	RyeBioenergyBS 	5.851          	1.149          	0.000          	4.232          	0.470          	0.0000         	106.20         	106.20         	116.43         	0.088          	0.0064         	0.0000         	0.074          	0.054          	73.569         	14.601         	1.738          	
1991-09-03	Soybean        	8.272          	1.032          	2.477          	0.000          	4.762          	0.3421         	336.45         	256.69         	143.67         	0.238          	0.0102         	0.1262         	0.000          	0.000          	126.154        	111.518        	0.000          	
1992-04-01	RyeBioenergyBM 	3.596          	0.880          	0.000          	2.444          	0.272          	0.0000         	52.34          	52.34          	110.05         	0.078          	0.0056         	0.0000         	0.065          	0.011          	65.117         	12.847         	2.664          	
1992-09-07	Maize          	19.427         	2.629          	10.211         	0.000          	6.588          	0.6078         	388.33         	329.36         	170.54         	0.179          	0.0193         	0.1230         	0.000          	0.017          	122.979        	55.938         	0.000          	
1993-04-16	RyeBioenergyBS 	3.391          	0.873          	0.000          	2.266          	0.252          	0.0000         	51.63          	51.63          	113.83         	0.075          	0.0056         	0.0000         	0.062          	0.015          	62.076         	12.476         	2.739          	
1993-09-09	Soybean        	7.045          	0.991          	2.057          	0.000          	3.996          	0.3399         	386.91         	222.03         	164.53         	0.184          	0.0097         	0.0963         	0.000          	0.000          	96.321         	88.047         	0.000          	
1994-04-01	RyeBioenergyBM 	1.868          	0.613          	0.000          	1.130          	0.126          	0.0000         	27.16          	27.16          	113.23         	0.047          	0.0041         	0.0000         	0.039          	0.006          	39.031         	8.406          	3.455          	
1994-09-01	Maize          	17.576         	2.208          	9.685          	0.000          	5.684          	0.6302         	364.76         	288.80         	186.31         	0.186          	0.0173         	0.1321         	0.000          	0.000          	132.132        	54.271         	0.000          	
1995-04-16	RyeBioenergyBS 	6.320          	1.147          	0.000          	4.655          	0.517          	0.0000         	101.34         	101.34         	113.21         	0.106          	0.0068         	0.0000         	0.090          	0.019          	89.593         	16.786         	1.924          	
1995-09-07	Soybean        	7.637          	1.070          	2.232          	0.000          	4.335          	0.3399         	322.58         	222.14         	158.03         	0.229          	0.0105         	0.1204         	0.000          	0.000          	120.355        	108.335        	0.000          	
1996-04-01	RyeBioenergyBM 	1.797          	0.602          	0.000          	1.076          	0.120          	0.0000         	24.55          	24.55          	113.75         	0.050          	0.0043         	0.0000         	0.041          	0.001          	40.919         	8.868          	3.804          	
1996-09-03	Maize          	22.885         	2.848          	12.545         	0.000          	7.492          	0.6261         	387.38         	379.03         	181.39         	0.203          	0.0208         	0.1419         	0.000          	0.033          	141.881        	60.954         	0.000          	
1997-04-16	RyeBioenergyBS 	4.601          	1.115          	0.000          	3.137          	0.349          	0.0000         	78.21          	78.21          	110.73         	0.073          	0.0058         	0.0000         	0.060          	0.042          	60.357         	12.464         	1.924          	
1997-09-16	Soybean        	7.542          	1.033          	2.181          	0.000          	4.328          	0.3351         	356.26         	220.56         	173.51         	0.198          	0.0102         	0.1024         	0.000          	0.000          	102.351        	95.449         	0.000          	
1998-04-01	RyeBioenergyBM 	3.081          	0.853          	0.000          	2.005          	0.223          	0.0000         	53.71          	53.71          	101.35         	0.061          	0.0049         	0.0000         	0.050          	0.032          	50.474         	10.550         	2.517          	
1998-09-02	Maize          	17.265         	2.614          	8.645          	0.000          	6.006          	0.5901         	412.89         	291.36         	167.83         	0.182          	0.0207         	0.1232         	0.000          	0.000          	123.209        	59.234         	0.000          	
1999-04-16	RyeBioenergyBS 	6.254          	1.245          	0.000          	4.508          	0.501          	0.0000         	107.20         	107.20         	89.74          	0.094          	0.0068         	0.0000         	0.078          	0.039          	78.110         	15.496         	1.733          	
1999-09-09	Soybean        	7.526          	1.047          	2.154          	0.000          	4.325          	0.3325         	371.62         	246.19         	153.11         	0.214          	0.0103         	0.1105         	0.000          	0.000          	110.535        	103.656        	0.000          	
2000-04-01	RyeBioenergyBM 	4.737          	1.066          	0.000          	3.304          	0.367          	0.0000         	79.77          	79.77          	113.30         	0.086          	0.0063         	0.0000         	0.072          	0.019          	72.102         	14.266         	2.182          	
2000-09-05	Maize          	20.442         	2.598          	11.135         	0.000          	6.709          	0.6240         	380.57         	352.81         	172.85         	0.187          	0.0193         	0.1307         	0.000          	0.030          	130.720        	56.486         	0.000          	
2001-04-16	RyeBioenergyBS 	3.336          	0.943          	0.000          	2.153          	0.239          	0.0000         	53.52          	53.52          	103.62         	0.086          	0.0068         	0.0000         	0.071          	0.001          	70.951         	14.634         	3.295          	
2001-09-05	Soybean        	11.648         	1.420          	3.512          	0.000          	6.716          	0.3434         	348.70         	324.56         	115.82         	0.313          	0.0140         	0.1664         	0.000          	0.000          	166.405        	146.821        	0.000          	
2002-04-01	RyeBioenergyBM 	4.106          	0.773          	0.000          	3.000          	0.333          	0.0000         	65.00          	65.00          	99.26          	0.089          	0.0049         	0.0000         	0.076          	0.061          	76.097         	13.351         	2.537          	
2002-09-03	Maize          	14.678         	2.339          	7.158          	0.000          	5.181          	0.5801         	428.40         	250.61         	180.39         	0.184          	0.0209         	0.1231         	0.000          	0.000          	123.102        	60.585         	0.000          	
2003-04-16	RyeBioenergyBS 	2.853          	0.877          	0.000          	1.778          	0.198          	0.0000         	47.25          	47.25          	114.00         	0.067          	0.0057         	0.0000         	0.055          	0.012          	55.121         	11.826         	3.100          	
2003-09-06	Soybean        	10.810         	1.241          	3.309          	0.000          	6.259          	0.3458         	283.79         	282.14         	169.24         	0.301          	0.0122         	0.1612         	0.000          	0.000          	161.212        	139.292        	0.000          	
2004-04-01	RyeBioenergyBM 	3.185          	0.867          	0.000          	2.086          	0.232          	0.0000         	49.17          	49.17          	89.59          	0.075          	0.0058         	0.0000         	0.062          	0.008          	62.467         	12.759         	2.995          	
2004-08-26	Maize          	23.411         	2.823          	13.008         	0.000          	7.579          	0.6318         	364.06         	363.71         	175.45         	0.210          	0.0213         	0.1480         	0.000          	0.027          	148.005        	62.495         	0.000          	
2005-04-16	RyeBioenergyBS 	4.959          	1.102          	0.000          	3.471          	0.386          	0.0000         	78.11          	78.11          	102.91         	0.085          	0.0062         	0.0000         	0.071          	0.019          	70.836         	14.064         	2.041          	
2005-09-09	Soybean        	11.509         	1.369          	3.504          	0.000          	6.636          	0.3455         	341.24         	319.90         	152.12         	0.308          	0.0135         	0.1648         	0.000          	0.000          	164.773        	143.571        	0.000          	
2006-04-01	RyeBioenergyBM 	3.402          	0.875          	0.000          	2.274          	0.253          	0.0000         	55.35          	55.35          	88.96          	0.067          	0.0052         	0.0000         	0.056          	0.023          	55.808         	11.409         	2.455          	
2006-08-31	Maize          	21.515         	2.950          	11.377         	0.000          	7.188          	0.6128         	416.46         	363.59         	142.76         	0.212          	0.0232         	0.1458         	0.000          	0.006          	145.759        	65.993         	0.000          	
2007-04-16	RyeBioenergyBS 	4.827          	1.035          	0.000          	3.413          	0.379          	0.0000         	81.72          	81.72          	101.95         	0.085          	0.0061         	0.0000         	0.071          	0.027          	71.356         	14.025         	2.091          	
2007-09-07	Soybean        	9.403          	1.253          	2.752          	0.000          	5.398          	0.3377         	391.32         	293.31         	139.43         	0.265          	0.0123         	0.1389         	0.000          	0.000          	138.891        	126.478        	0.000          	
