DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-05	Soybean        	10.544         	1.231          	3.245          	0.000          	6.069          	0.3484         	322.79         	303.88         	159.86         	0.296          	0.0121         	0.1595         	0.000          	0.000          	159.507        	136.260        	0.000          	
1985-04-01	RyeBioenergyBM 	5.069          	1.148          	0.000          	3.528          	0.392          	0.0000         	88.07          	88.07          	78.29          	0.084          	0.0064         	0.0000         	0.070          	0.035          	69.823         	14.152         	1.979          	
1985-09-01	Maize          	19.131         	2.686          	9.649          	0.000          	6.796          	0.5867         	434.63         	321.14         	129.13         	0.176          	0.0196         	0.1187         	0.000          	0.006          	118.725        	57.118         	0.000          	
1986-04-16	RyeBioenergyBS 	4.898          	0.968          	0.000          	3.537          	0.393          	0.0000         	88.41          	88.41          	105.66         	0.085          	0.0056         	0.0000         	0.072          	0.033          	71.943         	13.551         	2.034          	
1986-09-02	Soybean        	7.926          	0.962          	2.398          	0.000          	4.566          	0.3444         	310.84         	242.23         	138.28         	0.230          	0.0095         	0.1229         	0.000          	0.000          	122.863        	107.078        	0.000          	
1987-04-01	RyeBioenergyBM 	2.385          	0.719          	0.000          	1.500          	0.167          	0.0000         	40.02          	40.02          	108.69         	0.058          	0.0046         	0.0000         	0.048          	0.014          	47.662         	9.920          	3.178          	
1987-09-02	Maize          	12.219         	2.096          	5.456          	0.000          	4.666          	0.5390         	392.82         	215.29         	174.65         	0.177          	0.0195         	0.1157         	0.000          	0.000          	115.714        	61.653         	0.000          	
1988-04-16	RyeBioenergyBS 	5.204          	1.167          	0.000          	3.633          	0.404          	0.0000         	84.21          	84.21          	121.03         	0.100          	0.0075         	0.0000         	0.083          	0.011          	83.015         	16.769         	2.285          	
1988-09-10	Soybean        	7.327          	0.901          	2.233          	0.000          	4.193          	0.3475         	344.24         	225.85         	177.65         	0.189          	0.0089         	0.1008         	0.000          	0.000          	100.843        	87.708         	0.000          	
1989-04-01	RyeBioenergyBM 	2.797          	0.796          	0.000          	1.800          	0.200          	0.0000         	50.72          	50.72          	122.30         	0.066          	0.0053         	0.0000         	0.054          	0.016          	54.230         	11.341         	3.012          	
