DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-05	Maize          	18.801         	2.463          	10.215         	4.103          	2.021          	0.6252         	372.86         	337.21         	183.24         	0.168          	0.0174         	0.1171         	0.022          	0.072          	139.318        	28.374         	0.542          	
1985-04-15	Triticale      	6.614          	1.323          	0.000          	0.000          	5.291          	0.0000         	121.37         	121.37         	91.67          	0.095          	0.0071         	0.0000         	0.000          	0.050          	0.000          	94.648         	0.000          	
1985-09-06	Soybean        	10.167         	1.288          	3.019          	0.000          	5.860          	0.3400         	366.30         	300.86         	118.28         	0.280          	0.0127         	0.1476         	0.000          	0.000          	147.644        	132.615        	0.000          	
1986-04-01	RyeBioenergyBM 	3.634          	0.824          	0.000          	2.529          	0.281          	0.0000         	58.85          	58.85          	100.74         	0.082          	0.0054         	0.0000         	0.069          	0.006          	69.212         	13.090         	2.737          	
1986-09-02	Maize          	14.937         	1.933          	8.090          	3.292          	1.622          	0.6221         	371.03         	261.18         	161.23         	0.174          	0.0159         	0.1227         	0.024          	0.000          	146.218        	27.518         	0.714          	
1987-04-15	Triticale      	3.986          	1.037          	0.000          	0.000          	2.949          	0.0000         	65.57          	65.57          	130.39         	0.083          	0.0065         	0.0000         	0.000          	0.016          	0.000          	82.848         	0.000          	
1987-09-04	Soybean        	6.388          	1.021          	1.700          	0.000          	3.667          	0.3168         	327.61         	195.41         	150.32         	0.189          	0.0101         	0.0934         	0.000          	0.000          	93.389         	95.913         	0.000          	
1988-04-01	RyeBioenergyBM 	3.485          	0.927          	0.000          	2.302          	0.256          	0.0000         	53.87          	53.87          	116.11         	0.080          	0.0062         	0.0000         	0.066          	0.006          	66.464         	13.543         	2.887          	
1988-09-09	Maize          	14.125         	1.900          	7.672          	3.050          	1.502          	0.6276         	407.61         	249.86         	199.21         	0.167          	0.0165         	0.1176         	0.022          	0.000          	139.819        	27.444         	0.728          	
1989-04-15	Triticale      	4.496          	1.071          	0.000          	0.000          	3.425          	0.0000         	74.71          	74.71          	137.68         	0.099          	0.0075         	0.0000         	0.000          	0.002          	0.000          	98.730         	0.000          	
1989-09-03	Soybean        	10.628         	1.233          	3.247          	0.000          	6.147          	0.3456         	292.04         	286.49         	141.80         	0.300          	0.0121         	0.1609         	0.000          	0.000          	160.924        	139.124        	0.000          	
1990-04-01	RyeBioenergyBM 	4.425          	1.020          	0.000          	3.064          	0.340          	0.0000         	76.91          	76.91          	106.00         	0.090          	0.0067         	0.0000         	0.075          	0.013          	75.263         	15.046         	2.456          	
1990-09-03	Maize          	19.916         	2.688          	10.446         	4.544          	2.238          	0.6063         	402.04         	334.96         	192.28         	0.183          	0.0205         	0.1248         	0.025          	0.012          	149.738        	32.851         	0.550          	
1991-04-15	Triticale      	6.105          	1.186          	0.000          	0.000          	4.919          	0.0000         	106.65         	106.65         	131.34         	0.098          	0.0070         	0.0000         	0.000          	0.034          	0.000          	98.309         	0.000          	
1991-09-03	Soybean        	8.701          	1.089          	2.603          	0.000          	5.009          	0.3420         	344.83         	270.42         	130.09         	0.249          	0.0107         	0.1321         	0.000          	0.000          	132.124        	116.937        	0.000          	
1992-04-01	RyeBioenergyBM 	3.719          	0.902          	0.000          	2.536          	0.282          	0.0000         	52.52          	52.52          	108.66         	0.084          	0.0060         	0.0000         	0.070          	0.005          	70.433         	13.836         	2.777          	
1992-09-07	Maize          	19.566         	2.635          	10.305         	4.440          	2.187          	0.6086         	388.77         	329.80         	170.06         	0.182          	0.0197         	0.1254         	0.025          	0.011          	150.406        	31.951         	0.562          	
1993-04-15	Triticale      	3.480          	0.890          	0.000          	0.000          	2.590          	0.0000         	51.80          	51.80          	132.60         	0.081          	0.0060         	0.0000         	0.000          	0.008          	0.000          	81.493         	0.000          	
1993-09-09	Soybean        	7.203          	1.015          	2.100          	0.000          	4.088          	0.3393         	390.62         	227.30         	148.73         	0.188          	0.0100         	0.0983         	0.000          	0.000          	98.284         	90.096         	0.000          	
1994-04-01	RyeBioenergyBM 	1.893          	0.620          	0.000          	1.146          	0.127          	0.0000         	27.21          	27.21          	112.53         	0.049          	0.0042         	0.0000         	0.040          	0.005          	40.338         	8.662          	3.520          	
1994-09-01	Maize          	17.603         	2.211          	9.700          	3.814          	1.878          	0.6302         	365.25         	289.17         	185.91         	0.192          	0.0178         	0.1360         	0.025          	0.000          	161.516        	30.322         	0.668          	
1995-04-15	Triticale      	6.288          	1.147          	0.000          	0.000          	5.141          	0.0000         	101.38         	101.38         	120.26         	0.111          	0.0071         	0.0000         	0.000          	0.013          	0.000          	111.076        	0.000          	
1995-09-07	Soybean        	8.317          	1.125          	2.458          	0.000          	4.734          	0.3418         	327.24         	242.43         	124.26         	0.249          	0.0111         	0.1315         	0.000          	0.000          	131.550        	116.962        	0.000          	
1996-04-01	RyeBioenergyBM 	1.810          	0.606          	0.000          	1.084          	0.120          	0.0000         	24.56          	24.56          	110.70         	0.052          	0.0045         	0.0000         	0.042          	0.001          	42.423         	9.169          	3.913          	
1996-09-03	Maize          	23.268         	2.866          	12.801         	5.092          	2.508          	0.6275         	388.86         	380.27         	180.24         	0.210          	0.0215         	0.1470         	0.028          	0.019          	174.791        	35.191         	0.545          	
1997-04-15	Triticale      	4.880          	1.172          	0.000          	0.000          	3.708          	0.0000         	79.41          	79.41          	136.67         	0.083          	0.0065         	0.0000         	0.000          	0.026          	0.000          	83.475         	0.000          	
1997-09-16	Soybean        	7.785          	1.061          	2.252          	0.000          	4.472          	0.3349         	357.97         	228.01         	157.29         	0.205          	0.0104         	0.1061         	0.000          	0.000          	106.122        	98.973         	0.000          	
1998-04-01	RyeBioenergyBM 	3.239          	0.887          	0.000          	2.117          	0.235          	0.0000         	54.22          	54.22          	100.46         	0.067          	0.0053         	0.0000         	0.055          	0.024          	55.172         	11.440         	2.606          	
1998-09-02	Maize          	17.270         	2.615          	8.649          	4.025          	1.982          	0.5901         	412.89         	291.44         	167.47         	0.186          	0.0210         	0.1257         	0.026          	0.000          	152.074        	34.008         	0.655          	
1999-04-15	Triticale      	6.348          	1.261          	0.000          	0.000          	5.087          	0.0000         	107.34         	107.34         	100.91         	0.099          	0.0072         	0.0000         	0.000          	0.029          	0.000          	98.978         	0.000          	
1999-09-09	Soybean        	7.812          	1.086          	2.237          	0.000          	4.488          	0.3326         	379.64         	256.07         	132.49         	0.221          	0.0107         	0.1139         	0.000          	0.000          	113.858        	106.781        	0.000          	
2000-04-01	RyeBioenergyBM 	4.879          	1.088          	0.000          	3.412          	0.379          	0.0000         	79.98          	79.98          	112.14         	0.092          	0.0066         	0.0000         	0.077          	0.013          	76.566         	15.085         	2.244          	
2000-09-05	Maize          	20.583         	2.604          	11.231         	4.521          	2.227          	0.6247         	381.08         	353.39         	172.31         	0.190          	0.0195         	0.1326         	0.025          	0.025          	157.824        	31.956         	0.558          	
2001-04-15	Triticale      	3.304          	0.938          	0.000          	0.000          	2.366          	0.0000         	53.64          	53.64          	116.77         	0.090          	0.0071         	0.0000         	0.000          	0.000          	0.000          	90.141         	0.000          	
2001-09-05	Soybean        	11.720         	1.426          	3.537          	0.000          	6.758          	0.3435         	348.91         	326.65         	108.10         	0.315          	0.0140         	0.1673         	0.000          	0.000          	167.339        	147.504        	0.000          	
2002-04-01	RyeBioenergyBM 	4.329          	0.819          	0.000          	3.159          	0.351          	0.0000         	67.70          	67.70          	96.20          	0.094          	0.0053         	0.0000         	0.080          	0.052          	80.132         	14.175         	2.537          	
2002-09-03	Maize          	14.680         	2.339          	7.159          	3.472          	1.710          	0.5801         	428.41         	250.64         	180.17         	0.185          	0.0211         	0.1243         	0.027          	0.000          	151.170        	34.319         	0.773          	
2003-04-15	Triticale      	2.780          	0.862          	0.000          	0.000          	1.918          	0.0000         	47.36          	47.36          	126.36         	0.067          	0.0057         	0.0000         	0.000          	0.008          	0.000          	67.461         	0.000          	
2003-09-06	Soybean        	10.816         	1.242          	3.311          	0.000          	6.263          	0.3459         	283.81         	282.32         	154.95         	0.301          	0.0122         	0.1614         	0.000          	0.000          	161.432        	139.464        	0.000          	
2004-04-01	RyeBioenergyBM 	3.202          	0.870          	0.000          	2.099          	0.233          	0.0000         	49.20          	49.20          	89.53          	0.077          	0.0059         	0.0000         	0.064          	0.008          	63.595         	12.984         	3.030          	
2004-08-26	Maize          	23.454         	2.825          	13.038         	5.086          	2.505          	0.6320         	364.20         	363.73         	175.20         	0.211          	0.0214         	0.1486         	0.028          	0.025          	176.320        	35.033         	0.545          	
2005-04-15	Triticale      	5.147          	1.133          	0.000          	0.000          	4.013          	0.0000         	78.44          	78.44          	126.24         	0.098          	0.0071         	0.0000         	0.000          	0.006          	0.000          	98.115         	0.000          	
2005-09-09	Soybean        	11.805         	1.409          	3.585          	0.000          	6.810          	0.3449         	344.84         	329.05         	129.24         	0.316          	0.0138         	0.1685         	0.000          	0.000          	168.462        	147.297        	0.000          	
2006-04-01	RyeBioenergyBM 	3.487          	0.892          	0.000          	2.336          	0.260          	0.0000         	55.53          	55.53          	87.58          	0.070          	0.0054         	0.0000         	0.059          	0.019          	58.538         	11.909         	2.506          	
