DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-05	Soybean        	10.544         	1.231          	3.245          	0.000          	6.069          	0.3484         	322.79         	303.88         	159.86         	0.296          	0.0121         	0.1595         	0.000          	0.000          	159.507        	136.260        	0.000          	
1985-04-01	RyeBioenergyBM 	5.069          	1.148          	0.000          	3.528          	0.392          	0.0000         	88.07          	88.07          	78.29          	0.084          	0.0064         	0.0000         	0.070          	0.035          	69.823         	14.152         	1.979          	
1985-09-01	Maize          	19.131         	2.686          	9.649          	4.554          	2.243          	0.5867         	434.63         	321.14         	129.13         	0.176          	0.0196         	0.1187         	0.025          	0.006          	143.864        	31.979         	0.552          	
1986-04-15	Triticale      	5.103          	0.995          	0.000          	0.000          	4.108          	0.0000         	88.66          	88.66          	121.71         	0.094          	0.0060         	0.0000         	0.000          	0.019          	0.000          	93.827         	0.000          	
1986-09-02	Soybean        	8.214          	1.001          	2.482          	0.000          	4.732          	0.3440         	317.20         	251.31         	125.01         	0.237          	0.0099         	0.1266         	0.000          	0.000          	126.635        	110.630        	0.000          	
1987-04-01	RyeBioenergyBM 	2.462          	0.737          	0.000          	1.552          	0.172          	0.0000         	40.25          	40.25          	107.30         	0.063          	0.0049         	0.0000         	0.052          	0.010          	51.805         	10.697         	3.337          	
1987-09-02	Maize          	12.226         	2.097          	5.459          	3.129          	1.541          	0.5390         	392.86         	215.42         	174.35         	0.182          	0.0198         	0.1186         	0.029          	0.000          	147.557        	34.062         	0.926          	
1988-04-15	Triticale      	5.119          	1.156          	0.000          	0.000          	3.962          	0.0000         	84.26          	84.26          	131.10         	0.102          	0.0077         	0.0000         	0.000          	0.007          	0.000          	101.584        	0.000          	
1988-09-10	Soybean        	7.513          	0.925          	2.288          	0.000          	4.301          	0.3472         	349.02         	231.89         	152.00         	0.193          	0.0091         	0.1033         	0.000          	0.000          	103.316        	89.995         	0.000          	
1989-04-01	RyeBioenergyBM 	2.879          	0.814          	0.000          	1.858          	0.206          	0.0000         	50.91          	50.91          	120.83         	0.071          	0.0056         	0.0000         	0.058          	0.011          	58.488         	12.129         	3.147          	
