DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-05	Maize          	20.145         	2.525          	11.124         	0.000          	6.497          	0.6313         	382.06         	339.90         	181.20         	0.196          	0.0203         	0.1370         	0.000          	0.007          	137.036        	58.518         	0.000          	
1985-04-16	RyeBioenergyBS 	0.009          	0.004          	0.000          	0.005          	0.001          	0.0000         	4.87           	4.87           	141.38         	0.000          	0.0000         	0.0000         	0.000          	0.516          	0.139          	0.037          	2.964          	
1985-09-06	Soybean        	9.860          	1.255          	2.918          	0.000          	5.687          	0.3391         	365.45         	291.75         	149.89         	0.273          	0.0123         	0.1433         	0.000          	0.000          	143.301        	129.290        	0.000          	
1986-04-01	RyeBioenergyBM 	2.761          	0.675          	0.000          	1.878          	0.209          	0.0000         	57.13          	57.13          	100.97         	0.049          	0.0036         	0.0000         	0.041          	0.049          	41.083         	8.201          	2.188          	
1986-09-02	Maize          	14.852         	1.924          	8.043          	0.000          	4.886          	0.6221         	368.72         	259.97         	162.35         	0.187          	0.0164         	0.1328         	0.000          	0.003          	132.808        	54.378         	0.000          	
1987-04-16	RyeBioenergyBS 	0.752          	0.227          	0.000          	0.473          	0.053          	0.0000         	27.85          	27.85          	134.82         	0.015          	0.0012         	0.0000         	0.012          	0.176          	12.071         	2.521          	2.553          	
1987-09-04	Soybean        	6.210          	0.999          	1.649          	0.000          	3.563          	0.3164         	326.32         	190.15         	162.00         	0.184          	0.0098         	0.0906         	0.000          	0.000          	90.606         	93.322         	0.000          	
1988-04-01	RyeBioenergyBM 	2.441          	0.702          	0.000          	1.565          	0.174          	0.0000         	50.63          	50.63          	118.56         	0.043          	0.0037         	0.0000         	0.036          	0.050          	35.560         	7.691          	2.272          	
1988-09-09	Maize          	14.105         	1.897          	7.663          	0.000          	4.545          	0.6277         	407.33         	249.48         	199.71         	0.182          	0.0177         	0.1282         	0.000          	0.000          	128.157        	53.731         	0.000          	
1989-04-16	RyeBioenergyBS 	0.864          	0.248          	0.000          	0.555          	0.062          	0.0000         	31.04          	31.04          	158.86         	0.017          	0.0013         	0.0000         	0.014          	0.191          	13.821         	2.852          	2.492          	
1989-09-03	Soybean        	10.601         	1.232          	3.238          	0.000          	6.132          	0.3456         	292.04         	285.82         	161.55         	0.299          	0.0121         	0.1603         	0.000          	0.000          	160.340        	138.698        	0.000          	
1990-04-01	RyeBioenergyBM 	3.210          	0.808          	0.000          	2.162          	0.240          	0.0000         	72.94          	72.94          	107.85         	0.055          	0.0045         	0.0000         	0.045          	0.075          	45.474         	9.508          	2.103          	
1990-09-03	Maize          	20.191         	2.698          	10.637         	0.000          	6.855          	0.6081         	402.45         	335.30         	191.93         	0.194          	0.0230         	0.1317         	0.000          	0.000          	131.668        	62.163         	0.000          	
1991-04-16	RyeBioenergyBS 	0.718          	0.159          	0.000          	0.503          	0.056          	0.0000         	27.86          	27.86          	160.22         	0.015          	0.0008         	0.0000         	0.013          	0.306          	12.632         	2.250          	2.512          	
1991-09-03	Soybean        	8.309          	1.036          	2.489          	0.000          	4.784          	0.3422         	336.82         	257.86         	145.34         	0.239          	0.0102         	0.1268         	0.000          	0.000          	126.784        	112.029        	0.000          	
1992-04-01	RyeBioenergyBM 	2.579          	0.680          	0.000          	1.708          	0.190          	0.0000         	49.66          	49.66          	111.67         	0.046          	0.0036         	0.0000         	0.038          	0.057          	38.147         	7.871          	2.233          	
1992-09-07	Maize          	19.814         	2.644          	10.477         	0.000          	6.692          	0.6102         	389.05         	330.02         	169.65         	0.192          	0.0212         	0.1315         	0.000          	0.000          	131.541        	60.088         	0.000          	
1993-04-16	RyeBioenergyBS 	0.338          	0.098          	0.000          	0.216          	0.024          	0.0000         	13.58          	13.58          	126.51         	0.008          	0.0006         	0.0000         	0.007          	0.223          	6.550          	1.285          	3.029          	
1993-09-09	Soybean        	7.069          	0.995          	2.064          	0.000          	4.010          	0.3398         	387.48         	222.83         	162.74         	0.185          	0.0098         	0.0966         	0.000          	0.000          	96.602         	88.344         	0.000          	
1994-04-01	RyeBioenergyBM 	1.492          	0.505          	0.000          	0.889          	0.099          	0.0000         	25.96          	25.96          	112.40         	0.031          	0.0029         	0.0000         	0.025          	0.024          	25.468         	5.740          	2.866          	
1994-09-01	Maize          	16.767         	2.124          	9.220          	0.000          	5.424          	0.6296         	348.51         	277.63         	194.95         	0.188          	0.0167         	0.1335         	0.000          	0.012          	133.503        	54.080         	0.000          	
1995-04-16	RyeBioenergyBS 	0.923          	0.211          	0.000          	0.640          	0.071          	0.0000         	35.90          	35.90          	148.36         	0.017          	0.0011         	0.0000         	0.014          	0.265          	14.437         	2.679          	2.255          	
1995-09-07	Soybean        	7.977          	1.095          	2.347          	0.000          	4.535          	0.3411         	324.71         	232.40         	159.69         	0.239          	0.0108         	0.1261         	0.000          	0.000          	126.095        	112.644        	0.000          	
1996-04-01	RyeBioenergyBM 	1.528          	0.523          	0.000          	0.905          	0.101          	0.0000         	23.91          	23.91          	111.07         	0.035          	0.0032         	0.0000         	0.028          	0.013          	28.422         	6.369          	3.140          	
1996-09-03	Maize          	22.868         	2.850          	12.529         	0.000          	7.489          	0.6259         	387.02         	378.91         	180.61         	0.199          	0.0215         	0.1387         	0.000          	0.030          	138.661        	60.775         	0.000          	
1997-04-16	RyeBioenergyBS 	0.156          	0.031          	0.000          	0.113          	0.013          	0.0000         	7.45           	7.45           	139.25         	0.004          	0.0002         	0.0000         	0.004          	0.361          	3.761          	0.594          	3.327          	
1997-09-16	Soybean        	7.598          	1.039          	2.198          	0.000          	4.361          	0.3351         	356.68         	222.26         	171.56         	0.199          	0.0102         	0.1032         	0.000          	0.000          	103.220        	96.227         	0.000          	
1998-04-01	RyeBioenergyBM 	1.798          	0.543          	0.000          	1.130          	0.126          	0.0000         	45.22          	45.22          	106.95         	0.031          	0.0027         	0.0000         	0.025          	0.091          	25.497         	5.550          	2.257          	
1998-09-02	Maize          	17.268         	2.615          	8.647          	0.000          	6.007          	0.5901         	412.89         	291.41         	167.48         	0.190          	0.0223         	0.1274         	0.000          	0.000          	127.436        	62.173         	0.000          	
1999-04-16	RyeBioenergyBS 	0.646          	0.141          	0.000          	0.455          	0.051          	0.0000         	27.80          	27.80          	145.49         	0.012          	0.0007         	0.0000         	0.011          	0.317          	10.608         	1.881          	2.331          	
1999-09-09	Soybean        	7.524          	1.046          	2.154          	0.000          	4.324          	0.3325         	371.51         	246.14         	153.47         	0.214          	0.0103         	0.1105         	0.000          	0.000          	110.534        	103.645        	0.000          	
2000-04-01	RyeBioenergyBM 	3.273          	0.803          	0.000          	2.223          	0.247          	0.0000         	74.81          	74.81          	116.01         	0.050          	0.0041         	0.0000         	0.042          	0.076          	41.713         	8.708          	1.876          	
2000-09-05	Maize          	20.871         	2.616          	11.427         	0.000          	6.828          	0.6260         	382.05         	354.27         	171.94         	0.192          	0.0209         	0.1335         	0.000          	0.013          	133.545        	58.639         	0.000          	
2001-04-16	RyeBioenergyBS 	0.438          	0.144          	0.000          	0.265          	0.029          	0.0000         	19.42          	19.42          	114.07         	0.009          	0.0008         	0.0000         	0.007          	0.196          	7.280          	1.587          	2.746          	
2001-09-05	Soybean        	11.660         	1.421          	3.516          	0.000          	6.722          	0.3434         	348.72         	324.93         	113.82         	0.313          	0.0140         	0.1665         	0.000          	0.000          	166.475        	146.866        	0.000          	
2002-04-01	RyeBioenergyBM 	2.856          	0.571          	0.000          	2.057          	0.229          	0.0000         	57.38          	57.38          	104.19         	0.053          	0.0031         	0.0000         	0.045          	0.131          	44.930         	8.070          	2.185          	
2002-09-03	Maize          	14.677         	2.339          	7.158          	0.000          	5.181          	0.5801         	428.40         	250.59         	179.75         	0.195          	0.0227         	0.1303         	0.000          	0.000          	130.338        	64.666         	0.000          	
2003-04-16	RyeBioenergyBS 	0.767          	0.267          	0.000          	0.450          	0.050          	0.0000         	24.00          	24.00          	117.51         	0.015          	0.0015         	0.0000         	0.012          	0.115          	12.350         	2.835          	2.744          	
2003-09-06	Soybean        	10.811         	1.241          	3.310          	0.000          	6.260          	0.3458         	283.80         	282.15         	167.46         	0.300          	0.0122         	0.1612         	0.000          	0.000          	161.169        	139.259        	0.000          	
2004-04-01	RyeBioenergyBM 	2.486          	0.712          	0.000          	1.597          	0.177          	0.0000         	47.29          	47.29          	89.67          	0.048          	0.0040         	0.0000         	0.040          	0.038          	39.813         	8.379          	2.494          	
2004-08-26	Maize          	23.563         	2.831          	13.110         	0.000          	7.622          	0.6324         	364.42         	363.87         	174.12         	0.210          	0.0222         	0.1469         	0.000          	0.019          	146.855        	63.037         	0.000          	
2005-04-16	RyeBioenergyBS 	0.458          	0.114          	0.000          	0.310          	0.034          	0.0000         	17.01          	17.01          	136.40         	0.010          	0.0006         	0.0000         	0.009          	0.252          	8.656          	1.585          	2.794          	
2005-09-09	Soybean        	11.536         	1.373          	3.511          	0.000          	6.652          	0.3455         	341.60         	320.75         	149.90         	0.309          	0.0135         	0.1652         	0.000          	0.000          	165.190        	143.979        	0.000          	
2006-04-01	RyeBioenergyBM 	2.286          	0.636          	0.000          	1.484          	0.165          	0.0000         	50.05          	50.05          	90.59          	0.039          	0.0032         	0.0000         	0.032          	0.074          	32.241         	6.771          	2.172          	
2006-08-31	Maize          	21.520         	2.950          	11.380         	0.000          	7.190          	0.6128         	416.22         	363.63         	142.24         	0.209          	0.0243         	0.1431         	0.000          	0.007          	143.117        	66.329         	0.000          	
2007-04-16	RyeBioenergyBS 	0.455          	0.106          	0.000          	0.314          	0.035          	0.0000         	16.63          	16.63          	138.95         	0.011          	0.0006         	0.0000         	0.009          	0.282          	9.468          	1.658          	3.013          	
2007-09-07	Soybean        	9.413          	1.254          	2.756          	0.000          	5.404          	0.3377         	391.36         	293.65         	138.86         	0.266          	0.0123         	0.1391         	0.000          	0.000          	139.056        	126.628        	0.000          	
2008-04-01	RyeBioenergyBM 	2.489          	0.655          	0.000          	1.650          	0.183          	0.0000         	54.31          	54.30          	91.22          	0.041          	0.0033         	0.0000         	0.034          	0.090          	34.213         	7.056          	2.073          	
2008-09-01	Maize          	17.698         	2.647          	8.842          	0.000          	6.210          	0.5874         	437.48         	296.69         	163.23         	0.192          	0.0232         	0.1285         	0.000          	0.000          	128.472        	63.767         	0.000          	
2009-04-16	RyeBioenergyBS 	0.780          	0.210          	0.000          	0.513          	0.057          	0.0000         	26.72          	26.72          	137.76         	0.015          	0.0011         	0.0000         	0.013          	0.218          	12.871         	2.530          	2.508          	
2009-08-28	Soybean        	11.275         	1.401          	3.386          	0.000          	6.489          	0.3429         	324.63         	282.07         	141.39         	0.307          	0.0137         	0.1628         	0.000          	0.000          	162.757        	144.035        	0.000          	
2010-04-01	RyeBioenergyBM 	3.090          	0.882          	0.000          	1.987          	0.221          	0.0000         	54.45          	54.45          	99.22          	0.057          	0.0050         	0.0000         	0.047          	0.042          	47.111         	10.190         	2.371          	
2010-08-29	Maize          	17.298         	2.396          	9.019          	0.000          	5.884          	0.6052         	461.39         	293.29         	170.54         	0.201          	0.0219         	0.1375         	0.000          	0.000          	137.532        	63.138         	0.000          	
2011-04-16	RyeBioenergyBS 	0.890          	0.247          	0.000          	0.578          	0.064          	0.0000         	31.86          	31.86          	158.57         	0.017          	0.0013         	0.0000         	0.014          	0.218          	13.906         	2.805          	2.407          	
2011-08-25	Soybean        	8.417          	1.174          	2.433          	0.000          	4.810          	0.3360         	354.23         	232.78         	167.52         	0.234          	0.0115         	0.1217         	0.000          	0.000          	121.730        	112.505        	0.000          	
