DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-05	Maize          	20.186         	2.526          	11.151         	0.000          	6.508          	0.6315         	382.24         	339.93         	181.16         	0.198          	0.0205         	0.1391         	0.000          	0.004          	139.065        	59.275         	0.000          	
1985-09-05	Soybean        	10.202         	1.284          	3.038          	0.000          	5.879          	0.3407         	362.04         	301.48         	120.79         	0.282          	0.0126         	0.1492         	0.000          	0.000          	149.156        	133.329        	0.000          	
1986-09-02	Maize          	15.171         	1.962          	8.214          	0.000          	4.994          	0.6219         	373.59         	265.38         	151.26         	0.233          	0.0193         	0.1661         	0.000          	0.000          	166.122        	66.864         	0.000          	
1987-09-03	Soybean        	6.318          	1.009          	1.708          	0.000          	3.602          	0.3216         	324.07         	193.27         	152.83         	0.188          	0.0099         	0.0937         	0.000          	0.000          	93.738         	93.837         	0.000          	
1988-09-09	Maize          	14.095         	1.895          	7.661          	0.000          	4.540          	0.6279         	407.27         	249.27         	190.86         	0.200          	0.0187         	0.1416         	0.000          	0.000          	141.558        	58.504         	0.000          	
1989-09-02	Soybean        	10.572         	1.222          	3.253          	0.000          	6.096          	0.3480         	289.19         	284.87         	151.44         	0.300          	0.0120         	0.1616         	0.000          	0.000          	161.637        	138.078        	0.000          	
1990-09-03	Maize          	20.289         	2.707          	10.691         	0.000          	6.890          	0.6081         	402.56         	336.68         	175.60         	0.247          	0.0261         	0.1701         	0.000          	0.000          	170.103        	76.715         	0.000          	
1991-09-01	Soybean        	8.510          	1.059          	2.573          	0.000          	4.878          	0.3453         	338.73         	264.17         	136.99         	0.244          	0.0104         	0.1306         	0.000          	0.000          	130.607        	113.650        	0.000          	
1992-09-07	Maize          	19.998         	2.663          	10.576         	0.000          	6.759          	0.6101         	389.39         	332.84         	159.48         	0.240          	0.0252         	0.1658         	0.000          	0.000          	165.794        	74.217         	0.000          	
1993-09-08	Soybean        	7.284          	1.032          	2.116          	0.000          	4.135          	0.3385         	392.16         	230.94         	139.65         	0.191          	0.0101         	0.0993         	0.000          	0.000          	99.263         	91.409         	0.000          	
1994-09-01	Maize          	17.940         	2.258          	9.872          	0.000          	5.810          	0.6295         	369.86         	294.89         	175.10         	0.216          	0.0201         	0.1532         	0.000          	0.000          	153.218        	62.991         	0.000          	
1995-09-06	Soybean        	8.226          	1.111          	2.433          	0.000          	4.681          	0.3421         	322.69         	239.54         	137.98         	0.247          	0.0109         	0.1309         	0.000          	0.000          	130.851        	116.107        	0.000          	
1996-09-03	Maize          	24.038         	2.925          	13.271         	0.000          	7.842          	0.6286         	391.91         	385.43         	161.95         	0.236          	0.0251         	0.1645         	0.000          	0.000          	164.458        	71.262         	0.000          	
1997-09-14	Soybean        	7.752          	1.065          	2.232          	0.000          	4.455          	0.3337         	355.42         	227.04         	148.10         	0.205          	0.0105         	0.1060         	0.000          	0.000          	106.015        	99.450         	0.000          	
1998-09-02	Maize          	17.445         	2.628          	8.766          	0.000          	6.051          	0.5916         	412.97         	294.64         	149.94         	0.226          	0.0252         	0.1534         	0.000          	0.000          	153.432        	72.968         	0.000          	
1999-09-07	Soybean        	7.511          	1.054          	2.164          	0.000          	4.293          	0.3352         	371.29         	246.99         	139.50         	0.215          	0.0104         	0.1116         	0.000          	0.000          	111.574        	103.301        	0.000          	
2000-09-05	Maize          	21.344         	2.636          	11.747         	0.000          	6.961          	0.6279         	382.77         	355.28         	166.30         	0.241          	0.0241         	0.1692         	0.000          	0.000          	169.182        	71.703         	0.000          	
2001-09-04	Soybean        	11.681         	1.416          	3.534          	0.000          	6.731          	0.3443         	345.98         	326.30         	100.49         	0.316          	0.0139         	0.1680         	0.000          	0.000          	168.042        	147.471        	0.000          	
2002-09-03	Maize          	14.938         	2.371          	7.278          	0.000          	5.289          	0.5791         	429.03         	255.53         	162.98         	0.225          	0.0233         	0.1526         	0.000          	0.000          	152.622        	72.644         	0.000          	
2003-09-04	Soybean        	10.644         	1.226          	3.263          	0.000          	6.154          	0.3465         	280.97         	279.49         	154.48         	0.299          	0.0120         	0.1606         	0.000          	0.000          	160.555        	138.210        	0.000          	
2004-08-26	Maize          	24.165         	2.854          	13.520         	0.000          	7.792          	0.6344         	365.58         	365.36         	159.73         	0.257          	0.0254         	0.1812         	0.000          	0.000          	181.154        	75.471         	0.000          	
2005-09-07	Soybean        	11.797         	1.400          	3.591          	0.000          	6.806          	0.3454         	339.81         	328.34         	127.26         	0.317          	0.0138         	0.1694         	0.000          	0.000          	169.356        	147.609        	0.000          	
2006-08-31	Maize          	21.627         	2.955          	11.453         	0.000          	7.219          	0.6134         	417.52         	364.62         	126.72         	0.255          	0.0275         	0.1763         	0.000          	0.000          	176.301        	79.162         	0.000          	
2007-09-05	Soybean        	9.540          	1.260          	2.801          	0.000          	5.480          	0.3382         	387.19         	297.31         	132.25         	0.270          	0.0124         	0.1413         	0.000          	0.000          	141.298        	128.226        	0.000          	
2008-09-01	Maize          	17.872         	2.665          	8.934          	0.000          	6.273          	0.5875         	437.90         	299.61         	145.79         	0.229          	0.0259         	0.1545         	0.000          	0.000          	154.547        	74.666         	0.000          	
2009-08-27	Soybean        	11.421         	1.404          	3.449          	0.000          	6.568          	0.3443         	322.38         	284.60         	130.77         	0.308          	0.0138         	0.1642         	0.000          	0.000          	164.159        	144.217        	0.000          	
2010-08-29	Maize          	17.630         	2.436          	9.174          	0.000          	6.020          	0.6038         	462.18         	299.61         	159.09         	0.251          	0.0240         	0.1744         	0.000          	0.000          	174.446        	76.464         	0.000          	
2011-08-24	Soybean        	8.385          	1.170          	2.432          	0.000          	4.783          	0.3371         	351.57         	230.77         	155.68         	0.234          	0.0115         	0.1219         	0.000          	0.000          	121.930        	112.028        	0.000          	
2012-08-26	Maize          	18.105         	2.616          	9.289          	0.000          	6.201          	0.5997         	442.56         	300.60         	183.23         	0.244          	0.0257         	0.1675         	0.000          	0.000          	167.512        	76.715         	0.000          	
