DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-05	Soybean        	10.544         	1.231          	3.245          	0.000          	6.069          	0.3484         	322.79         	303.88         	159.86         	0.296          	0.0121         	0.1595         	0.000          	0.000          	159.507        	136.260        	0.000          	
1985-04-01	RyeBioenergyBM 	5.069          	1.148          	0.000          	3.528          	0.392          	0.0000         	88.07          	88.07          	78.29          	0.084          	0.0064         	0.0000         	0.070          	0.035          	69.823         	14.152         	1.979          	
1985-09-01	Maize          	19.256         	2.691          	9.737          	0.000          	6.828          	0.5878         	435.34         	322.08         	127.86         	0.189          	0.0223         	0.1270         	0.000          	0.000          	127.002        	62.340         	0.000          	
1986-04-16	RyeBioenergyBS 	4.532          	0.917          	0.000          	3.253          	0.361          	0.0000         	87.79          	87.79          	93.33          	0.075          	0.0050         	0.0000         	0.063          	0.050          	62.779         	11.977         	1.930          	
1986-09-02	Soybean        	7.957          	0.966          	2.408          	0.000          	4.584          	0.3444         	311.29         	243.24         	137.85         	0.231          	0.0095         	0.1234         	0.000          	0.000          	123.358        	107.512        	0.000          	
1987-04-01	RyeBioenergyBM 	2.379          	0.717          	0.000          	1.495          	0.166          	0.0000         	40.00          	40.00          	108.62         	0.057          	0.0046         	0.0000         	0.047          	0.014          	47.337         	9.858          	3.165          	
1987-09-02	Maize          	12.224         	2.097          	5.458          	0.000          	4.669          	0.5390         	392.85         	215.38         	174.02         	0.189          	0.0206         	0.1236         	0.000          	0.000          	123.564        	65.703         	0.000          	
1988-04-16	RyeBioenergyBS 	5.099          	1.152          	0.000          	3.553          	0.395          	0.0000         	84.08          	84.08          	118.85         	0.095          	0.0072         	0.0000         	0.079          	0.017          	78.857         	15.950         	2.220          	
1988-09-10	Soybean        	7.332          	0.901          	2.235          	0.000          	4.196          	0.3475         	344.37         	226.01         	177.24         	0.189          	0.0089         	0.1009         	0.000          	0.000          	100.888        	87.754         	0.000          	
1989-04-01	RyeBioenergyBM 	2.777          	0.792          	0.000          	1.787          	0.199          	0.0000         	50.68          	50.68          	122.31         	0.064          	0.0052         	0.0000         	0.053          	0.017          	53.316         	11.156         	2.984          	
