DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-05	Maize          	20.145         	2.525          	11.124         	4.353          	2.144          	0.6313         	382.06         	339.90         	181.20         	0.196          	0.0203         	0.1370         	0.026          	0.007          	162.626        	32.928         	0.588          	
1985-04-15	Triticale      	0.313          	0.039          	0.000          	0.000          	0.274          	0.0000         	8.20           	8.20           	190.13         	0.016          	0.0004         	0.0000         	0.000          	0.362          	0.000          	16.359         	0.000          	
1985-09-06	Soybean        	9.641          	1.231          	2.850          	0.000          	5.560          	0.3389         	364.75         	285.16         	155.83         	0.267          	0.0121         	0.1400         	0.000          	0.000          	140.040        	126.499        	0.000          	
1986-04-01	RyeBioenergyBM 	3.574          	0.815          	0.000          	2.483          	0.276          	0.0000         	58.80          	58.80          	102.02         	0.078          	0.0052         	0.0000         	0.066          	0.010          	65.962         	12.535         	2.656          	
1986-09-02	Maize          	14.933         	1.932          	8.088          	3.292          	1.621          	0.6221         	370.85         	261.15         	161.34         	0.191          	0.0167         	0.1352         	0.026          	0.000          	161.092        	29.433         	0.787          	
1987-04-15	Triticale      	3.797          	0.998          	0.000          	0.000          	2.799          	0.0000         	64.83          	64.83          	129.52         	0.075          	0.0059         	0.0000         	0.000          	0.024          	0.000          	74.893         	0.000          	
1987-09-04	Soybean        	6.380          	1.020          	1.697          	0.000          	3.662          	0.3167         	327.58         	195.16         	151.00         	0.189          	0.0100         	0.0932         	0.000          	0.000          	93.245         	95.800         	0.000          	
1988-04-01	RyeBioenergyBM 	3.452          	0.921          	0.000          	2.279          	0.253          	0.0000         	53.80          	53.80          	116.20         	0.078          	0.0060         	0.0000         	0.065          	0.007          	64.656         	13.188         	2.838          	
1988-09-09	Maize          	14.124         	1.900          	7.672          	3.050          	1.502          	0.6276         	407.61         	249.85         	198.84         	0.187          	0.0181         	0.1321         	0.025          	0.000          	156.982        	30.339         	0.817          	
1989-04-15	Triticale      	4.374          	1.052          	0.000          	0.000          	3.322          	0.0000         	74.65          	74.65          	136.35         	0.090          	0.0068         	0.0000         	0.000          	0.007          	0.000          	89.615         	0.000          	
1989-09-03	Soybean        	10.609         	1.232          	3.241          	0.000          	6.136          	0.3456         	292.04         	286.02         	142.23         	0.300          	0.0121         	0.1606         	0.000          	0.000          	160.620        	138.909        	0.000          	
1990-04-01	RyeBioenergyBM 	4.384          	1.014          	0.000          	3.033          	0.337          	0.0000         	76.87          	76.87          	106.08         	0.088          	0.0066         	0.0000         	0.074          	0.015          	73.606         	14.748         	2.427          	
1990-09-03	Maize          	20.211         	2.699          	10.650         	4.597          	2.264          	0.6082         	402.46         	335.34         	191.26         	0.197          	0.0232         	0.1338         	0.027          	0.000          	160.417        	36.351         	0.580          	
1991-04-15	Triticale      	5.798          	1.148          	0.000          	0.000          	4.651          	0.0000         	106.29         	106.29         	129.01         	0.089          	0.0065         	0.0000         	0.000          	0.048          	0.000          	89.166         	0.000          	
1991-09-03	Soybean        	8.675          	1.085          	2.596          	0.000          	4.994          	0.3420         	344.28         	269.61         	131.24         	0.248          	0.0107         	0.1318         	0.000          	0.000          	131.790        	116.623        	0.000          	
1992-04-01	RyeBioenergyBM 	3.683          	0.895          	0.000          	2.509          	0.279          	0.0000         	52.48          	52.48          	108.78         	0.082          	0.0059         	0.0000         	0.069          	0.007          	68.630         	13.500         	2.736          	
1992-09-07	Maize          	19.843         	2.646          	10.496         	4.490          	2.211          	0.6103         	389.06         	330.09         	169.07         	0.197          	0.0216         	0.1355         	0.027          	0.000          	162.335        	34.832         	0.598          	
1993-04-15	Triticale      	3.381          	0.872          	0.000          	0.000          	2.510          	0.0000         	51.64          	51.64          	128.50         	0.075          	0.0056         	0.0000         	0.000          	0.012          	0.000          	74.742         	0.000          	
1993-09-09	Soybean        	7.201          	1.015          	2.099          	0.000          	4.087          	0.3394         	390.58         	227.24         	148.75         	0.188          	0.0100         	0.0982         	0.000          	0.000          	98.240         	90.054         	0.000          	
1994-04-01	RyeBioenergyBM 	1.882          	0.617          	0.000          	1.139          	0.127          	0.0000         	27.19          	27.19          	112.55         	0.048          	0.0041         	0.0000         	0.040          	0.006          	39.743         	8.544          	3.490          	
1994-09-01	Maize          	17.582         	2.209          	9.687          	3.809          	1.876          	0.6301         	364.80         	288.90         	185.92         	0.200          	0.0181         	0.1425         	0.027          	0.000          	169.136        	31.212         	0.700          	
