DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-05	Soybean        	10.544         	1.231          	3.245          	0.000          	6.069          	0.3484         	322.79         	303.88         	159.86         	0.296          	0.0121         	0.1595         	0.000          	0.000          	159.507        	136.260        	0.000          	
1985-04-01	RyeBioenergyBM 	5.069          	1.148          	0.000          	3.528          	0.392          	0.0000         	88.07          	88.07          	78.29          	0.084          	0.0064         	0.0000         	0.070          	0.035          	69.823         	14.152         	1.979          	
1985-09-01	Maize          	19.256         	2.691          	9.737          	4.575          	2.253          	0.5878         	435.34         	322.08         	127.86         	0.189          	0.0223         	0.1270         	0.027          	0.000          	153.809        	35.533         	0.586          	
1986-04-15	Triticale      	4.880          	0.967          	0.000          	0.000          	3.913          	0.0000         	88.43          	88.43          	118.71         	0.085          	0.0055         	0.0000         	0.000          	0.030          	0.000          	85.227         	0.000          	
1986-09-02	Soybean        	8.207          	1.000          	2.479          	0.000          	4.727          	0.3440         	316.98         	251.08         	125.56         	0.237          	0.0098         	0.1266         	0.000          	0.000          	126.555        	110.549        	0.000          	
1987-04-01	RyeBioenergyBM 	2.451          	0.735          	0.000          	1.545          	0.172          	0.0000         	40.22          	40.22          	107.45         	0.062          	0.0049         	0.0000         	0.051          	0.011          	51.155         	10.575         	3.311          	
1987-09-02	Maize          	12.229         	2.098          	5.460          	3.130          	1.541          	0.5390         	392.87         	215.47         	173.79         	0.189          	0.0206         	0.1236         	0.030          	0.000          	153.812        	35.526         	0.965          	
1988-04-15	Triticale      	5.062          	1.148          	0.000          	0.000          	3.914          	0.0000         	84.20          	84.20          	130.62         	0.098          	0.0074         	0.0000         	0.000          	0.010          	0.000          	98.240         	0.000          	
1988-09-10	Soybean        	7.515          	0.925          	2.288          	0.000          	4.302          	0.3472         	349.09         	231.97         	152.36         	0.193          	0.0091         	0.1033         	0.000          	0.000          	103.325        	90.010         	0.000          	
1989-04-01	RyeBioenergyBM 	2.859          	0.810          	0.000          	1.844          	0.205          	0.0000         	50.86          	50.86          	120.87         	0.069          	0.0056         	0.0000         	0.057          	0.012          	57.394         	11.930         	3.112          	
