DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-05	Soybean        	10.544         	1.231          	3.245          	0.000          	6.069          	0.3484         	322.79         	303.88         	159.86         	0.296          	0.0121         	0.1595         	0.000          	0.000          	159.507        	136.260        	0.000          	
1985-04-01	RyeBioenergyBM 	3.341          	0.818          	0.000          	2.271          	0.252          	0.0000         	77.42          	77.42          	87.51          	0.051          	0.0040         	0.0000         	0.042          	0.105          	42.489         	8.761          	1.871          	
1985-09-01	Maize          	19.216         	2.687          	9.711          	4.568          	2.250          	0.5875         	435.27         	321.39         	128.54         	0.189          	0.0223         	0.1265         	0.027          	0.000          	153.165        	35.443         	0.585          	
1986-04-15	Triticale      	0.909          	0.219          	0.000          	0.000          	0.690          	0.0000         	37.95          	37.95          	161.43         	0.017          	0.0011         	0.0000         	0.000          	0.235          	0.000          	16.947         	0.000          	
1986-09-02	Soybean        	7.979          	0.968          	2.415          	0.000          	4.596          	0.3444         	311.28         	243.92         	138.08         	0.232          	0.0095         	0.1238         	0.000          	0.000          	123.785        	107.841        	0.000          	
1987-04-01	RyeBioenergyBM 	1.792          	0.564          	0.000          	1.105          	0.123          	0.0000         	37.66          	37.66          	108.07         	0.036          	0.0031         	0.0000         	0.030          	0.040          	29.575         	6.386          	2.676          	
1987-09-02	Maize          	12.226         	2.097          	5.459          	3.129          	1.541          	0.5390         	392.86         	215.41         	173.96         	0.189          	0.0204         	0.1236         	0.030          	0.000          	153.755        	35.305         	0.965          	
1988-04-15	Triticale      	1.606          	0.447          	0.000          	0.000          	1.159          	0.0000         	54.77          	54.77          	160.23         	0.025          	0.0021         	0.0000         	0.000          	0.169          	0.000          	24.861         	0.000          	
1988-09-10	Soybean        	7.429          	0.914          	2.263          	0.000          	4.252          	0.3473         	346.73         	229.20         	171.58         	0.191          	0.0090         	0.1022         	0.000          	0.000          	102.171        	88.971         	0.000          	
1989-04-01	RyeBioenergyBM 	1.931          	0.592          	0.000          	1.205          	0.134          	0.0000         	46.80          	46.80          	122.78         	0.036          	0.0032         	0.0000         	0.030          	0.061          	29.779         	6.519          	2.470          	
1989-09-03	Maize          	20.704         	2.643          	11.156         	4.626          	2.279          	0.6177         	356.93         	340.18         	177.12         	0.188          	0.0202         	0.1298         	0.025          	0.044          	154.949        	32.608         	0.544          	
1990-04-15	Triticale      	0.673          	0.154          	0.000          	0.000          	0.520          	0.0000         	29.80          	29.80          	192.22         	0.013          	0.0008         	0.0000         	0.000          	0.296          	0.000          	13.013         	0.000          	
1990-09-04	Soybean        	10.282         	1.262          	3.092          	0.000          	5.928          	0.3428         	338.24         	298.77         	168.74         	0.280          	0.0124         	0.1485         	0.000          	0.000          	148.463        	131.274        	0.000          	
1991-04-01	RyeBioenergyBM 	3.477          	0.836          	0.000          	2.378          	0.264          	0.0000         	71.01          	71.01          	116.17         	0.058          	0.0046         	0.0000         	0.048          	0.069          	47.666         	9.920          	2.005          	
1991-09-01	Maize          	15.392         	2.075          	8.226          	3.412          	1.680          	0.6176         	399.08         	275.05         	157.43         	0.190          	0.0176         	0.1340         	0.026          	0.000          	159.942        	30.395         	0.762          	
1992-04-15	Triticale      	0.899          	0.219          	0.000          	0.000          	0.679          	0.0000         	32.14          	32.14          	185.09         	0.016          	0.0011         	0.0000         	0.000          	0.231          	0.000          	16.225         	0.000          	
1992-09-11	Soybean        	10.245         	1.262          	3.095          	0.000          	5.887          	0.3446         	326.33         	294.30         	164.23         	0.285          	0.0124         	0.1521         	0.000          	0.000          	152.051        	133.054        	0.000          	
1993-04-01	RyeBioenergyBM 	1.895          	0.576          	0.000          	1.187          	0.132          	0.0000         	29.20          	29.20          	107.32         	0.044          	0.0036         	0.0000         	0.036          	0.017          	36.270         	7.619          	3.056          	
1993-09-07	Maize          	13.940         	2.161          	7.009          	3.196          	1.574          	0.5950         	460.86         	249.79         	182.15         	0.188          	0.0213         	0.1272         	0.026          	0.000          	153.523        	34.209         	0.823          	
1994-04-15	Triticale      	1.056          	0.348          	0.000          	0.000          	0.708          	0.0000         	35.71          	35.71          	150.63         	0.018          	0.0017         	0.0000         	0.000          	0.122          	0.000          	18.391         	0.000          	
1994-09-04	Soybean        	9.477          	1.115          	2.897          	0.000          	5.465          	0.3465         	304.19         	269.07         	157.40         	0.269          	0.0110         	0.1448         	0.000          	0.000          	144.753        	124.737        	0.000          	
