DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-05	Maize          	19.610         	2.500          	10.765         	0.000          	6.345          	0.6292         	378.61         	338.78         	185.17         	0.183          	0.0186         	0.1283         	0.000          	0.037          	128.295        	54.546         	0.000          	
1985-04-15	Triticale      	1.651          	0.381          	0.000          	0.000          	1.271          	0.0000         	57.67          	57.67          	130.65         	0.027          	0.0018         	0.0000         	0.000          	0.238          	0.000          	26.737         	0.000          	
1985-09-06	Soybean        	9.891          	1.260          	2.926          	0.000          	5.704          	0.3391         	365.55         	292.62         	145.44         	0.274          	0.0124         	0.1438         	0.000          	0.000          	143.801        	129.776        	0.000          	
1986-03-31	Triticale      	3.014          	0.724          	0.000          	0.000          	2.290          	0.0000         	57.99          	57.99          	100.58         	0.059          	0.0042         	0.0000         	0.000          	0.029          	0.000          	59.173         	0.000          	
1986-09-02	Maize          	15.305         	1.981          	8.282          	0.000          	5.042          	0.6216         	375.43         	267.55         	145.63         	0.210          	0.0179         	0.1491         	0.000          	0.000          	149.050        	60.568         	0.000          	
1987-04-15	Triticale      	2.295          	0.656          	0.000          	0.000          	1.638          	0.0000         	56.98          	56.98          	112.52         	0.038          	0.0031         	0.0000         	0.000          	0.082          	0.000          	37.643         	0.000          	
1987-09-04	Soybean        	6.286          	1.010          	1.668          	0.000          	3.607          	0.3162         	327.13         	192.40         	159.48         	0.186          	0.0100         	0.0917         	0.000          	0.000          	91.708         	94.523         	0.000          	
1988-03-31	Triticale      	2.816          	0.788          	0.000          	0.000          	2.028          	0.0000         	52.56          	52.56          	117.05         	0.055          	0.0045         	0.0000         	0.000          	0.029          	0.000          	54.949         	0.000          	
1988-09-09	Maize          	14.133         	1.899          	7.682          	0.000          	4.552          	0.6279         	408.10         	249.91         	180.38         	0.195          	0.0183         	0.1376         	0.000          	0.000          	137.616        	57.002         	0.000          	
1989-04-15	Triticale      	2.680          	0.725          	0.000          	0.000          	1.955          	0.0000         	67.62          	67.62          	124.63         	0.043          	0.0037         	0.0000         	0.000          	0.086          	0.000          	43.018         	0.000          	
1989-09-03	Soybean        	10.621         	1.233          	3.245          	0.000          	6.143          	0.3456         	292.04         	286.32         	151.60         	0.300          	0.0121         	0.1607         	0.000          	0.000          	160.688        	138.947        	0.000          	
1990-03-31	Triticale      	3.605          	0.885          	0.000          	0.000          	2.720          	0.0000         	74.95          	74.95          	105.86         	0.065          	0.0052         	0.0000         	0.000          	0.051          	0.000          	65.488         	0.000          	
1990-09-03	Maize          	20.447         	2.727          	10.766         	0.000          	6.954          	0.6076         	402.76         	339.64         	159.25         	0.222          	0.0243         	0.1525         	0.000          	0.000          	152.535        	69.694         	0.000          	
1991-04-15	Triticale      	2.848          	0.647          	0.000          	0.000          	2.200          	0.0000         	84.63          	84.63          	130.14         	0.039          	0.0030         	0.0000         	0.000          	0.179          	0.000          	39.450         	0.000          	
1991-09-03	Soybean        	8.430          	1.053          	2.524          	0.000          	4.853          	0.3421         	339.47         	261.80         	142.17         	0.242          	0.0104         	0.1284         	0.000          	0.000          	128.434        	113.554        	0.000          	
1992-03-31	Triticale      	2.915          	0.755          	0.000          	0.000          	2.160          	0.0000         	51.13          	51.13          	109.69         	0.057          	0.0044         	0.0000         	0.000          	0.037          	0.000          	57.063         	0.000          	
1992-09-07	Maize          	20.133         	2.679          	10.642         	0.000          	6.812          	0.6097         	389.73         	335.25         	154.93         	0.221          	0.0230         	0.1526         	0.000          	0.000          	152.631        	68.170         	0.000          	
1993-04-15	Triticale      	1.685          	0.490          	0.000          	0.000          	1.196          	0.0000         	42.23          	42.23          	115.73         	0.029          	0.0024         	0.0000         	0.000          	0.090          	0.000          	28.959         	0.000          	
1993-09-09	Soybean        	7.044          	0.995          	2.054          	0.000          	3.995          	0.3396         	388.28         	222.17         	158.99         	0.184          	0.0098         	0.0961         	0.000          	0.000          	96.052         	87.988         	0.000          	
1994-03-31	Triticale      	1.615          	0.542          	0.000          	0.000          	1.072          	0.0000         	26.68          	26.68          	111.66         	0.038          	0.0034         	0.0000         	0.000          	0.013          	0.000          	37.763         	0.000          	
1994-09-01	Maize          	17.789         	2.237          	9.796          	0.000          	5.756          	0.6299         	368.11         	292.34         	178.58         	0.215          	0.0188         	0.1530         	0.000          	0.000          	152.992        	61.630         	0.000          	
1995-04-15	Triticale      	3.437          	0.735          	0.000          	0.000          	2.702          	0.0000         	91.16          	91.16          	117.83         	0.046          	0.0035         	0.0000         	0.000          	0.126          	0.000          	46.437         	0.000          	
1995-09-07	Soybean        	8.144          	1.115          	2.397          	0.000          	4.632          	0.3410         	326.63         	237.31         	141.01         	0.243          	0.0110         	0.1285         	0.000          	0.000          	128.458        	114.768        	0.000          	
1996-03-31	Triticale      	1.628          	0.553          	0.000          	0.000          	1.074          	0.0000         	24.40          	24.40          	109.22         	0.041          	0.0037         	0.0000         	0.000          	0.004          	0.000          	41.196         	0.000          	
1996-09-03	Maize          	23.996         	2.920          	13.250         	0.000          	7.827          	0.6287         	391.62         	384.76         	168.21         	0.235          	0.0235         	0.1655         	0.000          	0.000          	165.456        	69.950         	0.000          	
1997-04-15	Triticale      	1.400          	0.396          	0.000          	0.000          	1.004          	0.0000         	44.65          	44.65          	134.57         	0.023          	0.0019         	0.0000         	0.000          	0.161          	0.000          	22.766         	0.000          	
1997-09-16	Soybean        	7.583          	1.038          	2.193          	0.000          	4.352          	0.3351         	356.69         	221.91         	171.52         	0.199          	0.0102         	0.1030         	0.000          	0.000          	102.986        	96.045         	0.000          	
1998-03-31	Triticale      	2.236          	0.657          	0.000          	0.000          	1.579          	0.0000         	49.06          	49.06          	104.66         	0.040          	0.0034         	0.0000         	0.000          	0.064          	0.000          	40.129         	0.000          	
1998-09-02	Maize          	17.378         	2.624          	8.720          	0.000          	6.034          	0.5911         	412.92         	293.45         	155.41         	0.214          	0.0237         	0.1450         	0.000          	0.000          	145.036        	68.919         	0.000          	
1999-04-15	Triticale      	2.463          	0.571          	0.000          	0.000          	1.892          	0.0000         	72.68          	72.68          	118.85         	0.035          	0.0026         	0.0000         	0.000          	0.172          	0.000          	35.081         	0.000          	
1999-09-09	Soybean        	7.541          	1.049          	2.159          	0.000          	4.334          	0.3325         	371.80         	246.87         	150.16         	0.215          	0.0103         	0.1108         	0.000          	0.000          	110.773        	103.882        	0.000          	
2000-03-31	Triticale      	3.845          	0.915          	0.000          	0.000          	2.930          	0.0000         	77.74          	77.74          	113.58         	0.064          	0.0050         	0.0000         	0.000          	0.050          	0.000          	64.114         	0.000          	
2000-09-05	Maize          	21.507         	2.654          	11.844         	0.000          	7.009          	0.6282         	383.47         	358.10         	149.84         	0.230          	0.0229         	0.1616         	0.000          	0.000          	161.591        	68.355         	0.000          	
2001-04-15	Triticale      	1.572          	0.508          	0.000          	0.000          	1.064          	0.0000         	41.43          	41.43          	108.29         	0.028          	0.0026         	0.0000         	0.000          	0.086          	0.000          	27.727         	0.000          	
2001-09-05	Soybean        	11.702         	1.424          	3.531          	0.000          	6.747          	0.3435         	348.81         	326.15         	112.01         	0.314          	0.0140         	0.1671         	0.000          	0.000          	167.064        	147.291        	0.000          	
2002-03-31	Triticale      	3.757          	0.778          	0.000          	0.000          	2.979          	0.0000         	71.66          	71.66          	91.51          	0.067          	0.0043         	0.0000         	0.000          	0.082          	0.000          	67.416         	0.000          	
2002-09-03	Maize          	15.140         	2.399          	7.363          	0.000          	5.378          	0.5779         	429.45         	259.36         	151.12         	0.217          	0.0236         	0.1460         	0.000          	0.000          	145.957        	70.933         	0.000          	
2003-04-15	Triticale      	1.728          	0.571          	0.000          	0.000          	1.157          	0.0000         	39.28          	39.28          	114.71         	0.034          	0.0031         	0.0000         	0.000          	0.051          	0.000          	34.384         	0.000          	
2003-09-06	Soybean        	10.832         	1.244          	3.317          	0.000          	6.272          	0.3459         	283.84         	282.80         	159.69         	0.301          	0.0122         	0.1616         	0.000          	0.000          	161.646        	139.628        	0.000          	
2004-03-31	Triticale      	2.774          	0.779          	0.000          	0.000          	1.995          	0.0000         	48.41          	48.41          	89.18          	0.058          	0.0046         	0.0000         	0.000          	0.023          	0.000          	57.587         	0.000          	
2004-08-26	Maize          	24.176         	2.854          	13.527         	0.000          	7.795          	0.6344         	365.59         	365.52         	157.49         	0.252          	0.0245         	0.1779         	0.000          	0.000          	177.908        	73.647         	0.000          	
2005-04-15	Triticale      	2.136          	0.549          	0.000          	0.000          	1.587          	0.0000         	59.08          	59.08          	119.50         	0.033          	0.0025         	0.0000         	0.000          	0.124          	0.000          	32.511         	0.000          	
2005-09-09	Soybean        	11.619         	1.384          	3.534          	0.000          	6.700          	0.3453         	342.63         	323.34         	143.99         	0.312          	0.0136         	0.1666         	0.000          	0.000          	166.610        	145.329        	0.000          	
2006-03-31	Triticale      	2.660          	0.724          	0.000          	0.000          	1.936          	0.0000         	52.63          	52.63          	87.83          	0.048          	0.0039         	0.0000         	0.000          	0.050          	0.000          	47.676         	0.000          	
2006-08-31	Maize          	21.601         	2.954          	11.435         	0.000          	7.212          	0.6133         	417.44         	364.22         	132.60         	0.248          	0.0266         	0.1713         	0.000          	0.000          	171.317        	76.821         	0.000          	
2007-04-15	Triticale      	2.195          	0.542          	0.000          	0.000          	1.654          	0.0000         	60.62          	60.62          	121.84         	0.036          	0.0026         	0.0000         	0.000          	0.146          	0.000          	35.518         	0.000          	
2007-09-07	Soybean        	9.456          	1.259          	2.767          	0.000          	5.429          	0.3376         	391.60         	295.03         	137.40         	0.267          	0.0124         	0.1397         	0.000          	0.000          	139.746        	127.312        	0.000          	
2008-03-31	Triticale      	3.040          	0.781          	0.000          	0.000          	2.259          	0.0000         	60.57          	60.56          	84.35          	0.051          	0.0040         	0.0000         	0.000          	0.064          	0.000          	50.533         	0.000          	
2008-09-01	Maize          	18.042         	2.683          	9.038          	0.000          	6.321          	0.5885         	438.16         	302.44         	140.50         	0.207          	0.0237         	0.1396         	0.000          	0.000          	139.615        	67.557         	0.000          	
