DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-05	Maize          	19.610         	2.500          	10.765         	4.251          	2.094          	0.6292         	378.61         	338.78         	185.17         	0.183          	0.0186         	0.1283         	0.024          	0.037          	152.395        	30.446         	0.567          	
1985-04-15	Triticale      	1.923          	0.446          	0.000          	0.000          	1.477          	0.0000         	65.17          	65.17          	148.86         	0.029          	0.0020         	0.0000         	0.000          	0.229          	0.000          	29.491         	0.000          	
1985-09-06	Soybean        	9.737          	1.249          	2.874          	0.000          	5.615          	0.3386         	365.06         	287.96         	147.64         	0.270          	0.0123         	0.1419         	0.000          	0.000          	141.858        	128.372        	0.000          	
1986-04-01	RyeBioenergyBM 	3.089          	0.734          	0.000          	2.120          	0.236          	0.0000         	57.96          	57.96          	100.94         	0.059          	0.0042         	0.0000         	0.049          	0.033          	49.327         	9.699          	2.326          	
1986-09-02	Maize          	14.872         	1.923          	8.057          	3.278          	1.615          	0.6222         	369.81         	259.87         	164.60         	0.181          	0.0162         	0.1281         	0.025          	0.000          	152.623        	28.267         	0.748          	
1987-04-15	Triticale      	2.153          	0.622          	0.000          	0.000          	1.532          	0.0000         	56.13          	56.13          	136.98         	0.035          	0.0029         	0.0000         	0.000          	0.088          	0.000          	34.795         	0.000          	
1987-09-04	Soybean        	6.240          	1.005          	1.655          	0.000          	3.580          	0.3161         	326.82         	191.06         	160.31         	0.185          	0.0099         	0.0910         	0.000          	0.000          	91.034         	93.886         	0.000          	
1988-04-01	RyeBioenergyBM 	2.846          	0.794          	0.000          	1.847          	0.205          	0.0000         	52.44          	52.44          	117.42         	0.054          	0.0045         	0.0000         	0.044          	0.034          	44.430         	9.409          	2.405          	
1988-09-09	Maize          	13.890         	1.865          	7.562          	2.991          	1.473          	0.6288         	405.20         	245.27         	204.19         	0.173          	0.0166         	0.1221         	0.023          	0.000          	145.077        	27.925         	0.768          	
1989-04-15	Triticale      	2.454          	0.675          	0.000          	0.000          	1.779          	0.0000         	65.64          	65.64          	145.19         	0.039          	0.0033         	0.0000         	0.000          	0.096          	0.000          	38.756         	0.000          	
1989-09-03	Soybean        	10.617         	1.232          	3.243          	0.000          	6.141          	0.3456         	292.04         	286.21         	154.94         	0.299          	0.0121         	0.1606         	0.000          	0.000          	160.594        	138.879        	0.000          	
1990-04-01	RyeBioenergyBM 	3.601          	0.881          	0.000          	2.448          	0.272          	0.0000         	74.78          	74.78          	106.09         	0.064          	0.0051         	0.0000         	0.053          	0.055          	53.424         	11.054         	2.183          	
1990-09-03	Maize          	20.206         	2.700          	10.642         	4.599          	2.265          	0.6079         	402.46         	335.48         	194.02         	0.195          	0.0217         	0.1337         	0.027          	0.000          	160.303        	34.809         	0.579          	
1991-04-15	Triticale      	2.869          	0.653          	0.000          	0.000          	2.216          	0.0000         	85.69          	85.69          	152.83         	0.039          	0.0031         	0.0000         	0.000          	0.177          	0.000          	39.327         	0.000          	
1991-09-03	Soybean        	8.368          	1.046          	2.505          	0.000          	4.818          	0.3421         	338.56         	259.82         	143.48         	0.240          	0.0103         	0.1275         	0.000          	0.000          	127.465        	112.732        	0.000          	
1992-04-01	RyeBioenergyBM 	2.959          	0.760          	0.000          	1.980          	0.220          	0.0000         	51.02          	51.02          	109.99         	0.056          	0.0043         	0.0000         	0.046          	0.040          	46.436         	9.493          	2.345          	
1992-09-07	Maize          	19.813         	2.645          	10.474         	4.485          	2.209          	0.6101         	389.08         	330.22         	172.51         	0.192          	0.0204         	0.1324         	0.026          	0.000          	158.655        	33.322         	0.585          	
1993-04-15	Triticale      	1.758          	0.509          	0.000          	0.000          	1.249          	0.0000         	43.11          	43.11          	139.34         	0.030          	0.0025         	0.0000         	0.000          	0.086          	0.000          	30.053         	0.000          	
1993-09-09	Soybean        	7.082          	0.997          	2.067          	0.000          	4.017          	0.3397         	388.13         	223.36         	161.61         	0.185          	0.0098         	0.0967         	0.000          	0.000          	96.741         	88.513         	0.000          	
1994-04-01	RyeBioenergyBM 	1.668          	0.556          	0.000          	1.001          	0.111          	0.0000         	26.60          	26.60          	111.72         	0.037          	0.0034         	0.0000         	0.031          	0.016          	30.563         	6.762          	3.054          	
1994-09-01	Maize          	17.228         	2.168          	9.492          	3.731          	1.838          	0.6303         	358.76         	283.61         	191.37         	0.191          	0.0171         	0.1355         	0.025          	0.004          	160.872        	29.635         	0.680          	
