DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-05	Soybean        	10.632         	1.239          	3.271          	0.000          	6.121          	0.3483         	323.31         	306.51         	162.75         	0.298          	0.0122         	0.1607         	0.000          	0.000          	160.651        	137.303        	0.000          	
1985-04-01	RyeBioenergyBM 	3.869          	0.926          	0.000          	2.649          	0.294          	0.0000         	82.13          	82.13          	83.72          	0.060          	0.0048         	0.0000         	0.050          	0.083          	49.773         	10.305         	1.879          	
1985-09-01	Maize          	19.258         	2.690          	9.739          	0.000          	6.829          	0.5878         	435.38         	322.06         	129.15         	0.204          	0.0234         	0.1371         	0.000          	0.000          	137.147        	66.622         	0.000          	
1986-04-16	RyeBioenergyBS 	1.147          	0.271          	0.000          	0.789          	0.088          	0.0000         	43.75          	43.75          	123.34         	0.021          	0.0013         	0.0000         	0.017          	0.219          	17.491         	3.278          	2.218          	
1986-09-02	Soybean        	7.923          	0.960          	2.398          	0.000          	4.565          	0.3444         	309.90         	242.08         	141.66         	0.230          	0.0095         	0.1231         	0.000          	0.000          	123.103        	107.227        	0.000          	
1987-04-01	RyeBioenergyBM 	1.969          	0.611          	0.000          	1.222          	0.136          	0.0000         	38.32          	38.32          	107.88         	0.041          	0.0035         	0.0000         	0.034          	0.032          	33.970         	7.241          	2.781          	
1987-09-02	Maize          	12.184         	2.095          	5.430          	0.000          	4.659          	0.5382         	392.73         	214.73         	175.77         	0.189          	0.0206         	0.1231         	0.000          	0.000          	123.100        	65.619         	0.000          	
1988-04-16	RyeBioenergyBS 	2.657          	0.696          	0.000          	1.765          	0.196          	0.0000         	71.84          	71.84          	128.29         	0.039          	0.0034         	0.0000         	0.032          	0.121          	31.940         	6.902          	1.810          	
1988-09-10	Soybean        	7.291          	0.896          	2.223          	0.000          	4.173          	0.3476         	344.23         	224.57         	180.70         	0.187          	0.0088         	0.1002         	0.000          	0.000          	100.154        	87.104         	0.000          	
1989-04-01	RyeBioenergyBM 	2.169          	0.652          	0.000          	1.365          	0.152          	0.0000         	48.61          	48.61          	122.15         	0.042          	0.0036         	0.0000         	0.034          	0.048          	34.471         	7.467          	2.524          	
1989-09-03	Maize          	21.322         	2.670          	11.578         	0.000          	7.074          	0.6207         	360.67         	341.19         	178.21         	0.203          	0.0213         	0.1415         	0.000          	0.017          	141.519        	61.964         	0.000          	
1990-04-16	RyeBioenergyBS 	0.686          	0.152          	0.000          	0.481          	0.053          	0.0000         	29.48          	29.48          	142.69         	0.013          	0.0008         	0.0000         	0.011          	0.310          	11.407         	2.038          	2.373          	
1990-09-04	Soybean        	10.274         	1.262          	3.089          	0.000          	5.924          	0.3427         	338.24         	298.55         	170.11         	0.280          	0.0124         	0.1483         	0.000          	0.000          	148.311        	131.193        	0.000          	
1991-04-01	RyeBioenergyBM 	3.846          	0.902          	0.000          	2.650          	0.294          	0.0000         	72.40          	72.40          	114.58         	0.066          	0.0052         	0.0000         	0.055          	0.053          	55.015         	11.334         	2.076          	
1991-09-01	Maize          	15.331         	2.067          	8.191          	0.000          	5.073          	0.6175         	398.25         	273.92         	159.60         	0.203          	0.0182         	0.1433         	0.000          	0.000          	143.265        	59.673         	0.000          	
1992-04-16	RyeBioenergyBS 	1.175          	0.282          	0.000          	0.803          	0.089          	0.0000         	37.25          	37.25          	150.80         	0.021          	0.0014         	0.0000         	0.017          	0.212          	17.256         	3.276          	2.148          	
1992-09-11	Soybean        	10.237         	1.262          	3.093          	0.000          	5.882          	0.3446         	326.32         	294.03         	168.62         	0.285          	0.0124         	0.1520         	0.000          	0.000          	151.986        	133.001        	0.000          	
1993-04-01	RyeBioenergyBM 	2.001          	0.602          	0.000          	1.260          	0.140          	0.0000         	29.38          	29.38          	107.60         	0.050          	0.0040         	0.0000         	0.041          	0.010          	40.990         	8.513          	3.254          	
1993-09-07	Maize          	13.924         	2.159          	7.001          	0.000          	4.764          	0.5950         	460.85         	249.50         	184.32         	0.195          	0.0212         	0.1330         	0.000          	0.000          	133.005        	62.276         	0.000          	
1994-04-16	RyeBioenergyBS 	1.541          	0.490          	0.000          	0.946          	0.105          	0.0000         	44.11          	44.11          	124.72         	0.026          	0.0024         	0.0000         	0.021          	0.100          	20.860         	4.683          	2.205          	
1994-09-04	Soybean        	9.394          	1.104          	2.873          	0.000          	5.417          	0.3465         	302.58         	266.60         	161.82         	0.267          	0.0109         	0.1436         	0.000          	0.000          	143.594        	123.674        	0.000          	
1995-04-01	RyeBioenergyBM 	3.805          	0.844          	0.000          	2.665          	0.296          	0.0000         	69.31          	69.31          	105.98         	0.066          	0.0047         	0.0000         	0.055          	0.039          	54.872         	10.749         	2.059          	
1995-09-04	Maize          	15.479         	2.308          	7.928          	0.000          	5.243          	0.6019         	382.03         	259.69         	162.57         	0.204          	0.0214         	0.1402         	0.000          	0.000          	140.191        	63.798         	0.000          	
1996-04-16	RyeBioenergyBS 	0.832          	0.281          	0.000          	0.496          	0.055          	0.0000         	26.33          	26.33          	125.46         	0.015          	0.0014         	0.0000         	0.013          	0.115          	12.533         	2.833          	2.525          	
1996-09-05	Soybean        	11.763         	1.360          	3.614          	0.000          	6.789          	0.3474         	328.54         	327.83         	158.39         	0.318          	0.0134         	0.1710         	0.000          	0.000          	171.009        	147.176        	0.000          	
1997-04-01	RyeBioenergyBM 	2.818          	0.800          	0.000          	1.816          	0.202          	0.0000         	48.97          	48.97          	111.54         	0.053          	0.0044         	0.0000         	0.044          	0.033          	43.881         	9.245          	2.416          	
1997-09-17	Maize          	14.018         	2.090          	7.090          	0.000          	4.838          	0.5944         	422.62         	234.66         	194.43         	0.193          	0.0201         	0.1321         	0.000          	0.000          	132.062        	60.930         	0.000          	
1998-04-16	RyeBioenergyBS 	2.000          	0.536          	0.000          	1.317          	0.146          	0.0000         	63.59          	63.59          	120.95         	0.029          	0.0024         	0.0000         	0.024          	0.160          	24.297         	5.127          	1.845          	
1998-09-05	Soybean        	8.568          	1.180          	2.506          	0.000          	4.883          	0.3391         	335.72         	253.31         	162.85         	0.255          	0.0116         	0.1341         	0.000          	0.000          	134.113        	121.019        	0.000          	
1999-04-01	RyeBioenergyBM 	3.429          	0.847          	0.000          	2.324          	0.258          	0.0000         	69.51          	69.51          	91.75          	0.055          	0.0044         	0.0000         	0.046          	0.059          	45.625         	9.432          	1.963          	
1999-09-07	Maize          	13.004         	2.006          	6.390          	0.000          	4.608          	0.5810         	419.23         	245.80         	187.63         	0.200          	0.0193         	0.1364         	0.000          	0.000          	136.419        	63.082         	0.000          	
2000-04-16	RyeBioenergyBS 	2.568          	0.587          	0.000          	1.783          	0.198          	0.0000         	83.79          	83.79          	141.52         	0.034          	0.0026         	0.0000         	0.028          	0.188          	28.344         	5.761          	1.589          	
2000-09-06	Soybean        	10.659         	1.251          	3.268          	0.000          	6.140          	0.3473         	312.01         	303.90         	168.98         	0.297          	0.0123         	0.1599         	0.000          	0.000          	159.878        	137.385        	0.000          	
2001-04-01	RyeBioenergyBM 	1.706          	0.571          	0.000          	1.022          	0.114          	0.0000         	23.25          	23.25          	100.14         	0.050          	0.0044         	0.0000         	0.041          	0.000          	41.128         	8.950          	4.026          	
2001-09-03	Maize          	21.862         	2.889          	11.623         	0.000          	7.350          	0.6126         	398.83         	351.49         	134.45         	0.220          	0.0242         	0.1512         	0.000          	0.000          	151.241        	68.637         	0.000          	
2002-04-16	RyeBioenergyBS 	1.158          	0.227          	0.000          	0.838          	0.093          	0.0000         	43.97          	43.97          	128.37         	0.020          	0.0011         	0.0000         	0.017          	0.327          	16.944         	2.959          	2.022          	
2002-09-08	Soybean        	7.388          	1.059          	2.089          	0.000          	4.239          	0.3302         	349.49         	222.85         	180.75         	0.210          	0.0104         	0.1075         	0.000          	0.000          	107.499        	102.365        	0.000          	
2003-04-01	RyeBioenergyBM 	1.313          	0.468          	0.000          	0.760          	0.084          	0.0000         	22.59          	22.59          	107.27         	0.033          	0.0031         	0.0000         	0.027          	0.014          	26.665         	6.080          	3.510          	
2003-09-06	Maize          	21.800         	2.672          	11.924         	0.000          	7.204          	0.6234         	347.58         	332.00         	169.12         	0.207          	0.0217         	0.1443         	0.000          	0.003          	144.348        	62.869         	0.000          	
2004-04-16	RyeBioenergyBS 	0.577          	0.154          	0.000          	0.380          	0.042          	0.0000         	20.27          	20.27          	115.48         	0.012          	0.0008         	0.0000         	0.010          	0.228          	10.453         	1.997          	2.748          	
2004-08-28	Soybean        	11.527         	1.315          	3.556          	0.000          	6.656          	0.3482         	299.74         	299.74         	172.23         	0.314          	0.0129         	0.1695         	0.000          	0.000          	169.453        	144.937        	0.000          	
2005-04-01	RyeBioenergyBM 	2.859          	0.776          	0.000          	1.875          	0.208          	0.0000         	41.96          	41.96          	103.67         	0.065          	0.0050         	0.0000         	0.054          	0.012          	54.156         	10.985         	2.889          	
2005-09-08	Maize          	22.253         	2.814          	12.091         	0.000          	7.348          	0.6220         	401.17         	355.84         	157.30         	0.214          	0.0234         	0.1479         	0.000          	0.005          	147.854        	65.691         	0.000          	
2006-04-16	RyeBioenergyBS 	0.042          	0.009          	0.000          	0.029          	0.003          	0.0000         	4.11           	4.11           	126.71         	0.002          	0.0001         	0.0000         	0.001          	0.421          	1.362          	0.218          	4.631          	
2006-09-05	Soybean        	10.601         	1.360          	3.171          	0.000          	6.070          	0.3431         	352.81         	310.50         	130.45         	0.296          	0.0134         	0.1573         	0.000          	0.000          	157.327        	139.129        	0.000          	
