DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-05	Maize          	20.224         	2.527          	11.181         	0.000          	6.517          	0.6318         	382.50         	339.87         	184.45         	0.210          	0.0212         	0.1475         	0.000          	0.000          	147.488        	62.233         	0.000          	
1985-04-15	Triticale      	0.616          	0.127          	0.000          	0.000          	0.489          	0.0000         	25.28          	25.28          	138.14         	0.014          	0.0007         	0.0000         	0.000          	0.355          	0.000          	13.547         	0.000          	
1985-09-06	Soybean        	9.860          	1.255          	2.918          	0.000          	5.687          	0.3391         	365.49         	291.72         	149.07         	0.273          	0.0123         	0.1433         	0.000          	0.000          	143.285        	129.287        	0.000          	
1986-03-31	Triticale      	2.981          	0.718          	0.000          	0.000          	2.264          	0.0000         	57.91          	57.91          	100.75         	0.058          	0.0042         	0.0000         	0.000          	0.030          	0.000          	58.070         	0.000          	
1986-09-02	Maize          	15.310         	1.982          	8.285          	0.000          	5.043          	0.6216         	375.55         	267.64         	144.90         	0.219          	0.0182         	0.1559         	0.000          	0.000          	155.867        	62.857         	0.000          	
1987-04-15	Triticale      	2.030          	0.590          	0.000          	0.000          	1.440          	0.0000         	54.60          	54.60          	112.76         	0.033          	0.0028         	0.0000         	0.000          	0.092          	0.000          	32.786         	0.000          	
1987-09-04	Soybean        	6.272          	1.009          	1.664          	0.000          	3.599          	0.3162         	327.04         	192.01         	159.13         	0.186          	0.0099         	0.0915         	0.000          	0.000          	91.507         	94.336         	0.000          	
1988-03-31	Triticale      	2.771          	0.778          	0.000          	0.000          	1.993          	0.0000         	52.43          	52.43          	117.24         	0.053          	0.0044         	0.0000         	0.000          	0.031          	0.000          	53.458         	0.000          	
1988-09-09	Maize          	14.033         	1.889          	7.626          	0.000          	4.519          	0.6279         	407.66         	247.99         	179.25         	0.199          	0.0186         	0.1404         	0.000          	0.000          	140.412        	58.120         	0.000          	
1989-04-15	Triticale      	2.698          	0.730          	0.000          	0.000          	1.968          	0.0000         	67.97          	67.97          	123.32         	0.043          	0.0037         	0.0000         	0.000          	0.085          	0.000          	42.915         	0.000          	
1989-09-03	Soybean        	10.615         	1.232          	3.243          	0.000          	6.140          	0.3456         	292.04         	286.18         	151.38         	0.299          	0.0121         	0.1606         	0.000          	0.000          	160.585        	138.873        	0.000          	
1990-03-31	Triticale      	3.556          	0.876          	0.000          	0.000          	2.681          	0.0000         	74.78          	74.78          	106.04         	0.064          	0.0051         	0.0000         	0.000          	0.053          	0.000          	64.139         	0.000          	
1990-09-03	Maize          	20.441         	2.726          	10.764         	0.000          	6.951          	0.6076         	402.76         	339.53         	157.51         	0.235          	0.0258         	0.1608         	0.000          	0.000          	160.828        	73.704         	0.000          	
1991-04-15	Triticale      	1.945          	0.449          	0.000          	0.000          	1.496          	0.0000         	64.03          	64.03          	142.56         	0.030          	0.0021         	0.0000         	0.000          	0.222          	0.000          	30.454         	0.000          	
1991-09-03	Soybean        	8.371          	1.045          	2.507          	0.000          	4.819          	0.3422         	338.23         	259.88         	144.36         	0.240          	0.0103         	0.1276         	0.000          	0.000          	127.621        	112.809        	0.000          	
1992-03-31	Triticale      	2.855          	0.743          	0.000          	0.000          	2.113          	0.0000         	50.97          	50.97          	110.09         	0.055          	0.0043         	0.0000         	0.000          	0.040          	0.000          	55.245         	0.000          	
1992-09-07	Maize          	20.133         	2.679          	10.641         	0.000          	6.813          	0.6097         	389.74         	335.23         	154.25         	0.234          	0.0244         	0.1616         	0.000          	0.000          	161.553        	72.249         	0.000          	
1993-04-15	Triticale      	1.028          	0.306          	0.000          	0.000          	0.722          	0.0000         	31.56          	31.56          	117.48         	0.019          	0.0016         	0.0000         	0.000          	0.130          	0.000          	18.906         	0.000          	
1993-09-09	Soybean        	7.084          	0.998          	2.067          	0.000          	4.019          	0.3397         	388.18         	223.43         	161.40         	0.185          	0.0098         	0.0967         	0.000          	0.000          	96.748         	88.524         	0.000          	
1994-03-31	Triticale      	1.587          	0.534          	0.000          	0.000          	1.053          	0.0000         	26.56          	26.56          	111.77         	0.037          	0.0033         	0.0000         	0.000          	0.014          	0.000          	36.523         	0.000          	
1994-09-01	Maize          	17.799         	2.239          	9.799          	0.000          	5.760          	0.6298         	368.05         	292.61         	177.91         	0.222          	0.0190         	0.1590         	0.000          	0.001          	158.953        	63.526         	0.000          	
1995-04-15	Triticale      	2.220          	0.499          	0.000          	0.000          	1.721          	0.0000         	71.98          	71.98          	126.62         	0.032          	0.0023         	0.0000         	0.000          	0.181          	0.000          	31.681         	0.000          	
1995-09-07	Soybean        	8.049          	1.106          	2.367          	0.000          	4.577          	0.3409         	325.89         	234.55         	147.62         	0.241          	0.0109         	0.1270         	0.000          	0.000          	126.954        	113.563        	0.000          	
1996-03-31	Triticale      	1.602          	0.546          	0.000          	0.000          	1.057          	0.0000         	24.33          	24.33          	109.80         	0.040          	0.0036         	0.0000         	0.000          	0.006          	0.000          	39.780         	0.000          	
1996-09-03	Maize          	23.992         	2.920          	13.247         	0.000          	7.826          	0.6286         	391.62         	384.71         	167.44         	0.239          	0.0245         	0.1674         	0.000          	0.000          	167.410        	71.548         	0.000          	
1997-04-15	Triticale      	0.680          	0.187          	0.000          	0.000          	0.492          	0.0000         	25.79          	25.79          	133.03         	0.013          	0.0010         	0.0000         	0.000          	0.220          	0.000          	13.172         	0.000          	
1997-09-16	Soybean        	7.566          	1.036          	2.188          	0.000          	4.342          	0.3351         	356.51         	221.37         	172.42         	0.199          	0.0102         	0.1027         	0.000          	0.000          	102.723        	95.790         	0.000          	
1998-03-31	Triticale      	2.136          	0.632          	0.000          	0.000          	1.504          	0.0000         	48.34          	48.34          	105.39         	0.038          	0.0033         	0.0000         	0.000          	0.069          	0.000          	37.916         	0.000          	
1998-09-02	Maize          	17.382         	2.624          	8.723          	0.000          	6.035          	0.5911         	412.92         	293.53         	155.66         	0.223          	0.0249         	0.1507         	0.000          	0.000          	150.734        	71.895         	0.000          	
1999-04-15	Triticale      	1.383          	0.313          	0.000          	0.000          	1.069          	0.0000         	46.93          	46.93          	137.04         	0.023          	0.0015         	0.0000         	0.000          	0.232          	0.000          	23.323         	0.000          	
1999-09-09	Soybean        	7.518          	1.046          	2.152          	0.000          	4.321          	0.3325         	371.20         	246.03         	152.32         	0.214          	0.0103         	0.1105         	0.000          	0.000          	110.485        	103.624        	0.000          	
2000-03-31	Triticale      	3.701          	0.888          	0.000          	0.000          	2.813          	0.0000         	77.31          	77.31          	114.13         	0.061          	0.0048         	0.0000         	0.000          	0.055          	0.000          	60.578         	0.000          	
2000-09-05	Maize          	21.498         	2.653          	11.838         	0.000          	7.006          	0.6282         	383.44         	357.93         	149.27         	0.234          	0.0240         	0.1639         	0.000          	0.000          	163.880        	70.020         	0.000          	
2001-04-15	Triticale      	0.966          	0.319          	0.000          	0.000          	0.647          	0.0000         	30.47          	30.47          	110.57         	0.018          	0.0016         	0.0000         	0.000          	0.127          	0.000          	17.870         	0.000          	
2001-09-05	Soybean        	11.694         	1.423          	3.528          	0.000          	6.743          	0.3435         	348.79         	325.92         	112.88         	0.314          	0.0140         	0.1669         	0.000          	0.000          	166.917        	147.181        	0.000          	
2002-03-31	Triticale      	3.440          	0.707          	0.000          	0.000          	2.733          	0.0000         	66.95          	66.95          	96.32          	0.063          	0.0039         	0.0000         	0.000          	0.097          	0.000          	63.065         	0.000          	
2002-09-03	Maize          	15.140         	2.398          	7.365          	0.000          	5.377          	0.5780         	429.46         	259.36         	150.71         	0.227          	0.0236         	0.1538         	0.000          	0.000          	153.847        	73.469         	0.000          	
2003-04-15	Triticale      	1.383          	0.467          	0.000          	0.000          	0.916          	0.0000         	35.33          	35.33          	115.90         	0.027          	0.0025         	0.0000         	0.000          	0.068          	0.000          	26.769         	0.000          	
2003-09-06	Soybean        	10.830         	1.244          	3.316          	0.000          	6.270          	0.3459         	283.84         	282.74         	161.33         	0.301          	0.0122         	0.1615         	0.000          	0.000          	161.542        	139.546        	0.000          	
2004-03-31	Triticale      	2.687          	0.759          	0.000          	0.000          	1.928          	0.0000         	48.18          	48.18          	89.42          	0.055          	0.0044         	0.0000         	0.000          	0.027          	0.000          	54.636         	0.000          	
