DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-05	Soybean        	10.632         	1.239          	3.271          	0.000          	6.121          	0.3483         	323.31         	306.51         	162.75         	0.298          	0.0122         	0.1607         	0.000          	0.000          	160.651        	137.303        	0.000          	
1985-03-31	Triticale      	3.780          	0.915          	0.000          	0.000          	2.865          	0.0000         	82.13          	82.13          	83.72          	0.060          	0.0048         	0.0000         	0.000          	0.081          	0.000          	59.692         	0.000          	
1985-09-01	Maize          	20.047         	2.768          	10.254         	0.000          	7.025          	0.5934         	436.44         	335.42         	114.41         	0.233          	0.0257         	0.1585         	0.000          	0.000          	158.480        	74.810         	0.000          	
1986-04-15	Triticale      	1.536          	0.361          	0.000          	0.000          	1.176          	0.0000         	55.87          	55.87          	116.58         	0.025          	0.0017         	0.0000         	0.000          	0.191          	0.000          	25.085         	0.000          	
1986-09-02	Soybean        	8.018          	0.973          	2.425          	0.000          	4.619          	0.3443         	312.03         	245.07         	137.43         	0.233          	0.0096         	0.1243         	0.000          	0.000          	124.327        	108.398        	0.000          	
1987-03-31	Triticale      	2.019          	0.626          	0.000          	0.000          	1.393          	0.0000         	38.61          	38.61          	107.13         	0.043          	0.0036         	0.0000         	0.000          	0.028          	0.000          	42.994         	0.000          	
1987-09-02	Maize          	12.496         	2.139          	5.558          	0.000          	4.798          	0.5367         	394.21         	220.23         	162.18         	0.193          	0.0211         	0.1260         	0.000          	0.000          	126.010        	67.341         	0.000          	
1988-04-15	Triticale      	3.317          	0.836          	0.000          	0.000          	2.480          	0.0000         	77.31          	77.31          	123.19         	0.051          	0.0042         	0.0000         	0.000          	0.088          	0.000          	50.994         	0.000          	
1988-09-10	Soybean        	7.495          	0.923          	2.282          	0.000          	4.290          	0.3472         	348.78         	231.27         	163.57         	0.193          	0.0091         	0.1030         	0.000          	0.000          	102.955        	89.715         	0.000          	
1989-03-31	Triticale      	2.286          	0.683          	0.000          	0.000          	1.603          	0.0000         	49.49          	49.49          	120.08         	0.046          	0.0040         	0.0000         	0.000          	0.039          	0.000          	45.749         	0.000          	
