DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-05	Soybean        	10.632         	1.239          	3.271          	0.000          	6.121          	0.3483         	323.31         	306.51         	162.75         	0.298          	0.0122         	0.1607         	0.000          	0.000          	160.651        	137.303        	0.000          	
1985-08-30	Maize          	19.747         	2.733          	10.198         	0.000          	6.816          	0.5994         	433.62         	330.06         	117.95         	0.266          	0.0269         	0.1835         	0.000          	0.000          	183.460        	82.776         	0.000          	
1986-09-02	Soybean        	8.058          	0.979          	2.437          	0.000          	4.642          	0.3442         	312.90         	246.33         	134.95         	0.234          	0.0096         	0.1249         	0.000          	0.000          	124.858        	108.894        	0.000          	
1987-08-31	Maize          	12.650         	2.147          	5.803          	0.000          	4.699          	0.5526         	393.63         	222.53         	158.47         	0.196          	0.0211         	0.1294         	0.000          	0.000          	129.373        	66.382         	0.000          	
1988-09-10	Soybean        	7.464          	0.919          	2.272          	0.000          	4.272          	0.3472         	347.87         	230.29         	171.85         	0.192          	0.0091         	0.1026         	0.000          	0.000          	102.569        	89.366         	0.000          	
1989-09-02	Maize          	21.673         	2.670          	11.904         	0.000          	7.100          	0.6264         	358.84         	342.25         	161.10         	0.241          	0.0238         	0.1696         	0.000          	0.000          	169.627        	71.701         	0.000          	
1990-09-04	Soybean        	10.406         	1.278          	3.127          	0.000          	6.002          	0.3425         	338.67         	302.95         	152.56         	0.284          	0.0125         	0.1509         	0.000          	0.000          	150.856        	133.514        	0.000          	
1991-08-31	Maize          	15.436         	2.081          	8.299          	0.000          	5.056          	0.6214         	398.74         	275.75         	154.46         	0.236          	0.0205         	0.1673         	0.000          	0.000          	167.348        	68.398         	0.000          	
1992-09-11	Soybean        	10.167         	1.252          	3.074          	0.000          	5.841          	0.3448         	325.75         	291.84         	160.17         	0.284          	0.0123         	0.1513         	0.000          	0.000          	151.302        	132.221        	0.000          	
1993-09-06	Maize          	14.084         	2.190          	7.045          	0.000          	4.849          	0.5923         	459.59         	252.30         	165.36         	0.199          	0.0215         	0.1356         	0.000          	0.000          	135.616        	63.701         	0.000          	
