DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-05	Maize          	20.224         	2.527          	11.181         	0.000          	6.517          	0.6318         	382.50         	339.87         	184.45         	0.210          	0.0212         	0.1475         	0.000          	0.000          	147.488        	62.233         	0.000          	
1985-04-16	RyeBioenergyBS 	6.182          	1.237          	0.000          	4.451          	0.495          	0.0000         	118.10         	118.10         	76.53          	0.086          	0.0063         	0.0000         	0.071          	0.089          	71.400         	14.192         	1.604          	
1985-09-06	Soybean        	9.590          	1.233          	2.827          	0.000          	5.530          	0.3383         	364.62         	283.54         	154.09         	0.266          	0.0121         	0.1398         	0.000          	0.000          	139.760        	126.680        	0.000          	
1986-04-01	RyeBioenergyBM 	3.672          	0.830          	0.000          	2.558          	0.284          	0.0000         	58.87          	58.87          	102.61         	0.086          	0.0056         	0.0000         	0.072          	0.004          	72.061         	13.583         	2.817          	
1986-09-02	Maize          	14.897         	1.926          	8.070          	0.000          	4.901          	0.6222         	370.34         	260.29         	163.66         	0.203          	0.0172         	0.1446         	0.000          	0.000          	144.617        	58.584         	0.000          	
1987-04-16	RyeBioenergyBS 	3.892          	1.015          	0.000          	2.589          	0.288          	0.0000         	65.00          	65.00          	106.69         	0.078          	0.0061         	0.0000         	0.065          	0.023          	64.621         	13.294         	2.496          	
1987-09-04	Soybean        	6.167          	0.995          	1.635          	0.000          	3.537          	0.3162         	325.89         	188.88         	163.57         	0.183          	0.0098         	0.0901         	0.000          	0.000          	90.069         	92.867         	0.000          	
1988-04-01	RyeBioenergyBM 	3.477          	0.926          	0.000          	2.297          	0.255          	0.0000         	53.88          	53.88          	117.90         	0.079          	0.0061         	0.0000         	0.066          	0.006          	65.703         	13.388         	2.861          	
1988-09-09	Maize          	13.980         	1.877          	7.605          	0.000          	4.497          	0.6284         	405.79         	247.00         	202.95         	0.195          	0.0182         	0.1380         	0.000          	0.000          	138.049        	57.022         	0.000          	
1989-04-16	RyeBioenergyBS 	4.620          	1.087          	0.000          	3.180          	0.353          	0.0000         	74.70          	74.70          	119.01         	0.096          	0.0073         	0.0000         	0.080          	0.004          	79.636         	16.112         	2.504          	
