DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-05	Maize          	20.224         	2.527          	11.181         	4.366          	2.151          	0.6318         	382.50         	339.87         	184.45         	0.210          	0.0212         	0.1475         	0.028          	0.000          	174.993        	34.728         	0.630          	
1985-04-15	Triticale      	0.788          	0.175          	0.000          	0.000          	0.613          	0.0000         	31.88          	31.88          	173.72         	0.016          	0.0009         	0.0000         	0.000          	0.303          	0.000          	16.463         	0.000          	
1985-09-06	Soybean        	9.743          	1.248          	2.877          	0.000          	5.618          	0.3387         	365.12         	288.14         	154.09         	0.270          	0.0123         	0.1419         	0.000          	0.000          	141.870        	128.313        	0.000          	
1986-04-01	RyeBioenergyBM 	3.038          	0.725          	0.000          	2.082          	0.231          	0.0000         	57.85          	57.85          	101.13         	0.057          	0.0041         	0.0000         	0.048          	0.035          	47.928         	9.452          	2.302          	
1986-09-02	Maize          	14.894         	1.926          	8.068          	3.283          	1.617          	0.6222         	370.18         	260.25         	163.74         	0.199          	0.0170         	0.1417         	0.027          	0.000          	168.863        	30.343         	0.827          	
1987-04-15	Triticale      	1.525          	0.457          	0.000          	0.000          	1.069          	0.0000         	47.30          	47.30          	144.81         	0.025          	0.0022         	0.0000         	0.000          	0.116          	0.000          	24.993         	0.000          	
1987-09-04	Soybean        	6.199          	0.999          	1.644          	0.000          	3.556          	0.3162         	326.31         	189.82         	162.46         	0.184          	0.0098         	0.0905         	0.000          	0.000          	90.477         	93.304         	0.000          	
1988-04-01	RyeBioenergyBM 	2.758          	0.774          	0.000          	1.786          	0.198          	0.0000         	52.17          	52.17          	117.86         	0.051          	0.0043         	0.0000         	0.042          	0.037          	42.249         	8.994          	2.366          	
1988-09-09	Maize          	13.995         	1.879          	7.612          	3.017          	1.486          	0.6283         	405.94         	247.29         	203.64         	0.193          	0.0180         	0.1363         	0.026          	0.000          	161.953        	30.629         	0.851          	
1989-04-15	Triticale      	1.745          	0.501          	0.000          	0.000          	1.244          	0.0000         	53.66          	53.66          	159.15         	0.029          	0.0025         	0.0000         	0.000          	0.130          	0.000          	28.620         	0.000          	
