DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-27	Maize          	21.819         	2.675          	11.228         	0.000          	7.916          	0.5865         	362.74         	357.45         	168.91         	0.199          	0.0208         	0.1352         	0.000          	0.022          	135.190        	63.527         	0.000          	
1985-05-11	RyeBioenergyBS 	0.548          	0.079          	0.101          	0.332          	0.037          	0.2146         	24.37          	24.37          	175.91         	0.014          	0.0004         	0.0048         	0.008          	0.466          	12.453         	1.269          	2.307          	
1985-09-26	Soybean        	10.650         	1.287          	3.133          	0.000          	6.230          	0.3346         	320.90         	304.21         	148.53         	0.296          	0.0127         	0.1543         	0.000          	0.000          	154.297        	141.625        	0.000          	
1986-04-28	RyeBioenergyBM 	3.501          	0.746          	0.000          	2.479          	0.275          	0.0000         	100.70         	100.70         	102.01         	0.049          	0.0037         	0.0000         	0.041          	0.143          	41.132         	8.238          	1.659          	
1986-09-24	Maize          	21.574         	2.747          	11.223         	0.000          	7.604          	0.5961         	387.04         	362.14         	109.52         	0.216          	0.0209         	0.1493         	0.000          	0.000          	149.268        	66.860         	0.000          	
1987-05-11	RyeBioenergyBS 	1.369          	0.307          	0.000          	0.956          	0.106          	0.0000         	58.01          	58.01          	159.06         	0.021          	0.0014         	0.0000         	0.018          	0.286          	17.868         	3.419          	1.869          	
1987-09-27	Soybean        	8.622          	1.077          	2.463          	0.000          	5.081          	0.3265         	308.24         	259.74         	122.60         	0.256          	0.0106         	0.1308         	0.000          	0.000          	130.816        	124.719        	0.000          	
1988-04-28	RyeBioenergyBM 	2.854          	0.718          	0.000          	1.922          	0.214          	0.0000         	74.85          	74.85          	129.14         	0.044          	0.0035         	0.0000         	0.037          	0.113          	36.591         	7.604          	1.904          	
1988-09-28	Maize          	17.677         	2.190          	9.462          	0.000          	6.025          	0.6110         	389.62         	307.03         	155.44         	0.200          	0.0167         	0.1413         	0.000          	0.000          	141.329        	58.370         	0.000          	
1989-05-11	RyeBioenergyBS 	1.710          	0.421          	0.000          	1.159          	0.129          	0.0000         	67.55          	67.55          	138.26         	0.026          	0.0019         	0.0000         	0.022          	0.230          	21.822         	4.373          	1.882          	
