DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-27	Maize          	21.819         	2.675          	11.228         	0.000          	7.916          	0.5865         	362.74         	357.45         	168.91         	0.199          	0.0208         	0.1352         	0.000          	0.022          	135.190        	63.527         	0.000          	
1985-05-10	Triticale      	0.550          	0.078          	0.000          	0.000          	0.472          	0.0000         	24.37          	24.36          	175.86         	0.014          	0.0004         	0.0000         	0.000          	0.460          	0.000          	13.536         	0.000          	
1985-09-26	Soybean        	10.666         	1.288          	3.137          	0.000          	6.241          	0.3345         	320.94         	304.72         	147.08         	0.296          	0.0127         	0.1545         	0.000          	0.000          	154.498        	141.854        	0.000          	
1986-04-27	Triticale      	3.517          	0.755          	0.000          	0.000          	2.762          	0.0000         	101.65         	101.65         	101.30         	0.050          	0.0037         	0.0000         	0.000          	0.135          	0.000          	50.206         	0.000          	
1986-09-24	Maize          	21.739         	2.772          	11.291         	0.000          	7.676          	0.5953         	388.21         	365.19         	100.08         	0.240          	0.0230         	0.1657         	0.000          	0.000          	165.713        	74.063         	0.000          	
1987-05-10	Triticale      	1.639          	0.372          	0.000          	0.000          	1.267          	0.0000         	67.50          	67.50          	152.80         	0.024          	0.0017         	0.0000         	0.000          	0.262          	0.000          	24.189         	0.000          	
1987-09-27	Soybean        	8.683          	1.083          	2.481          	0.000          	5.119          	0.3264         	308.29         	261.85         	118.76         	0.257          	0.0107         	0.1316         	0.000          	0.000          	131.603        	125.507        	0.000          	
1988-04-27	Triticale      	2.920          	0.736          	0.000          	0.000          	2.184          	0.0000         	75.62          	75.62          	128.12         	0.046          	0.0037         	0.0000         	0.000          	0.105          	0.000          	46.058         	0.000          	
1988-09-28	Maize          	17.787         	2.207          	9.514          	0.000          	6.066          	0.6107         	391.08         	309.01         	143.03         	0.219          	0.0178         	0.1552         	0.000          	0.000          	155.247        	63.623         	0.000          	
1989-05-10	Triticale      	2.041          	0.498          	0.000          	0.000          	1.543          	0.0000         	76.47          	76.47          	132.05         	0.030          	0.0023         	0.0000         	0.000          	0.209          	0.000          	29.988         	0.000          	
