DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-24	Soybean        	10.883         	1.244          	3.248          	0.000          	6.390          	0.3370         	298.23         	298.23         	156.16         	0.306          	0.0123         	0.1611         	0.000          	0.000          	161.081        	145.173        	0.000          	
1985-04-27	Triticale      	3.882          	0.768          	0.000          	0.000          	3.115          	0.0000         	111.08         	111.08         	109.20         	0.053          	0.0038         	0.0000         	0.000          	0.192          	0.000          	52.738         	0.000          	
1985-09-25	Maize          	21.194         	2.770          	10.775         	0.000          	7.648          	0.5849         	388.38         	348.40         	138.12         	0.231          	0.0240         	0.1568         	0.000          	0.000          	156.848        	73.786         	0.000          	
1986-05-10	Triticale      	1.117          	0.204          	0.000          	0.000          	0.913          	0.0000         	52.67          	52.67          	149.38         	0.020          	0.0010         	0.0000         	0.000          	0.355          	0.000          	19.747         	0.000          	
1986-09-26	Soybean        	10.827         	1.314          	3.208          	0.000          	6.305          	0.3373         	317.48         	311.30         	106.26         	0.301          	0.0130         	0.1578         	0.000          	0.000          	157.774        	142.965        	0.000          	
1987-04-27	Triticale      	3.280          	0.771          	0.000          	0.000          	2.509          	0.0000         	80.44          	80.44          	121.68         	0.054          	0.0041         	0.0000         	0.000          	0.099          	0.000          	54.408         	0.000          	
1987-09-26	Maize          	17.675         	2.411          	8.454          	0.000          	6.811          	0.5538         	404.43         	307.62         	110.72         	0.232          	0.0227         	0.1552         	0.000          	0.000          	155.163        	76.747         	0.000          	
1988-05-10	Triticale      	2.104          	0.513          	0.000          	0.000          	1.591          	0.0000         	80.43          	80.43          	132.84         	0.028          	0.0022         	0.0000         	0.000          	0.212          	0.000          	28.261         	0.000          	
1988-09-28	Soybean        	9.088          	1.094          	2.729          	0.000          	5.266          	0.3413         	316.06         	273.52         	120.04         	0.255          	0.0109         	0.1351         	0.000          	0.000          	135.136        	119.930        	0.000          	
1989-04-27	Triticale      	2.809          	0.700          	0.000          	0.000          	2.110          	0.0000         	74.68          	74.68          	124.55         	0.045          	0.0035         	0.0000         	0.000          	0.097          	0.000          	44.570         	0.000          	
1989-09-25	Maize          	19.520         	2.610          	9.545          	0.000          	7.366          	0.5644         	350.12         	307.98         	118.71         	0.228          	0.0233         	0.1533         	0.000          	0.000          	153.291        	75.012         	0.000          	
1990-05-10	Triticale      	1.726          	0.369          	0.000          	0.000          	1.357          	0.0000         	75.93          	75.93          	149.83         	0.025          	0.0016         	0.0000         	0.000          	0.307          	0.000          	25.151         	0.000          	
1990-09-18	Soybean        	9.816          	1.216          	2.848          	0.000          	5.751          	0.3312         	291.11         	277.24         	108.14         	0.281          	0.0121         	0.1455         	0.000          	0.000          	145.526        	135.903        	0.000          	
1991-04-27	Triticale      	4.958          	0.967          	0.000          	0.000          	3.991          	0.0000         	113.56         	113.56         	116.38         	0.068          	0.0051         	0.0000         	0.000          	0.121          	0.000          	67.750         	0.000          	
1991-09-22	Maize          	16.326         	2.201          	8.179          	0.000          	5.946          	0.5790         	412.66         	285.79         	101.55         	0.216          	0.0183         	0.1493         	0.000          	0.001          	149.273        	66.551         	0.000          	
1992-05-10	Triticale      	3.041          	0.665          	0.000          	0.000          	2.376          	0.0000         	86.99          	86.99          	124.82         	0.040          	0.0031         	0.0000         	0.000          	0.179          	0.000          	40.411         	0.000          	
1992-09-28	Soybean        	10.687         	1.312          	3.158          	0.000          	6.218          	0.3368         	287.13         	287.13         	122.37         	0.301          	0.0130         	0.1580         	0.000          	0.000          	157.970        	143.508        	0.000          	
1993-04-27	Triticale      	2.475          	0.681          	0.000          	0.000          	1.794          	0.0000         	58.57          	58.57          	105.91         	0.044          	0.0035         	0.0000         	0.000          	0.077          	0.000          	43.815         	0.000          	
1993-09-24	Maize          	19.022         	2.729          	8.698          	0.000          	7.595          	0.5338         	403.01         	320.06         	110.70         	0.241          	0.0256         	0.1574         	0.000          	0.000          	157.396        	83.885         	0.000          	
1994-05-10	Triticale      	2.180          	0.547          	0.000          	0.000          	1.633          	0.0000         	80.81          	80.81          	114.47         	0.030          	0.0023         	0.0000         	0.000          	0.199          	0.000          	30.131         	0.000          	
1994-09-24	Soybean        	11.044         	1.270          	3.304          	0.000          	6.470          	0.3381         	298.04         	298.04         	118.89         	0.308          	0.0125         	0.1622         	0.000          	0.000          	162.212        	145.616        	0.000          	
1995-04-27	Triticale      	4.537          	0.882          	0.000          	0.000          	3.655          	0.0000         	107.27         	107.27         	111.26         	0.063          	0.0046         	0.0000         	0.000          	0.104          	0.000          	63.226         	0.000          	
1995-09-23	Maize          	16.050         	2.299          	7.290          	0.000          	6.462          	0.5301         	368.54         	270.45         	113.49         	0.241          	0.0226         	0.1589         	0.000          	0.000          	158.941        	82.194         	0.000          	
1996-05-10	Triticale      	2.031          	0.543          	0.000          	0.000          	1.487          	0.0000         	72.35          	72.35          	134.53         	0.031          	0.0024         	0.0000         	0.000          	0.193          	0.000          	30.826         	0.000          	
1996-09-20	Soybean        	10.888         	1.285          	3.222          	0.000          	6.381          	0.3355         	286.10         	285.95         	139.44         	0.303          	0.0127         	0.1586         	0.000          	0.000          	158.625        	144.572        	0.000          	
1997-04-27	Triticale      	3.874          	0.879          	0.000          	0.000          	2.995          	0.0000         	90.09          	90.09          	116.62         	0.056          	0.0043         	0.0000         	0.000          	0.108          	0.000          	55.704         	0.000          	
1997-09-28	Maize          	19.375         	2.530          	9.761          	0.000          	7.085          	0.5794         	398.34         	324.95         	123.06         	0.228          	0.0228         	0.1548         	0.000          	0.000          	154.783        	72.778         	0.000          	
1998-05-10	Triticale      	2.556          	0.527          	0.000          	0.000          	2.029          	0.0000         	89.81          	89.81          	137.27         	0.034          	0.0024         	0.0000         	0.000          	0.293          	0.000          	34.440         	0.000          	
1998-09-22	Soybean        	10.734         	1.240          	3.188          	0.000          	6.306          	0.3358         	310.30         	305.93         	124.57         	0.300          	0.0122         	0.1575         	0.000          	0.000          	157.486        	142.950        	0.000          	
1999-04-27	Triticale      	5.325          	1.044          	0.000          	0.000          	4.281          	0.0000         	121.19         	121.19         	92.29          	0.069          	0.0051         	0.0000         	0.000          	0.119          	0.000          	68.845         	0.000          	
1999-09-26	Maize          	15.895         	2.175          	7.951          	0.000          	5.770          	0.5795         	431.75         	274.01         	114.33         	0.222          	0.0203         	0.1521         	0.000          	0.000          	152.150        	69.375         	0.000          	
2000-05-10	Triticale      	4.295          	0.772          	0.000          	0.000          	3.523          	0.0000         	139.35         	139.35         	126.33         	0.050          	0.0036         	0.0000         	0.000          	0.230          	0.000          	50.140         	0.000          	
2000-09-25	Soybean        	10.545         	1.284          	3.085          	0.000          	6.175          	0.3332         	282.78         	274.87         	133.93         	0.296          	0.0127         	0.1541         	0.000          	0.000          	154.070        	142.382        	0.000          	
2001-04-27	Triticale      	2.965          	0.781          	0.000          	0.000          	2.184          	0.0000         	64.38          	64.38          	106.76         	0.051          	0.0041         	0.0000         	0.000          	0.073          	0.000          	51.379         	0.000          	
