DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-24	Soybean        	10.883         	1.244          	3.248          	0.000          	6.390          	0.3370         	298.23         	298.23         	156.16         	0.306          	0.0123         	0.1611         	0.000          	0.000          	161.081        	145.173        	0.000          	
1985-09-22	Maize          	20.923         	2.739          	10.682         	0.000          	7.502          	0.5874         	385.17         	344.43         	143.55         	0.259          	0.0261         	0.1769         	0.000          	0.000          	176.859        	81.867         	0.000          	
1986-09-26	Soybean        	10.869         	1.319          	3.219          	0.000          	6.330          	0.3371         	318.05         	312.82         	104.12         	0.302          	0.0130         	0.1586         	0.000          	0.000          	158.640        	143.817        	0.000          	
1987-09-25	Maize          	17.437         	2.389          	8.324          	0.000          	6.725          	0.5531         	401.85         	304.00         	112.21         	0.254          	0.0236         	0.1706         	0.000          	0.000          	170.618        	83.136         	0.000          	
1988-10-04	Soybean        	9.420          	1.106          	2.848          	0.000          	5.466          	0.3425         	323.80         	281.31         	127.40         	0.261          	0.0109         	0.1388         	0.000          	0.000          	138.795        	122.243        	0.000          	
1989-09-25	Maize          	19.572         	2.594          	9.674          	0.000          	7.303          	0.5698         	348.88         	308.59         	113.53         	0.248          	0.0243         	0.1680         	0.000          	0.000          	168.034        	80.137         	0.000          	
1990-09-18	Soybean        	9.828          	1.218          	2.852          	0.000          	5.758          	0.3312         	291.25         	277.59         	107.09         	0.282          	0.0121         	0.1460         	0.000          	0.000          	145.950        	136.272        	0.000          	
1991-09-22	Maize          	16.208         	2.177          	8.139          	0.000          	5.893          	0.5800         	412.22         	283.38         	110.77         	0.241          	0.0211         	0.1663         	0.000          	0.000          	166.263        	74.691         	0.000          	
1992-10-01	Soybean        	10.870         	1.318          	3.224          	0.000          	6.328          	0.3375         	290.91         	290.91         	127.89         	0.306          	0.0131         	0.1604         	0.000          	0.000          	160.429        	145.078        	0.000          	
1993-09-22	Maize          	18.853         	2.717          	8.560          	0.000          	7.576          	0.5305         	400.77         	318.79         	106.31         	0.257          	0.0267         	0.1673         	0.000          	0.000          	167.297        	89.400         	0.000          	
1994-09-24	Soybean        	11.044         	1.270          	3.304          	0.000          	6.470          	0.3381         	298.04         	298.04         	118.66         	0.308          	0.0125         	0.1625         	0.000          	0.000          	162.541        	145.886        	0.000          	
1995-09-21	Maize          	16.525         	2.313          	7.728          	0.000          	6.484          	0.5438         	367.20         	277.89         	119.18         	0.263          	0.0228         	0.1768         	0.000          	0.000          	176.751        	86.344         	0.000          	
1996-09-20	Soybean        	10.888         	1.285          	3.222          	0.000          	6.381          	0.3355         	286.10         	285.96         	138.65         	0.304          	0.0127         	0.1588         	0.000          	0.000          	158.845        	144.755        	0.000          	
1997-10-02	Maize          	19.626         	2.519          	10.151         	0.000          	6.956          	0.5934         	403.30         	327.97         	131.64         	0.255          	0.0248         	0.1759         	0.000          	0.000          	175.890        	79.312         	0.000          	
1998-09-22	Soybean        	10.734         	1.240          	3.188          	0.000          	6.306          	0.3358         	310.30         	305.91         	124.86         	0.301          	0.0122         	0.1576         	0.000          	0.000          	157.559        	143.012        	0.000          	
1999-09-24	Maize          	15.525         	2.144          	7.802          	0.000          	5.580          	0.5830         	427.85         	267.44         	121.97         	0.224          	0.0212         	0.1535         	0.000          	0.000          	153.517        	70.237         	0.000          	
2000-09-25	Soybean        	10.514         	1.283          	3.074          	0.000          	6.157          	0.3330         	282.74         	273.99         	146.40         	0.296          	0.0127         	0.1539         	0.000          	0.000          	153.936        	142.352        	0.000          	
2001-09-25	Maize          	20.040         	2.791          	9.462          	0.000          	7.787          	0.5486         	411.48         	336.61         	120.61         	0.267          	0.0274         	0.1768         	0.000          	0.000          	176.758        	89.933         	0.000          	
2002-09-28	Soybean        	7.019          	1.023          	1.946          	0.000          	4.050          	0.3246         	371.93         	219.37         	107.53         	0.192          	0.0101         	0.0965         	0.000          	0.000          	96.483         	95.070         	0.000          	
2003-09-26	Maize          	21.489         	2.665          	11.148         	0.000          	7.676          	0.5922         	352.25         	343.08         	145.27         	0.247          	0.0245         	0.1694         	0.000          	0.000          	169.449        	77.164         	0.000          	
2004-09-20	Soybean        	10.806         	1.301          	3.190          	0.000          	6.315          	0.3356         	284.63         	284.63         	139.37         	0.303          	0.0128         	0.1586         	0.000          	0.000          	158.600        	144.600        	0.000          	
2005-09-22	Maize          	19.769         	2.728          	9.601          	0.000          	7.441          	0.5634         	389.25         	341.15         	108.86         	0.270          	0.0262         	0.1823         	0.000          	0.000          	182.262        	87.918         	0.000          	
2006-09-24	Soybean        	8.093          	1.073          	2.277          	0.000          	4.743          	0.3244         	295.91         	232.19         	134.86         	0.241          	0.0106         	0.1226         	0.000          	0.000          	122.554        	118.693        	0.000          	
2007-09-22	Maize          	23.218         	3.047          	11.509         	0.000          	8.662          	0.5706         	430.19         	390.39         	127.46         	0.270          	0.0290         	0.1809         	0.000          	0.000          	180.932        	88.958         	0.000          	
2008-09-25	Soybean        	10.642         	1.307          	3.108          	0.000          	6.227          	0.3330         	341.58         	308.47         	127.72         	0.295          	0.0129         	0.1532         	0.000          	0.000          	153.217        	142.011        	0.000          	
2009-09-23	Maize          	24.471         	2.999          	12.743         	0.000          	8.728          	0.5935         	380.24         	372.18         	146.09         	0.272          	0.0276         	0.1867         	0.000          	0.000          	186.740        	85.517         	0.000          	
2010-09-21	Soybean        	10.802         	1.318          	3.170          	0.000          	6.314          	0.3342         	353.97         	320.85         	93.22          	0.295          	0.0130         	0.1537         	0.000          	0.000          	153.692        	141.663        	0.000          	
2011-09-17	Maize          	21.998         	2.805          	11.171         	0.000          	8.022          	0.5820         	404.92         	360.21         	122.17         	0.267          	0.0270         	0.1819         	0.000          	0.000          	181.870        	85.278         	0.000          	
2012-09-19	Soybean        	9.787          	1.179          	2.921          	0.000          	5.688          	0.3393         	329.64         	283.23         	134.63         	0.266          	0.0116         	0.1404         	0.000          	0.000          	140.384        	126.087        	0.000          	
