DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-27	Maize          	21.819         	2.675          	11.228         	0.000          	7.916          	0.5865         	362.74         	357.45         	168.91         	0.199          	0.0208         	0.1352         	0.000          	0.022          	135.190        	63.527         	0.000          	
1985-05-11	RyeBioenergyBS 	7.485          	1.230          	1.293          	4.466          	0.496          	0.2067         	186.40         	186.40         	86.02          	0.083          	0.0062         	0.0266         	0.045          	0.162          	71.829         	11.200         	1.012          	
1985-09-26	Soybean        	10.318         	1.263          	3.029          	0.000          	6.026          	0.3345         	319.87         	294.67         	147.14         	0.289          	0.0125         	0.1505         	0.000          	0.000          	150.529        	138.290        	0.000          	
1986-04-28	RyeBioenergyBM 	5.135          	1.005          	0.000          	3.718          	0.413          	0.0000         	108.36         	108.36         	100.82         	0.080          	0.0055         	0.0000         	0.067          	0.071          	67.309         	13.027         	1.810          	
1986-09-24	Maize          	21.576         	2.747          	11.224         	0.000          	7.605          	0.5961         	387.06         	362.18         	109.44         	0.218          	0.0211         	0.1506         	0.000          	0.000          	150.607        	67.428         	0.000          	
1987-05-11	RyeBioenergyBS 	6.392          	1.191          	0.000          	4.681          	0.520          	0.0000         	127.48         	127.48         	120.05         	0.091          	0.0064         	0.0000         	0.076          	0.065          	76.486         	14.937         	1.634          	
1987-09-27	Soybean        	8.633          	1.078          	2.467          	0.000          	5.088          	0.3265         	308.25         	260.12         	121.80         	0.256          	0.0107         	0.1309         	0.000          	0.000          	130.941        	124.850        	0.000          	
1988-04-28	RyeBioenergyBM 	4.511          	1.047          	0.000          	3.117          	0.346          	0.0000         	85.86          	85.86          	124.64         	0.077          	0.0060         	0.0000         	0.064          	0.046          	63.658         	13.075         	2.042          	
1988-09-28	Maize          	17.680         	2.191          	9.464          	0.000          	6.026          	0.6110         	389.66         	307.09         	155.05         	0.203          	0.0169         	0.1438         	0.000          	0.000          	143.767        	59.304         	0.000          	
1989-05-11	RyeBioenergyBS 	5.900          	1.172          	0.000          	4.255          	0.473          	0.0000         	112.01         	112.01         	119.09         	0.099          	0.0069         	0.0000         	0.083          	0.036          	82.565         	16.109         	1.940          	
1989-09-25	Soybean        	9.517          	1.192          	2.744          	0.000          	5.581          	0.3296         	283.12         	256.55         	131.39         	0.279          	0.0117         	0.1440         	0.000          	0.000          	144.034        	135.319        	0.000          	
1990-04-28	RyeBioenergyBM 	5.582          	1.130          	0.000          	4.006          	0.445          	0.0000         	108.28         	108.28         	114.89         	0.087          	0.0065         	0.0000         	0.073          	0.050          	72.700         	14.573         	1.815          	
1990-09-18	Maize          	19.132         	2.483          	9.634          	0.000          	7.014          	0.5787         	355.04         	313.09         	138.68         	0.209          	0.0201         	0.1426         	0.000          	0.000          	142.636        	66.288         	0.000          	
1991-05-11	RyeBioenergyBS 	8.015          	1.273          	1.256          	4.937          	0.549          	0.1864         	154.40         	154.40         	117.16         	0.102          	0.0071         	0.0296         	0.059          	0.095          	88.760         	13.633         	1.199          	
1991-09-22	Soybean        	8.062          	1.031          	2.341          	0.000          	4.691          	0.3329         	331.86         	243.98         	97.08          	0.227          	0.0102         	0.1176         	0.000          	0.000          	117.564        	109.294        	0.000          	
1992-04-28	RyeBioenergyBM 	4.394          	0.958          	0.000          	3.093          	0.344          	0.0000         	73.12          	73.12          	118.47         	0.078          	0.0055         	0.0000         	0.066          	0.043          	65.608         	12.820         	2.121          	
1992-09-28	Maize          	22.337         	2.919          	11.404         	0.000          	8.014          	0.5873         	356.65         	355.14         	139.06         	0.213          	0.0231         	0.1447         	0.000          	0.011          	144.652        	68.733         	0.000          	
1993-05-11	RyeBioenergyBS 	5.086          	1.110          	0.000          	3.578          	0.398          	0.0000         	104.63         	104.63         	101.93         	0.079          	0.0059         	0.0000         	0.066          	0.072          	65.653         	13.242         	1.835          	
1993-09-25	Soybean        	9.828          	1.289          	2.759          	0.000          	5.780          	0.3231         	323.36         	284.51         	112.26         	0.281          	0.0127         	0.1420         	0.000          	0.000          	141.953        	138.792        	0.000          	
1994-04-28	RyeBioenergyBM 	4.237          	1.056          	0.000          	2.863          	0.318          	0.0000         	83.78          	83.78          	107.27         	0.074          	0.0059         	0.0000         	0.061          	0.045          	61.252         	12.691         	2.139          	
1994-09-26	Maize          	23.519         	2.830          	12.314         	0.000          	8.375          	0.5952         	371.45         	371.45         	136.13         	0.238          	0.0239         	0.1639         	0.000          	0.000          	163.864        	74.489         	0.000          	
1995-05-11	RyeBioenergyBS 	7.052          	1.145          	0.000          	5.317          	0.591          	0.0000         	142.80         	142.80         	107.68         	0.091          	0.0061         	0.0000         	0.077          	0.094          	76.721         	14.594         	1.443          	
1995-09-23	Soybean        	7.373          	0.989          	2.063          	0.000          	4.320          	0.3232         	282.02         	214.33         	125.95         	0.232          	0.0098         	0.1180         	0.000          	0.000          	117.956        	114.455        	0.000          	
1996-04-28	RyeBioenergyBM 	4.024          	1.063          	0.000          	2.665          	0.296          	0.0000         	77.91          	77.91          	124.20         	0.071          	0.0059         	0.0000         	0.059          	0.048          	58.507         	12.399         	2.195          	
1996-09-22	Maize          	23.030         	2.859          	11.737         	0.000          	8.433          	0.5819         	360.06         	352.88         	151.09         	0.222          	0.0230         	0.1509         	0.000          	0.001          	150.885        	71.350         	0.000          	
1997-05-11	RyeBioenergyBS 	6.397          	1.212          	0.000          	4.666          	0.518          	0.0000         	132.86         	132.86         	106.17         	0.081          	0.0060         	0.0000         	0.067          	0.108          	67.397         	13.485         	1.444          	
1997-09-28	Soybean        	9.941          	1.220          	2.911          	0.000          	5.811          	0.3337         	321.25         	289.99         	123.81         	0.277          	0.0121         	0.1441         	0.000          	0.000          	144.098        	133.070        	0.000          	
1998-04-28	RyeBioenergyBM 	6.059          	1.156          	0.000          	4.412          	0.490          	0.0000         	113.84         	113.84         	109.63         	0.090          	0.0064         	0.0000         	0.076          	0.074          	75.538         	14.771         	1.712          	
1998-09-21	Maize          	22.746         	2.772          	11.710         	0.000          	8.265          	0.5862         	388.79         	373.64         	126.16         	0.219          	0.0222         	0.1496         	0.000          	0.000          	149.618        	69.580         	0.000          	
1999-05-11	RyeBioenergyBS 	8.456          	1.379          	1.219          	5.272          	0.586          	0.1722         	164.72         	164.72         	89.42          	0.101          	0.0070         	0.0266         	0.060          	0.106          	86.857         	13.685         	1.143          	
1999-09-27	Soybean        	7.867          	0.989          	2.297          	0.000          	4.581          	0.3339         	348.99         	235.72         	125.23         	0.209          	0.0098         	0.1085         	0.000          	0.000          	108.454        	100.710        	0.000          	
2000-04-28	RyeBioenergyBM 	5.783          	1.067          	0.000          	4.244          	0.472          	0.0000         	115.73         	115.73         	116.05         	0.086          	0.0059         	0.0000         	0.072          	0.078          	72.039         	13.919         	1.697          	
2000-09-24	Maize          	21.630         	2.817          	10.661         	0.000          	8.151          	0.5667         	360.20         	333.55         	143.93         	0.198          	0.0212         	0.1327         	0.000          	0.014          	132.741        	65.640         	0.000          	
2001-05-11	RyeBioenergyBS 	5.977          	1.227          	0.000          	4.274          	0.475          	0.0000         	118.44         	118.44         	102.65         	0.091          	0.0067         	0.0000         	0.076          	0.048          	76.055         	15.172         	1.779          	
2001-09-27	Soybean        	10.128         	1.313          	2.856          	0.000          	5.959          	0.3240         	338.75         	296.16         	137.14         	0.284          	0.0130         	0.1439         	0.000          	0.000          	143.928        	140.210        	0.000          	
2002-04-28	RyeBioenergyBM 	5.921          	0.898          	0.771          	3.827          	0.425          	0.1535         	112.81         	112.81         	120.02         	0.098          	0.0053         	0.0231         	0.062          	0.096          	85.517         	12.271         	1.631          	
2002-09-28	Maize          	13.581         	2.143          	6.320          	0.000          	5.119          	0.5525         	440.83         	243.37         	137.27         	0.190          	0.0195         	0.1263         	0.000          	0.000          	126.300        	63.669         	0.000          	
2003-05-11	RyeBioenergyBS 	5.276          	1.239          	0.000          	3.634          	0.404          	0.0000         	106.95         	106.95         	118.98         	0.091          	0.0074         	0.0000         	0.076          	0.051          	75.547         	15.766         	2.079          	
2003-09-26	Soybean        	10.429         	1.238          	3.078          	0.000          	6.113          	0.3349         	286.88         	284.18         	143.80         	0.296          	0.0122         	0.1547         	0.000          	0.000          	154.741        	141.310        	0.000          	
2004-04-28	RyeBioenergyBM 	5.258          	1.092          	0.000          	3.750          	0.417          	0.0000         	93.76          	93.76          	102.06         	0.088          	0.0063         	0.0000         	0.074          	0.047          	73.670         	14.447         	1.965          	
2004-09-17	Maize          	23.250         	2.951          	11.890         	0.000          	8.409          	0.5858         	359.75         	359.75         	142.18         	0.239          	0.0253         	0.1626         	0.000          	0.000          	162.612        	76.855         	0.000          	
2005-05-11	RyeBioenergyBS 	6.692          	1.244          	0.000          	4.903          	0.545          	0.0000         	133.82         	133.82         	102.04         	0.090          	0.0065         	0.0000         	0.075          	0.080          	75.171         	14.813         	1.533          	
2005-09-23	Soybean        	9.494          	1.218          	2.727          	0.000          	5.549          	0.3295         	318.32         	281.54         	103.07         	0.279          	0.0120         	0.1435         	0.000          	0.000          	143.452        	135.105        	0.000          	
2006-04-28	RyeBioenergyBM 	5.949          	1.098          	0.000          	4.366          	0.485          	0.0000         	119.78         	119.78         	113.35         	0.088          	0.0061         	0.0000         	0.074          	0.074          	73.889         	14.358         	1.693          	
2006-09-25	Maize          	17.424         	2.488          	7.931          	0.000          	7.004          	0.5310         	384.62         	289.73         	140.55         	0.212          	0.0220         	0.1382         	0.000          	0.000          	138.248        	73.711         	0.000          	
2007-05-11	RyeBioenergyBS 	7.336          	1.218          	0.000          	5.506          	0.612          	0.0000         	145.48         	145.48         	104.25         	0.102          	0.0068         	0.0000         	0.085          	0.067          	85.439         	16.331         	1.552          	
2007-09-25	Soybean        	11.443         	1.404          	3.335          	0.000          	6.704          	0.3322         	355.70         	333.02         	126.31         	0.309          	0.0139         	0.1598         	0.000          	0.000          	159.837        	149.118        	0.000          	
2008-04-28	RyeBioenergyBM 	5.579          	1.154          	0.000          	3.982          	0.442          	0.0000         	104.61         	104.61         	111.01         	0.087          	0.0065         	0.0000         	0.072          	0.065          	72.132         	14.522         	1.811          	
2008-09-26	Maize          	20.028         	2.727          	9.741          	0.000          	7.560          	0.5630         	410.49         	333.69         	153.62         	0.213          	0.0233         	0.1414         	0.000          	0.000          	141.421        	71.190         	0.000          	
2009-05-11	RyeBioenergyBS 	6.690          	1.291          	0.000          	4.859          	0.540          	0.0000         	125.14         	125.14         	109.43         	0.099          	0.0071         	0.0000         	0.082          	0.061          	82.378         	16.241         	1.695          	
2009-09-24	Soybean        	11.962         	1.406          	3.535          	0.000          	7.021          	0.3349         	314.52         	313.91         	144.41         	0.323          	0.0138         	0.1683         	0.000          	0.000          	168.350        	154.290        	0.000          	
2010-04-28	RyeBioenergyBM 	6.489          	1.275          	0.000          	4.693          	0.521          	0.0000         	128.38         	128.38         	97.31          	0.097          	0.0072         	0.0000         	0.081          	0.063          	81.164         	16.238         	1.730          	
2010-09-22	Maize          	20.623         	2.713          	10.290         	0.000          	7.621          	0.5745         	422.83         	353.01         	110.22         	0.224          	0.0226         	0.1514         	0.000          	0.000          	151.354        	72.177         	0.000          	
2011-05-11	RyeBioenergyBS 	6.783          	1.348          	0.000          	4.891          	0.543          	0.0000         	129.81         	129.81         	113.39         	0.095          	0.0072         	0.0000         	0.079          	0.070          	79.205         	16.047         	1.619          	
2011-09-19	Soybean        	10.846         	1.304          	3.190          	0.000          	6.352          	0.3343         	334.57         	306.66         	128.26         	0.295          	0.0129         	0.1536         	0.000          	0.000          	153.578        	141.350        	0.000          	
2012-04-28	RyeBioenergyBM 	8.738          	1.357          	1.344          	5.434          	0.604          	0.1821         	157.87         	157.87         	112.99         	0.112          	0.0076         	0.0317         	0.066          	0.082          	97.528         	14.877         	1.211          	
2012-09-18	Maize          	18.730         	2.429          	9.843          	0.000          	6.458          	0.6038         	406.92         	307.76         	159.59         	0.203          	0.0203         	0.1401         	0.000          	0.000          	140.123        	62.434         	0.000          	
