DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-27	Maize          	22.368         	2.697          	11.613         	0.000          	8.057          	0.5904         	364.19         	358.41         	168.57         	0.225          	0.0232         	0.1534         	0.000          	0.000          	153.431        	71.202         	0.000          	
1985-05-11	RyeBioenergyBS 	0.090          	0.011          	0.015          	0.057          	0.006          	0.1953         	6.69           	6.69           	160.05         	0.003          	0.0001         	0.0010         	0.002          	0.551          	2.780          	0.269          	3.168          	
1985-09-26	Soybean        	10.666         	1.288          	3.137          	0.000          	6.241          	0.3345         	320.94         	304.72         	147.15         	0.296          	0.0127         	0.1545         	0.000          	0.000          	154.460        	141.822        	0.000          	
1986-04-28	RyeBioenergyBM 	3.517          	0.749          	0.000          	2.492          	0.277          	0.0000         	100.95         	100.95         	101.76         	0.050          	0.0037         	0.0000         	0.041          	0.142          	41.295         	8.270          	1.657          	
1986-09-24	Maize          	21.576         	2.747          	11.224         	0.000          	7.605          	0.5961         	387.06         	362.19         	109.02         	0.225          	0.0225         	0.1548         	0.000          	0.000          	154.846        	70.105         	0.000          	
1987-05-11	RyeBioenergyBS 	0.812          	0.168          	0.000          	0.580          	0.064          	0.0000         	45.33          	45.33          	155.27         	0.014          	0.0008         	0.0000         	0.012          	0.356          	11.605         	2.063          	2.000          	
1987-09-27	Soybean        	8.633          	1.078          	2.466          	0.000          	5.088          	0.3265         	308.25         	260.11         	122.35         	0.256          	0.0107         	0.1309         	0.000          	0.000          	130.946        	124.853        	0.000          	
1988-04-28	RyeBioenergyBM 	2.824          	0.712          	0.000          	1.901          	0.211          	0.0000         	74.60          	74.60          	129.25         	0.044          	0.0035         	0.0000         	0.036          	0.114          	36.139         	7.506          	1.901          	
1988-09-28	Maize          	17.679         	2.191          	9.462          	0.000          	6.025          	0.6110         	389.66         	307.06         	155.11         	0.216          	0.0182         	0.1526         	0.000          	0.000          	152.636        	63.210         	0.000          	
1989-05-11	RyeBioenergyBS 	0.888          	0.218          	0.000          	0.603          	0.067          	0.0000         	40.05          	40.05          	154.81         	0.017          	0.0011         	0.0000         	0.014          	0.285          	14.058         	2.676          	2.333          	
1989-09-25	Soybean        	9.525          	1.193          	2.746          	0.000          	5.586          	0.3296         	283.16         	256.76         	132.08         	0.279          	0.0117         	0.1441         	0.000          	0.000          	144.106        	135.355        	0.000          	
1990-04-28	RyeBioenergyBM 	3.800          	0.842          	0.000          	2.662          	0.296          	0.0000         	98.59          	98.59          	119.57         	0.053          	0.0042         	0.0000         	0.044          	0.126          	44.140         	9.117          	1.658          	
1990-09-18	Maize          	19.129         	2.483          	9.632          	0.000          	7.013          	0.5787         	355.03         	313.04         	139.26         	0.221          	0.0217         	0.1510         	0.000          	0.000          	150.971        	70.505         	0.000          	
1991-05-11	RyeBioenergyBS 	1.147          	0.199          	0.180          	0.692          	0.077          	0.1895         	46.39          	46.39          	181.28         	0.020          	0.0010         	0.0061         	0.012          	0.398          	18.005         	2.279          	1.719          	
1991-09-22	Soybean        	8.484          	1.078          	2.461          	0.000          	4.945          	0.3323         	335.18         	257.88         	97.60          	0.240          	0.0107         	0.1245         	0.000          	0.000          	124.493        	115.936        	0.000          	
1992-04-28	RyeBioenergyBM 	2.958          	0.705          	0.000          	2.027          	0.225          	0.0000         	67.32          	67.32          	120.38         	0.046          	0.0035         	0.0000         	0.039          	0.110          	38.593         	7.834          	1.904          	
1992-09-28	Maize          	22.512         	2.926          	11.527         	0.000          	8.059          	0.5885         	356.79         	355.27         	138.98         	0.222          	0.0248         	0.1498         	0.000          	0.002          	149.846        	71.944         	0.000          	
1993-05-11	RyeBioenergyBS 	0.443          	0.108          	0.000          	0.301          	0.033          	0.0000         	31.22          	31.22          	125.89         	0.008          	0.0005         	0.0000         	0.007          	0.372          	6.845          	1.283          	2.275          	
1993-09-25	Soybean        	9.901          	1.294          	2.785          	0.000          	5.823          	0.3235         	323.50         	286.60         	112.30         	0.282          	0.0128         	0.1429         	0.000          	0.000          	142.852        	139.378        	0.000          	
1994-04-28	RyeBioenergyBM 	2.860          	0.762          	0.000          	1.888          	0.210          	0.0000         	73.52          	73.52          	108.82         	0.045          	0.0037         	0.0000         	0.037          	0.097          	37.129         	7.801          	1.967          	
1994-09-26	Maize          	23.519         	2.830          	12.314         	0.000          	8.375          	0.5952         	371.45         	371.45         	135.45         	0.241          	0.0249         	0.1649         	0.000          	0.000          	164.867        	75.703         	0.000          	
1995-05-11	RyeBioenergyBS 	0.662          	0.107          	0.000          	0.500          	0.056          	0.0000         	35.12          	35.12          	151.65         	0.013          	0.0005         	0.0000         	0.011          	0.431          	11.191         	1.752          	2.239          	
1995-09-23	Soybean        	7.972          	1.018          	2.282          	0.000          	4.671          	0.3282         	284.78         	232.22         	128.79         	0.249          	0.0100         	0.1283         	0.000          	0.000          	128.310        	120.922        	0.000          	
1996-04-28	RyeBioenergyBM 	2.738          	0.768          	0.000          	1.773          	0.197          	0.0000         	68.70          	68.70          	126.81         	0.043          	0.0036         	0.0000         	0.036          	0.094          	35.505         	7.563          	2.003          	
1996-09-22	Maize          	23.075         	2.861          	11.769         	0.000          	8.445          	0.5822         	360.11         	352.93         	150.74         	0.227          	0.0242         	0.1540         	0.000          	0.000          	153.958        	73.522         	0.000          	
1997-05-11	RyeBioenergyBS 	0.018          	0.007          	0.000          	0.009          	0.001          	0.0000         	8.05           	8.05           	155.41         	0.000          	0.0000         	0.0000         	0.000          	0.551          	0.287          	0.077          	3.103          	
1997-09-28	Soybean        	9.945          	1.220          	2.912          	0.000          	5.813          	0.3337         	321.27         	290.11         	123.51         	0.277          	0.0121         	0.1443         	0.000          	0.000          	144.262        	133.214        	0.000          	
1998-04-28	RyeBioenergyBM 	4.154          	0.856          	0.000          	2.968          	0.330          	0.0000         	103.51         	103.51         	115.03         	0.057          	0.0042         	0.0000         	0.047          	0.151          	47.276         	9.484          	1.593          	
1998-09-21	Maize          	22.768         	2.772          	11.726         	0.000          	8.270          	0.5864         	388.79         	373.52         	126.47         	0.224          	0.0234         	0.1521         	0.000          	0.000          	152.102        	71.556         	0.000          	
1999-05-11	RyeBioenergyBS 	0.968          	0.166          	0.141          	0.595          	0.066          	0.1758         	47.31          	47.31          	146.52         	0.016          	0.0007         	0.0044         	0.010          	0.436          	13.934         	1.809          	1.609          	
