DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-24	Soybean        	10.883         	1.244          	3.248          	0.000          	6.390          	0.3370         	298.23         	298.23         	156.16         	0.306          	0.0123         	0.1611         	0.000          	0.000          	161.081        	145.173        	0.000          	
1985-04-28	RyeBioenergyBM 	3.891          	0.771          	0.000          	2.807          	0.312          	0.0000         	111.08         	111.08         	109.41         	0.053          	0.0038         	0.0000         	0.044          	0.196          	44.354         	8.701          	1.580          	
1985-09-25	Maize          	20.899         	2.738          	10.657         	0.000          	7.504          	0.5868         	387.86         	342.50         	151.13         	0.222          	0.0238         	0.1504         	0.000          	0.000          	150.442        	71.347         	0.000          	
1986-05-11	RyeBioenergyBS 	0.012          	0.005          	0.000          	0.006          	0.001          	0.0000         	6.85           	6.85           	153.20         	0.000          	0.0000         	0.0000         	0.000          	0.600          	0.178          	0.047          	2.908          	
1986-09-26	Soybean        	10.839         	1.315          	3.212          	0.000          	6.312          	0.3372         	317.64         	311.74         	108.83         	0.301          	0.0130         	0.1580         	0.000          	0.000          	158.013        	143.205        	0.000          	
1987-04-28	RyeBioenergyBM 	3.265          	0.762          	0.000          	2.253          	0.250          	0.0000         	79.86          	79.86          	122.15         	0.053          	0.0040         	0.0000         	0.044          	0.106          	44.288         	8.893          	1.966          	
1987-09-26	Maize          	17.529         	2.395          	8.391          	0.000          	6.742          	0.5545         	404.28         	304.81         	117.62         	0.220          	0.0224         	0.1469         	0.000          	0.000          	146.945        	73.525         	0.000          	
1988-05-11	RyeBioenergyBS 	1.035          	0.239          	0.000          	0.716          	0.080          	0.0000         	52.82          	52.82          	149.87         	0.016          	0.0011         	0.0000         	0.013          	0.301          	13.487         	2.561          	1.883          	
1988-09-28	Soybean        	9.066          	1.091          	2.722          	0.000          	5.253          	0.3413         	315.65         	272.81         	123.94         	0.255          	0.0108         	0.1348         	0.000          	0.000          	134.848        	119.667        	0.000          	
1989-04-28	RyeBioenergyBM 	2.686          	0.669          	0.000          	1.815          	0.202          	0.0000         	73.00          	73.00          	125.81         	0.041          	0.0032         	0.0000         	0.034          	0.109          	34.386         	7.063          	1.895          	
1989-09-25	Maize          	19.501         	2.609          	9.531          	0.000          	7.361          	0.5642         	350.08         	307.68         	134.47         	0.223          	0.0231         	0.1496         	0.000          	0.000          	149.554        	73.630         	0.000          	
1990-05-11	RyeBioenergyBS 	0.943          	0.187          	0.000          	0.680          	0.076          	0.0000         	57.19          	57.19          	149.36         	0.015          	0.0008         	0.0000         	0.012          	0.417          	12.489         	2.206          	1.837          	
1990-09-18	Soybean        	9.796          	1.214          	2.842          	0.000          	5.740          	0.3312         	290.87         	276.64         	110.93         	0.281          	0.0121         	0.1451         	0.000          	0.000          	145.143        	135.559        	0.000          	
1991-04-28	RyeBioenergyBM 	4.807          	0.940          	0.000          	3.480          	0.387          	0.0000         	112.55         	112.55         	117.47         	0.064          	0.0049         	0.0000         	0.053          	0.135          	53.486         	10.861         	1.537          	
1991-09-22	Maize          	16.096         	2.166          	8.083          	0.000          	5.847          	0.5803         	410.87         	281.32         	114.94         	0.210          	0.0184         	0.1448         	0.000          	0.000          	144.788        	65.063         	0.000          	
1992-05-11	RyeBioenergyBS 	1.022          	0.219          	0.000          	0.723          	0.080          	0.0000         	36.54          	36.54          	168.64         	0.019          	0.0011         	0.0000         	0.016          	0.303          	16.282         	2.901          	2.253          	
1992-09-28	Soybean        	10.687         	1.312          	3.158          	0.000          	6.218          	0.3368         	287.13         	287.13         	130.46         	0.301          	0.0130         	0.1579         	0.000          	0.000          	157.880        	143.433        	0.000          	
1993-04-28	RyeBioenergyBM 	2.384          	0.653          	0.000          	1.558          	0.173          	0.0000         	56.89          	56.89          	107.43         	0.042          	0.0033         	0.0000         	0.034          	0.086          	34.453         	7.095          	2.211          	
1993-09-24	Maize          	18.916         	2.720          	8.645          	0.000          	7.551          	0.5338         	402.92         	318.26         	115.42         	0.229          	0.0249         	0.1489         	0.000          	0.000          	148.861        	80.126         	0.000          	
