DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-27	Maize          	22.367         	2.697          	11.613         	0.000          	8.057          	0.5904         	364.19         	358.39         	168.56         	0.228          	0.0234         	0.1557         	0.000          	0.000          	155.714        	72.092         	0.000          	
1985-09-24	Soybean        	10.670         	1.290          	3.136          	0.000          	6.244          	0.3344         	317.76         	306.05         	129.67         	0.295          	0.0127         	0.1538         	0.000          	0.000          	153.785        	141.379        	0.000          	
1986-09-24	Maize          	21.683         	2.763          	11.268         	0.000          	7.652          	0.5956         	387.81         	364.15         	103.99         	0.276          	0.0268         	0.1907         	0.000          	0.000          	190.743        	85.599         	0.000          	
1987-09-26	Soybean        	8.673          	1.081          	2.490          	0.000          	5.103          	0.3279         	306.08         	262.58         	112.04         	0.259          	0.0107         	0.1330         	0.000          	0.000          	133.025        	125.805        	0.000          	
1988-10-03	Maize          	18.219         	2.222          	9.815          	0.000          	6.182          	0.6136         	396.91         	314.77         	152.22         	0.262          	0.0220         	0.1856         	0.000          	0.000          	185.617        	76.310         	0.000          	
1989-09-23	Soybean        	9.511          	1.179          	2.780          	0.000          	5.552          	0.3336         	279.78         	256.09         	118.15         	0.280          	0.0116         	0.1460         	0.000          	0.000          	145.951        	134.167        	0.000          	
1990-09-18	Maize          	19.186         	2.491          	9.661          	0.000          	7.034          	0.5787         	355.30         	314.00         	130.84         	0.275          	0.0247         	0.1892         	0.000          	0.000          	189.202        	85.933         	0.000          	
1991-09-22	Soybean        	8.514          	1.076          	2.474          	0.000          	4.964          	0.3326         	335.32         	258.79         	95.39          	0.241          	0.0106         	0.1251         	0.000          	0.000          	125.053        	116.199        	0.000          	
1992-10-01	Maize          	22.905         	2.943          	11.798         	0.000          	8.164          	0.5910         	360.71         	359.63         	132.50         	0.272          	0.0277         	0.1861         	0.000          	0.000          	186.092        	85.802         	0.000          	
1993-09-24	Soybean        	9.959          	1.295          	2.813          	0.000          	5.851          	0.3247         	321.55         	288.24         	104.92         	0.282          	0.0128         	0.1431         	0.000          	0.000          	143.089        	138.786        	0.000          	
1994-09-26	Maize          	23.519         	2.830          	12.314         	0.000          	8.375          	0.5952         	371.45         	371.45         	125.67         	0.285          	0.0267         	0.1975         	0.000          	0.000          	197.460        	87.567         	0.000          	
1995-09-21	Soybean        	8.008          	1.014          	2.303          	0.000          	4.691          	0.3293         	282.54         	233.35         	117.59         	0.248          	0.0100         	0.1282         	0.000          	0.000          	128.208        	120.142        	0.000          	
1996-09-22	Maize          	23.085         	2.862          	11.776         	0.000          	8.447          	0.5823         	360.12         	353.07         	140.28         	0.271          	0.0266         	0.1852         	0.000          	0.000          	185.216        	85.889         	0.000          	
1997-10-01	Soybean        	10.226         	1.230          	3.041          	0.000          	5.955          	0.3380         	326.94         	296.96         	117.62         	0.282          	0.0122         	0.1483         	0.000          	0.000          	148.331        	133.896        	0.000          	
1998-09-21	Maize          	22.791         	2.774          	11.741         	0.000          	8.276          	0.5866         	388.79         	373.85         	118.60         	0.272          	0.0260         	0.1873         	0.000          	0.000          	187.276        	85.209         	0.000          	
1999-09-26	Soybean        	7.888          	0.993          	2.307          	0.000          	4.589          	0.3345         	348.98         	235.74         	114.05         	0.210          	0.0098         	0.1090         	0.000          	0.000          	109.043        	100.948        	0.000          	
2000-09-24	Maize          	21.980         	2.831          	10.912         	0.000          	8.237          	0.5699         	360.87         	334.50         	137.98         	0.259          	0.0264         	0.1744         	0.000          	0.000          	174.431        	84.346         	0.000          	
2001-09-25	Soybean        	10.149         	1.308          	2.884          	0.000          	5.957          	0.3262         	336.04         	297.55         	116.04         	0.286          	0.0129         	0.1458         	0.000          	0.000          	145.772        	140.203        	0.000          	
2002-09-28	Maize          	13.694         	2.159          	6.364          	0.000          	5.171          	0.5517         	441.34         	245.53         	129.15         	0.201          	0.0213         	0.1332         	0.000          	0.000          	133.228        	67.976         	0.000          	
2003-09-25	Soybean        	10.364         	1.231          	3.068          	0.000          	6.065          	0.3359         	285.63         	282.99         	135.84         	0.292          	0.0121         	0.1532         	0.000          	0.000          	153.199        	139.246        	0.000          	
2004-09-17	Maize          	23.250         	2.951          	11.890         	0.000          	8.409          	0.5858         	359.75         	359.75         	134.03         	0.289          	0.0282         	0.1982         	0.000          	0.000          	198.187        	91.046         	0.000          	
2005-09-22	Soybean        	9.942          	1.263          	2.877          	0.000          	5.802          	0.3315         	324.30         	294.34         	94.96          	0.285          	0.0124         	0.1474         	0.000          	0.000          	147.357        	137.556        	0.000          	
2006-09-25	Maize          	17.379         	2.484          	7.899          	0.000          	6.995          	0.5303         	384.65         	288.93         	130.91         	0.264          	0.0245         	0.1742         	0.000          	0.000          	174.237        	89.817         	0.000          	
2007-09-24	Soybean        	11.802         	1.433          	3.469          	0.000          	6.901          	0.3345         	353.69         	343.41         	126.17         	0.316          	0.0141         	0.1647         	0.000          	0.000          	164.656        	151.769        	0.000          	
2008-09-26	Maize          	20.121         	2.735          	9.789          	0.000          	7.597          	0.5630         	410.55         	335.27         	141.67         	0.271          	0.0269         	0.1820         	0.000          	0.000          	182.026        	88.574         	0.000          	
2009-09-22	Soybean        	11.811         	1.391          	3.495          	0.000          	6.925          	0.3354         	311.28         	310.91         	132.31         	0.318          	0.0137         	0.1662         	0.000          	0.000          	166.166        	151.973        	0.000          	
2010-09-22	Maize          	20.712         	2.723          	10.335         	0.000          	7.654          	0.5745         	423.18         	354.69         	107.37         	0.285          	0.0269         	0.1947         	0.000          	0.000          	194.728        	90.635         	0.000          	
