DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-24	Soybean        	10.883         	1.244          	3.248          	0.000          	6.390          	0.3370         	298.23         	298.23         	156.16         	0.306          	0.0123         	0.1611         	0.000          	0.000          	161.081        	145.173        	0.000          	
1985-09-22	Maize          	20.921         	2.739          	10.681         	0.000          	7.501          	0.5875         	385.16         	344.38         	144.30         	0.278          	0.0268         	0.1910         	0.000          	0.000          	190.982        	87.064         	0.000          	
1986-09-26	Soybean        	10.883         	1.321          	3.223          	0.000          	6.338          	0.3371         	318.26         	313.35         	99.63          	0.303          	0.0130         	0.1587         	0.000          	0.000          	158.678        	143.890        	0.000          	
1987-09-25	Maize          	17.437         	2.389          	8.324          	0.000          	6.725          	0.5531         	401.85         	304.00         	112.93         	0.267          	0.0236         	0.1803         	0.000          	0.000          	180.250        	86.507         	0.000          	
1988-10-04	Soybean        	9.422          	1.106          	2.848          	0.000          	5.467          	0.3425         	323.83         	281.36         	126.39         	0.261          	0.0109         	0.1388         	0.000          	0.000          	138.815        	122.261        	0.000          	
1989-09-25	Maize          	19.571         	2.594          	9.674          	0.000          	7.303          	0.5698         	348.88         	308.58         	113.35         	0.263          	0.0249         	0.1788         	0.000          	0.000          	178.761        	84.268         	0.000          	
1990-09-18	Soybean        	9.858          	1.222          	2.860          	0.000          	5.776          	0.3312         	291.71         	278.50         	103.86         	0.283          	0.0122         	0.1463         	0.000          	0.000          	146.253        	136.582        	0.000          	
1991-09-22	Maize          	16.208         	2.177          	8.139          	0.000          	5.893          	0.5800         	412.23         	283.40         	110.69         	0.243          	0.0215         	0.1673         	0.000          	0.000          	167.252        	75.363         	0.000          	
1992-10-01	Soybean        	10.870         	1.318          	3.224          	0.000          	6.328          	0.3375         	290.91         	290.91         	127.40         	0.305          	0.0131         	0.1602         	0.000          	0.000          	160.218        	144.904        	0.000          	
1993-09-22	Maize          	18.856         	2.717          	8.562          	0.000          	7.577          	0.5305         	400.77         	318.85         	106.66         	0.271          	0.0269         	0.1779         	0.000          	0.000          	177.892        	93.499         	0.000          	
1994-09-24	Soybean        	11.044         	1.270          	3.304          	0.000          	6.470          	0.3381         	298.04         	298.04         	117.98         	0.308          	0.0125         	0.1623         	0.000          	0.000          	162.330        	145.713        	0.000          	
1995-09-21	Maize          	16.518         	2.313          	7.723          	0.000          	6.483          	0.5437         	367.18         	277.77         	119.60         	0.263          	0.0228         	0.1767         	0.000          	0.000          	176.681        	86.335         	0.000          	
1996-09-20	Soybean        	10.888         	1.285          	3.222          	0.000          	6.381          	0.3355         	286.10         	285.96         	138.65         	0.303          	0.0127         	0.1587         	0.000          	0.000          	158.696        	144.631        	0.000          	
1997-10-02	Maize          	19.626         	2.519          	10.151         	0.000          	6.956          	0.5934         	403.30         	327.97         	132.40         	0.271          	0.0249         	0.1876         	0.000          	0.000          	187.597        	83.080         	0.000          	
1998-09-22	Soybean        	10.735         	1.240          	3.188          	0.000          	6.306          	0.3358         	310.30         	305.95         	123.09         	0.300          	0.0122         	0.1574         	0.000          	0.000          	157.437        	142.908        	0.000          	
1999-09-24	Maize          	15.525         	2.144          	7.802          	0.000          	5.580          	0.5830         	427.85         	267.45         	122.34         	0.224          	0.0212         	0.1536         	0.000          	0.000          	153.620        	70.271         	0.000          	
2000-09-25	Soybean        	10.517         	1.283          	3.075          	0.000          	6.159          	0.3330         	282.75         	274.07         	145.17         	0.296          	0.0127         	0.1536         	0.000          	0.000          	153.648        	142.102        	0.000          	
2001-09-25	Maize          	20.042         	2.791          	9.464          	0.000          	7.787          	0.5486         	411.48         	336.64         	120.99         	0.278          	0.0275         	0.1847         	0.000          	0.000          	184.682        	92.916         	0.000          	
2002-09-28	Soybean        	7.050          	1.027          	1.954          	0.000          	4.069          	0.3245         	372.19         	220.33         	106.04         	0.192          	0.0101         	0.0969         	0.000          	0.000          	96.898         	95.543         	0.000          	
2003-09-26	Maize          	21.489         	2.665          	11.148         	0.000          	7.676          	0.5922         	352.25         	343.09         	145.01         	0.256          	0.0249         	0.1763         	0.000          	0.000          	176.297        	79.700         	0.000          	
2004-09-20	Soybean        	10.806         	1.301          	3.190          	0.000          	6.315          	0.3356         	284.63         	284.63         	132.69         	0.303          	0.0128         	0.1584         	0.000          	0.000          	158.361        	144.402        	0.000          	
2005-09-22	Maize          	19.765         	2.727          	9.598          	0.000          	7.440          	0.5633         	389.30         	341.01         	109.60         	0.282          	0.0268         	0.1904         	0.000          	0.000          	190.397        	91.285         	0.000          	
2006-09-24	Soybean        	8.103          	1.073          	2.281          	0.000          	4.749          	0.3244         	295.92         	232.51         	132.44         	0.242          	0.0106         	0.1228         	0.000          	0.000          	122.767        	118.839        	0.000          	
2007-09-22	Maize          	23.207         	3.046          	11.503         	0.000          	8.657          	0.5706         	430.18         	390.21         	127.88         	0.280          	0.0294         	0.1886         	0.000          	0.000          	188.625        	91.857         	0.000          	
2008-09-25	Soybean        	10.690         	1.309          	3.125          	0.000          	6.255          	0.3332         	341.65         	309.80         	121.26         	0.296          	0.0129         	0.1536         	0.000          	0.000          	153.610        	142.221        	0.000          	
2009-09-23	Maize          	24.448         	2.996          	12.736         	0.000          	8.716          	0.5937         	380.22         	371.82         	145.76         	0.278          	0.0279         	0.1907         	0.000          	0.000          	190.727        	87.006         	0.000          	
2010-09-21	Soybean        	10.850         	1.324          	3.184          	0.000          	6.343          	0.3342         	354.40         	322.46         	92.71          	0.296          	0.0131         	0.1542         	0.000          	0.000          	154.177        	142.133        	0.000          	
2011-09-17	Maize          	21.999         	2.805          	11.171         	0.000          	8.022          	0.5820         	404.92         	360.22         	122.51         	0.274          	0.0271         	0.1866         	0.000          	0.000          	186.634        	86.922         	0.000          	
