DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-24	Soybean        	10.883         	1.244          	3.248          	0.000          	6.390          	0.3370         	298.23         	298.23         	156.16         	0.306          	0.0123         	0.1611         	0.000          	0.000          	161.081        	145.173        	0.000          	
1985-04-28	RyeBioenergyBM 	6.387          	1.166          	0.000          	4.699          	0.522          	0.0000         	141.11         	141.11         	86.00          	0.086          	0.0063         	0.0000         	0.072          	0.104          	71.917         	14.340         	1.530          	
1985-09-25	Maize          	20.909         	2.739          	10.662         	0.000          	7.509          	0.5868         	387.89         	342.73         	149.90         	0.221          	0.0238         	0.1499         	0.000          	0.000          	149.876        	71.128         	0.000          	
1986-05-11	RyeBioenergyBS 	6.098          	0.995          	0.000          	4.593          	0.510          	0.0000         	142.03         	142.03         	107.88         	0.082          	0.0050         	0.0000         	0.069          	0.142          	69.220         	12.739         	1.507          	
1986-09-26	Soybean        	10.331         	1.242          	3.081          	0.000          	6.009          	0.3390         	311.59         	294.81         	109.37         	0.288          	0.0123         	0.1518         	0.000          	0.000          	151.794        	136.234        	0.000          	
1987-04-28	RyeBioenergyBM 	4.712          	1.024          	0.000          	3.318          	0.369          	0.0000         	88.06          	88.06          	121.83         	0.084          	0.0060         	0.0000         	0.070          	0.042          	69.980         	13.825         	2.109          	
1987-09-26	Maize          	17.530         	2.395          	8.392          	0.000          	6.743          	0.5545         	404.28         	304.83         	117.48         	0.222          	0.0225         	0.1480         	0.000          	0.000          	147.978        	73.973         	0.000          	
1988-05-11	RyeBioenergyBS 	6.066          	1.240          	0.000          	4.343          	0.483          	0.0000         	117.60         	117.60         	111.58         	0.088          	0.0067         	0.0000         	0.073          	0.062          	73.480         	14.827         	1.692          	
1988-09-28	Soybean        	9.069          	1.091          	2.723          	0.000          	5.255          	0.3413         	315.69         	272.88         	123.26         	0.255          	0.0109         	0.1349         	0.000          	0.000          	134.880        	119.695        	0.000          	
1989-04-28	RyeBioenergyBM 	4.326          	0.980          	0.000          	3.012          	0.335          	0.0000         	84.86          	84.86          	121.73         	0.074          	0.0056         	0.0000         	0.062          	0.036          	61.755         	12.463         	2.051          	
1989-09-25	Maize          	19.500         	2.609          	9.530          	0.000          	7.361          	0.5642         	350.07         	307.67         	133.99         	0.225          	0.0232         	0.1506         	0.000          	0.000          	150.562        	74.044         	0.000          	
1990-05-11	RyeBioenergyBS 	6.557          	1.201          	0.000          	4.821          	0.536          	0.0000         	143.68         	143.68         	103.58         	0.086          	0.0063         	0.0000         	0.072          	0.101          	71.658         	14.285         	1.486          	
1990-09-18	Soybean        	9.799          	1.214          	2.843          	0.000          	5.741          	0.3312         	290.90         	276.72         	108.78         	0.281          	0.0121         	0.1452         	0.000          	0.000          	145.174        	135.589        	0.000          	
1991-04-28	RyeBioenergyBM 	6.486          	1.167          	0.000          	4.787          	0.532          	0.0000         	117.78         	117.78         	115.62         	0.096          	0.0068         	0.0000         	0.081          	0.061          	80.675         	15.751         	1.685          	
1991-09-22	Maize          	16.101         	2.167          	8.085          	0.000          	5.849          	0.5802         	410.93         	281.43         	114.65         	0.212          	0.0186         	0.1465         	0.000          	0.000          	146.488        	65.770         	0.000          	
1992-05-11	RyeBioenergyBS 	6.095          	1.133          	0.000          	4.466          	0.496          	0.0000         	103.10         	103.10         	112.68         	0.093          	0.0063         	0.0000         	0.078          	0.054          	78.092         	14.992         	1.749          	
1992-09-28	Soybean        	10.687         	1.312          	3.158          	0.000          	6.218          	0.3368         	287.13         	287.13         	129.54         	0.301          	0.0130         	0.1579         	0.000          	0.000          	157.875        	143.429        	0.000          	
1993-04-28	RyeBioenergyBM 	3.602          	0.922          	0.000          	2.412          	0.268          	0.0000         	64.51          	64.51          	106.44         	0.069          	0.0053         	0.0000         	0.058          	0.036          	57.736         	11.763         	2.394          	
1993-09-24	Maize          	18.911         	2.719          	8.643          	0.000          	7.549          	0.5338         	402.92         	318.17         	114.82         	0.234          	0.0252         	0.1521         	0.000          	0.000          	152.137        	81.621         	0.000          	
1994-05-11	RyeBioenergyBS 	5.687          	1.225          	0.000          	4.016          	0.446          	0.0000         	116.40         	116.40         	96.76          	0.083          	0.0064         	0.0000         	0.069          	0.078          	68.551         	14.033         	1.707          	
1994-09-24	Soybean        	11.044         	1.270          	3.304          	0.000          	6.470          	0.3381         	298.04         	298.04         	121.16         	0.308          	0.0125         	0.1621         	0.000          	0.000          	162.119        	145.539        	0.000          	
1995-04-28	RyeBioenergyBM 	5.986          	1.071          	0.000          	4.424          	0.492          	0.0000         	109.92         	109.92         	112.90         	0.091          	0.0061         	0.0000         	0.077          	0.054          	76.750         	14.657         	1.735          	
1995-09-23	Maize          	15.525         	2.268          	6.902          	0.000          	6.354          	0.5207         	367.69         	261.83         	126.19         	0.229          	0.0221         	0.1493         	0.000          	0.000          	149.279        	79.865         	0.000          	
1996-05-11	RyeBioenergyBS 	5.214          	1.217          	0.000          	3.598          	0.400          	0.0000         	107.06         	107.06         	110.66         	0.081          	0.0066         	0.0000         	0.067          	0.079          	66.910         	14.051         	1.860          	
1996-09-20	Soybean        	10.887         	1.285          	3.221          	0.000          	6.381          	0.3355         	286.10         	285.92         	140.43         	0.303          	0.0127         	0.1585         	0.000          	0.000          	158.460        	144.437        	0.000          	
1997-04-28	RyeBioenergyBM 	5.293          	1.124          	0.000          	3.752          	0.417          	0.0000         	98.11          	98.11          	113.28         	0.081          	0.0060         	0.0000         	0.068          	0.061          	67.541         	13.553         	1.800          	
1997-09-28	Maize          	19.195         	2.505          	9.677          	0.000          	7.014          	0.5798         	397.19         	321.65         	134.65         	0.218          	0.0226         	0.1477         	0.000          	0.000          	147.737        	70.207         	0.000          	
1998-05-11	RyeBioenergyBS 	6.695          	1.195          	0.891          	4.148          	0.461          	0.1620         	138.23         	138.23         	102.41         	0.088          	0.0062         	0.0216         	0.054          	0.130          	75.498         	12.178         	1.299          	
1998-09-22	Soybean        	10.730         	1.240          	3.187          	0.000          	6.304          	0.3358         	310.30         	305.81         	130.43         	0.300          	0.0122         	0.1573         	0.000          	0.000          	157.338        	142.836        	0.000          	
