DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-24	Soybean        	10.883         	1.244          	3.248          	0.000          	6.390          	0.3370         	298.23         	298.23         	156.16         	0.306          	0.0123         	0.1611         	0.000          	0.000          	161.081        	145.173        	0.000          	
1985-04-28	RyeBioenergyBM 	6.387          	1.166          	0.000          	4.699          	0.522          	0.0000         	141.11         	141.11         	86.00          	0.086          	0.0063         	0.0000         	0.072          	0.104          	71.917         	14.340         	1.530          	
1985-09-25	Maize          	20.909         	2.739          	10.662         	5.031          	2.478          	0.5868         	387.89         	342.73         	149.90         	0.221          	0.0238         	0.1499         	0.032          	0.000          	181.608        	39.397         	0.631          	
1986-05-10	Triticale      	6.630          	1.096          	0.000          	0.000          	5.534          	0.0000         	150.30         	150.30         	127.69         	0.090          	0.0057         	0.0000         	0.000          	0.106          	0.000          	89.795         	0.000          	
1986-09-26	Soybean        	10.557         	1.275          	3.139          	0.000          	6.142          	0.3382         	314.51         	302.05         	95.25          	0.292          	0.0126         	0.1538         	0.000          	0.000          	153.806        	138.670        	0.000          	
1987-04-28	RyeBioenergyBM 	4.828          	1.043          	0.000          	3.406          	0.378          	0.0000         	88.44          	88.44          	120.12         	0.087          	0.0062         	0.0000         	0.073          	0.036          	72.739         	14.327         	2.136          	
1987-09-26	Maize          	17.532         	2.396          	8.393          	4.518          	2.225          	0.5545         	404.28         	304.87         	117.39         	0.224          	0.0226         	0.1492         	0.035          	0.000          	183.924        	39.734         	0.769          	
1988-05-10	Triticale      	6.333          	1.283          	0.000          	0.000          	5.049          	0.0000         	118.82         	118.82         	140.76         	0.095          	0.0071         	0.0000         	0.000          	0.045          	0.000          	94.797         	0.000          	
1988-09-28	Soybean        	9.140          	1.101          	2.743          	0.000          	5.296          	0.3412         	317.25         	275.18         	110.35         	0.256          	0.0110         	0.1356         	0.000          	0.000          	135.632        	120.459        	0.000          	
1989-04-28	RyeBioenergyBM 	4.473          	1.004          	0.000          	3.123          	0.347          	0.0000         	85.28          	85.28          	121.09         	0.078          	0.0058         	0.0000         	0.065          	0.030          	65.256         	13.096         	2.090          	
1989-09-25	Maize          	19.508         	2.609          	9.536          	4.933          	2.430          	0.5643         	350.10         	307.80         	133.71         	0.227          	0.0233         	0.1520         	0.034          	0.000          	186.396        	40.254         	0.697          	
1990-05-10	Triticale      	6.911          	1.254          	0.000          	0.000          	5.658          	0.0000         	144.76         	144.76         	133.85         	0.095          	0.0068         	0.0000         	0.000          	0.078          	0.000          	94.804         	0.000          	
1990-09-18	Soybean        	9.927          	1.232          	2.880          	0.000          	5.816          	0.3312         	292.78         	280.60         	94.63          	0.285          	0.0123         	0.1471         	0.000          	0.000          	147.118        	137.442        	0.000          	
1991-04-28	RyeBioenergyBM 	6.661          	1.187          	0.000          	4.927          	0.547          	0.0000         	118.01         	118.01         	114.66         	0.101          	0.0070         	0.0000         	0.084          	0.053          	84.469         	16.417         	1.714          	
1991-09-22	Maize          	16.103         	2.167          	8.086          	3.919          	1.930          	0.5802         	410.95         	281.47         	114.55         	0.214          	0.0187         	0.1477         	0.032          	0.000          	179.513        	34.380         	0.813          	
1992-05-10	Triticale      	6.190          	1.149          	0.000          	0.000          	5.041          	0.0000         	103.34         	103.34         	137.71         	0.098          	0.0066         	0.0000         	0.000          	0.041          	0.000          	98.239         	0.000          	
1992-09-28	Soybean        	10.687         	1.312          	3.158          	0.000          	6.218          	0.3368         	287.13         	287.13         	113.86         	0.301          	0.0130         	0.1579         	0.000          	0.000          	157.944        	143.486        	0.000          	
1993-04-28	RyeBioenergyBM 	3.677          	0.937          	0.000          	2.466          	0.274          	0.0000         	64.80          	64.80          	105.80         	0.072          	0.0055         	0.0000         	0.060          	0.033          	59.746         	12.185         	2.423          	
1993-09-24	Maize          	18.909         	2.719          	8.641          	5.058          	2.491          	0.5337         	402.92         	318.14         	114.78         	0.235          	0.0253         	0.1531         	0.038          	0.000          	191.130        	44.037         	0.752          	
1994-05-10	Triticale      	5.866          	1.259          	0.000          	0.000          	4.607          	0.0000         	117.50         	117.50         	130.44         	0.089          	0.0069         	0.0000         	0.000          	0.064          	0.000          	88.933         	0.000          	
1994-09-24	Soybean        	11.044         	1.270          	3.304          	0.000          	6.470          	0.3381         	298.04         	298.04         	113.73         	0.308          	0.0125         	0.1622         	0.000          	0.000          	162.218        	145.621        	0.000          	
1995-04-28	RyeBioenergyBM 	6.094          	1.084          	0.000          	4.508          	0.501          	0.0000         	110.06         	110.06         	112.42         	0.094          	0.0063         	0.0000         	0.079          	0.049          	79.042         	15.047         	1.753          	
1995-09-23	Maize          	15.532         	2.269          	6.907          	4.258          	2.097          	0.5208         	367.70         	261.95         	126.12         	0.231          	0.0222         	0.1502         	0.039          	0.000          	189.125        	41.387         	0.913          	
1996-05-10	Triticale      	5.200          	1.223          	0.000          	0.000          	3.976          	0.0000         	107.43         	107.43         	141.52         	0.084          	0.0068         	0.0000         	0.000          	0.071          	0.000          	83.586         	0.000          	
1996-09-20	Soybean        	10.889         	1.285          	3.222          	0.000          	6.382          	0.3355         	286.10         	285.98         	131.87         	0.303          	0.0127         	0.1586         	0.000          	0.000          	158.618        	144.564        	0.000          	
1997-04-28	RyeBioenergyBM 	5.376          	1.137          	0.000          	3.815          	0.424          	0.0000         	98.36          	98.36          	112.78         	0.083          	0.0062         	0.0000         	0.069          	0.057          	69.225         	13.876         	1.815          	
1997-09-28	Maize          	19.196         	2.505          	9.677          	4.699          	2.315          	0.5798         	397.20         	321.67         	134.58         	0.219          	0.0226         	0.1484         	0.032          	0.000          	180.489        	38.420         	0.682          	
1998-05-10	Triticale      	6.978          	1.231          	0.000          	0.000          	5.747          	0.0000         	139.16         	139.16         	126.96         	0.094          	0.0066         	0.0000         	0.000          	0.112          	0.000          	93.650         	0.000          	
1998-09-22	Soybean        	10.752         	1.241          	3.194          	0.000          	6.316          	0.3359         	310.31         	306.50         	117.41         	0.301          	0.0122         	0.1578         	0.000          	0.000          	157.762        	143.140        	0.000          	
1999-04-28	RyeBioenergyBM 	7.158          	1.292          	0.000          	5.279          	0.587          	0.0000         	126.17         	126.17         	89.98          	0.101          	0.0070         	0.0000         	0.085          	0.056          	84.565         	16.446         	1.602          	
