DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-24	Soybean        	10.883         	1.244          	3.248          	0.000          	6.390          	0.3370         	298.23         	298.23         	158.52         	0.307          	0.0123         	0.1613         	0.000          	0.000          	161.313        	145.364        	0.000          	
1985-04-28	RyeBioenergyBM 	4.594          	0.888          	0.000          	3.335          	0.371          	0.0000         	123.26         	123.26         	99.36          	0.062          	0.0045         	0.0000         	0.051          	0.173          	51.449         	10.211         	1.543          	
1985-09-25	Maize          	20.845         	2.735          	10.625         	0.000          	7.485          	0.5867         	387.75         	341.52         	153.25         	0.228          	0.0235         	0.1554         	0.000          	0.000          	155.380        	72.576         	0.000          	
1986-05-11	RyeBioenergyBS 	1.800          	0.339          	0.000          	1.315          	0.146          	0.0000         	72.96          	72.96          	142.93         	0.028          	0.0015         	0.0000         	0.024          	0.303          	23.807         	4.192          	1.811          	
1986-09-26	Soybean        	10.804         	1.310          	3.203          	0.000          	6.291          	0.3373         	317.26         	310.55         	109.47         	0.300          	0.0129         	0.1575         	0.000          	0.000          	157.511        	142.658        	0.000          	
1987-04-28	RyeBioenergyBM 	3.661          	0.837          	0.000          	2.542          	0.282          	0.0000         	82.33          	82.33          	120.75         	0.061          	0.0045         	0.0000         	0.051          	0.089          	51.182         	10.208         	2.014          	
1987-09-26	Maize          	17.545         	2.397          	8.394          	0.000          	6.753          	0.5542         	404.31         	305.19         	119.65         	0.222          	0.0221         	0.1485         	0.000          	0.000          	148.517        	73.792         	0.000          	
1988-05-11	RyeBioenergyBS 	2.509          	0.597          	0.000          	1.721          	0.191          	0.0000         	88.57          	88.57          	128.44         	0.033          	0.0026         	0.0000         	0.027          	0.202          	27.286         	5.662          	1.585          	
1988-09-28	Soybean        	9.069          	1.092          	2.723          	0.000          	5.255          	0.3413         	315.84         	272.91         	124.66         	0.255          	0.0109         	0.1349         	0.000          	0.000          	134.875        	119.703        	0.000          	
1989-04-28	RyeBioenergyBM 	3.103          	0.754          	0.000          	2.113          	0.235          	0.0000         	76.80          	76.80          	124.09         	0.049          	0.0038         	0.0000         	0.041          	0.090          	40.722         	8.349          	1.927          	
1989-09-25	Maize          	19.526         	2.610          	9.549          	0.000          	7.367          	0.5645         	350.17         	308.07         	135.63         	0.231          	0.0234         	0.1551         	0.000          	0.000          	155.120        	75.759         	0.000          	
1990-05-11	RyeBioenergyBS 	2.266          	0.485          	0.000          	1.604          	0.178          	0.0000         	86.88          	86.88          	142.00         	0.032          	0.0022         	0.0000         	0.026          	0.276          	26.405         	5.126          	1.647          	
1990-09-18	Soybean        	9.805          	1.215          	2.844          	0.000          	5.745          	0.3312         	291.09         	276.89         	112.28         	0.281          	0.0121         	0.1454         	0.000          	0.000          	145.437        	135.851        	0.000          	
1991-04-28	RyeBioenergyBM 	5.369          	1.020          	0.000          	3.915          	0.435          	0.0000         	114.67         	114.67         	115.90         	0.075          	0.0056         	0.0000         	0.062          	0.110          	62.230         	12.501         	1.590          	
1991-09-22	Maize          	15.982         	2.152          	8.028          	0.000          	5.802          	0.5805         	409.04         	279.98         	117.24         	0.206          	0.0175         	0.1422         	0.000          	0.002          	142.229        	63.272         	0.000          	
1992-05-11	RyeBioenergyBS 	3.151          	0.678          	0.000          	2.226          	0.247          	0.0000         	87.30          	87.30          	126.97         	0.042          	0.0032         	0.0000         	0.035          	0.181          	34.873         	7.032          	1.566          	
1992-09-28	Soybean        	10.687         	1.312          	3.158          	0.000          	6.218          	0.3368         	287.13         	287.13         	132.65         	0.302          	0.0130         	0.1580         	0.000          	0.000          	158.007        	143.538        	0.000          	
1993-04-28	RyeBioenergyBM 	2.701          	0.727          	0.000          	1.777          	0.197          	0.0000         	59.81          	59.81          	105.49         	0.048          	0.0038         	0.0000         	0.040          	0.073          	39.546         	8.187          	2.226          	
1993-09-24	Maize          	18.935         	2.721          	8.655          	0.000          	7.559          	0.5338         	402.98         	318.58         	115.99         	0.233          	0.0250         	0.1519         	0.000          	0.000          	151.938        	81.316         	0.000          	
1994-05-11	RyeBioenergyBS 	2.540          	0.622          	0.000          	1.727          	0.192          	0.0000         	86.56          	86.56          	112.50         	0.034          	0.0027         	0.0000         	0.029          	0.191          	28.521         	5.909          	1.652          	
1994-09-24	Soybean        	11.044         	1.270          	3.304          	0.000          	6.470          	0.3381         	298.04         	298.04         	124.51         	0.308          	0.0125         	0.1623         	0.000          	0.000          	162.251        	145.648        	0.000          	
1995-04-28	RyeBioenergyBM 	4.897          	0.927          	0.000          	3.573          	0.397          	0.0000         	108.06         	108.06         	111.14         	0.069          	0.0049         	0.0000         	0.057          	0.097          	57.308         	11.316         	1.604          	
1995-09-23	Maize          	15.593         	2.273          	6.952          	0.000          	6.368          	0.5219         	367.78         	262.99         	127.46         	0.231          	0.0220         	0.1507         	0.000          	0.000          	150.679        	80.032         	0.000          	
1996-05-11	RyeBioenergyBS 	2.345          	0.612          	0.000          	1.560          	0.173          	0.0000         	76.92          	76.92          	133.27         	0.035          	0.0028         	0.0000         	0.029          	0.186          	28.706         	5.944          	1.840          	
1996-09-20	Soybean        	10.890         	1.285          	3.222          	0.000          	6.382          	0.3355         	286.10         	286.01         	143.12         	0.303          	0.0127         	0.1587         	0.000          	0.000          	158.651        	144.590        	0.000          	
1997-04-28	RyeBioenergyBM 	4.196          	0.935          	0.000          	2.935          	0.326          	0.0000         	92.38          	92.38          	115.02         	0.060          	0.0046         	0.0000         	0.050          	0.101          	50.265         	10.217         	1.713          	
1997-09-28	Maize          	19.242         	2.510          	9.704          	0.000          	7.028          	0.5799         	397.40         	322.42         	137.10         	0.218          	0.0220         	0.1485         	0.000          	0.000          	148.500        	69.815         	0.000          	
1998-05-11	RyeBioenergyBS 	2.888          	0.588          	0.375          	1.732          	0.192          	0.1632         	97.11          	97.11          	132.99         	0.038          	0.0027         	0.0095         	0.023          	0.281          	32.988         	5.275          	1.354          	
1998-09-22	Soybean        	10.738         	1.241          	3.189          	0.000          	6.308          	0.3358         	310.30         	306.07         	132.76         	0.301          	0.0122         	0.1575         	0.000          	0.000          	157.546        	142.991        	0.000          	
1999-04-28	RyeBioenergyBM 	5.685          	1.091          	0.000          	4.135          	0.459          	0.0000         	122.41         	122.41         	92.18          	0.074          	0.0055         	0.0000         	0.062          	0.112          	61.524         	12.293         	1.488          	
1999-09-26	Maize          	15.674         	2.145          	7.858          	0.000          	5.671          	0.5808         	430.80         	269.84         	133.71         	0.211          	0.0194         	0.1453         	0.000          	0.000          	145.264        	66.123         	0.000          	
2000-05-11	RyeBioenergyBS 	4.465          	0.794          	0.650          	2.719          	0.302          	0.1771         	140.99         	140.99         	127.97         	0.052          	0.0037         	0.0143         	0.031          	0.229          	45.162         	7.122          	1.137          	
2000-09-25	Soybean        	10.523         	1.283          	3.077          	0.000          	6.162          	0.3331         	282.75         	274.24         	153.99         	0.296          	0.0127         	0.1538         	0.000          	0.000          	153.764        	142.183        	0.000          	
2001-04-28	RyeBioenergyBM 	3.164          	0.815          	0.000          	2.114          	0.235          	0.0000         	65.00          	65.00          	107.13         	0.054          	0.0043         	0.0000         	0.045          	0.073          	44.759         	9.308          	2.118          	
2001-09-27	Maize          	19.989         	2.796          	9.274          	0.000          	7.919          	0.5394         	413.24         	335.08         	137.82         	0.239          	0.0258         	0.1563         	0.000          	0.000          	156.291        	82.759         	0.000          	
2002-05-11	RyeBioenergyBS 	2.698          	0.428          	0.521          	1.574          	0.175          	0.2295         	89.55          	89.55          	155.93         	0.040          	0.0021         	0.0145         	0.021          	0.336          	35.185         	4.385          	1.316          	
2002-09-28	Soybean        	6.950          	1.014          	1.928          	0.000          	4.008          	0.3248         	371.36         	217.26         	113.06         	0.190          	0.0100         	0.0955         	0.000          	0.000          	95.544         	94.057         	0.000          	
2003-04-28	RyeBioenergyBM 	2.290          	0.670          	0.000          	1.458          	0.162          	0.0000         	58.37          	58.37          	126.82         	0.042          	0.0034         	0.0000         	0.035          	0.080          	34.513         	7.216          	2.367          	
2003-09-27	Maize          	21.658         	2.685          	11.169         	0.000          	7.804          	0.5887         	354.29         	345.68         	159.46         	0.235          	0.0236         	0.1607         	0.000          	0.000          	160.722        	74.119         	0.000          	
