DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-27	Maize          	22.390         	2.698          	11.629         	0.000          	8.063          	0.5905         	364.20         	358.74         	170.42         	0.227          	0.0230         	0.1554         	0.000          	0.000          	155.392        	71.542         	0.000          	
1985-09-24	Soybean        	10.626         	1.285          	3.125          	0.000          	6.216          	0.3345         	317.67         	304.74         	140.27         	0.295          	0.0127         	0.1537         	0.000          	0.000          	153.735        	141.168        	0.000          	
1986-09-24	Maize          	21.710         	2.768          	11.279         	0.000          	7.664          	0.5954         	387.99         	364.66         	104.98         	0.288          	0.0270         	0.1998         	0.000          	0.000          	199.846        	88.626         	0.000          	
1987-09-26	Soybean        	8.614          	1.075          	2.471          	0.000          	5.068          	0.3277         	306.03         	260.57         	117.53         	0.259          	0.0106         	0.1329         	0.000          	0.000          	132.882        	125.744        	0.000          	
1988-10-03	Maize          	18.240         	2.224          	9.827          	0.000          	6.189          	0.6136         	397.21         	315.13         	153.71         	0.262          	0.0214         	0.1861         	0.000          	0.000          	186.150        	75.957         	0.000          	
1989-09-23	Soybean        	9.471          	1.177          	2.765          	0.000          	5.528          	0.3334         	279.56         	254.94         	119.23         	0.280          	0.0116         	0.1459         	0.000          	0.000          	145.863        	134.211        	0.000          	
1990-09-18	Maize          	19.184         	2.491          	9.659          	0.000          	7.033          	0.5787         	355.33         	314.00         	132.69         	0.281          	0.0248         	0.1933         	0.000          	0.000          	193.258        	87.368         	0.000          	
1991-09-22	Soybean        	8.499          	1.075          	2.469          	0.000          	4.955          	0.3326         	335.28         	258.37         	97.05          	0.241          	0.0106         	0.1249         	0.000          	0.000          	124.861        	116.060        	0.000          	
1992-10-01	Maize          	22.922         	2.944          	11.807         	0.000          	8.171          	0.5910         	360.74         	359.92         	134.40         	0.283          	0.0283         	0.1941         	0.000          	0.000          	194.070        	88.913         	0.000          	
1993-09-24	Soybean        	9.935          	1.293          	2.805          	0.000          	5.837          	0.3245         	321.50         	287.54         	105.84         	0.282          	0.0128         	0.1432         	0.000          	0.000          	143.187        	138.963        	0.000          	
1994-09-26	Maize          	23.519         	2.830          	12.314         	0.000          	8.375          	0.5952         	371.45         	371.45         	127.33         	0.302          	0.0274         	0.2099         	0.000          	0.000          	209.917        	92.192         	0.000          	
1995-09-21	Soybean        	7.995          	1.013          	2.299          	0.000          	4.683          	0.3292         	282.51         	232.95         	124.69         	0.249          	0.0100         	0.1287         	0.000          	0.000          	128.684        	120.600        	0.000          	
1996-09-22	Maize          	23.118         	2.863          	11.799         	0.000          	8.456          	0.5825         	360.18         	353.63         	142.23         	0.284          	0.0273         	0.1947         	0.000          	0.000          	194.741        	89.561         	0.000          	
1997-10-01	Soybean        	10.198         	1.226          	3.034          	0.000          	5.938          	0.3382         	326.58         	296.00         	123.40         	0.282          	0.0121         	0.1484         	0.000          	0.000          	148.444        	133.863        	0.000          	
1998-09-21	Maize          	22.859         	2.778          	11.788         	0.000          	8.293          	0.5870         	388.82         	375.00         	120.21         	0.286          	0.0266         	0.1973         	0.000          	0.000          	197.280        	88.924         	0.000          	
1999-09-26	Soybean        	7.844          	0.988          	2.295          	0.000          	4.562          	0.3347         	348.56         	234.31         	120.23         	0.209          	0.0098         	0.1084         	0.000          	0.000          	108.450        	100.329        	0.000          	
2000-09-24	Maize          	22.057         	2.835          	10.966         	0.000          	8.255          	0.5705         	360.94         	335.57         	139.21         	0.268          	0.0269         	0.1813         	0.000          	0.000          	181.301        	86.999         	0.000          	
2001-09-25	Soybean        	10.127         	1.307          	2.876          	0.000          	5.944          	0.3261         	336.01         	296.95         	125.79         	0.286          	0.0129         	0.1459         	0.000          	0.000          	145.939        	140.431        	0.000          	
2002-09-28	Maize          	13.705         	2.163          	6.356          	0.000          	5.186          	0.5507         	441.54         	245.81         	130.26         	0.201          	0.0213         	0.1331         	0.000          	0.000          	133.110        	68.128         	0.000          	
2003-09-25	Soybean        	10.372         	1.232          	3.070          	0.000          	6.070          	0.3359         	285.66         	283.25         	137.40         	0.293          	0.0121         	0.1537         	0.000          	0.000          	153.732        	139.735        	0.000          	
2004-09-17	Maize          	23.250         	2.951          	11.890         	0.000          	8.409          	0.5858         	359.75         	359.75         	134.68         	0.310          	0.0290         	0.2130         	0.000          	0.000          	213.030        	96.548         	0.000          	
2005-09-22	Soybean        	9.936          	1.263          	2.875          	0.000          	5.799          	0.3315         	324.28         	294.20         	100.94         	0.285          	0.0124         	0.1476         	0.000          	0.000          	147.631        	137.805        	0.000          	
2006-09-25	Maize          	17.440         	2.489          	7.943          	0.000          	7.008          	0.5313         	384.64         	290.01         	132.41         	0.266          	0.0246         	0.1760         	0.000          	0.000          	175.988        	90.326         	0.000          	
2007-09-24	Soybean        	11.816         	1.434          	3.474          	0.000          	6.909          	0.3346         	353.70         	343.83         	128.09         	0.318          	0.0141         	0.1655         	0.000          	0.000          	165.506        	152.452        	0.000          	
2008-09-26	Maize          	20.148         	2.738          	9.803          	0.000          	7.607          	0.5631         	410.58         	335.70         	142.83         	0.279          	0.0270         	0.1882         	0.000          	0.000          	188.244        	90.807         	0.000          	
2009-09-22	Soybean        	11.810         	1.391          	3.495          	0.000          	6.924          	0.3354         	311.27         	310.88         	137.48         	0.319          	0.0137         	0.1664         	0.000          	0.000          	166.367        	152.136        	0.000          	
2010-09-22	Maize          	20.751         	2.727          	10.360         	0.000          	7.665          	0.5748         	423.25         	355.42         	108.10         	0.297          	0.0269         	0.2034         	0.000          	0.000          	203.394        	93.465         	0.000          	
2011-09-18	Soybean        	10.804         	1.299          	3.176          	0.000          	6.329          	0.3342         	332.38         	306.33         	123.82         	0.296          	0.0128         	0.1542         	0.000          	0.000          	154.197        	141.924        	0.000          	
2012-09-18	Maize          	18.871         	2.451          	9.906          	0.000          	6.514          	0.6033         	408.09         	310.34         	156.20         	0.277          	0.0242         	0.1945         	0.000          	0.000          	194.459        	82.793         	0.000          	
