DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-24	Soybean        	10.883         	1.244          	3.248          	0.000          	6.390          	0.3370         	298.23         	298.23         	158.52         	0.307          	0.0123         	0.1613         	0.000          	0.000          	161.313        	145.364        	0.000          	
1985-04-28	RyeBioenergyBM 	6.269          	1.151          	0.000          	4.607          	0.512          	0.0000         	140.93         	140.93         	86.26          	0.084          	0.0063         	0.0000         	0.070          	0.109          	70.293         	14.102         	1.526          	
1985-09-25	Maize          	20.846         	2.735          	10.624         	0.000          	7.486          	0.5866         	387.75         	341.56         	152.84         	0.228          	0.0235         	0.1557         	0.000          	0.000          	155.708        	72.713         	0.000          	
1986-05-11	RyeBioenergyBS 	7.437          	1.216          	0.000          	5.599          	0.622          	0.0000         	158.03         	158.03         	104.45         	0.101          	0.0066         	0.0000         	0.085          	0.072          	85.299         	16.122         	1.524          	
1986-09-26	Soybean        	10.154         	1.216          	3.033          	0.000          	5.905          	0.3393         	308.38         	289.40         	112.78         	0.283          	0.0120         	0.1493         	0.000          	0.000          	149.323        	133.738        	0.000          	
1987-04-28	RyeBioenergyBM 	4.652          	1.015          	0.000          	3.273          	0.364          	0.0000         	87.84          	87.84          	122.82         	0.082          	0.0059         	0.0000         	0.069          	0.045          	68.868         	13.593         	2.104          	
1987-09-26	Maize          	17.544         	2.397          	8.394          	0.000          	6.753          	0.5542         	404.31         	305.17         	119.71         	0.223          	0.0221         	0.1488         	0.000          	0.000          	148.812        	73.931         	0.000          	
1988-05-11	RyeBioenergyBS 	6.791          	1.340          	0.000          	4.906          	0.545          	0.0000         	119.18         	119.18         	117.96         	0.107          	0.0078         	0.0000         	0.089          	0.033          	89.216         	17.747         	1.818          	
1988-09-28	Soybean        	9.076          	1.092          	2.725          	0.000          	5.259          	0.3413         	315.89         	273.12         	124.19         	0.255          	0.0109         	0.1350         	0.000          	0.000          	134.959        	119.768        	0.000          	
1989-04-28	RyeBioenergyBM 	4.219          	0.961          	0.000          	2.932          	0.326          	0.0000         	84.39          	84.39          	122.67         	0.072          	0.0054         	0.0000         	0.060          	0.041          	59.782         	12.083         	2.039          	
1989-09-25	Maize          	19.544         	2.611          	9.562          	0.000          	7.371          	0.5647         	350.21         	308.34         	135.42         	0.234          	0.0236         	0.1570         	0.000          	0.000          	157.006        	76.560         	0.000          	
1990-05-11	RyeBioenergyBS 	7.437          	1.306          	0.000          	5.518          	0.613          	0.0000         	145.18         	145.18         	110.21         	0.105          	0.0074         	0.0000         	0.088          	0.064          	88.275         	17.204         	1.600          	
1990-09-18	Soybean        	9.810          	1.216          	2.846          	0.000          	5.748          	0.3312         	291.15         	277.04         	110.29         	0.281          	0.0121         	0.1455         	0.000          	0.000          	145.488        	135.898        	0.000          	
1991-04-28	RyeBioenergyBM 	6.477          	1.165          	0.000          	4.781          	0.531          	0.0000         	117.71         	117.71         	115.99         	0.097          	0.0068         	0.0000         	0.081          	0.062          	81.001         	15.798         	1.694          	
1991-09-22	Maize          	16.015         	2.157          	8.043          	0.000          	5.816          	0.5804         	409.64         	280.30         	116.87         	0.208          	0.0177         	0.1437         	0.000          	0.001          	143.682        	63.933         	0.000          	
1992-05-11	RyeBioenergyBS 	6.818          	1.213          	0.000          	5.044          	0.560          	0.0000         	103.66         	103.66         	119.28         	0.116          	0.0078         	0.0000         	0.098          	0.017          	97.856         	18.640         	1.940          	
1992-09-28	Soybean        	10.687         	1.312          	3.158          	0.000          	6.218          	0.3368         	287.13         	287.13         	132.13         	0.302          	0.0130         	0.1580         	0.000          	0.000          	158.011        	143.541        	0.000          	
1993-04-28	RyeBioenergyBM 	3.469          	0.894          	0.000          	2.318          	0.258          	0.0000         	63.70          	63.70          	106.97         	0.067          	0.0051         	0.0000         	0.055          	0.041          	55.316         	11.287         	2.386          	
1993-09-24	Maize          	18.940         	2.721          	8.657          	0.000          	7.561          	0.5338         	402.98         	318.66         	116.59         	0.237          	0.0253         	0.1545         	0.000          	0.000          	154.450        	82.522         	0.000          	
1994-05-11	RyeBioenergyBS 	6.511          	1.353          	0.000          	4.642          	0.516          	0.0000         	120.47         	120.47         	102.96         	0.102          	0.0078         	0.0000         	0.084          	0.048          	84.443         	17.182         	1.819          	
