DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-27	Maize          	22.374         	2.698          	11.618         	5.399          	2.659          	0.5904         	364.20         	358.74         	170.42         	0.221          	0.0225         	0.1513         	0.032          	0.000          	183.002        	38.120         	0.587          	
1985-05-10	Triticale      	8.639          	1.352          	0.000          	0.000          	7.287          	0.0000         	188.99         	188.98         	102.89         	0.104          	0.0073         	0.0000         	0.000          	0.107          	0.000          	104.051        	0.000          	
1985-09-26	Soybean        	10.881         	1.311          	3.192          	0.000          	6.378          	0.3336         	321.55         	311.44         	117.58         	0.302          	0.0129         	0.1571         	0.000          	0.000          	157.061        	144.871        	0.000          	
1986-04-28	RyeBioenergyBM 	5.660          	1.076          	0.000          	4.126          	0.458          	0.0000         	109.64         	109.64         	98.79          	0.094          	0.0063         	0.0000         	0.079          	0.047          	78.893         	15.084         	1.912          	
1986-09-24	Maize          	21.609         	2.752          	11.239         	5.104          	2.514          	0.5960         	387.38         	362.77         	110.80         	0.244          	0.0230         	0.1689         	0.035          	0.000          	203.757        	40.109         	0.682          	
1987-05-10	Triticale      	7.047          	1.271          	0.000          	0.000          	5.776          	0.0000         	128.67         	128.67         	149.89         	0.112          	0.0077         	0.0000         	0.000          	0.025          	0.000          	112.048        	0.000          	
1987-09-27	Soybean        	8.890          	1.102          	2.542          	0.000          	5.246          	0.3264         	308.49         	268.91         	105.11         	0.263          	0.0109         	0.1344         	0.000          	0.000          	134.390        	128.123        	0.000          	
1988-04-28	RyeBioenergyBM 	5.001          	1.131          	0.000          	3.483          	0.387          	0.0000         	87.81          	87.81          	121.75         	0.090          	0.0068         	0.0000         	0.074          	0.026          	74.415         	15.091         	2.136          	
1988-09-28	Maize          	17.700         	2.194          	9.473          	4.042          	1.991          	0.6110         	390.01         	307.43         	155.93         	0.224          	0.0180         	0.1591         	0.031          	0.000          	190.541        	33.491         	0.778          	
1989-05-10	Triticale      	6.214          	1.211          	0.000          	0.000          	5.003          	0.0000         	112.20         	112.20         	141.86         	0.114          	0.0079         	0.0000         	0.000          	0.014          	0.000          	114.037        	0.000          	
