DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-24	Soybean        	10.883         	1.244          	3.248          	0.000          	6.390          	0.3370         	298.23         	298.23         	158.52         	0.307          	0.0123         	0.1613         	0.000          	0.000          	161.313        	145.364        	0.000          	
1985-04-28	RyeBioenergyBM 	6.831          	1.222          	0.000          	5.048          	0.561          	0.0000         	142.29         	142.29         	85.19          	0.095          	0.0069         	0.0000         	0.080          	0.086          	79.738         	15.749         	1.579          	
1985-09-25	Maize          	20.849         	2.736          	10.625         	5.017          	2.471          	0.5866         	387.76         	341.63         	152.64         	0.229          	0.0235         	0.1562         	0.033          	0.000          	189.287        	39.842         	0.659          	
1986-05-10	Triticale      	7.576          	1.236          	0.000          	0.000          	6.340          	0.0000         	158.44         	158.44         	124.39         	0.107          	0.0070         	0.0000         	0.000          	0.057          	0.000          	106.717        	0.000          	
1986-09-26	Soybean        	10.566         	1.277          	3.142          	0.000          	6.148          	0.3382         	314.68         	302.41         	93.74          	0.293          	0.0126         	0.1541         	0.000          	0.000          	154.127        	138.957        	0.000          	
1987-04-28	RyeBioenergyBM 	5.141          	1.090          	0.000          	3.646          	0.405          	0.0000         	89.19          	89.19          	119.59         	0.097          	0.0069         	0.0000         	0.081          	0.021          	81.364         	15.896         	2.232          	
1987-09-26	Maize          	17.548         	2.398          	8.395          	4.526          	2.229          	0.5541         	404.31         	305.24         	119.55         	0.227          	0.0224         	0.1517         	0.035          	0.000          	187.081        	39.831         	0.782          	
1988-05-10	Triticale      	6.870          	1.352          	0.000          	0.000          	5.517          	0.0000         	119.29         	119.29         	143.15         	0.112          	0.0081         	0.0000         	0.000          	0.023          	0.000          	111.607        	0.000          	
1988-09-28	Soybean        	9.174          	1.106          	2.753          	0.000          	5.316          	0.3412         	317.91         	276.29         	109.41         	0.257          	0.0110         	0.1362         	0.000          	0.000          	136.154        	120.929        	0.000          	
1989-04-28	RyeBioenergyBM 	4.761          	1.049          	0.000          	3.341          	0.371          	0.0000         	85.80          	85.80          	121.10         	0.088          	0.0064         	0.0000         	0.073          	0.018          	73.094         	14.502         	2.188          	
1989-09-25	Maize          	19.537         	2.610          	9.557          	4.938          	2.432          	0.5646         	350.20         	308.23         	134.81         	0.237          	0.0239         	0.1596         	0.036          	0.000          	195.665        	41.678         	0.730          	
