DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-27	Maize          	22.374         	2.698          	11.618         	5.399          	2.659          	0.5904         	364.20         	358.74         	170.42         	0.221          	0.0225         	0.1513         	0.032          	0.000          	183.002        	38.120         	0.587          	
1985-05-10	Triticale      	1.337          	0.241          	0.000          	0.000          	1.097          	0.0000         	47.48          	47.47          	203.65         	0.026          	0.0013         	0.0000         	0.000          	0.345          	0.000          	26.104         	0.000          	
1985-09-26	Soybean        	10.682         	1.290          	3.141          	0.000          	6.250          	0.3345         	321.02         	305.23         	148.84         	0.297          	0.0127         	0.1549         	0.000          	0.000          	154.873        	142.202        	0.000          	
1986-04-28	RyeBioenergyBM 	4.000          	0.829          	0.000          	2.854          	0.317          	0.0000         	103.68         	103.68         	100.66         	0.058          	0.0043         	0.0000         	0.049          	0.121          	48.731         	9.736          	1.708          	
1986-09-24	Maize          	21.609         	2.752          	11.238         	5.105          	2.514          	0.5960         	387.36         	362.78         	110.93         	0.239          	0.0226         	0.1651         	0.034          	0.000          	199.178        	39.323         	0.667          	
1987-05-10	Triticale      	2.818          	0.612          	0.000          	0.000          	2.205          	0.0000         	99.38          	99.38          	170.70         	0.037          	0.0027         	0.0000         	0.000          	0.205          	0.000          	36.565         	0.000          	
1987-09-27	Soybean        	8.711          	1.086          	2.489          	0.000          	5.136          	0.3264         	308.33         	262.82         	117.51         	0.258          	0.0107         	0.1320         	0.000          	0.000          	132.000        	125.909        	0.000          	
1988-04-28	RyeBioenergyBM 	3.306          	0.814          	0.000          	2.244          	0.249          	0.0000         	78.43          	78.43          	126.13         	0.053          	0.0042         	0.0000         	0.044          	0.094          	43.726         	9.071          	1.949          	
1988-09-28	Maize          	17.695         	2.193          	9.471          	4.041          	1.990          	0.6110         	389.95         	307.33         	156.44         	0.219          	0.0177         	0.1557         	0.031          	0.000          	186.525        	32.883         	0.762          	
1989-05-10	Triticale      	2.712          	0.645          	0.000          	0.000          	2.068          	0.0000         	90.98          	90.98          	152.44         	0.038          	0.0030         	0.0000         	0.000          	0.175          	0.000          	37.836         	0.000          	
1989-09-25	Soybean        	9.551          	1.194          	2.756          	0.000          	5.602          	0.3298         	283.27         	257.52         	126.62         	0.280          	0.0118         	0.1446         	0.000          	0.000          	144.572        	135.661        	0.000          	
1990-04-28	RyeBioenergyBM 	4.370          	0.940          	0.000          	3.087          	0.343          	0.0000         	103.32         	103.32         	116.29         	0.063          	0.0049         	0.0000         	0.052          	0.102          	52.328         	10.757         	1.695          	
