DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-24	Soybean        	10.883         	1.244          	3.248          	0.000          	6.390          	0.3370         	298.23         	298.23         	158.52         	0.307          	0.0123         	0.1613         	0.000          	0.000          	161.313        	145.364        	0.000          	
1985-04-28	RyeBioenergyBM 	4.594          	0.888          	0.000          	3.335          	0.371          	0.0000         	123.26         	123.26         	99.36          	0.062          	0.0045         	0.0000         	0.051          	0.173          	51.449         	10.211         	1.543          	
1985-09-25	Maize          	20.845         	2.735          	10.625         	5.015          	2.470          	0.5867         	387.75         	341.52         	153.25         	0.228          	0.0235         	0.1554         	0.033          	0.000          	188.285        	39.672         	0.656          	
1986-05-10	Triticale      	2.348          	0.460          	0.000          	0.000          	1.888          	0.0000         	94.66          	94.66          	159.54         	0.032          	0.0021         	0.0000         	0.000          	0.278          	0.000          	32.088         	0.000          	
1986-09-26	Soybean        	10.756         	1.304          	3.191          	0.000          	6.262          	0.3376         	316.85         	308.94         	106.06         	0.299          	0.0129         	0.1569         	0.000          	0.000          	156.882        	141.932        	0.000          	
1987-04-28	RyeBioenergyBM 	3.707          	0.846          	0.000          	2.575          	0.286          	0.0000         	82.60          	82.60          	120.57         	0.062          	0.0046         	0.0000         	0.052          	0.087          	51.990         	10.356         	2.019          	
1987-09-26	Maize          	17.545         	2.397          	8.394          	4.525          	2.229          	0.5542         	404.31         	305.19         	119.64         	0.223          	0.0221         	0.1487         	0.035          	0.000          	183.348        	39.198         	0.766          	
1988-05-10	Triticale      	2.742          	0.651          	0.000          	0.000          	2.091          	0.0000         	92.53          	92.53          	161.50         	0.036          	0.0029         	0.0000         	0.000          	0.187          	0.000          	35.731         	0.000          	
1988-09-28	Soybean        	9.092          	1.095          	2.729          	0.000          	5.268          	0.3413         	316.27         	273.65         	120.89         	0.255          	0.0109         	0.1352         	0.000          	0.000          	135.171        	119.975        	0.000          	
1989-04-28	RyeBioenergyBM 	3.177          	0.769          	0.000          	2.167          	0.241          	0.0000         	77.42          	77.42          	123.51         	0.051          	0.0039         	0.0000         	0.042          	0.087          	41.912         	8.593          	1.934          	
1989-09-25	Maize          	19.539         	2.610          	9.558          	4.938          	2.432          	0.5646         	350.20         	308.26         	135.52         	0.231          	0.0235         	0.1555         	0.035          	0.000          	190.641        	40.777         	0.711          	
1990-05-10	Triticale      	2.775          	0.602          	0.000          	0.000          	2.173          	0.0000         	106.31         	106.31         	164.93         	0.035          	0.0027         	0.0000         	0.000          	0.252          	0.000          	35.279         	0.000          	
1990-09-18	Soybean        	9.835          	1.219          	2.853          	0.000          	5.762          	0.3312         	291.46         	277.80         	107.79         	0.282          	0.0122         	0.1459         	0.000          	0.000          	145.890        	136.261        	0.000          	
1991-04-28	RyeBioenergyBM 	5.454          	1.031          	0.000          	3.980          	0.442          	0.0000         	114.94         	114.94         	115.38         	0.076          	0.0057         	0.0000         	0.064          	0.107          	63.585         	12.746         	1.597          	
1991-09-22	Maize          	15.982         	2.152          	8.028          	3.887          	1.915          	0.5805         	409.03         	279.98         	117.08         	0.206          	0.0175         	0.1423         	0.031          	0.002          	173.020        	32.621         	0.789          	
1992-05-10	Triticale      	3.214          	0.696          	0.000          	0.000          	2.518          	0.0000         	89.06          	89.06          	151.08         	0.043          	0.0033         	0.0000         	0.000          	0.172          	0.000          	42.967         	0.000          	
1992-09-28	Soybean        	10.687         	1.312          	3.158          	0.000          	6.218          	0.3368         	287.13         	287.13         	126.34         	0.302          	0.0130         	0.1580         	0.000          	0.000          	158.009        	143.539        	0.000          	
1993-04-28	RyeBioenergyBM 	2.744          	0.737          	0.000          	1.806          	0.201          	0.0000         	60.10          	60.10          	105.05         	0.049          	0.0039         	0.0000         	0.040          	0.071          	40.306         	8.360          	2.231          	
1993-09-24	Maize          	18.936         	2.721          	8.656          	5.065          	2.495          	0.5338         	402.98         	318.59         	115.97         	0.233          	0.0250         	0.1519         	0.038          	0.000          	189.684        	43.584         	0.745          	
1994-05-10	Triticale      	2.760          	0.677          	0.000          	0.000          	2.083          	0.0000         	92.12          	92.12          	145.55         	0.037          	0.0030         	0.0000         	0.000          	0.179          	0.000          	37.076         	0.000          	
1994-09-24	Soybean        	11.044         	1.270          	3.304          	0.000          	6.470          	0.3381         	298.04         	298.04         	120.44         	0.308          	0.0125         	0.1623         	0.000          	0.000          	162.283        	145.674        	0.000          	
1995-04-28	RyeBioenergyBM 	4.937          	0.933          	0.000          	3.604          	0.400          	0.0000         	108.15         	108.15         	110.87         	0.069          	0.0050         	0.0000         	0.058          	0.096          	57.980         	11.437         	1.609          	
1995-09-23	Maize          	15.593         	2.273          	6.953          	4.266          	2.101          	0.5220         	367.78         	263.00         	127.44         	0.230          	0.0220         	0.1504         	0.039          	0.000          	189.195        	41.099         	0.909          	
1996-05-10	Triticale      	2.273          	0.603          	0.000          	0.000          	1.669          	0.0000         	76.93          	76.93          	165.02         	0.034          	0.0027         	0.0000         	0.000          	0.182          	0.000          	33.725         	0.000          	
1996-09-20	Soybean        	10.890         	1.285          	3.223          	0.000          	6.383          	0.3355         	286.10         	286.02         	140.71         	0.303          	0.0127         	0.1587         	0.000          	0.000          	158.684        	144.616        	0.000          	
1997-04-28	RyeBioenergyBM 	4.214          	0.938          	0.000          	2.948          	0.328          	0.0000         	92.53          	92.53          	114.75         	0.061          	0.0047         	0.0000         	0.050          	0.101          	50.498         	10.261         	1.713          	
1997-09-28	Maize          	19.242         	2.510          	9.704          	4.709          	2.319          	0.5799         	397.40         	322.43         	137.08         	0.218          	0.0219         	0.1479         	0.032          	0.000          	179.878        	37.633         	0.678          	
1998-05-10	Triticale      	3.206          	0.653          	0.000          	0.000          	2.553          	0.0000         	107.82         	107.82         	153.80         	0.040          	0.0029         	0.0000         	0.000          	0.268          	0.000          	40.322         	0.000          	
1998-09-22	Soybean        	10.735         	1.240          	3.188          	0.000          	6.307          	0.3358         	310.30         	305.97         	125.28         	0.301          	0.0122         	0.1575         	0.000          	0.000          	157.534        	142.987        	0.000          	
1999-04-28	RyeBioenergyBM 	5.758          	1.102          	0.000          	4.191          	0.466          	0.0000         	122.64         	122.64         	91.83          	0.075          	0.0055         	0.0000         	0.063          	0.109          	62.568         	12.486         	1.493          	
1999-09-26	Maize          	15.674         	2.145          	7.858          	3.799          	1.871          	0.5808         	430.80         	269.85         	133.65         	0.211          	0.0194         	0.1450         	0.031          	0.000          	176.182        	34.776         	0.822          	
2000-05-10	Triticale      	4.571          	0.817          	0.000          	0.000          	3.755          	0.0000         	144.70         	144.70         	148.80         	0.053          	0.0038         	0.0000         	0.000          	0.219          	0.000          	52.796         	0.000          	
2000-09-25	Soybean        	10.569         	1.286          	3.094          	0.000          	6.189          	0.3333         	282.80         	275.55         	135.80         	0.297          	0.0127         	0.1544         	0.000          	0.000          	154.384        	142.582        	0.000          	
2001-04-28	RyeBioenergyBM 	3.222          	0.827          	0.000          	2.155          	0.239          	0.0000         	65.36          	65.36          	106.41         	0.055          	0.0044         	0.0000         	0.046          	0.070          	45.809         	9.507          	2.125          	
2001-09-27	Maize          	19.991         	2.796          	9.276          	5.306          	2.613          	0.5395         	413.24         	335.12         	137.72         	0.239          	0.0258         	0.1559         	0.038          	0.000          	193.982        	44.544         	0.717          	
2002-05-10	Triticale      	3.029          	0.498          	0.000          	0.000          	2.531          	0.0000         	102.24         	102.24         	178.43         	0.042          	0.0024         	0.0000         	0.000          	0.320          	0.000          	41.664         	0.000          	
2002-09-28	Soybean        	7.034          	1.025          	1.950          	0.000          	4.059          	0.3244         	372.11         	219.88         	109.46         	0.192          	0.0101         	0.0967         	0.000          	0.000          	96.674         	95.341         	0.000          	
2003-04-28	RyeBioenergyBM 	2.403          	0.700          	0.000          	1.533          	0.170          	0.0000         	59.81          	59.81          	124.47         	0.044          	0.0036         	0.0000         	0.036          	0.075          	36.163         	7.580          	2.359          	
2003-09-27	Maize          	21.658         	2.685          	11.169         	5.229          	2.575          	0.5887         	354.29         	345.69         	159.27         	0.235          	0.0237         	0.1610         	0.034          	0.000          	194.845        	40.350         	0.648          	
2004-05-10	Triticale      	2.536          	0.534          	0.000          	0.000          	2.002          	0.0000         	88.38          	88.38          	167.62         	0.034          	0.0024         	0.0000         	0.000          	0.246          	0.000          	34.366         	0.000          	
