DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-27	Maize          	22.390         	2.698          	11.629         	0.000          	8.063          	0.5905         	364.20         	358.74         	170.42         	0.246          	0.0243         	0.1689         	0.000          	0.000          	168.879        	77.095         	0.000          	
1985-05-10	Triticale      	0.420          	0.057          	0.000          	0.000          	0.363          	0.0000         	21.57          	21.57          	160.42         	0.011          	0.0003         	0.0000         	0.000          	0.504          	0.000          	10.931         	0.000          	
1985-09-26	Soybean        	10.696         	1.291          	3.145          	0.000          	6.259          	0.3344         	321.06         	305.69         	147.74         	0.297          	0.0127         	0.1550         	0.000          	0.000          	154.962        	142.335        	0.000          	
1986-04-27	Triticale      	3.911          	0.821          	0.000          	0.000          	3.090          	0.0000         	103.64         	103.64         	100.62         	0.058          	0.0043         	0.0000         	0.000          	0.117          	0.000          	57.672         	0.000          	
1986-09-24	Maize          	21.818         	2.784          	11.323         	0.000          	7.711          	0.5949         	388.72         	366.68         	97.81          	0.271          	0.0256         	0.1878         	0.000          	0.000          	187.827        	83.568         	0.000          	
1987-05-10	Triticale      	1.817          	0.405          	0.000          	0.000          	1.412          	0.0000         	71.15          	71.15          	142.69         	0.027          	0.0018         	0.0000         	0.000          	0.251          	0.000          	27.037         	0.000          	
1987-09-27	Soybean        	8.701          	1.085          	2.486          	0.000          	5.130          	0.3264         	308.32         	262.49         	118.46         	0.258          	0.0107         	0.1319         	0.000          	0.000          	131.890        	125.803        	0.000          	
1988-04-27	Triticale      	3.265          	0.809          	0.000          	0.000          	2.456          	0.0000         	78.52          	78.52          	126.14         	0.052          	0.0042         	0.0000         	0.000          	0.091          	0.000          	52.472         	0.000          	
1988-09-28	Maize          	17.861         	2.218          	9.552          	0.000          	6.092          	0.6106         	392.12         	310.32         	140.15         	0.248          	0.0200         	0.1761         	0.000          	0.000          	176.142        	72.055         	0.000          	
1989-05-10	Triticale      	2.496          	0.598          	0.000          	0.000          	1.898          	0.0000         	86.67          	86.67          	126.51         	0.035          	0.0028         	0.0000         	0.000          	0.185          	0.000          	35.290         	0.000          	
1989-09-25	Soybean        	9.557          	1.194          	2.758          	0.000          	5.605          	0.3298         	283.30         	257.66         	125.61         	0.280          	0.0118         	0.1446         	0.000          	0.000          	144.626        	135.690        	0.000          	
1990-04-27	Triticale      	4.287          	0.933          	0.000          	0.000          	3.354          	0.0000         	103.36         	103.36         	116.19         	0.063          	0.0049         	0.0000         	0.000          	0.098          	0.000          	62.737         	0.000          	
1990-09-18	Maize          	19.313         	2.510          	9.719          	0.000          	7.084          	0.5784         	356.10         	316.26         	119.26         	0.263          	0.0242         	0.1806         	0.000          	0.000          	180.611        	82.651         	0.000          	
1991-05-10	Triticale      	2.717          	0.510          	0.000          	0.000          	2.207          	0.0000         	90.70          	90.70          	156.88         	0.037          	0.0024         	0.0000         	0.000          	0.302          	0.000          	37.404         	0.000          	
1991-09-22	Soybean        	8.534          	1.086          	2.474          	0.000          	4.975          	0.3321         	336.32         	259.58         	95.15          	0.242          	0.0108         	0.1251         	0.000          	0.000          	125.140        	116.690        	0.000          	
1992-04-27	Triticale      	3.375          	0.790          	0.000          	0.000          	2.585          	0.0000         	70.32          	70.32          	117.17         	0.056          	0.0042         	0.0000         	0.000          	0.084          	0.000          	55.971         	0.000          	
1992-09-28	Maize          	22.618         	2.935          	11.589         	0.000          	8.095          	0.5887         	356.90         	356.46         	123.96         	0.268          	0.0278         	0.1829         	0.000          	0.000          	182.916        	85.226         	0.000          	
1993-05-10	Triticale      	0.956          	0.243          	0.000          	0.000          	0.713          	0.0000         	43.31          	43.31          	125.28         	0.017          	0.0012         	0.0000         	0.000          	0.261          	0.000          	17.206         	0.000          	
1993-09-25	Soybean        	9.938          	1.297          	2.796          	0.000          	5.845          	0.3235         	323.54         	287.70         	110.84         	0.283          	0.0128         	0.1435         	0.000          	0.000          	143.485        	139.964        	0.000          	
1994-04-27	Triticale      	3.202          	0.846          	0.000          	0.000          	2.356          	0.0000         	77.17          	77.17          	106.99         	0.053          	0.0043         	0.0000         	0.000          	0.076          	0.000          	52.539         	0.000          	
1994-09-26	Maize          	23.519         	2.830          	12.314         	0.000          	8.375          	0.5952         	371.45         	371.45         	125.69         	0.287          	0.0269         	0.1990         	0.000          	0.000          	199.021        	88.331         	0.000          	
1995-05-10	Triticale      	1.533          	0.276          	0.000          	0.000          	1.257          	0.0000         	57.31          	57.31          	150.75         	0.026          	0.0013         	0.0000         	0.000          	0.314          	0.000          	25.824         	0.000          	
1995-09-23	Soybean        	7.992          	1.019          	2.290          	0.000          	4.683          	0.3284         	284.85         	232.83         	128.47         	0.250          	0.0100         	0.1288         	0.000          	0.000          	128.760        	121.233        	0.000          	
1996-04-27	Triticale      	3.048          	0.851          	0.000          	0.000          	2.197          	0.0000         	72.48          	72.48          	123.76         	0.050          	0.0042         	0.0000         	0.000          	0.077          	0.000          	49.979         	0.000          	
1996-09-22	Maize          	23.131         	2.863          	11.808         	0.000          	8.459          	0.5826         	360.20         	353.86         	136.66         	0.270          	0.0267         	0.1842         	0.000          	0.000          	184.231        	85.627         	0.000          	
1997-05-10	Triticale      	1.203          	0.251          	0.000          	0.000          	0.952          	0.0000         	50.13          	50.13          	145.37         	0.020          	0.0012         	0.0000         	0.000          	0.323          	0.000          	20.215         	0.000          	
1997-09-28	Soybean        	9.978          	1.223          	2.922          	0.000          	5.832          	0.3338         	321.43         	291.13         	123.38         	0.278          	0.0122         	0.1448         	0.000          	0.000          	144.792        	133.654        	0.000          	
1998-04-27	Triticale      	4.661          	0.948          	0.000          	0.000          	3.714          	0.0000         	107.36         	107.36         	111.81         	0.067          	0.0049         	0.0000         	0.000          	0.125          	0.000          	66.708         	0.000          	
1998-09-21	Maize          	22.873         	2.779          	11.797         	0.000          	8.297          	0.5871         	388.82         	375.25         	110.29         	0.269          	0.0259         	0.1847         	0.000          	0.000          	184.684        	84.156         	0.000          	
1999-05-10	Triticale      	1.961          	0.361          	0.000          	0.000          	1.600          	0.0000         	68.06          	68.06          	146.93         	0.030          	0.0017         	0.0000         	0.000          	0.322          	0.000          	29.625         	0.000          	
1999-09-27	Soybean        	7.882          	0.991          	2.301          	0.000          	4.590          	0.3339         	349.23         	236.23         	121.05         	0.210          	0.0098         	0.1087         	0.000          	0.000          	108.675        	100.928        	0.000          	
2000-04-27	Triticale      	4.410          	0.867          	0.000          	0.000          	3.543          	0.0000         	110.40         	110.40         	118.52         	0.061          	0.0044         	0.0000         	0.000          	0.134          	0.000          	61.284         	0.000          	
