DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-24	Soybean        	10.883         	1.244          	3.248          	0.000          	6.390          	0.3370         	298.23         	298.23         	158.52         	0.307          	0.0123         	0.1613         	0.000          	0.000          	161.313        	145.364        	0.000          	
1985-04-27	Triticale      	4.566          	0.884          	0.000          	0.000          	3.683          	0.0000         	123.26         	123.26         	99.21          	0.061          	0.0045         	0.0000         	0.000          	0.169          	0.000          	61.289         	0.000          	
1985-09-25	Maize          	21.285         	2.780          	10.813         	0.000          	7.692          	0.5843         	388.56         	350.16         	132.42         	0.264          	0.0268         	0.1803         	0.000          	0.000          	180.348        	84.142         	0.000          	
1986-05-10	Triticale      	1.349          	0.244          	0.000          	0.000          	1.104          	0.0000         	58.79          	58.79          	142.67         	0.023          	0.0011         	0.0000         	0.000          	0.329          	0.000          	23.499         	0.000          	
1986-09-26	Soybean        	10.857         	1.318          	3.216          	0.000          	6.323          	0.3372         	317.92         	312.43         	106.78         	0.302          	0.0130         	0.1584         	0.000          	0.000          	158.356        	143.537        	0.000          	
1987-04-27	Triticale      	3.652          	0.843          	0.000          	0.000          	2.809          	0.0000         	82.77          	82.77          	120.05         	0.062          	0.0046         	0.0000         	0.000          	0.083          	0.000          	62.372         	0.000          	
1987-09-26	Maize          	17.716         	2.415          	8.469          	0.000          	6.833          	0.5535         	404.47         	308.47         	110.59         	0.266          	0.0239         	0.1798         	0.000          	0.000          	179.777        	86.564         	0.000          	
1988-05-10	Triticale      	2.402          	0.575          	0.000          	0.000          	1.827          	0.0000         	86.41          	86.41          	128.03         	0.032          	0.0025         	0.0000         	0.000          	0.199          	0.000          	32.035         	0.000          	
1988-09-28	Soybean        	9.095          	1.095          	2.730          	0.000          	5.270          	0.3413         	316.31         	273.73         	120.25         	0.255          	0.0109         	0.1352         	0.000          	0.000          	135.203        	120.003        	0.000          	
1989-04-27	Triticale      	3.139          	0.767          	0.000          	0.000          	2.373          	0.0000         	77.71          	77.71          	123.29         	0.051          	0.0040         	0.0000         	0.000          	0.082          	0.000          	50.786         	0.000          	
1989-09-25	Maize          	19.569         	2.612          	9.580          	0.000          	7.378          	0.5649         	350.27         	308.71         	115.88         	0.263          	0.0252         	0.1782         	0.000          	0.000          	178.186        	85.223         	0.000          	
1990-05-10	Triticale      	1.904          	0.399          	0.000          	0.000          	1.505          	0.0000         	79.46          	79.46          	143.37         	0.028          	0.0018         	0.0000         	0.000          	0.297          	0.000          	28.160         	0.000          	
1990-09-18	Soybean        	9.837          	1.220          	2.854          	0.000          	5.763          	0.3312         	291.50         	277.85         	108.93         	0.282          	0.0122         	0.1460         	0.000          	0.000          	145.950        	136.320        	0.000          	
