DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-27	Maize          	22.390         	2.698          	11.629         	0.000          	8.063          	0.5905         	364.20         	358.74         	170.42         	0.246          	0.0243         	0.1689         	0.000          	0.000          	168.879        	77.095         	0.000          	
1985-05-11	RyeBioenergyBS 	7.559          	1.238          	1.309          	4.510          	0.501          	0.2072         	186.63         	186.63         	82.00          	0.085          	0.0063         	0.0272         	0.046          	0.159          	73.231         	11.372         	1.020          	
1985-09-26	Soybean        	10.313         	1.263          	3.028          	0.000          	6.022          	0.3346         	319.90         	294.54         	148.39         	0.289          	0.0125         	0.1505         	0.000          	0.000          	150.545        	138.237        	0.000          	
1986-04-28	RyeBioenergyBM 	5.451          	1.048          	0.000          	3.963          	0.440          	0.0000         	109.16         	109.16         	100.96         	0.088          	0.0060         	0.0000         	0.074          	0.057          	74.060         	14.232         	1.869          	
1986-09-24	Maize          	21.609         	2.752          	11.239         	0.000          	7.618          	0.5960         	387.38         	362.77         	110.42         	0.247          	0.0239         	0.1704         	0.000          	0.000          	170.433        	76.355         	0.000          	
1987-05-11	RyeBioenergyBS 	6.536          	1.209          	0.000          	4.795          	0.533          	0.0000         	127.76         	127.76         	108.29         	0.095          	0.0067         	0.0000         	0.080          	0.059          	79.738         	15.526         	1.663          	
1987-09-27	Soybean        	8.647          	1.080          	2.470          	0.000          	5.097          	0.3264         	308.27         	260.62         	122.02         	0.256          	0.0107         	0.1312         	0.000          	0.000          	131.161        	125.091        	0.000          	
1988-04-28	RyeBioenergyBM 	4.795          	1.096          	0.000          	3.329          	0.370          	0.0000         	87.00          	87.00          	123.87         	0.084          	0.0065         	0.0000         	0.070          	0.035          	69.716         	14.213         	2.094          	
1988-09-28	Maize          	17.699         	2.194          	9.473          	0.000          	6.032          	0.6110         	390.00         	307.41         	155.86         	0.235          	0.0192         	0.1668         	0.000          	0.000          	166.824        	68.391         	0.000          	
1989-05-11	RyeBioenergyBS 	5.983          	1.182          	0.000          	4.320          	0.480          	0.0000         	112.06         	112.06         	114.88         	0.102          	0.0071         	0.0000         	0.085          	0.032          	85.158         	16.569         	1.971          	
1989-09-25	Soybean        	9.542          	1.193          	2.753          	0.000          	5.596          	0.3297         	283.22         	257.24         	131.75         	0.280          	0.0118         	0.1444         	0.000          	0.000          	144.360        	135.513        	0.000          	
1990-04-28	RyeBioenergyBM 	5.869          	1.172          	0.000          	4.227          	0.470          	0.0000         	108.85         	108.85         	115.10         	0.095          	0.0069         	0.0000         	0.079          	0.039          	78.872         	15.674         	1.866          	
