DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-27	Maize          	22.390         	2.698          	11.629         	5.402          	2.661          	0.5905         	364.20         	358.74         	170.42         	0.246          	0.0243         	0.1689         	0.035          	0.000          	204.247        	41.727         	0.655          	
1985-05-10	Triticale      	8.104          	1.299          	0.000          	0.000          	6.805          	0.0000         	188.17         	188.16         	101.91         	0.094          	0.0067         	0.0000         	0.000          	0.129          	0.000          	93.835         	0.000          	
1985-09-26	Soybean        	10.868         	1.310          	3.189          	0.000          	6.370          	0.3336         	321.52         	311.07         	119.24         	0.301          	0.0129         	0.1568         	0.000          	0.000          	156.806        	144.637        	0.000          	
1986-04-28	RyeBioenergyBM 	5.624          	1.071          	0.000          	4.098          	0.455          	0.0000         	109.57         	109.57         	98.89          	0.093          	0.0063         	0.0000         	0.078          	0.049          	78.025         	14.931         	1.904          	
1986-09-24	Maize          	21.617         	2.753          	11.242         	5.107          	2.515          	0.5959         	387.42         	362.91         	110.14         	0.249          	0.0241         	0.1723         	0.036          	0.000          	207.885        	41.572         	0.696          	
1987-05-10	Triticale      	6.780          	1.243          	0.000          	0.000          	5.537          	0.0000         	128.44         	128.44         	147.20         	0.104          	0.0071         	0.0000         	0.000          	0.039          	0.000          	103.539        	0.000          	
1987-09-27	Soybean        	8.882          	1.101          	2.540          	0.000          	5.241          	0.3264         	308.48         	268.62         	105.74         	0.262          	0.0109         	0.1342         	0.000          	0.000          	134.236        	127.987        	0.000          	
1988-04-28	RyeBioenergyBM 	4.957          	1.124          	0.000          	3.450          	0.383          	0.0000         	87.63          	87.63          	121.93         	0.088          	0.0067         	0.0000         	0.073          	0.028          	73.405         	14.902         	2.127          	
1988-09-28	Maize          	17.702         	2.194          	9.474          	4.042          	1.991          	0.6109         	390.03         	307.45         	155.63         	0.237          	0.0193         	0.1682         	0.033          	0.000          	201.433        	35.643         	0.822          	
1989-05-10	Triticale      	6.047          	1.192          	0.000          	0.000          	4.855          	0.0000         	112.13         	112.13         	140.24         	0.106          	0.0073         	0.0000         	0.000          	0.024          	0.000          	105.652        	0.000          	
