DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-27	Maize          	22.390         	2.698          	11.629         	5.402          	2.661          	0.5905         	364.20         	358.74         	170.42         	0.246          	0.0243         	0.1689         	0.035          	0.000          	204.247        	41.727         	0.655          	
1985-05-10	Triticale      	0.692          	0.106          	0.000          	0.000          	0.586          	0.0000         	27.35          	27.34          	214.19         	0.017          	0.0006         	0.0000         	0.000          	0.407          	0.000          	16.798         	0.000          	
1985-09-26	Soybean        	10.662         	1.288          	3.136          	0.000          	6.238          	0.3346         	320.96         	304.60         	150.46         	0.296          	0.0127         	0.1546         	0.000          	0.000          	154.588        	141.882        	0.000          	
1986-04-28	RyeBioenergyBM 	3.922          	0.817          	0.000          	2.795          	0.311          	0.0000         	103.33         	103.33         	100.96         	0.057          	0.0042         	0.0000         	0.047          	0.124          	47.483         	9.501          	1.699          	
1986-09-24	Maize          	21.608         	2.752          	11.238         	5.104          	2.514          	0.5960         	387.37         	362.75         	110.57         	0.245          	0.0238         	0.1688         	0.035          	0.000          	203.661        	40.898         	0.682          	
1987-05-10	Triticale      	2.064          	0.463          	0.000          	0.000          	1.601          	0.0000         	81.36          	81.36          	181.78         	0.028          	0.0020         	0.0000         	0.000          	0.240          	0.000          	28.349         	0.000          	
1987-09-27	Soybean        	8.682          	1.083          	2.480          	0.000          	5.118          	0.3264         	308.30         	261.83         	119.60         	0.257          	0.0107         	0.1316         	0.000          	0.000          	131.613        	125.544        	0.000          	
1988-04-28	RyeBioenergyBM 	3.230          	0.798          	0.000          	2.189          	0.243          	0.0000         	77.73          	77.73          	126.84         	0.051          	0.0041         	0.0000         	0.043          	0.097          	42.606         	8.823          	1.946          	
1988-09-28	Maize          	17.697         	2.194          	9.472          	4.041          	1.990          	0.6110         	389.97         	307.36         	156.18         	0.233          	0.0190         	0.1652         	0.033          	0.000          	197.798        	35.110         	0.808          	
1989-05-10	Triticale      	1.961          	0.481          	0.000          	0.000          	1.480          	0.0000         	74.84          	74.84          	164.18         	0.029          	0.0022         	0.0000         	0.000          	0.213          	0.000          	28.891         	0.000          	
1989-09-25	Soybean        	9.558          	1.194          	2.758          	0.000          	5.605          	0.3298         	283.31         	257.69         	129.08         	0.280          	0.0118         	0.1446         	0.000          	0.000          	144.560        	135.629        	0.000          	
1990-04-28	RyeBioenergyBM 	4.256          	0.921          	0.000          	3.002          	0.334          	0.0000         	102.37         	102.37         	117.14         	0.061          	0.0048         	0.0000         	0.051          	0.107          	50.689         	10.423         	1.689          	
1990-09-18	Maize          	19.126         	2.483          	9.629          	4.699          	2.314          	0.5786         	355.07         	313.05         	140.71         	0.238          	0.0226         	0.1628         	0.035          	0.000          	198.135        	39.982         	0.751          	
1991-05-10	Triticale      	2.210          	0.419          	0.000          	0.000          	1.791          	0.0000         	76.59          	76.59          	200.70         	0.032          	0.0020         	0.0000         	0.000          	0.321          	0.000          	32.397         	0.000          	
1991-09-22	Soybean        	8.514          	1.083          	2.468          	0.000          	4.963          	0.3322         	335.94         	258.91         	96.63          	0.241          	0.0107         	0.1249         	0.000          	0.000          	124.872        	116.399        	0.000          	
1992-04-28	RyeBioenergyBM 	3.362          	0.781          	0.000          	2.323          	0.258          	0.0000         	69.72          	69.72          	118.01         	0.054          	0.0041         	0.0000         	0.045          	0.091          	45.275         	9.136          	1.949          	
1992-09-28	Maize          	22.559         	2.929          	11.558         	5.409          	2.664          	0.5888         	356.81         	355.48         	141.14         	0.239          	0.0260         	0.1622         	0.034          	0.000          	196.359        	42.810         	0.631          	
1993-05-10	Triticale      	1.065          	0.277          	0.000          	0.000          	0.788          	0.0000         	45.85          	45.85          	180.29         	0.018          	0.0013         	0.0000         	0.000          	0.250          	0.000          	18.470         	0.000          	
1993-09-25	Soybean        	9.889          	1.294          	2.779          	0.000          	5.817          	0.3233         	323.44         	286.29         	112.65         	0.282          	0.0128         	0.1428         	0.000          	0.000          	142.777        	139.471        	0.000          	
1994-04-28	RyeBioenergyBM 	3.176          	0.834          	0.000          	2.108          	0.234          	0.0000         	76.20          	76.20          	107.83         	0.051          	0.0042         	0.0000         	0.042          	0.085          	42.149         	8.850          	1.999          	
1994-09-26	Maize          	23.519         	2.830          	12.314         	5.611          	2.764          	0.5952         	371.45         	371.45         	139.15         	0.260          	0.0260         	0.1786         	0.037          	0.000          	215.487        	44.134         	0.658          	
1995-05-10	Triticale      	1.610          	0.303          	0.000          	0.000          	1.307          	0.0000         	59.62          	59.62          	196.13         	0.026          	0.0014         	0.0000         	0.000          	0.309          	0.000          	26.338         	0.000          	
1995-09-23	Soybean        	7.903          	1.015          	2.257          	0.000          	4.631          	0.3277         	284.39         	230.21         	127.56         	0.248          	0.0100         	0.1276         	0.000          	0.000          	127.552        	120.542        	0.000          	
1996-04-28	RyeBioenergyBM 	3.046          	0.843          	0.000          	1.983          	0.220          	0.0000         	71.68          	71.68          	124.88         	0.049          	0.0041         	0.0000         	0.040          	0.083          	40.092         	8.547          	2.022          	
1996-09-22	Maize          	23.113         	2.863          	11.796         	5.664          	2.790          	0.5825         	360.17         	353.55         	152.08         	0.246          	0.0255         	0.1669         	0.036          	0.000          	202.642        	43.085         	0.631          	
1997-05-10	Triticale      	1.334          	0.289          	0.000          	0.000          	1.046          	0.0000         	52.92          	52.92          	201.83         	0.022          	0.0013         	0.0000         	0.000          	0.300          	0.000          	21.605         	0.000          	
1997-09-28	Soybean        	9.964          	1.222          	2.918          	0.000          	5.824          	0.3338         	321.32         	290.67         	125.38         	0.278          	0.0121         	0.1445         	0.000          	0.000          	144.513        	133.400        	0.000          	
1998-04-28	RyeBioenergyBM 	4.603          	0.930          	0.000          	3.306          	0.367          	0.0000         	106.46         	106.46         	112.70         	0.064          	0.0048         	0.0000         	0.054          	0.133          	53.769         	10.728         	1.626          	
1998-09-21	Maize          	22.876         	2.779          	11.800         	5.559          	2.738          	0.5871         	388.82         	375.30         	127.70         	0.242          	0.0245         	0.1652         	0.035          	0.000          	200.172        	41.675         	0.629          	
1999-05-10	Triticale      	1.879          	0.357          	0.000          	0.000          	1.522          	0.0000         	66.84          	66.84          	194.78         	0.028          	0.0017         	0.0000         	0.000          	0.328          	0.000          	28.334         	0.000          	
1999-09-27	Soybean        	7.871          	0.990          	2.298          	0.000          	4.583          	0.3339         	349.11         	235.88         	123.88         	0.209          	0.0098         	0.1085         	0.000          	0.000          	108.532        	100.787        	0.000          	
2000-04-28	RyeBioenergyBM 	4.233          	0.837          	0.000          	3.056          	0.340          	0.0000         	109.26         	109.26         	119.68         	0.058          	0.0042         	0.0000         	0.049          	0.145          	48.520         	9.610          	1.588          	
2000-09-24	Maize          	22.032         	2.834          	10.949         	5.527          	2.722          	0.5703         	360.92         	335.21         	144.97         	0.222          	0.0242         	0.1485         	0.033          	0.000          	181.486        	40.458         	0.597          	
2001-05-10	Triticale      	1.379          	0.354          	0.000          	0.000          	1.025          	0.0000         	59.13          	59.13          	156.54         	0.021          	0.0016         	0.0000         	0.000          	0.239          	0.000          	21.126         	0.000          	
2001-09-27	Soybean        	10.128         	1.314          	2.855          	0.000          	5.959          	0.3239         	338.76         	296.21         	137.91         	0.284          	0.0130         	0.1440         	0.000          	0.000          	144.022        	140.299        	0.000          	
2002-04-28	RyeBioenergyBM 	4.414          	0.725          	0.566          	2.810          	0.312          	0.1536         	108.06         	108.06         	121.59         	0.067          	0.0039         	0.0157         	0.043          	0.180          	58.236         	8.636          	1.513          	
2002-09-28	Maize          	13.575         	2.145          	6.304          	3.434          	1.691          	0.5516         	440.99         	243.33         	139.01         	0.199          	0.0211         	0.1315         	0.031          	0.000          	162.392        	36.352         	0.900          	
2003-05-10	Triticale      	2.370          	0.632          	0.000          	0.000          	1.738          	0.0000         	75.17          	75.17          	162.61         	0.037          	0.0030         	0.0000         	0.000          	0.155          	0.000          	37.282         	0.000          	
