DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-24	Soybean        	10.883         	1.244          	3.248          	0.000          	6.390          	0.3370         	298.23         	298.23         	158.52         	0.307          	0.0123         	0.1613         	0.000          	0.000          	161.313        	145.364        	0.000          	
1985-04-28	RyeBioenergyBM 	4.594          	0.888          	0.000          	3.335          	0.371          	0.0000         	123.26         	123.26         	99.36          	0.062          	0.0045         	0.0000         	0.051          	0.173          	51.449         	10.211         	1.543          	
1985-09-25	Maize          	20.848         	2.735          	10.626         	5.016          	2.471          	0.5867         	387.75         	341.59         	152.47         	0.240          	0.0250         	0.1635         	0.035          	0.000          	198.151        	42.032         	0.690          	
1986-05-10	Triticale      	1.441          	0.275          	0.000          	0.000          	1.166          	0.0000         	61.42          	61.42          	178.44         	0.024          	0.0013         	0.0000         	0.000          	0.315          	0.000          	24.278         	0.000          	
1986-09-26	Soybean        	10.834         	1.315          	3.210          	0.000          	6.309          	0.3372         	317.61         	311.60         	108.33         	0.301          	0.0130         	0.1580         	0.000          	0.000          	157.951        	143.127        	0.000          	
1987-04-28	RyeBioenergyBM 	3.672          	0.839          	0.000          	2.550          	0.283          	0.0000         	82.38          	82.38          	120.51         	0.062          	0.0045         	0.0000         	0.051          	0.088          	51.401         	10.247         	2.016          	
1987-09-26	Maize          	17.546         	2.398          	8.394          	4.525          	2.229          	0.5542         	404.31         	305.20         	119.03         	0.237          	0.0234         	0.1586         	0.037          	0.000          	195.638        	41.589         	0.817          	
1988-05-10	Triticale      	2.098          	0.513          	0.000          	0.000          	1.585          	0.0000         	81.15          	81.15          	169.79         	0.028          	0.0022         	0.0000         	0.000          	0.213          	0.000          	27.893         	0.000          	
1988-09-28	Soybean        	9.079          	1.093          	2.725          	0.000          	5.261          	0.3413         	316.04         	273.21         	122.26         	0.255          	0.0109         	0.1350         	0.000          	0.000          	134.996        	119.817        	0.000          	
1989-04-28	RyeBioenergyBM 	3.095          	0.753          	0.000          	2.108          	0.234          	0.0000         	76.73          	76.73          	124.04         	0.049          	0.0038         	0.0000         	0.041          	0.091          	40.593         	8.323          	1.926          	
1989-09-25	Maize          	19.537         	2.610          	9.557          	4.938          	2.432          	0.5646         	350.20         	308.23         	134.99         	0.242          	0.0242         	0.1631         	0.037          	0.000          	199.899        	42.382         	0.746          	
1990-05-10	Triticale      	1.862          	0.403          	0.000          	0.000          	1.459          	0.0000         	77.18          	77.18          	188.51         	0.027          	0.0018         	0.0000         	0.000          	0.291          	0.000          	27.354         	0.000          	
1990-09-18	Soybean        	9.821          	1.217          	2.849          	0.000          	5.754          	0.3312         	291.29         	277.39         	110.04         	0.282          	0.0121         	0.1457         	0.000          	0.000          	145.660        	136.053        	0.000          	
1991-04-28	RyeBioenergyBM 	5.349          	1.017          	0.000          	3.899          	0.433          	0.0000         	114.62         	114.62         	115.78         	0.074          	0.0056         	0.0000         	0.062          	0.111          	61.864         	12.434         	1.587          	
1991-09-22	Maize          	16.062         	2.163          	8.065          	3.909          	1.925          	0.5802         	410.64         	280.76         	116.46         	0.221          	0.0191         	0.1529         	0.033          	0.000          	185.894        	35.381         	0.844          	
1992-05-10	Triticale      	2.248          	0.504          	0.000          	0.000          	1.744          	0.0000         	70.92          	70.92          	169.85         	0.032          	0.0023         	0.0000         	0.000          	0.214          	0.000          	31.881         	0.000          	
1992-09-28	Soybean        	10.687         	1.312          	3.158          	0.000          	6.218          	0.3368         	287.13         	287.13         	128.18         	0.301          	0.0130         	0.1580         	0.000          	0.000          	157.967        	143.505        	0.000          	
1993-04-28	RyeBioenergyBM 	2.673          	0.721          	0.000          	1.757          	0.195          	0.0000         	59.63          	59.63          	105.43         	0.047          	0.0038         	0.0000         	0.039          	0.074          	39.014         	8.085          	2.220          	
1993-09-24	Maize          	18.935         	2.721          	8.655          	5.064          	2.494          	0.5338         	402.98         	318.58         	115.64         	0.245          	0.0260         	0.1595         	0.040          	0.000          	199.102        	45.464         	0.782          	
1994-05-10	Triticale      	1.937          	0.491          	0.000          	0.000          	1.446          	0.0000         	74.77          	74.77          	155.86         	0.027          	0.0021         	0.0000         	0.000          	0.210          	0.000          	27.434         	0.000          	
1994-09-24	Soybean        	11.044         	1.270          	3.304          	0.000          	6.470          	0.3381         	298.04         	298.04         	122.27         	0.308          	0.0125         	0.1622         	0.000          	0.000          	162.207        	145.612        	0.000          	
1995-04-28	RyeBioenergyBM 	4.820          	0.917          	0.000          	3.513          	0.390          	0.0000         	107.87         	107.87         	111.18         	0.067          	0.0049         	0.0000         	0.056          	0.100          	56.007         	11.081         	1.594          	
1995-09-23	Maize          	15.599         	2.273          	6.957          	4.267          	2.102          	0.5221         	367.79         	263.09         	127.04         	0.241          	0.0224         	0.1577         	0.041          	0.000          	198.427        	42.465         	0.953          	
1996-05-10	Triticale      	1.678          	0.456          	0.000          	0.000          	1.221          	0.0000         	66.40          	66.40          	172.37         	0.026          	0.0020         	0.0000         	0.000          	0.212          	0.000          	25.538         	0.000          	
1996-09-20	Soybean        	10.890         	1.285          	3.223          	0.000          	6.383          	0.3355         	286.10         	286.02         	141.70         	0.303          	0.0127         	0.1586         	0.000          	0.000          	158.635        	144.575        	0.000          	
1997-04-28	RyeBioenergyBM 	4.079          	0.914          	0.000          	2.849          	0.317          	0.0000         	91.57          	91.57          	115.62         	0.058          	0.0045         	0.0000         	0.049          	0.106          	48.560         	9.895          	1.704          	
1997-09-28	Maize          	19.244         	2.510          	9.705          	4.710          	2.320          	0.5799         	397.41         	322.47         	136.54         	0.230          	0.0232         	0.1561         	0.034          	0.000          	189.784        	39.831         	0.716          	
1998-05-10	Triticale      	1.874          	0.389          	0.000          	0.000          	1.486          	0.0000         	69.87          	69.87          	190.05         	0.028          	0.0018         	0.0000         	0.000          	0.330          	0.000          	28.376         	0.000          	
1998-09-22	Soybean        	10.742         	1.241          	3.191          	0.000          	6.310          	0.3358         	310.31         	306.17         	129.03         	0.301          	0.0122         	0.1576         	0.000          	0.000          	157.570        	143.003        	0.000          	
1999-04-28	RyeBioenergyBM 	5.558          	1.072          	0.000          	4.037          	0.449          	0.0000         	121.96         	121.96         	92.49          	0.072          	0.0053         	0.0000         	0.060          	0.117          	59.647         	11.907         	1.478          	
1999-09-26	Maize          	15.671         	2.145          	7.857          	3.798          	1.871          	0.5809         	430.78         	269.78         	133.04         	0.220          	0.0200         	0.1511         	0.033          	0.000          	183.681        	36.077         	0.857          	
2000-05-10	Triticale      	3.635          	0.669          	0.000          	0.000          	2.966          	0.0000         	129.32         	129.32         	161.22         	0.042          	0.0030         	0.0000         	0.000          	0.259          	0.000          	42.277         	0.000          	
2000-09-25	Soybean        	10.557         	1.285          	3.090          	0.000          	6.182          	0.3332         	282.79         	275.21         	139.83         	0.297          	0.0127         	0.1541         	0.000          	0.000          	154.124        	142.395        	0.000          	
2001-04-28	RyeBioenergyBM 	3.103          	0.802          	0.000          	2.070          	0.230          	0.0000         	64.66          	64.66          	107.05         	0.053          	0.0042         	0.0000         	0.044          	0.075          	43.565         	9.077          	2.104          	
2001-09-27	Maize          	19.986         	2.796          	9.273          	5.305          	2.613          	0.5394         	413.25         	335.02         	136.91         	0.245          	0.0268         	0.1601         	0.039          	0.000          	199.178        	46.012         	0.736          	
2002-05-10	Triticale      	1.873          	0.300          	0.000          	0.000          	1.574          	0.0000         	68.80          	68.80          	209.69         	0.031          	0.0014         	0.0000         	0.000          	0.375          	0.000          	30.653         	0.000          	
2002-09-28	Soybean        	6.990          	1.019          	1.938          	0.000          	4.032          	0.3247         	371.72         	218.51         	111.60         	0.191          	0.0100         	0.0961         	0.000          	0.000          	96.081         	94.659         	0.000          	
2003-04-28	RyeBioenergyBM 	2.252          	0.660          	0.000          	1.432          	0.159          	0.0000         	57.86          	57.86          	126.63         	0.041          	0.0033         	0.0000         	0.034          	0.081          	33.883         	7.093          	2.366          	
2003-09-27	Maize          	21.658         	2.685          	11.169         	5.229          	2.575          	0.5887         	354.29         	345.69         	158.61         	0.239          	0.0243         	0.1631         	0.034          	0.000          	197.393        	41.162         	0.657          	
2004-05-10	Triticale      	1.489          	0.311          	0.000          	0.000          	1.178          	0.0000         	57.00          	57.00          	195.33         	0.025          	0.0015         	0.0000         	0.000          	0.293          	0.000          	24.529         	0.000          	
