DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-17	Maize          	20.572         	2.689          	10.159         	0.000          	7.724          	0.5681         	338.18         	338.18         	151.60         	0.192          	0.0207         	0.1282         	0.000          	0.024          	128.227        	63.505         	0.000          	
1985-05-20	Triticale      	1.202          	0.235          	0.000          	0.000          	0.967          	0.0000         	63.69          	63.69          	169.78         	0.019          	0.0011         	0.0000         	0.000          	0.434          	0.000          	19.399         	0.000          	
1985-09-13	Soybean        	8.388          	1.176          	2.309          	0.000          	4.904          	0.3201         	253.27         	235.91         	132.77         	0.256          	0.0119         	0.1285         	0.000          	0.000          	128.489        	127.930        	0.000          	
1986-05-07	Triticale      	3.510          	0.766          	0.000          	0.000          	2.744          	0.0000         	107.97         	107.97         	125.57         	0.049          	0.0037         	0.0000         	0.000          	0.161          	0.000          	48.633         	0.000          	
1986-09-17	Maize          	18.950         	2.778          	9.004          	0.000          	7.168          	0.5568         	341.91         	300.13         	110.64         	0.232          	0.0258         	0.1534         	0.000          	0.000          	153.432        	78.763         	0.000          	
1987-05-20	Triticale      	1.695          	0.372          	0.000          	0.000          	1.323          	0.0000         	82.99          	82.99          	161.80         	0.024          	0.0016         	0.0000         	0.000          	0.291          	0.000          	23.764         	0.000          	
1987-09-26	Soybean        	9.970          	1.177          	2.931          	0.000          	5.862          	0.3333         	287.17         	282.18         	137.54         	0.286          	0.0117         	0.1490         	0.000          	0.000          	148.954        	136.950        	0.000          	
1988-05-07	Triticale      	2.725          	0.665          	0.000          	0.000          	2.060          	0.0000         	76.10          	76.10          	130.12         	0.044          	0.0034         	0.0000         	0.000          	0.122          	0.000          	43.670         	0.000          	
1988-09-28	Maize          	16.533         	2.306          	8.133          	0.000          	6.094          	0.5717         	375.17         	295.00         	121.99         	0.228          	0.0196         	0.1569         	0.000          	0.007          	156.910        	71.390         	0.000          	
1989-05-20	Triticale      	2.147          	0.503          	0.000          	0.000          	1.644          	0.0000         	80.72          	80.72          	142.90         	0.030          	0.0023         	0.0000         	0.000          	0.224          	0.000          	30.174         	0.000          	
1989-09-24	Soybean        	9.292          	1.156          	2.716          	0.000          	5.421          	0.3338         	255.76         	242.40         	131.42         	0.275          	0.0115         	0.1435         	0.000          	0.000          	143.491        	131.847        	0.000          	
1990-05-07	Triticale      	3.638          	0.764          	0.000          	0.000          	2.874          	0.0000         	100.55         	100.55         	132.48         	0.054          	0.0040         	0.0000         	0.000          	0.151          	0.000          	54.457         	0.000          	
