DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-17	Soybean        	8.924          	1.113          	2.591          	0.000          	5.220          	0.3317         	245.88         	245.88         	155.15         	0.267          	0.0112         	0.1385         	0.000          	0.000          	138.528        	128.757        	0.000          	
1985-09-13	Maize          	16.652         	2.613          	7.048          	0.000          	6.991          	0.5020         	331.85         	270.63         	136.29         	0.242          	0.0262         	0.1531         	0.000          	0.000          	153.102        	89.141         	0.000          	
1986-09-17	Soybean        	9.428          	1.211          	2.743          	0.000          	5.474          	0.3338         	262.25         	254.49         	115.85         	0.278          	0.0122         	0.1447         	0.000          	0.000          	144.691        	133.539        	0.000          	
1987-09-26	Maize          	20.559         	2.555          	10.328         	0.000          	7.677          	0.5736         	366.04         	336.10         	135.84         	0.268          	0.0248         	0.1831         	0.000          	0.000          	183.056        	84.866         	0.000          	
1988-10-06	Soybean        	9.555          	1.198          	2.802          	0.000          	5.555          	0.3353         	322.53         	291.69         	100.59         	0.276          	0.0119         	0.1440         	0.000          	0.000          	143.989        	131.795        	0.000          	
1989-09-24	Maize          	19.834         	2.600          	9.941          	0.000          	7.293          	0.5768         	331.69         	302.55         	118.94         	0.260          	0.0249         	0.1777         	0.000          	0.000          	177.712        	82.722         	0.000          	
1990-09-18	Soybean        	9.425          	1.170          	2.752          	0.000          	5.503          	0.3334         	254.66         	254.66         	133.15         	0.279          	0.0117         	0.1455         	0.000          	0.000          	145.493        	134.006        	0.000          	
1991-09-21	Maize          	17.037         	2.337          	8.163          	0.000          	6.538          	0.5553         	377.48         	291.53         	84.11          	0.255          	0.0230         	0.1725         	0.000          	0.000          	172.474        	82.848         	0.000          	
1992-09-25	Soybean        	9.974          	1.220          	2.970          	0.000          	5.784          	0.3392         	249.18         	249.18         	119.43         	0.289          	0.0122         	0.1525         	0.000          	0.000          	152.517        	136.614        	0.000          	
1993-09-30	Maize          	17.659         	2.396          	8.940          	0.000          	6.323          	0.5857         	356.67         	284.96         	114.81         	0.251          	0.0229         	0.1735         	0.000          	0.000          	173.488        	77.849         	0.000          	
1994-09-29	Soybean        	10.630         	1.206          	3.198          	0.000          	6.225          	0.3394         	274.18         	274.18         	134.25         	0.300          	0.0119         	0.1586         	0.000          	0.000          	158.550        	141.102        	0.000          	
1995-09-11	Maize          	14.747         	2.297          	6.401          	0.000          	6.050          	0.5141         	335.57         	246.42         	112.38         	0.242          	0.0230         	0.1572         	0.000          	0.000          	157.211        	85.131         	0.000          	
