DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-17	Maize          	20.572         	2.689          	10.159         	0.000          	7.724          	0.5681         	338.18         	338.18         	151.60         	0.192          	0.0207         	0.1282         	0.000          	0.024          	128.227        	63.505         	0.000          	
1985-05-21	RyeBioenergyBS 	7.703          	1.208          	1.521          	4.476          	0.497          	0.2342         	182.88         	182.88         	101.81         	0.093          	0.0063         	0.0342         	0.047          	0.141          	81.575         	11.604         	1.058          	
1985-09-13	Soybean        	7.731          	1.132          	2.069          	0.000          	4.531          	0.3134         	252.97         	219.38         	134.76         	0.241          	0.0115         	0.1187         	0.000          	0.000          	118.746        	122.674        	0.000          	
1986-05-08	RyeBioenergyBM 	5.197          	1.041          	0.000          	3.740          	0.416          	0.0000         	119.23         	119.23         	124.68         	0.077          	0.0057         	0.0000         	0.064          	0.095          	64.386         	12.840         	1.721          	
1986-09-17	Maize          	18.572         	2.759          	8.732          	0.000          	7.080          	0.5522         	341.49         	294.47         	127.44         	0.211          	0.0240         	0.1388         	0.000          	0.000          	138.810        	72.631         	0.000          	
1987-05-21	RyeBioenergyBS 	6.614          	1.197          	0.000          	4.876          	0.542          	0.0000         	142.79         	142.79         	136.05         	0.093          	0.0065         	0.0000         	0.078          	0.083          	77.687         	15.167         	1.593          	
1987-09-26	Soybean        	9.868          	1.167          	2.896          	0.000          	5.804          	0.3328         	287.15         	278.96         	137.72         	0.283          	0.0116         	0.1474         	0.000          	0.000          	147.376        	135.848        	0.000          	
1988-05-08	RyeBioenergyBM 	4.466          	0.987          	0.000          	3.131          	0.348          	0.0000         	86.84          	86.84          	126.76         	0.076          	0.0057         	0.0000         	0.063          	0.052          	63.212         	12.701         	2.019          	
1988-09-28	Maize          	15.976         	2.237          	7.859          	0.000          	5.880          	0.5720         	362.73         	287.04         	136.63         	0.211          	0.0184         	0.1452         	0.000          	0.014          	145.210        	66.275         	0.000          	
1989-05-21	RyeBioenergyBS 	6.166          	1.166          	0.000          	4.500          	0.500          	0.0000         	112.19         	112.19         	131.61         	0.099          	0.0068         	0.0000         	0.083          	0.046          	82.702         	15.998         	1.838          	
1989-09-24	Soybean        	9.295          	1.156          	2.717          	0.000          	5.422          	0.3338         	255.75         	242.48         	137.34         	0.275          	0.0115         	0.1434         	0.000          	0.000          	143.438        	131.795        	0.000          	
1990-05-08	RyeBioenergyBM 	5.464          	1.037          	0.000          	3.984          	0.443          	0.0000         	110.18         	110.18         	128.29         	0.087          	0.0061         	0.0000         	0.073          	0.073          	72.500         	14.142         	1.820          	
1990-09-18	Maize          	20.416         	2.677          	10.206         	0.000          	7.534          	0.5753         	321.94         	321.94         	154.20         	0.229          	0.0231         	0.1553         	0.000          	0.000          	155.327        	73.845         	0.000          	
1991-05-21	RyeBioenergyBS 	8.080          	1.227          	1.665          	4.670          	0.519          	0.2429         	168.05         	168.05         	120.36         	0.100          	0.0068         	0.0379         	0.049          	0.132          	87.197         	12.303         	1.056          	
1991-09-21	Soybean        	7.911          	1.018          	2.249          	0.000          	4.644          	0.3263         	278.17         	233.04         	89.17          	0.242          	0.0101         	0.1238         	0.000          	0.000          	123.759        	118.129        	0.000          	
1992-05-08	RyeBioenergyBM 	4.721          	0.909          	0.000          	3.431          	0.381          	0.0000         	83.03          	83.03          	124.55         	0.080          	0.0053         	0.0000         	0.067          	0.057          	66.978         	12.716         	1.952          	
1992-09-25	Maize          	21.399         	2.801          	10.931         	0.000          	7.667          	0.5877         	317.82         	317.82         	126.61         	0.230          	0.0240         	0.1567         	0.000          	0.000          	156.675        	73.370         	0.000          	
1993-05-21	RyeBioenergyBS 	5.081          	1.066          	0.000          	3.613          	0.401          	0.0000         	121.56         	121.56         	107.09         	0.077          	0.0057         	0.0000         	0.064          	0.100          	64.373         	12.867         	1.782          	
1993-09-28	Soybean        	8.886          	1.118          	2.617          	0.000          	5.152          	0.3368         	283.58         	247.05         	116.09         	0.259          	0.0111         	0.1358         	0.000          	0.000          	135.824        	123.256        	0.000          	
1994-05-08	RyeBioenergyBM 	3.833          	0.943          	0.000          	2.600          	0.289          	0.0000         	89.20          	89.20          	111.80         	0.062          	0.0049         	0.0000         	0.052          	0.095          	51.739         	10.682         	1.990          	
1994-09-28	Maize          	22.653         	2.733          	11.912         	0.000          	8.007          	0.5980         	344.43         	344.43         	144.35         	0.245          	0.0235         	0.1693         	0.000          	0.000          	169.327        	75.354         	0.000          	
1995-05-21	RyeBioenergyBS 	6.930          	1.080          	1.190          	4.195          	0.466          	0.2034         	135.73         	135.73         	114.04         	0.093          	0.0059         	0.0298         	0.052          	0.104          	81.754         	11.661         	1.238          	
1995-09-11	Soybean        	6.679          	0.987          	1.790          	0.000          	3.902          	0.3145         	257.74         	196.08         	124.11         	0.218          	0.0099         	0.1078         	0.000          	0.000          	107.815        	110.321        	0.000          	
1996-05-08	RyeBioenergyBM 	4.020          	0.992          	0.000          	2.725          	0.303          	0.0000         	83.53          	83.53          	142.68         	0.074          	0.0058         	0.0000         	0.061          	0.057          	61.240         	12.593         	2.247          	
1996-09-25	Maize          	22.857         	2.847          	11.755         	0.000          	8.255          	0.5874         	350.08         	350.08         	153.45         	0.229          	0.0238         	0.1562         	0.000          	0.000          	156.224        	73.027         	0.000          	
