DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-17	Soybean        	8.924          	1.113          	2.591          	0.000          	5.220          	0.3317         	245.88         	245.88         	155.15         	0.267          	0.0112         	0.1385         	0.000          	0.000          	138.528        	128.757        	0.000          	
1985-05-08	RyeBioenergyBM 	6.208          	1.100          	0.879          	3.807          	0.423          	0.1720         	137.52         	137.52         	105.36         	0.087          	0.0060         	0.0229         	0.052          	0.104          	74.835         	11.759         	1.364          	
1985-09-13	Maize          	16.123         	2.580          	6.675          	4.601          	2.266          	0.4929         	330.87         	262.45         	145.96         	0.193          	0.0221         	0.1202         	0.034          	0.000          	154.330        	38.979         	0.743          	
1986-05-20	Triticale      	7.184          	1.241          	0.000          	0.000          	5.943          	0.0000         	163.03         	163.03         	138.84         	0.097          	0.0069         	0.0000         	0.000          	0.103          	0.000          	96.597         	0.000          	
1986-09-17	Soybean        	9.246          	1.203          	2.677          	0.000          	5.366          	0.3328         	262.02         	249.86         	102.62         	0.274          	0.0121         	0.1422         	0.000          	0.000          	142.228        	132.011        	0.000          	
1987-05-08	RyeBioenergyBM 	5.038          	1.050          	0.000          	3.589          	0.399          	0.0000         	96.14          	96.14          	138.58         	0.085          	0.0061         	0.0000         	0.071          	0.047          	70.645         	13.952         	1.968          	
1987-09-26	Maize          	20.558         	2.565          	10.284         	5.165          	2.544          	0.5715         	366.98         	335.89         	140.28         	0.230          	0.0226         	0.1559         	0.034          	0.000          	190.374        	39.573         	0.668          	
1988-05-20	Triticale      	6.302          	1.196          	0.000          	0.000          	5.106          	0.0000         	126.73         	126.73         	160.18         	0.096          	0.0068         	0.0000         	0.000          	0.062          	0.000          	96.401         	0.000          	
1988-09-28	Soybean        	9.159          	1.186          	2.656          	0.000          	5.317          	0.3331         	312.58         	282.31         	90.28          	0.269          	0.0119         	0.1393         	0.000          	0.000          	139.342        	129.240        	0.000          	
1989-05-08	RyeBioenergyBM 	4.294          	0.958          	0.000          	3.002          	0.334          	0.0000         	85.96          	85.96          	132.25         	0.075          	0.0055         	0.0000         	0.063          	0.050          	62.625         	12.501         	2.086          	
1989-09-24	Maize          	19.806         	2.612          	9.846          	4.922          	2.424          	0.5727         	332.65         	302.14         	140.82         	0.232          	0.0237         	0.1568         	0.035          	0.000          	191.355        	40.743         	0.703          	
1990-05-20	Triticale      	7.306          	1.197          	0.000          	0.000          	6.109          	0.0000         	146.55         	146.55         	156.73         	0.103          	0.0068         	0.0000         	0.000          	0.083          	0.000          	102.572        	0.000          	
1990-09-18	Soybean        	9.425          	1.170          	2.752          	0.000          	5.503          	0.3334         	254.66         	254.66         	110.49         	0.279          	0.0117         	0.1452         	0.000          	0.000          	145.173        	133.736        	0.000          	
1991-05-08	RyeBioenergyBM 	6.845          	1.160          	1.038          	4.182          	0.465          	0.1826         	126.03         	126.03         	119.75         	0.099          	0.0068         	0.0280         	0.058          	0.077          	85.784         	13.263         	1.382          	
1991-09-21	Maize          	15.984         	2.210          	7.643          	4.108          	2.023          	0.5549         	361.16         	273.67         	90.08          	0.205          	0.0197         	0.1374         	0.032          	0.004          	169.367        	35.490         	0.778          	
1992-05-20	Triticale      	6.634          	1.084          	0.000          	0.000          	5.550          	0.0000         	114.47         	114.47         	145.42         	0.106          	0.0066         	0.0000         	0.000          	0.047          	0.000          	105.740        	0.000          	
1992-09-25	Soybean        	9.974          	1.220          	2.970          	0.000          	5.784          	0.3392         	249.18         	249.18         	103.34         	0.289          	0.0122         	0.1522         	0.000          	0.000          	152.170        	136.331        	0.000          	
1993-05-08	RyeBioenergyBM 	3.619          	0.900          	0.000          	2.448          	0.272          	0.0000         	81.45          	81.45          	110.75         	0.067          	0.0051         	0.0000         	0.056          	0.067          	55.623         	11.241         	2.273          	
1993-09-28	Maize          	17.527         	2.394          	8.764          	4.267          	2.102          	0.5791         	355.81         	283.06         	120.46         	0.225          	0.0213         	0.1537         	0.033          	0.000          	187.014        	37.679         	0.780          	
1994-05-20	Triticale      	5.903          	1.236          	0.000          	0.000          	4.667          	0.0000         	126.73         	126.73         	136.24         	0.085          	0.0066         	0.0000         	0.000          	0.092          	0.000          	84.819         	0.000          	
1994-09-28	Soybean        	10.572         	1.204          	3.177          	0.000          	6.190          	0.3392         	273.11         	273.11         	127.83         	0.298          	0.0119         	0.1578         	0.000          	0.000          	157.770        	140.596        	0.000          	
1995-05-08	RyeBioenergyBM 	5.564          	0.974          	0.000          	4.131          	0.459          	0.0000         	103.69         	103.69         	115.78         	0.086          	0.0056         	0.0000         	0.072          	0.068          	72.333         	13.650         	1.751          	
1995-09-11	Maize          	14.624         	2.300          	6.203          	4.101          	2.020          	0.5033         	337.10         	244.42         	128.75         	0.222          	0.0226         	0.1416         	0.039          	0.000          	180.410        	41.744         	0.947          	
1996-05-20	Triticale      	5.684          	1.200          	0.000          	0.000          	4.484          	0.0000         	114.99         	114.99         	157.57         	0.092          	0.0070         	0.0000         	0.000          	0.062          	0.000          	91.832         	0.000          	
1996-09-24	Soybean        	10.538         	1.264          	3.109          	0.000          	6.165          	0.3352         	275.10         	275.10         	131.50         	0.297          	0.0125         	0.1554         	0.000          	0.000          	155.391        	141.886        	0.000          	
1997-05-08	RyeBioenergyBM 	5.194          	1.041          	0.000          	3.737          	0.415          	0.0000         	105.21         	105.21         	123.00         	0.080          	0.0058         	0.0000         	0.067          	0.065          	66.702         	13.171         	1.785          	
