DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-17	Maize          	20.572         	2.689          	10.159         	5.175          	2.549          	0.5681         	338.18         	338.18         	151.60         	0.192          	0.0207         	0.1282         	0.029          	0.024          	156.900        	34.832         	0.554          	
1985-05-20	Triticale      	1.850          	0.357          	0.000          	0.000          	1.493          	0.0000         	94.83          	94.83          	182.58         	0.025          	0.0016         	0.0000         	0.000          	0.407          	0.000          	24.592         	0.000          	
1985-09-13	Soybean        	8.391          	1.176          	2.309          	0.000          	4.906          	0.3201         	253.27         	235.98         	132.21         	0.256          	0.0119         	0.1285         	0.000          	0.000          	128.512        	127.938        	0.000          	
1986-05-08	RyeBioenergyBM 	3.563          	0.768          	0.000          	2.515          	0.279          	0.0000         	107.79         	107.79         	125.64         	0.049          	0.0038         	0.0000         	0.041          	0.167          	41.004         	8.313          	1.630          	
1986-09-17	Maize          	18.765         	2.768          	8.872          	4.774          	2.351          	0.5546         	341.74         	297.46         	127.79         	0.211          	0.0240         	0.1386         	0.032          	0.000          	170.840        	39.850         	0.676          	
1987-05-20	Triticale      	1.798          	0.395          	0.000          	0.000          	1.403          	0.0000         	86.23          	86.23          	204.73         	0.025          	0.0017         	0.0000         	0.000          	0.286          	0.000          	24.526         	0.000          	
1987-09-26	Soybean        	9.968          	1.176          	2.930          	0.000          	5.861          	0.3333         	287.17         	282.13         	137.75         	0.286          	0.0117         	0.1489         	0.000          	0.000          	148.891        	136.901        	0.000          	
1988-05-08	RyeBioenergyBM 	2.747          	0.662          	0.000          	1.877          	0.209          	0.0000         	75.74          	75.74          	130.47         	0.043          	0.0033         	0.0000         	0.036          	0.130          	35.728         	7.262          	1.903          	
1988-09-28	Maize          	15.880         	2.225          	7.812          	3.914          	1.928          	0.5721         	360.46         	285.77         	137.92         	0.209          	0.0182         	0.1435         	0.032          	0.015          	175.174        	33.783         	0.810          	
1989-05-20	Triticale      	1.949          	0.465          	0.000          	0.000          	1.484          	0.0000         	78.69          	78.69          	182.75         	0.027          	0.0021         	0.0000         	0.000          	0.236          	0.000          	26.873         	0.000          	
1989-09-24	Soybean        	9.289          	1.155          	2.715          	0.000          	5.419          	0.3338         	255.75         	242.31         	134.52         	0.275          	0.0115         	0.1434         	0.000          	0.000          	143.365        	131.750        	0.000          	
1990-05-08	RyeBioenergyBM 	3.608          	0.750          	0.000          	2.572          	0.286          	0.0000         	98.91          	98.91          	133.98         	0.053          	0.0039         	0.0000         	0.044          	0.162          	44.496         	8.812          	1.730          	
1990-09-18	Maize          	20.416         	2.677          	10.206         	5.048          	2.486          	0.5753         	321.94         	321.94         	154.99         	0.226          	0.0229         	0.1529         	0.033          	0.000          	186.362        	39.344         	0.663          	
1991-05-20	Triticale      	2.698          	0.508          	0.000          	0.000          	2.190          	0.0000         	108.70         	108.70         	207.70         	0.033          	0.0023         	0.0000         	0.000          	0.379          	0.000          	33.033         	0.000          	
1991-09-21	Soybean        	8.215          	1.043          	2.352          	0.000          	4.820          	0.3279         	278.39         	242.21         	85.96          	0.250          	0.0103         	0.1287         	0.000          	0.000          	128.675        	121.725        	0.000          	
1992-05-08	RyeBioenergyBM 	3.207          	0.677          	0.000          	2.277          	0.253          	0.0000         	77.19          	77.19          	125.57         	0.048          	0.0035         	0.0000         	0.040          	0.135          	40.487         	7.991          	1.778          	
1992-09-25	Maize          	21.399         	2.801          	10.931         	5.137          	2.530          	0.5877         	317.82         	317.82         	126.90         	0.227          	0.0238         	0.1546         	0.033          	0.000          	187.281        	39.885         	0.636          	
1993-05-20	Triticale      	1.290          	0.324          	0.000          	0.000          	0.966          	0.0000         	69.45          	69.45          	173.49         	0.020          	0.0015         	0.0000         	0.000          	0.275          	0.000          	19.694         	0.000          	
1993-09-28	Soybean        	9.198          	1.155          	2.698          	0.000          	5.345          	0.3355         	284.70         	256.23         	115.61         	0.267          	0.0115         	0.1398         	0.000          	0.000          	139.767        	127.689        	0.000          	
1994-05-08	RyeBioenergyBM 	2.270          	0.592          	0.000          	1.510          	0.168          	0.0000         	71.26          	71.26          	117.32         	0.037          	0.0028         	0.0000         	0.031          	0.156          	31.181         	6.233          	2.065          	
1994-09-28	Maize          	22.653         	2.733          	11.912         	5.365          	2.642          	0.5980         	344.43         	344.43         	144.50         	0.241          	0.0233         	0.1669         	0.034          	0.000          	201.083        	40.184         	0.638          	
