DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-17	Maize          	21.077         	2.710          	10.519         	0.000          	7.848          	0.5727         	338.63         	338.63         	151.34         	0.216          	0.0233         	0.1447         	0.000          	0.000          	144.713        	70.939         	0.000          	
1985-05-21	RyeBioenergyBS 	0.272          	0.047          	0.056          	0.152          	0.017          	0.2498         	21.31          	21.31          	168.52         	0.007          	0.0003         	0.0028         	0.004          	0.554          	6.325          	0.646          	2.300          	
1985-09-13	Soybean        	8.373          	1.175          	2.303          	0.000          	4.895          	0.3199         	253.26         	235.53         	135.48         	0.256          	0.0119         	0.1282         	0.000          	0.000          	128.210        	127.758        	0.000          	
1986-05-08	RyeBioenergyBM 	3.484          	0.754          	0.000          	2.457          	0.273          	0.0000         	107.04         	107.04         	126.17         	0.048          	0.0036         	0.0000         	0.040          	0.171          	39.917         	8.083          	1.624          	
1986-09-17	Maize          	18.753         	2.768          	8.863          	0.000          	7.122          	0.5545         	341.74         	297.28         	127.39         	0.220          	0.0253         	0.1444         	0.000          	0.000          	144.357        	75.470         	0.000          	
1987-05-21	RyeBioenergyBS 	0.622          	0.138          	0.000          	0.436          	0.048          	0.0000         	41.95          	41.95          	172.94         	0.011          	0.0007         	0.0000         	0.010          	0.390          	9.728          	1.765          	2.232          	
1987-09-26	Soybean        	9.965          	1.176          	2.929          	0.000          	5.859          	0.3333         	287.16         	282.02         	139.61         	0.286          	0.0117         	0.1488         	0.000          	0.000          	148.785        	136.819        	0.000          	
1988-05-08	RyeBioenergyBM 	2.686          	0.649          	0.000          	1.833          	0.204          	0.0000         	75.44          	75.44          	130.86         	0.042          	0.0032         	0.0000         	0.035          	0.133          	34.702         	7.064          	1.893          	
1988-09-28	Maize          	16.752         	2.332          	8.238          	0.000          	6.182          	0.5713         	381.02         	297.31         	128.54         	0.219          	0.0199         	0.1498         	0.000          	0.000          	149.778        	69.451         	0.000          	
1989-05-21	RyeBioenergyBS 	0.766          	0.190          	0.000          	0.518          	0.058          	0.0000         	38.50          	38.50          	171.15         	0.014          	0.0010         	0.0000         	0.012          	0.329          	11.514         	2.256          	2.221          	
1989-09-24	Soybean        	9.294          	1.156          	2.717          	0.000          	5.422          	0.3338         	255.76         	242.46         	138.48         	0.275          	0.0115         	0.1433         	0.000          	0.000          	143.323        	131.700        	0.000          	
1990-05-08	RyeBioenergyBM 	3.497          	0.731          	0.000          	2.489          	0.277          	0.0000         	97.48          	97.48          	135.33         	0.052          	0.0038         	0.0000         	0.043          	0.167          	43.110         	8.543          	1.732          	
1990-09-18	Maize          	20.416         	2.677          	10.206         	0.000          	7.534          	0.5753         	321.94         	321.94         	154.58         	0.232          	0.0239         	0.1565         	0.000          	0.000          	156.549        	75.013         	0.000          	
1991-05-21	RyeBioenergyBS 	1.041          	0.186          	0.212          	0.579          	0.064          	0.2481         	47.99          	47.99          	199.89         	0.019          	0.0009         	0.0076         	0.010          	0.463          	17.196         	2.000          	1.655          	
1991-09-21	Soybean        	8.457          	1.061          	2.437          	0.000          	4.959          	0.3295         	278.47         	249.65         	92.76          	0.256          	0.0105         	0.1323         	0.000          	0.000          	132.274        	124.028        	0.000          	
1992-05-08	RyeBioenergyBM 	3.060          	0.651          	0.000          	2.168          	0.241          	0.0000         	75.96          	75.96          	126.25         	0.046          	0.0033         	0.0000         	0.038          	0.142          	38.342         	7.572          	1.768          	
1992-09-25	Maize          	21.399         	2.801          	10.931         	0.000          	7.667          	0.5877         	317.82         	317.82         	126.35         	0.235          	0.0248         	0.1600         	0.000          	0.000          	160.022        	75.223         	0.000          	
1993-05-21	RyeBioenergyBS 	0.362          	0.089          	0.000          	0.246          	0.027          	0.0000         	30.95          	30.95          	141.10         	0.007          	0.0005         	0.0000         	0.006          	0.396          	6.246          	1.157          	2.540          	
1993-09-28	Soybean        	9.319          	1.166          	2.734          	0.000          	5.419          	0.3353         	284.97         	259.86         	117.35         	0.270          	0.0116         	0.1412         	0.000          	0.000          	141.227        	129.133        	0.000          	
1994-05-08	RyeBioenergyBM 	2.219          	0.580          	0.000          	1.475          	0.164          	0.0000         	70.73          	70.73          	117.17         	0.036          	0.0027         	0.0000         	0.030          	0.159          	30.386         	6.086          	2.061          	
1994-09-28	Maize          	22.653         	2.733          	11.912         	0.000          	8.007          	0.5980         	344.43         	344.43         	144.08         	0.245          	0.0240         	0.1696         	0.000          	0.000          	169.576        	75.896         	0.000          	
1995-05-21	RyeBioenergyBS 	0.538          	0.096          	0.094          	0.313          	0.035          	0.2133         	34.02          	34.02          	173.66         	0.010          	0.0005         	0.0036         	0.006          	0.477          	9.309          	1.118          	1.835          	
1995-09-11	Soybean        	6.677          	0.987          	1.789          	0.000          	3.901          	0.3144         	257.73         	196.01         	124.56         	0.218          	0.0099         	0.1078         	0.000          	0.000          	107.771        	110.294        	0.000          	
1996-05-08	RyeBioenergyBM 	2.683          	0.712          	0.000          	1.774          	0.197          	0.0000         	71.81          	71.81          	150.48         	0.045          	0.0036         	0.0000         	0.037          	0.116          	37.283         	7.702          	2.102          	
1996-09-25	Maize          	22.857         	2.847          	11.755         	0.000          	8.255          	0.5874         	350.08         	350.08         	153.38         	0.230          	0.0244         	0.1561         	0.000          	0.000          	156.108        	73.682         	0.000          	
1997-05-21	RyeBioenergyBS 	0.301          	0.054          	0.000          	0.222          	0.025          	0.0000         	26.22          	26.22          	160.77         	0.006          	0.0003         	0.0000         	0.005          	0.489          	5.271          	0.850          	2.376          	
1997-09-28	Soybean        	10.164         	1.250          	2.970          	0.000          	5.944          	0.3332         	294.83         	283.50         	121.29         	0.286          	0.0125         	0.1483         	0.000          	0.000          	148.280        	137.285        	0.000          	
1998-05-08	RyeBioenergyBM 	3.301          	0.690          	0.000          	2.350          	0.261          	0.0000         	90.37          	90.37          	126.65         	0.050          	0.0035         	0.0000         	0.042          	0.182          	41.943         	8.128          	1.785          	
1998-09-25	Maize          	19.357         	2.586          	9.424          	0.000          	7.346          	0.5620         	369.03         	317.18         	114.62         	0.232          	0.0239         	0.1551         	0.000          	0.000          	155.088        	76.638         	0.000          	
1999-05-21	RyeBioenergyBS 	0.330          	0.043          	0.065          	0.200          	0.022          	0.2270         	13.99          	13.99          	184.69         	0.011          	0.0003         	0.0040         	0.006          	0.534          	9.778          	0.905          	2.903          	
1999-09-28	Soybean        	9.929          	1.242          	2.868          	0.000          	5.819          	0.3301         	318.57         	294.59         	120.33         	0.282          	0.0123         	0.1454         	0.000          	0.000          	145.376        	136.668        	0.000          	
2000-05-08	RyeBioenergyBM 	3.752          	0.697          	0.521          	2.281          	0.253          	0.1706         	107.57         	107.57         	132.38         	0.051          	0.0035         	0.0134         	0.031          	0.190          	44.248         	6.942          	1.352          	
2000-09-28	Maize          	18.845         	2.649          	9.069          	0.000          	7.127          	0.5599         	323.65         	278.92         	140.22         	0.221          	0.0232         	0.1475         	0.000          	0.000          	147.506        	73.643         	0.000          	
2001-05-21	RyeBioenergyBS 	0.531          	0.123          	0.000          	0.367          	0.041          	0.0000         	36.08          	36.08          	139.74         	0.010          	0.0006         	0.0000         	0.009          	0.397          	8.819          	1.615          	2.404          	
2001-09-28	Soybean        	8.683          	1.182          	2.448          	0.000          	5.053          	0.3263         	299.68         	245.15         	142.02         	0.256          	0.0117         	0.1302         	0.000          	0.000          	130.247        	125.422        	0.000          	
2002-05-08	RyeBioenergyBM 	4.301          	0.726          	0.861          	2.442          	0.271          	0.2409         	123.44         	123.44         	128.47         	0.056          	0.0037         	0.0211         	0.028          	0.231          	48.877         	6.776          	1.139          	
2002-09-27	Maize          	13.130         	2.251          	5.272          	0.000          	5.606          	0.4846         	389.13         	223.50         	142.77         	0.203          	0.0222         	0.1262         	0.000          	0.000          	126.186        	77.314         	0.000          	
2003-05-21	RyeBioenergyBS 	1.164          	0.301          	0.000          	0.777          	0.086          	0.0000         	51.02          	51.02          	147.58         	0.022          	0.0015         	0.0000         	0.018          	0.269          	18.086         	3.514          	2.328          	
2003-09-28	Soybean        	9.841          	1.183          	2.896          	0.000          	5.762          	0.3345         	251.57         	251.57         	137.42         	0.286          	0.0117         	0.1493         	0.000          	0.000          	149.264        	136.491        	0.000          	
2004-05-08	RyeBioenergyBM 	3.168          	0.672          	0.000          	2.246          	0.250          	0.0000         	87.47          	87.47          	112.88         	0.049          	0.0035         	0.0000         	0.041          	0.158          	40.682         	8.025          	1.811          	
2004-09-26	Maize          	22.831         	2.899          	11.850         	0.000          	8.083          	0.5945         	330.77         	330.77         	163.54         	0.245          	0.0258         	0.1674         	0.000          	0.000          	167.400        	77.578         	0.000          	
2005-05-21	RyeBioenergyBS 	0.496          	0.098          	0.064          	0.301          	0.033          	0.1613         	30.76          	30.76          	141.91         	0.010          	0.0005         	0.0025         	0.006          	0.424          	8.864          	1.204          	2.106          	
