DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-17	Maize          	21.080         	2.710          	9.106          	0.000          	9.264          	0.4957         	338.63         	338.63         	151.34         	0.220          	0.0236         	0.1384         	0.000          	0.000          	138.407        	81.759         	0.000          	
1985-09-13	Soybean        	8.546          	1.179          	2.380          	0.000          	4.988          	0.3230         	253.99         	240.21         	98.78          	0.261          	0.0119         	0.1316         	0.000          	0.000          	131.613        	128.895        	0.000          	
1986-09-17	Maize          	18.943         	2.777          	7.765          	0.000          	8.400          	0.4803         	341.92         	300.03         	117.91         	0.271          	0.0277         	0.1688         	0.000          	0.000          	168.792        	102.568        	0.000          	
1987-09-26	Soybean        	9.969          	1.170          	2.948          	0.000          	5.850          	0.3351         	286.53         	282.26         	135.84         	0.287          	0.0116         	0.1503         	0.000          	0.000          	150.291        	136.817        	0.000          	
1988-10-06	Maize          	17.488         	2.369          	7.578          	0.000          	7.542          	0.5012         	390.85         	307.99         	128.10         	0.267          	0.0235         	0.1720         	0.000          	0.000          	172.043        	94.520         	0.000          	
1989-09-24	Soybean        	9.310          	1.149          	2.741          	0.000          	5.420          	0.3359         	255.40         	242.82         	120.91         	0.274          	0.0114         	0.1433         	0.000          	0.000          	143.266        	130.292        	0.000          	
1990-09-18	Maize          	20.416         	2.677          	8.838          	0.000          	8.902          	0.4982         	321.94         	321.94         	141.28         	0.284          	0.0263         	0.1821         	0.000          	0.000          	182.060        	102.182        	0.000          	
1991-09-21	Soybean        	8.709          	1.075          	2.537          	0.000          	5.097          	0.3323         	278.06         	257.56         	91.14          	0.261          	0.0106         	0.1357         	0.000          	0.000          	135.711        	125.373        	0.000          	
1992-09-25	Maize          	21.399         	2.801          	9.492          	0.000          	9.107          	0.5104         	317.82         	317.82         	121.70         	0.284          	0.0273         	0.1833         	0.000          	0.000          	183.261        	100.587        	0.000          	
1993-09-28	Soybean        	9.346          	1.163          	2.746          	0.000          	5.438          	0.3355         	284.09         	260.73         	104.59         	0.272          	0.0115         	0.1423         	0.000          	0.000          	142.307        	129.842        	0.000          	
