DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-17	Maize          	21.077         	2.710          	10.519         	0.000          	7.848          	0.5727         	338.63         	338.63         	151.34         	0.216          	0.0233         	0.1447         	0.000          	0.000          	144.713        	70.939         	0.000          	
1985-05-21	RyeBioenergyBS 	6.915          	1.125          	1.344          	4.002          	0.445          	0.2321         	180.35         	180.35         	93.94          	0.080          	0.0056         	0.0290         	0.041          	0.180          	69.784         	10.167         	1.018          	
1985-09-13	Soybean        	7.790          	1.136          	2.090          	0.000          	4.564          	0.3141         	252.99         	221.00         	134.50         	0.243          	0.0115         	0.1196         	0.000          	0.000          	119.639        	123.152        	0.000          	
1986-05-08	RyeBioenergyBM 	5.188          	1.040          	0.000          	3.733          	0.415          	0.0000         	119.19         	119.19         	124.54         	0.077          	0.0057         	0.0000         	0.064          	0.095          	64.220         	12.810         	1.720          	
1986-09-17	Maize          	18.584         	2.759          	8.741          	0.000          	7.083          	0.5524         	341.51         	294.67         	127.00         	0.221          	0.0254         	0.1452         	0.000          	0.000          	145.160        	76.192         	0.000          	
1987-05-21	RyeBioenergyBS 	6.144          	1.136          	0.000          	4.507          	0.501          	0.0000         	140.79         	140.79         	122.30         	0.084          	0.0060         	0.0000         	0.070          	0.104          	69.891         	13.741         	1.551          	
1987-09-26	Soybean        	9.883          	1.169          	2.901          	0.000          	5.813          	0.3329         	287.15         	279.51         	137.63         	0.284          	0.0116         	0.1476         	0.000          	0.000          	147.581        	135.986        	0.000          	
1988-05-08	RyeBioenergyBM 	4.449          	0.984          	0.000          	3.118          	0.346          	0.0000         	86.81          	86.81          	126.70         	0.075          	0.0056         	0.0000         	0.063          	0.052          	62.810         	12.627         	2.014          	
1988-09-28	Maize          	16.755         	2.333          	8.239          	0.000          	6.183          	0.5713         	381.03         	297.35         	128.20         	0.222          	0.0201         	0.1515         	0.000          	0.000          	151.483        	70.170         	0.000          	
1989-05-21	RyeBioenergyBS 	5.800          	1.121          	0.000          	4.211          	0.468          	0.0000         	111.79         	111.79         	123.11         	0.088          	0.0062         	0.0000         	0.074          	0.065          	73.895         	14.455         	1.755          	
1989-09-24	Soybean        	9.247          	1.153          	2.700          	0.000          	5.394          	0.3336         	255.70         	241.23         	136.92         	0.274          	0.0114         	0.1428         	0.000          	0.000          	142.756        	131.357        	0.000          	
1990-05-08	RyeBioenergyBM 	5.415          	1.031          	0.000          	3.946          	0.438          	0.0000         	110.09         	110.09         	128.53         	0.085          	0.0060         	0.0000         	0.071          	0.075          	71.441         	13.956         	1.810          	
1990-09-18	Maize          	20.416         	2.677          	10.206         	0.000          	7.534          	0.5753         	321.94         	321.94         	153.74         	0.234          	0.0240         	0.1582         	0.000          	0.000          	158.242        	75.721         	0.000          	
1991-05-21	RyeBioenergyBS 	7.567          	1.178          	1.543          	4.362          	0.485          	0.2415         	167.02         	167.02         	110.86         	0.090          	0.0063         	0.0341         	0.045          	0.157          	78.870         	11.304         	1.027          	
1991-09-21	Soybean        	7.929          	1.019          	2.255          	0.000          	4.654          	0.3264         	278.19         	233.57         	89.11          	0.243          	0.0101         	0.1241         	0.000          	0.000          	124.125        	118.414        	0.000          	
1992-05-08	RyeBioenergyBM 	4.688          	0.905          	0.000          	3.405          	0.378          	0.0000         	82.97          	82.97          	124.52         	0.079          	0.0052         	0.0000         	0.066          	0.059          	66.172         	12.578         	1.943          	
1992-09-25	Maize          	21.399         	2.801          	10.931         	0.000          	7.667          	0.5877         	317.82         	317.82         	126.11         	0.238          	0.0249         	0.1616         	0.000          	0.000          	161.629        	75.877         	0.000          	
1993-05-21	RyeBioenergyBS 	4.766          	1.017          	0.000          	3.375          	0.375          	0.0000         	119.54         	119.54         	100.23         	0.070          	0.0052         	0.0000         	0.059          	0.114          	58.645         	11.755         	1.738          	
1993-09-28	Soybean        	8.919          	1.123          	2.625          	0.000          	5.172          	0.3367         	283.75         	247.99         	115.85         	0.260          	0.0111         	0.1362         	0.000          	0.000          	136.237        	123.742        	0.000          	
1994-05-08	RyeBioenergyBM 	3.793          	0.936          	0.000          	2.572          	0.286          	0.0000         	88.90          	88.90          	111.84         	0.062          	0.0049         	0.0000         	0.051          	0.096          	51.029         	10.543         	1.984          	
1994-09-28	Maize          	22.653         	2.733          	11.912         	0.000          	8.007          	0.5980         	344.43         	344.43         	144.27         	0.248          	0.0241         	0.1712         	0.000          	0.000          	171.247        	76.539         	0.000          	
1995-05-21	RyeBioenergyBS 	6.543          	1.039          	1.114          	3.951          	0.439          	0.2024         	135.11         	135.11         	107.42         	0.085          	0.0055         	0.0271         	0.048          	0.124          	74.677         	10.802         	1.204          	
1995-09-11	Soybean        	6.681          	0.987          	1.791          	0.000          	3.903          	0.3145         	257.74         	196.14         	123.77         	0.218          	0.0099         	0.1079         	0.000          	0.000          	107.861        	110.349        	0.000          	
1996-05-08	RyeBioenergyBM 	3.971          	0.983          	0.000          	2.689          	0.299          	0.0000         	83.22          	83.22          	142.92         	0.072          	0.0057         	0.0000         	0.060          	0.059          	60.103         	12.370         	2.235          	
1996-09-25	Maize          	22.857         	2.847          	11.755         	0.000          	8.255          	0.5874         	350.08         	350.08         	152.89         	0.234          	0.0248         	0.1592         	0.000          	0.000          	159.187        	74.961         	0.000          	
1997-05-21	RyeBioenergyBS 	6.111          	1.106          	0.000          	4.505          	0.501          	0.0000         	137.76         	137.76         	106.57         	0.076          	0.0055         	0.0000         	0.063          	0.119          	63.467         	12.534         	1.409          	
1997-09-28	Soybean        	10.147         	1.248          	2.965          	0.000          	5.934          	0.3332         	294.74         	283.00         	120.72         	0.285          	0.0125         	0.1480         	0.000          	0.000          	148.044        	137.075        	0.000          	
1998-05-08	RyeBioenergyBM 	4.993          	0.965          	0.000          	3.625          	0.403          	0.0000         	102.86         	102.86         	120.95         	0.080          	0.0054         	0.0000         	0.067          	0.099          	67.330         	12.915         	1.857          	
1998-09-25	Maize          	19.362         	2.587          	9.428          	0.000          	7.347          	0.5620         	369.04         	317.28         	114.24         	0.235          	0.0241         	0.1573         	0.000          	0.000          	157.343        	77.575         	0.000          	
1999-05-21	RyeBioenergyBS 	7.929          	1.203          	1.563          	4.646          	0.516          	0.2324         	175.26         	175.26         	97.16          	0.091          	0.0061         	0.0333         	0.047          	0.162          	79.954         	11.326         	1.004          	
1999-09-28	Soybean        	8.892          	1.121          	2.566          	0.000          	5.204          	0.3302         	313.73         	260.37         	114.41         	0.254          	0.0111         	0.1308         	0.000          	0.000          	130.786        	122.951        	0.000          	
2000-05-08	RyeBioenergyBM 	5.677          	0.968          	0.800          	3.517          	0.391          	0.1700         	118.73         	118.73         	131.02         	0.083          	0.0054         	0.0217         	0.050          	0.095          	71.966         	11.004         	1.428          	
