DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-17	Soybean        	8.924          	1.113          	2.591          	0.000          	5.220          	0.3317         	245.88         	245.88         	155.15         	0.267          	0.0112         	0.1385         	0.000          	0.000          	138.528        	128.757        	0.000          	
1985-05-08	RyeBioenergyBM 	6.208          	1.100          	0.879          	3.807          	0.423          	0.1720         	137.52         	137.52         	105.36         	0.087          	0.0060         	0.0229         	0.052          	0.104          	74.835         	11.759         	1.364          	
1985-09-13	Maize          	16.134         	2.581          	6.680          	0.000          	6.873          	0.4929         	330.87         	262.63         	145.59         	0.209          	0.0237         	0.1298         	0.000          	0.000          	129.784        	78.831         	0.000          	
1986-05-21	RyeBioenergyBS 	6.531          	1.157          	1.029          	3.911          	0.435          	0.1914         	159.87         	159.87         	107.91         	0.084          	0.0060         	0.0250         	0.048          	0.141          	72.970         	11.371         	1.226          	
1986-09-17	Soybean        	9.024          	1.194          	2.596          	0.000          	5.234          	0.3316         	261.72         	243.72         	117.04         	0.270          	0.0120         	0.1394         	0.000          	0.000          	139.387        	130.303        	0.000          	
1987-05-08	RyeBioenergyBM 	4.879          	1.026          	0.000          	3.468          	0.385          	0.0000         	95.64          	95.64          	140.77         	0.081          	0.0059         	0.0000         	0.067          	0.055          	67.199         	13.321         	1.938          	
1987-09-26	Maize          	20.557         	2.565          	10.284         	0.000          	7.709          	0.5715         	366.98         	335.89         	140.00         	0.236          	0.0232         	0.1600         	0.000          	0.000          	159.984        	76.071         	0.000          	
1988-05-21	RyeBioenergyBS 	5.711          	1.115          	0.000          	4.137          	0.460          	0.0000         	125.38         	125.38         	111.13         	0.083          	0.0060         	0.0000         	0.069          	0.096          	68.942         	13.700         	1.666          	
1988-09-28	Soybean        	9.101          	1.178          	2.639          	0.000          	5.284          	0.3331         	311.65         	280.33         	92.74          	0.267          	0.0118         	0.1385         	0.000          	0.000          	138.455        	128.409        	0.000          	
1989-05-08	RyeBioenergyBM 	4.115          	0.929          	0.000          	2.868          	0.319          	0.0000         	85.51          	85.51          	133.68         	0.070          	0.0052         	0.0000         	0.059          	0.058          	58.584         	11.751         	2.043          	
1989-09-24	Maize          	19.804         	2.612          	9.845          	0.000          	7.346          	0.5727         	332.64         	302.11         	140.56         	0.238          	0.0241         	0.1606         	0.000          	0.000          	160.563        	76.957         	0.000          	
1990-05-21	RyeBioenergyBS 	6.628          	1.122          	1.119          	3.948          	0.439          	0.2032         	145.46         	145.46         	114.20         	0.088          	0.0061         	0.0279         	0.049          	0.123          	76.491         	11.521         	1.231          	
1990-09-18	Soybean        	9.425          	1.170          	2.752          	0.000          	5.503          	0.3334         	254.66         	254.66         	138.77         	0.279          	0.0117         	0.1451         	0.000          	0.000          	145.115        	133.688        	0.000          	
1991-05-08	RyeBioenergyBM 	6.624          	1.136          	1.001          	4.039          	0.449          	0.1823         	125.68         	125.68         	120.70         	0.094          	0.0066         	0.0265         	0.055          	0.088          	81.359         	12.666         	1.359          	
1991-09-21	Maize          	16.525         	2.298          	7.889          	0.000          	6.338          	0.5545         	378.14         	281.93         	82.66          	0.217          	0.0213         	0.1453         	0.000          	0.000          	145.299        	71.806         	0.000          	
1992-05-21	RyeBioenergyBS 	6.196          	1.035          	0.938          	3.801          	0.422          	0.1818         	113.92         	113.92         	115.65         	0.091          	0.0058         	0.0258         	0.054          	0.083          	79.437         	11.760         	1.412          	
1992-09-25	Soybean        	9.974          	1.220          	2.970          	0.000          	5.784          	0.3392         	249.18         	249.18         	124.23         	0.288          	0.0122         	0.1520         	0.000          	0.000          	152.026        	136.214        	0.000          	
1993-05-08	RyeBioenergyBM 	3.475          	0.871          	0.000          	2.344          	0.260          	0.0000         	80.58          	80.58          	112.10         	0.063          	0.0048         	0.0000         	0.052          	0.074          	52.377         	10.588         	2.235          	
1993-09-28	Maize          	17.528         	2.394          	8.764          	0.000          	6.370          	0.5791         	355.81         	283.09         	119.89         	0.232          	0.0220         	0.1588         	0.000          	0.000          	158.763        	73.254         	0.000          	
1994-05-21	RyeBioenergyBS 	5.486          	1.162          	0.000          	3.891          	0.432          	0.0000         	123.83         	123.83         	102.94         	0.075          	0.0058         	0.0000         	0.062          	0.116          	61.920         	12.708         	1.591          	
1994-09-28	Soybean        	10.572         	1.204          	3.177          	0.000          	6.190          	0.3392         	273.11         	273.11         	135.11         	0.298          	0.0119         	0.1577         	0.000          	0.000          	157.723        	140.558        	0.000          	
1995-05-08	RyeBioenergyBM 	5.395          	0.953          	0.000          	3.998          	0.444          	0.0000         	103.42         	103.42         	116.36         	0.082          	0.0054         	0.0000         	0.069          	0.076          	68.959         	13.059         	1.725          	
1995-09-11	Maize          	14.626         	2.300          	6.204          	0.000          	6.122          	0.5033         	337.11         	244.46         	128.33         	0.231          	0.0231         	0.1476         	0.000          	0.000          	147.621        	83.550         	0.000          	
1996-05-21	RyeBioenergyBS 	5.570          	1.173          	0.000          	3.957          	0.440          	0.0000         	114.06         	114.06         	126.25         	0.086          	0.0066         	0.0000         	0.071          	0.076          	71.139         	14.474         	1.798          	
1996-09-24	Soybean        	10.538         	1.264          	3.109          	0.000          	6.165          	0.3352         	275.10         	275.10         	157.34         	0.297          	0.0125         	0.1551         	0.000          	0.000          	155.085        	141.631        	0.000          	
1997-05-08	RyeBioenergyBM 	5.015          	1.015          	0.000          	3.600          	0.400          	0.0000         	104.70         	104.70         	123.81         	0.076          	0.0055         	0.0000         	0.063          	0.072          	63.296         	12.555         	1.758          	
