DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-17	Maize          	21.077         	2.710          	10.519         	5.258          	2.590          	0.5727         	338.63         	338.63         	151.34         	0.216          	0.0233         	0.1447         	0.032          	0.000          	176.631        	39.020         	0.607          	
1985-05-20	Triticale      	7.470          	1.190          	0.000          	0.000          	6.280          	0.0000         	182.63         	182.63         	118.73         	0.089          	0.0061         	0.0000         	0.000          	0.144          	0.000          	89.223         	0.000          	
1985-09-13	Soybean        	8.515          	1.183          	2.355          	0.000          	4.977          	0.3212         	253.33         	239.43         	101.30         	0.259          	0.0120         	0.1302         	0.000          	0.000          	130.235        	128.877        	0.000          	
1986-05-08	RyeBioenergyBM 	5.451          	1.078          	0.000          	3.936          	0.437          	0.0000         	120.24         	120.24         	121.27         	0.083          	0.0060         	0.0000         	0.069          	0.083          	69.011         	13.680         	1.754          	
1986-09-17	Maize          	18.594         	2.760          	8.749          	4.747          	2.338          	0.5525         	341.52         	294.84         	126.53         	0.224          	0.0256         	0.1467         	0.034          	0.000          	181.078        	42.491         	0.724          	
1987-05-20	Triticale      	6.442          	1.181          	0.000          	0.000          	5.261          	0.0000         	142.64         	142.64         	165.87         	0.090          	0.0064         	0.0000         	0.000          	0.084          	0.000          	89.520         	0.000          	
1987-09-26	Soybean        	9.997          	1.179          	2.940          	0.000          	5.878          	0.3335         	287.17         	283.02         	126.74         	0.287          	0.0117         	0.1494         	0.000          	0.000          	149.357        	137.230        	0.000          	
1988-05-08	RyeBioenergyBM 	4.561          	1.002          	0.000          	3.203          	0.356          	0.0000         	87.03          	87.03          	125.41         	0.078          	0.0058         	0.0000         	0.065          	0.048          	65.352         	13.094         	2.041          	
1988-09-28	Maize          	16.756         	2.333          	8.240          	4.143          	2.041          	0.5713         	381.06         	297.39         	128.04         	0.223          	0.0202         	0.1526         	0.034          	0.000          	186.397        	36.811         	0.816          	
1989-05-20	Triticale      	5.775          	1.126          	0.000          	0.000          	4.649          	0.0000         	111.98         	111.98         	156.08         	0.091          	0.0064         	0.0000         	0.000          	0.054          	0.000          	90.989         	0.000          	
1989-09-24	Soybean        	9.304          	1.156          	2.720          	0.000          	5.428          	0.3339         	255.77         	242.70         	116.16         	0.276          	0.0115         	0.1438         	0.000          	0.000          	143.788        	132.062        	0.000          	
