DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-17	Maize          	21.077         	2.710          	10.519         	5.258          	2.590          	0.5727         	338.63         	338.63         	151.34         	0.216          	0.0233         	0.1447         	0.032          	0.000          	176.631        	39.020         	0.607          	
1985-05-20	Triticale      	0.681          	0.123          	0.000          	0.000          	0.559          	0.0000         	45.45          	45.45          	214.94         	0.013          	0.0006         	0.0000         	0.000          	0.504          	0.000          	12.722         	0.000          	
1985-09-13	Soybean        	8.364          	1.174          	2.300          	0.000          	4.890          	0.3198         	253.26         	235.32         	136.76         	0.256          	0.0119         	0.1281         	0.000          	0.000          	128.127        	127.724        	0.000          	
1986-05-08	RyeBioenergyBM 	3.471          	0.751          	0.000          	2.447          	0.272          	0.0000         	106.86         	106.86         	126.32         	0.048          	0.0036         	0.0000         	0.040          	0.171          	39.785         	8.041          	1.626          	
1986-09-17	Maize          	18.756         	2.768          	8.866          	4.772          	2.351          	0.5545         	341.74         	297.33         	127.41         	0.220          	0.0253         	0.1445         	0.034          	0.000          	178.098        	41.863         	0.705          	
1987-05-20	Triticale      	1.016          	0.234          	0.000          	0.000          	0.782          	0.0000         	59.14          	59.14          	216.06         	0.016          	0.0011         	0.0000         	0.000          	0.338          	0.000          	15.847         	0.000          	
1987-09-26	Soybean        	9.967          	1.176          	2.930          	0.000          	5.861          	0.3333         	287.16         	282.09         	139.04         	0.286          	0.0117         	0.1488         	0.000          	0.000          	148.849        	136.868        	0.000          	
1988-05-08	RyeBioenergyBM 	2.678          	0.647          	0.000          	1.827          	0.203          	0.0000         	75.38          	75.38          	130.86         	0.042          	0.0032         	0.0000         	0.035          	0.133          	34.615         	7.045          	1.894          	
1988-09-28	Maize          	16.752         	2.332          	8.238          	4.142          	2.040          	0.5713         	381.02         	297.31         	128.54         	0.219          	0.0199         	0.1497         	0.033          	0.000          	182.885        	36.262         	0.801          	
1989-05-20	Triticale      	1.112          	0.277          	0.000          	0.000          	0.835          	0.0000         	55.82          	55.82          	201.11         	0.017          	0.0013         	0.0000         	0.000          	0.292          	0.000          	16.888         	0.000          	
1989-09-24	Soybean        	9.294          	1.156          	2.717          	0.000          	5.422          	0.3338         	255.75         	242.45         	137.03         	0.275          	0.0115         	0.1433         	0.000          	0.000          	143.324        	131.702        	0.000          	
