DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-17	Soybean        	8.924          	1.113          	2.591          	0.000          	5.220          	0.3317         	245.88         	245.88         	155.15         	0.267          	0.0112         	0.1385         	0.000          	0.000          	138.528        	128.757        	0.000          	
1985-05-08	RyeBioenergyBM 	4.156          	0.807          	0.578          	2.493          	0.277          	0.1726         	127.72         	127.72         	109.48         	0.053          	0.0039         	0.0140         	0.032          	0.202          	45.508         	7.385          	1.265          	
1985-09-13	Maize          	16.293         	2.594          	6.773          	4.640          	2.286          	0.4944         	330.93         	265.11         	146.32         	0.209          	0.0238         	0.1300         	0.037          	0.000          	166.714        	41.858         	0.792          	
1986-05-20	Triticale      	1.226          	0.262          	0.000          	0.000          	0.964          	0.0000         	68.55          	68.55          	180.12         	0.018          	0.0012         	0.0000         	0.000          	0.387          	0.000          	18.453         	0.000          	
1986-09-17	Soybean        	9.414          	1.210          	2.738          	0.000          	5.466          	0.3337         	262.23         	254.11         	118.91         	0.277          	0.0122         	0.1442         	0.000          	0.000          	144.150        	133.128        	0.000          	
1987-05-08	RyeBioenergyBM 	3.149          	0.716          	0.000          	2.190          	0.243          	0.0000         	83.42          	83.42          	144.59         	0.048          	0.0035         	0.0000         	0.040          	0.130          	40.332         	8.010          	1.842          	
1987-09-26	Maize          	20.554         	2.564          	10.282         	5.164          	2.544          	0.5715         	366.98         	335.84         	140.37         	0.233          	0.0231         	0.1581         	0.035          	0.000          	193.059        	40.304         	0.677          	
1988-05-20	Triticale      	0.860          	0.213          	0.000          	0.000          	0.647          	0.0000         	50.22          	50.22          	223.52         	0.014          	0.0010         	0.0000         	0.000          	0.342          	0.000          	14.016         	0.000          	
1988-09-28	Soybean        	9.100          	1.177          	2.639          	0.000          	5.283          	0.3331         	311.64         	280.28         	92.87          	0.267          	0.0118         	0.1384         	0.000          	0.000          	138.431        	128.390        	0.000          	
1989-05-08	RyeBioenergyBM 	2.262          	0.565          	0.000          	1.528          	0.170          	0.0000         	68.46          	68.46          	143.27         	0.037          	0.0028         	0.0000         	0.031          	0.145          	30.945         	6.236          	2.026          	
1989-09-24	Maize          	19.812         	2.613          	9.851          	4.923          	2.425          	0.5727         	332.66         	302.24         	141.13         	0.235          	0.0240         	0.1588         	0.035          	0.000          	193.816        	41.229         	0.711          	
1990-05-20	Triticale      	1.128          	0.232          	0.000          	0.000          	0.895          	0.0000         	57.93          	57.93          	236.06         	0.018          	0.0011         	0.0000         	0.000          	0.400          	0.000          	18.223         	0.000          	
1990-09-18	Soybean        	9.425          	1.170          	2.752          	0.000          	5.503          	0.3334         	254.66         	254.66         	138.35         	0.279          	0.0117         	0.1451         	0.000          	0.000          	145.126        	133.696        	0.000          	
1991-05-08	RyeBioenergyBM 	4.786          	0.897          	0.710          	2.861          	0.318          	0.1825         	118.81         	118.81         	123.53         	0.062          	0.0047         	0.0174         	0.036          	0.177          	53.275         	8.692          	1.255          	
1991-09-21	Maize          	16.542         	2.299          	7.896          	4.252          	2.094          	0.5544         	378.15         	282.23         	82.74          	0.215          	0.0212         	0.1436         	0.033          	0.000          	177.054        	37.650         	0.787          	
1992-05-20	Triticale      	1.211          	0.264          	0.000          	0.000          	0.947          	0.0000         	56.55          	56.55          	201.35         	0.018          	0.0012         	0.0000         	0.000          	0.351          	0.000          	18.467         	0.000          	
1992-09-25	Soybean        	9.974          	1.220          	2.970          	0.000          	5.784          	0.3392         	249.18         	249.18         	123.48         	0.288          	0.0122         	0.1520         	0.000          	0.000          	152.023        	136.211        	0.000          	
1993-05-08	RyeBioenergyBM 	2.025          	0.542          	0.000          	1.335          	0.148          	0.0000         	63.86          	63.86          	119.75         	0.036          	0.0026         	0.0000         	0.030          	0.139          	30.302         	6.003          	2.271          	
1993-09-28	Maize          	17.527         	2.394          	8.764          	4.267          	2.102          	0.5791         	355.81         	283.08         	120.03         	0.228          	0.0217         	0.1558         	0.034          	0.000          	189.555        	38.345         	0.790          	
1994-05-20	Triticale      	0.914          	0.233          	0.000          	0.000          	0.680          	0.0000         	49.67          	49.67          	187.60         	0.015          	0.0011         	0.0000         	0.000          	0.308          	0.000          	14.775         	0.000          	
1994-09-28	Soybean        	10.572         	1.204          	3.177          	0.000          	6.190          	0.3392         	273.11         	273.11         	135.04         	0.298          	0.0119         	0.1577         	0.000          	0.000          	157.720        	140.555        	0.000          	
1995-05-08	RyeBioenergyBM 	3.531          	0.688          	0.000          	2.559          	0.284          	0.0000         	97.38          	97.38          	117.44         	0.048          	0.0034         	0.0000         	0.040          	0.162          	39.908         	7.867          	1.560          	
1995-09-11	Maize          	14.622         	2.300          	6.201          	4.101          	2.020          	0.5033         	337.10         	244.38         	129.01         	0.228          	0.0231         	0.1453         	0.040          	0.000          	185.179        	42.736         	0.972          	
1996-05-20	Triticale      	1.194          	0.309          	0.000          	0.000          	0.885          	0.0000         	57.38          	57.38          	208.22         	0.019          	0.0014         	0.0000         	0.000          	0.275          	0.000          	18.574         	0.000          	
1996-09-24	Soybean        	10.538         	1.264          	3.109          	0.000          	6.165          	0.3352         	275.10         	275.10         	156.37         	0.297          	0.0125         	0.1551         	0.000          	0.000          	155.065        	141.614        	0.000          	
1997-05-08	RyeBioenergyBM 	3.079          	0.680          	0.000          	2.159          	0.240          	0.0000         	89.70          	89.70          	130.91         	0.044          	0.0032         	0.0000         	0.037          	0.150          	36.561         	7.282          	1.694          	
1997-09-28	Maize          	19.969         	2.567          	10.208         	4.820          	2.374          	0.5866         	365.23         	322.35         	146.31         	0.226          	0.0219         	0.1553         	0.033          	0.000          	188.151        	38.135         	0.682          	
1998-05-20	Triticale      	1.215          	0.252          	0.000          	0.000          	0.964          	0.0000         	62.73          	62.73          	212.38         	0.019          	0.0012         	0.0000         	0.000          	0.399          	0.000          	18.919         	0.000          	
1998-09-27	Soybean        	9.633          	1.174          	2.818          	0.000          	5.641          	0.3331         	292.21         	273.14         	129.62         	0.279          	0.0115         	0.1450         	0.000          	0.000          	145.032        	133.644        	0.000          	
1999-05-08	RyeBioenergyBM 	3.471          	0.653          	0.468          	2.115          	0.235          	0.1660         	99.25          	99.25          	130.73         	0.047          	0.0032         	0.0119         	0.029          	0.240          	40.513         	6.347          	1.351          	
1999-09-28	Maize          	19.063         	2.573          	9.266          	4.840          	2.384          	0.5619         	407.46         	325.00         	112.89         	0.229          	0.0241         	0.1527         	0.035          	0.000          	187.513        	41.209         	0.719          	
2000-05-20	Triticale      	1.200          	0.226          	0.000          	0.000          	0.974          	0.0000         	61.62          	61.62          	221.70         	0.020          	0.0011         	0.0000         	0.000          	0.430          	0.000          	19.632         	0.000          	
2000-09-28	Soybean        	9.666          	1.208          	2.816          	0.000          	5.642          	0.3329         	253.95         	243.50         	136.69         	0.280          	0.0120         	0.1455         	0.000          	0.000          	145.525        	134.611        	0.000          	
2001-05-08	RyeBioenergyBM 	2.460          	0.604          	0.000          	1.671          	0.186          	0.0000         	73.53          	73.53          	125.87         	0.039          	0.0030         	0.0000         	0.032          	0.134          	32.457         	6.639          	1.943          	
2001-09-28	Maize          	16.710         	2.514          	7.625          	4.402          	2.168          	0.5372         	371.74         	271.16         	144.57         	0.224          	0.0236         	0.1467         	0.036          	0.000          	182.729        	41.331         	0.819          	
2002-05-20	Triticale      	1.451          	0.252          	0.000          	0.000          	1.199          	0.0000         	59.07          	59.07          	251.32         	0.025          	0.0013         	0.0000         	0.000          	0.439          	0.000          	24.599         	0.000          	
2002-09-26	Soybean        	6.965          	1.076          	1.831          	0.000          	4.058          	0.3109         	320.80         	204.49         	122.60         	0.208          	0.0106         	0.1013         	0.000          	0.000          	101.288        	106.762        	0.000          	
2003-05-08	RyeBioenergyBM 	2.208          	0.616          	0.000          	1.433          	0.159          	0.0000         	67.99          	67.99          	135.01         	0.039          	0.0030         	0.0000         	0.032          	0.132          	32.013         	6.561          	2.234          	
2003-09-28	Maize          	21.449         	2.707          	10.911         	5.247          	2.584          	0.5822         	323.83         	323.83         	146.24         	0.229          	0.0240         	0.1552         	0.033          	0.000          	188.484        	40.366         	0.635          	
2004-05-20	Triticale      	0.757          	0.154          	0.000          	0.000          	0.603          	0.0000         	42.12          	42.12          	226.33         	0.015          	0.0008         	0.0000         	0.000          	0.418          	0.000          	14.578         	0.000          	
2004-09-28	Soybean        	10.490         	1.249          	3.131          	0.000          	6.111          	0.3388         	257.12         	257.12         	149.67         	0.296          	0.0123         	0.1561         	0.000          	0.000          	156.057        	139.885        	0.000          	
2005-05-08	RyeBioenergyBM 	3.314          	0.723          	0.000          	2.332          	0.259          	0.0000         	92.91          	92.91          	107.64         	0.046          	0.0035         	0.0000         	0.038          	0.145          	38.485         	7.809          	1.651          	
2005-09-28	Maize          	13.167         	2.030          	5.713          	3.634          	1.790          	0.5129         	352.81         	225.46         	117.69         	0.203          	0.0198         	0.1311         	0.035          	0.000          	165.978        	36.918         	0.959          	
2006-05-20	Triticale      	2.485          	0.507          	0.000          	0.000          	1.978          	0.0000         	115.24         	115.24         	183.68         	0.030          	0.0023         	0.0000         	0.000          	0.319          	0.000          	29.858         	0.000          	
2006-09-28	Soybean        	9.877          	1.197          	2.902          	0.000          	5.778          	0.3343         	283.33         	268.29         	141.88         	0.283          	0.0118         	0.1475         	0.000          	0.000          	147.478        	135.212        	0.000          	
2007-05-08	RyeBioenergyBM 	3.462          	0.708          	0.000          	2.479          	0.275          	0.0000         	97.54          	97.54          	118.73         	0.050          	0.0036         	0.0000         	0.042          	0.151          	41.511         	8.187          	1.675          	
2007-09-17	Maize          	20.149         	2.755          	9.876          	5.038          	2.481          	0.5677         	379.54         	331.06         	114.22         	0.224          	0.0246         	0.1496         	0.033          	0.000          	183.037        	41.043         	0.665          	
2008-05-20	Triticale      	0.925          	0.213          	0.000          	0.000          	0.712          	0.0000         	45.11          	45.11          	209.58         	0.015          	0.0011         	0.0000         	0.000          	0.364          	0.000          	15.317         	0.000          	
2008-09-28	Soybean        	9.134          	1.146          	2.658          	0.000          	5.330          	0.3328         	290.82         	256.82         	139.67         	0.270          	0.0114         	0.1401         	0.000          	0.000          	140.145        	129.590        	0.000          	
2009-05-08	RyeBioenergyBM 	2.507          	0.604          	0.000          	1.713          	0.190          	0.0000         	70.76          	70.76          	128.88         	0.041          	0.0030         	0.0000         	0.034          	0.148          	34.339         	6.809          	2.004          	
2009-09-28	Maize          	22.808         	2.996          	11.392         	5.642          	2.779          	0.5750         	337.75         	337.75         	146.87         	0.246          	0.0270         	0.1654         	0.036          	0.000          	201.625        	44.874         	0.642          	
2010-05-20	Triticale      	0.784          	0.154          	0.000          	0.000          	0.630          	0.0000         	52.43          	52.43          	198.82         	0.013          	0.0007         	0.0000         	0.000          	0.417          	0.000          	12.905         	0.000          	
2010-09-28	Soybean        	9.904          	1.233          	2.899          	0.000          	5.773          	0.3343         	309.32         	292.59         	108.97         	0.287          	0.0122         	0.1494         	0.000          	0.000          	149.425        	137.201        	0.000          	
2011-05-08	RyeBioenergyBM 	2.647          	0.627          	0.000          	1.818          	0.202          	0.0000         	72.35          	72.35          	116.48         	0.042          	0.0031         	0.0000         	0.035          	0.148          	35.091         	6.999          	1.930          	
2011-09-24	Maize          	19.728         	2.500          	10.474         	4.526          	2.229          	0.6079         	370.16         	317.47         	146.33         	0.238          	0.0234         	0.1654         	0.033          	0.000          	198.354        	39.599         	0.728          	
2012-05-20	Triticale      	1.737          	0.300          	0.000          	0.000          	1.437          	0.0000         	79.14          	79.14          	224.95         	0.025          	0.0014         	0.0000         	0.000          	0.465          	0.000          	24.881         	0.000          	
