DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-17	Maize          	21.077         	2.710          	10.519         	0.000          	7.848          	0.5727         	338.63         	338.63         	152.70         	0.216          	0.0227         	0.1453         	0.000          	0.000          	145.253        	70.563         	0.000          	
1985-05-21	RyeBioenergyBS 	2.552          	0.476          	0.497          	1.421          	0.158          	0.2395         	115.80         	115.80         	137.50         	0.032          	0.0021         	0.0120         	0.016          	0.376          	27.985         	3.911          	1.125          	
1985-09-13	Soybean        	8.330          	1.172          	2.287          	0.000          	4.871          	0.3195         	253.24         	234.49         	138.15         	0.255          	0.0119         	0.1278         	0.000          	0.000          	127.783        	127.592        	0.000          	
1986-05-08	RyeBioenergyBM 	3.961          	0.838          	0.000          	2.811          	0.312          	0.0000         	111.33         	111.33         	125.01         	0.056          	0.0042         	0.0000         	0.047          	0.150          	46.548         	9.416          	1.656          	
1986-09-17	Maize          	18.729         	2.767          	8.846          	0.000          	7.117          	0.5542         	341.70         	296.92         	129.10         	0.233          	0.0257         	0.1537         	0.000          	0.000          	153.674        	79.152         	0.000          	
1987-05-21	RyeBioenergyBS 	2.292          	0.482          	0.000          	1.629          	0.181          	0.0000         	94.29          	94.29          	157.28         	0.031          	0.0022         	0.0000         	0.026          	0.265          	26.332         	5.083          	1.617          	
1987-09-26	Soybean        	9.954          	1.175          	2.926          	0.000          	5.853          	0.3332         	287.16         	281.72         	140.50         	0.286          	0.0117         	0.1488         	0.000          	0.000          	148.750        	136.813        	0.000          	
1988-05-08	RyeBioenergyBM 	3.103          	0.734          	0.000          	2.132          	0.237          	0.0000         	78.11          	78.11          	128.83         	0.050          	0.0038         	0.0000         	0.041          	0.113          	41.287         	8.361          	1.936          	
1988-09-28	Maize          	16.287         	2.277          	8.008          	0.000          	6.003          	0.5716         	370.50         	291.26         	134.99         	0.226          	0.0193         	0.1554         	0.000          	0.009          	155.365        	70.591         	0.000          	
1989-05-21	RyeBioenergyBS 	2.662          	0.599          	0.000          	1.857          	0.206          	0.0000         	87.60          	87.60          	139.54         	0.037          	0.0028         	0.0000         	0.031          	0.207          	30.532         	6.220          	1.644          	
1989-09-24	Soybean        	9.334          	1.157          	2.731          	0.000          	5.445          	0.3340         	255.80         	243.49         	139.03         	0.276          	0.0115         	0.1441         	0.000          	0.000          	144.065        	132.211        	0.000          	
1990-05-08	RyeBioenergyBM 	4.060          	0.824          	0.000          	2.912          	0.324          	0.0000         	103.61         	103.61         	130.01         	0.061          	0.0044         	0.0000         	0.051          	0.141          	50.620         	10.016         	1.738          	
1990-09-18	Maize          	20.416         	2.677          	10.206         	0.000          	7.534          	0.5753         	321.94         	321.94         	156.12         	0.251          	0.0245         	0.1707         	0.000          	0.000          	170.672        	80.261         	0.000          	
1991-05-21	RyeBioenergyBS 	3.737          	0.671          	0.753          	2.082          	0.231          	0.2455         	132.04         	132.04         	142.76         	0.044          	0.0031         	0.0168         	0.021          	0.337          	38.288         	5.504          	1.032          	
1991-09-21	Soybean        	8.073          	1.032          	2.303          	0.000          	4.738          	0.3271         	278.30         	237.93         	91.40          	0.247          	0.0102         	0.1268         	0.000          	0.000          	126.819        	120.456        	0.000          	
1992-05-08	RyeBioenergyBM 	3.484          	0.723          	0.000          	2.485          	0.276          	0.0000         	79.22          	79.22          	125.10         	0.053          	0.0038         	0.0000         	0.045          	0.121          	44.704         	8.787          	1.799          	
1992-09-25	Maize          	21.399         	2.801          	10.931         	0.000          	7.667          	0.5877         	317.82         	317.82         	127.97         	0.250          	0.0253         	0.1710         	0.000          	0.000          	170.990        	79.167         	0.000          	
1993-05-21	RyeBioenergyBS 	1.532          	0.368          	0.000          	1.048          	0.116          	0.0000         	73.43          	73.43          	125.39         	0.024          	0.0017         	0.0000         	0.020          	0.264          	20.071         	3.895          	1.916          	
1993-09-28	Soybean        	9.192          	1.154          	2.697          	0.000          	5.341          	0.3355         	284.68         	256.04         	118.26         	0.267          	0.0114         	0.1397         	0.000          	0.000          	139.747        	127.654        	0.000          	
1994-05-08	RyeBioenergyBM 	2.534          	0.656          	0.000          	1.690          	0.188          	0.0000         	74.05          	74.05          	116.16         	0.042          	0.0032         	0.0000         	0.035          	0.144          	34.700         	7.063          	2.053          	
1994-09-28	Maize          	22.653         	2.733          	11.912         	0.000          	8.007          	0.5980         	344.43         	344.43         	146.46         	0.267          	0.0248         	0.1851         	0.000          	0.000          	185.092        	81.423         	0.000          	
1995-05-21	RyeBioenergyBS 	2.139          	0.407          	0.359          	1.236          	0.137          	0.2074         	85.29          	85.29          	143.74         	0.029          	0.0019         	0.0093         	0.016          	0.340          	25.125         	3.604          	1.277          	
1995-09-11	Soybean        	6.695          	0.988          	1.796          	0.000          	3.911          	0.3147         	257.78         	196.63         	126.31         	0.219          	0.0099         	0.1082         	0.000          	0.000          	108.168        	110.537        	0.000          	
1996-05-08	RyeBioenergyBM 	3.065          	0.797          	0.000          	2.040          	0.227          	0.0000         	75.95          	75.95          	146.91         	0.052          	0.0042         	0.0000         	0.043          	0.099          	43.340         	8.971          	2.124          	
1996-09-25	Maize          	22.857         	2.847          	11.755         	0.000          	8.255          	0.5874         	350.08         	350.08         	154.82         	0.248          	0.0251         	0.1696         	0.000          	0.000          	169.567        	78.603         	0.000          	
1997-05-21	RyeBioenergyBS 	1.619          	0.346          	0.000          	1.146          	0.127          	0.0000         	73.66          	73.66          	146.44         	0.022          	0.0015         	0.0000         	0.019          	0.305          	18.823         	3.615          	1.643          	
1997-09-28	Soybean        	10.176         	1.252          	2.973          	0.000          	5.951          	0.3332         	294.98         	283.89         	123.30         	0.286          	0.0125         	0.1486         	0.000          	0.000          	148.646        	137.640        	0.000          	
1998-05-08	RyeBioenergyBM 	3.795          	0.775          	0.000          	2.718          	0.302          	0.0000         	94.70          	94.70          	123.75         	0.059          	0.0041         	0.0000         	0.049          	0.156          	49.404         	9.544          	1.818          	
1998-09-25	Maize          	19.402         	2.590          	9.455          	0.000          	7.356          	0.5624         	369.06         	317.98         	116.03         	0.248          	0.0246         	0.1670         	0.000          	0.000          	166.971        	81.260         	0.000          	
1999-05-21	RyeBioenergyBS 	2.286          	0.405          	0.447          	1.290          	0.143          	0.2379         	83.77          	83.77          	155.88         	0.033          	0.0020         	0.0125         	0.017          	0.389          	29.263         	3.821          	1.302          	
1999-09-28	Soybean        	9.566          	1.208          	2.744          	0.000          	5.615          	0.3283         	318.32         	282.48         	117.93         	0.273          	0.0120         	0.1402         	0.000          	0.000          	140.229        	133.125        	0.000          	
2000-05-08	RyeBioenergyBM 	4.302          	0.779          	0.601          	2.629          	0.292          	0.1707         	112.02         	112.02         	130.69         	0.060          	0.0041         	0.0157         	0.036          	0.164          	51.790         	8.099          	1.372          	
