DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-17	Soybean        	8.924          	1.113          	2.591          	0.000          	5.220          	0.3317         	245.88         	245.88         	156.42         	0.268          	0.0112         	0.1387         	0.000          	0.000          	138.656        	128.865        	0.000          	
1985-05-08	RyeBioenergyBM 	4.735          	0.895          	0.663          	2.859          	0.318          	0.1727         	130.85         	130.85         	107.84         	0.062          	0.0045         	0.0165         	0.037          	0.174          	53.611         	8.619          	1.299          	
1985-09-13	Maize          	16.154         	2.583          	6.689          	0.000          	6.881          	0.4929         	330.90         	262.97         	147.95         	0.212          	0.0235         	0.1320         	0.000          	0.000          	132.040        	79.573         	0.000          	
1986-05-21	RyeBioenergyBS 	3.128          	0.631          	0.483          	1.812          	0.201          	0.1935         	128.92         	128.92         	123.08         	0.038          	0.0028         	0.0113         	0.021          	0.293          	32.715         	5.175          	1.180          	
1986-09-17	Soybean        	9.308          	1.206          	2.700          	0.000          	5.403          	0.3332         	262.10         	251.42         	120.14         	0.276          	0.0121         	0.1430         	0.000          	0.000          	143.017        	132.486        	0.000          	
1987-05-08	RyeBioenergyBM 	3.677          	0.817          	0.000          	2.574          	0.286          	0.0000         	89.11          	89.11          	140.83         	0.057          	0.0042         	0.0000         	0.048          	0.108          	47.511         	9.461          	1.846          	
1987-09-26	Maize          	20.601         	2.568          	10.307         	0.000          	7.726          	0.5715         	366.97         	336.64         	141.96         	0.250          	0.0237         	0.1699         	0.000          	0.000          	169.937        	79.820         	0.000          	
1988-05-21	RyeBioenergyBS 	1.939          	0.449          	0.000          	1.341          	0.149          	0.0000         	85.95          	85.95          	136.62         	0.027          	0.0020         	0.0000         	0.023          	0.274          	22.558         	4.496          	1.682          	
1988-09-28	Soybean        	9.108          	1.179          	2.641          	0.000          	5.288          	0.3331         	311.76         	280.57         	94.28          	0.267          	0.0118         	0.1387         	0.000          	0.000          	138.665        	128.595        	0.000          	
1989-05-08	RyeBioenergyBM 	2.745          	0.668          	0.000          	1.869          	0.208          	0.0000         	75.48          	75.48          	137.97         	0.044          	0.0034         	0.0000         	0.037          	0.122          	36.933         	7.521          	1.976          	
1989-09-24	Maize          	19.873         	2.615          	9.894          	0.000          	7.363          	0.5733         	332.79         	303.15         	142.10         	0.250          	0.0248         	0.1695         	0.000          	0.000          	169.546        	80.537         	0.000          	
1990-05-21	RyeBioenergyBS 	2.510          	0.496          	0.425          	1.430          	0.159          	0.2109         	100.16         	100.16         	148.04         	0.034          	0.0023         	0.0111         	0.018          	0.319          	29.340         	4.298          	1.275          	
1990-09-18	Soybean        	9.425          	1.170          	2.752          	0.000          	5.503          	0.3334         	254.66         	254.66         	141.17         	0.279          	0.0117         	0.1452         	0.000          	0.000          	145.205        	133.763        	0.000          	
