DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-17	Soybean        	8.924          	1.113          	2.591          	0.000          	5.220          	0.3317         	245.88         	245.88         	156.42         	0.268          	0.0112         	0.1387         	0.000          	0.000          	138.656        	128.865        	0.000          	
1985-05-07	Triticale      	4.632          	0.888          	0.000          	0.000          	3.744          	0.0000         	130.85         	130.85         	107.84         	0.062          	0.0045         	0.0000         	0.000          	0.170          	0.000          	61.628         	0.000          	
1985-09-13	Maize          	16.743         	2.632          	7.018          	0.000          	7.093          	0.4974         	331.14         	272.14         	119.08         	0.239          	0.0257         	0.1501         	0.000          	0.000          	150.140        	88.483         	0.000          	
1986-05-20	Triticale      	3.529          	0.702          	0.000          	0.000          	2.826          	0.0000         	134.56         	134.56         	119.05         	0.043          	0.0032         	0.0000         	0.000          	0.267          	0.000          	43.288         	0.000          	
1986-09-17	Soybean        	9.404          	1.210          	2.734          	0.000          	5.460          	0.3337         	262.22         	253.87         	114.43         	0.277          	0.0121         	0.1442         	0.000          	0.000          	144.223        	133.219        	0.000          	
1987-05-07	Triticale      	3.745          	0.838          	0.000          	0.000          	2.907          	0.0000         	90.41          	90.41          	138.91         	0.059          	0.0044         	0.0000         	0.000          	0.098          	0.000          	59.381         	0.000          	
1987-09-26	Maize          	20.757         	2.580          	10.399         	0.000          	7.778          	0.5721         	367.01         	339.39         	131.40         	0.283          	0.0255         	0.1939         	0.000          	0.000          	193.866        	89.454         	0.000          	
1988-05-20	Triticale      	2.341          	0.530          	0.000          	0.000          	1.811          	0.0000         	94.12          	94.12          	130.50         	0.032          	0.0024         	0.0000         	0.000          	0.246          	0.000          	31.698         	0.000          	
1988-09-28	Soybean        	9.135          	1.182          	2.649          	0.000          	5.304          	0.3331         	312.18         	281.49         	93.72          	0.268          	0.0119         	0.1391         	0.000          	0.000          	139.084        	128.988        	0.000          	
1989-05-07	Triticale      	2.859          	0.695          	0.000          	0.000          	2.164          	0.0000         	77.14          	77.14          	136.08         	0.047          	0.0036         	0.0000         	0.000          	0.113          	0.000          	46.631         	0.000          	
1989-09-24	Maize          	19.883         	2.616          	9.901          	0.000          	7.366          	0.5734         	332.80         	303.30         	127.45         	0.276          	0.0257         	0.1883         	0.000          	0.000          	188.325        	87.617         	0.000          	
1990-05-20	Triticale      	2.953          	0.576          	0.000          	0.000          	2.376          	0.0000         	109.88         	109.88         	140.60         	0.039          	0.0027         	0.0000         	0.000          	0.291          	0.000          	38.852         	0.000          	
1990-09-18	Soybean        	9.425          	1.170          	2.752          	0.000          	5.503          	0.3334         	254.66         	254.66         	131.16         	0.279          	0.0117         	0.1453         	0.000          	0.000          	145.264        	133.813        	0.000          	
1991-05-07	Triticale      	5.502          	1.002          	0.000          	0.000          	4.500          	0.0000         	122.61         	122.61         	119.90         	0.075          	0.0055         	0.0000         	0.000          	0.134          	0.000          	75.409         	0.000          	
1991-09-21	Maize          	17.005         	2.344          	8.087          	0.000          	6.573          	0.5516         	378.43         	291.16         	84.16          	0.259          	0.0231         	0.1744         	0.000          	0.000          	174.380        	84.292         	0.000          	
1992-05-20	Triticale      	3.657          	0.700          	0.000          	0.000          	2.957          	0.0000         	103.44         	103.44         	122.61         	0.049          	0.0035         	0.0000         	0.000          	0.205          	0.000          	48.984         	0.000          	
1992-09-25	Soybean        	9.974          	1.220          	2.970          	0.000          	5.784          	0.3392         	249.18         	249.18         	113.99         	0.289          	0.0122         	0.1523         	0.000          	0.000          	152.278        	136.419        	0.000          	
1993-05-07	Triticale      	2.499          	0.662          	0.000          	0.000          	1.837          	0.0000         	71.45          	71.45          	113.95         	0.044          	0.0033         	0.0000         	0.000          	0.110          	0.000          	44.327         	0.000          	
1993-09-28	Maize          	17.607         	2.404          	8.798          	0.000          	6.404          	0.5787         	356.01         	284.47         	114.99         	0.252          	0.0229         	0.1731         	0.000          	0.000          	173.127        	78.848         	0.000          	
1994-05-20	Triticale      	2.933          	0.683          	0.000          	0.000          	2.250          	0.0000         	95.20          	95.20          	116.73         	0.041          	0.0031         	0.0000         	0.000          	0.199          	0.000          	40.858         	0.000          	
1994-09-28	Soybean        	10.572         	1.204          	3.177          	0.000          	6.190          	0.3392         	273.11         	273.11         	134.19         	0.298          	0.0119         	0.1578         	0.000          	0.000          	157.832        	140.647        	0.000          	
1995-05-07	Triticale      	4.109          	0.781          	0.000          	0.000          	3.328          	0.0000         	100.69         	100.69         	114.74         	0.059          	0.0042         	0.0000         	0.000          	0.127          	0.000          	58.957         	0.000          	
1995-09-11	Maize          	14.745         	2.308          	6.293          	0.000          	6.143          	0.5060         	337.23         	246.90         	106.31         	0.242          	0.0232         	0.1556         	0.000          	0.000          	155.605        	86.327         	0.000          	
1996-05-20	Triticale      	3.953          	0.901          	0.000          	0.000          	3.052          	0.0000         	101.20         	101.20         	137.18         	0.059          	0.0045         	0.0000         	0.000          	0.132          	0.000          	59.083         	0.000          	
1996-09-24	Soybean        	10.538         	1.264          	3.109          	0.000          	6.165          	0.3352         	275.10         	275.10         	139.50         	0.297          	0.0125         	0.1555         	0.000          	0.000          	155.494        	141.972        	0.000          	
1997-05-07	Triticale      	3.831          	0.823          	0.000          	0.000          	3.008          	0.0000         	99.09          	99.09          	123.70         	0.055          	0.0041         	0.0000         	0.000          	0.115          	0.000          	55.101         	0.000          	
1997-09-28	Maize          	20.087         	2.584          	10.256         	0.000          	7.247          	0.5860         	365.65         	324.57         	127.10         	0.270          	0.0238         	0.1867         	0.000          	0.000          	186.651        	82.951         	0.000          	
1998-05-20	Triticale      	3.273          	0.617          	0.000          	0.000          	2.656          	0.0000         	113.79         	113.79         	134.73         	0.044          	0.0029         	0.0000         	0.000          	0.277          	0.000          	43.957         	0.000          	
1998-09-27	Soybean        	9.698          	1.178          	2.841          	0.000          	5.679          	0.3335         	292.30         	275.07         	119.48         	0.281          	0.0116         	0.1462         	0.000          	0.000          	146.151        	134.416        	0.000          	
1999-05-07	Triticale      	4.586          	0.848          	0.000          	0.000          	3.739          	0.0000         	121.44         	121.44         	111.57         	0.059          	0.0042         	0.0000         	0.000          	0.184          	0.000          	58.564         	0.000          	
1999-09-28	Maize          	19.271         	2.599          	9.349          	0.000          	7.323          	0.5607         	407.91         	329.04         	103.17         	0.276          	0.0258         	0.1864         	0.000          	0.000          	186.371        	89.340         	0.000          	
2000-05-20	Triticale      	3.739          	0.642          	0.000          	0.000          	3.097          	0.0000         	137.31         	137.31         	127.33         	0.046          	0.0031         	0.0000         	0.000          	0.287          	0.000          	45.770         	0.000          	
2000-09-28	Soybean        	9.722          	1.211          	2.836          	0.000          	5.675          	0.3332         	254.16         	244.87         	125.37         	0.282          	0.0120         	0.1465         	0.000          	0.000          	146.461        	135.236        	0.000          	
2001-05-07	Triticale      	3.033          	0.722          	0.000          	0.000          	2.311          	0.0000         	81.97          	81.97          	121.78         	0.050          	0.0038         	0.0000         	0.000          	0.097          	0.000          	49.857         	0.000          	
2001-09-28	Maize          	17.067         	2.550          	7.807          	0.000          	6.709          	0.5378         	372.31         	277.18         	128.96         	0.256          	0.0254         	0.1688         	0.000          	0.000          	168.770        	87.125         	0.000          	
2002-05-20	Triticale      	5.404          	0.831          	0.000          	0.000          	4.573          	0.0000         	158.02         	158.02         	120.47         	0.063          	0.0043         	0.0000         	0.000          	0.265          	0.000          	63.002         	0.000          	
2002-09-26	Soybean        	7.091          	1.092          	1.863          	0.000          	4.136          	0.3105         	321.50         	208.54         	107.55         	0.212          	0.0107         	0.1030         	0.000          	0.000          	102.977        	108.757        	0.000          	
2003-05-07	Triticale      	3.005          	0.819          	0.000          	0.000          	2.187          	0.0000         	82.04          	82.04          	124.12         	0.051          	0.0042         	0.0000         	0.000          	0.092          	0.000          	50.815         	0.000          	
2003-09-28	Maize          	21.449         	2.707          	10.911         	0.000          	7.831          	0.5822         	323.83         	323.83         	126.20         	0.289          	0.0267         	0.1984         	0.000          	0.000          	198.379        	90.247         	0.000          	
2004-05-20	Triticale      	2.639          	0.518          	0.000          	0.000          	2.121          	0.0000         	101.66         	101.66         	124.13         	0.037          	0.0024         	0.0000         	0.000          	0.290          	0.000          	36.569         	0.000          	
2004-09-28	Soybean        	10.490         	1.249          	3.131          	0.000          	6.111          	0.3388         	257.12         	257.12         	142.34         	0.296          	0.0123         	0.1562         	0.000          	0.000          	156.182        	139.988        	0.000          	
