DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-17	Maize          	21.080         	2.710          	10.521         	0.000          	7.849          	0.5727         	338.63         	338.63         	152.70         	0.219          	0.0230         	0.1476         	0.000          	0.000          	147.635        	71.641         	0.000          	
1985-09-13	Soybean        	8.446          	1.173          	2.343          	0.000          	4.930          	0.3222         	253.93         	237.39         	128.60         	0.259          	0.0119         	0.1308         	0.000          	0.000          	130.750        	128.589        	0.000          	
1986-09-17	Maize          	18.987         	2.780          	9.031          	0.000          	7.176          	0.5572         	341.95         	300.65         	119.60         	0.283          	0.0279         	0.1899         	0.000          	0.000          	189.930        	93.344         	0.000          	
1987-09-26	Soybean        	9.970          	1.170          	2.949          	0.000          	5.851          	0.3351         	286.53         	282.31         	139.24         	0.288          	0.0116         	0.1507         	0.000          	0.000          	150.683        	137.140        	0.000          	
1988-10-06	Maize          	17.500         	2.371          	8.748          	0.000          	6.380          	0.5782         	391.12         	308.27         	129.61         	0.259          	0.0226         	0.1786         	0.000          	0.000          	178.558        	80.451         	0.000          	
1989-09-24	Soybean        	9.356          	1.151          	2.757          	0.000          	5.447          	0.3361         	255.46         	244.00         	126.21         	0.276          	0.0114         	0.1445         	0.000          	0.000          	144.541        	131.235        	0.000          	
1990-09-18	Maize          	20.416         	2.677          	10.206         	0.000          	7.534          	0.5753         	321.94         	321.94         	142.25         	0.304          	0.0268         	0.2090         	0.000          	0.000          	208.968        	95.035         	0.000          	
1991-09-21	Soybean        	8.644          	1.070          	2.514          	0.000          	5.059          	0.3320         	278.05         	255.53         	93.26          	0.260          	0.0106         	0.1352         	0.000          	0.000          	135.235        	125.154        	0.000          	
1992-09-25	Maize          	21.399         	2.801          	10.931         	0.000          	7.667          	0.5877         	317.82         	317.82         	122.91         	0.299          	0.0278         	0.2061         	0.000          	0.000          	206.120        	92.749         	0.000          	
1993-09-28	Soybean        	9.312          	1.159          	2.736          	0.000          	5.417          	0.3356         	283.99         	259.71         	112.88         	0.272          	0.0115         	0.1421         	0.000          	0.000          	142.128        	129.607        	0.000          	
1994-10-01	Maize          	22.902         	2.742          	12.087         	0.000          	8.073          	0.5995         	347.32         	347.32         	141.76         	0.308          	0.0269         	0.2154         	0.000          	0.000          	215.393        	92.511         	0.000          	
1995-09-11	Soybean        	6.755          	0.982          	1.837          	0.000          	3.937          	0.3181         	255.58         	198.30         	115.77         	0.222          	0.0099         	0.1107         	0.000          	0.000          	110.710        	110.889        	0.000          	
1996-09-25	Maize          	22.857         	2.847          	11.755         	0.000          	8.255          	0.5874         	350.08         	350.08         	148.93         	0.292          	0.0275         	0.2013         	0.000          	0.000          	201.329        	91.003         	0.000          	
1997-10-02	Soybean        	10.388         	1.253          	3.064          	0.000          	6.071          	0.3354         	299.52         	288.36         	118.94         	0.292          	0.0125         	0.1524         	0.000          	0.000          	152.423        	139.249        	0.000          	
1998-09-25	Maize          	19.547         	2.599          	9.557          	0.000          	7.390          	0.5639         	369.32         	320.41         	109.58         	0.299          	0.0256         	0.2046         	0.000          	0.000          	204.583        	94.707         	0.000          	
1999-09-30	Soybean        	10.008         	1.238          	2.912          	0.000          	5.858          	0.3321         	318.04         	295.79         	122.34         	0.286          	0.0122         	0.1482         	0.000          	0.000          	148.225        	137.732        	0.000          	
2000-09-30	Maize          	19.105         	2.665          	9.231          	0.000          	7.209          	0.5615         	325.18         	282.79         	130.27         	0.290          	0.0264         	0.1970         	0.000          	0.000          	196.961        	93.467         	0.000          	
2001-09-30	Soybean        	8.858          	1.190          	2.519          	0.000          	5.149          	0.3285         	300.14         	248.89         	134.35         	0.262          	0.0118         	0.1343         	0.000          	0.000          	134.271        	127.608        	0.000          	
2002-09-27	Maize          	13.255         	2.268          	5.318          	0.000          	5.669          	0.4840         	389.48         	225.81         	136.91         	0.206          	0.0223         	0.1280         	0.000          	0.000          	128.006        	78.399         	0.000          	
2003-09-27	Soybean        	9.795          	1.176          	2.889          	0.000          	5.731          	0.3351         	250.50         	250.50         	128.88         	0.288          	0.0116         	0.1508         	0.000          	0.000          	150.789        	137.255        	0.000          	
2004-09-26	Maize          	22.831         	2.899          	11.850         	0.000          	8.083          	0.5945         	330.77         	330.77         	150.26         	0.317          	0.0286         	0.2200         	0.000          	0.000          	219.989        	96.577         	0.000          	
2005-09-25	Soybean        	8.542          	1.109          	2.456          	0.000          	4.977          	0.3304         	301.13         	253.82         	105.51         	0.259          	0.0109         	0.1339         	0.000          	0.000          	133.897        	125.276        	0.000          	
2006-09-30	Maize          	19.633         	2.572          	9.709          	0.000          	7.352          	0.5691         	348.41         	310.65         	151.49         	0.299          	0.0254         	0.2050         	0.000          	0.000          	205.041        	93.671         	0.000          	
2007-09-17	Soybean        	10.162         	1.297          	2.943          	0.000          	5.921          	0.3320         	294.60         	290.68         	120.59         	0.291          	0.0130         	0.1504         	0.000          	0.000          	150.400        	140.400        	0.000          	
2008-10-05	Maize          	18.651         	2.569          	8.948          	0.000          	7.134          	0.5564         	368.91         	299.50         	144.19         	0.290          	0.0254         	0.1964         	0.000          	0.000          	196.383        	93.303         	0.000          	
2009-10-02	Soybean        	10.702         	1.316          	3.145          	0.000          	6.240          	0.3351         	271.78         	271.78         	136.23         	0.300          	0.0131         	0.1568         	0.000          	0.000          	156.775        	143.699        	0.000          	
2010-09-26	Maize          	18.536         	2.564          	9.003          	0.000          	6.969          	0.5637         	375.87         	315.41         	118.77         	0.285          	0.0253         	0.1937         	0.000          	0.000          	193.707        	90.807         	0.000          	
2011-09-27	Soybean        	9.550          	1.145          	2.853          	0.000          	5.552          	0.3394         	287.45         	266.98         	127.59         	0.274          	0.0113         	0.1450         	0.000          	0.000          	144.953        	129.385        	0.000          	
2012-09-22	Maize          	20.258         	2.626          	10.505         	0.000          	7.128          	0.5958         	370.53         	330.77         	147.92         	0.302          	0.0260         	0.2108         	0.000          	0.000          	210.831        	90.897         	0.000          	
