DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-17	Soybean        	8.924          	1.113          	2.591          	0.000          	5.220          	0.3317         	245.88         	245.88         	156.42         	0.268          	0.0112         	0.1387         	0.000          	0.000          	138.656        	128.865        	0.000          	
1985-05-08	RyeBioenergyBM 	6.692          	1.156          	0.955          	4.122          	0.458          	0.1726         	138.77         	138.77         	105.05         	0.097          	0.0066         	0.0258         	0.058          	0.079          	84.085         	13.035         	1.414          	
1985-09-13	Maize          	16.008         	2.569          	6.624          	0.000          	6.815          	0.4929         	330.85         	260.68         	147.24         	0.213          	0.0236         	0.1327         	0.000          	0.000          	132.662        	79.895         	0.000          	
1986-05-21	RyeBioenergyBS 	7.729          	1.298          	1.248          	4.665          	0.518          	0.1941         	164.52         	164.52         	116.05         	0.108          	0.0076         	0.0327         	0.061          	0.082          	93.971         	14.375         	1.314          	
1986-09-17	Soybean        	8.910          	1.189          	2.555          	0.000          	5.166          	0.3309         	261.54         	240.92         	118.04         	0.268          	0.0119         	0.1381         	0.000          	0.000          	138.112        	129.596        	0.000          	
1987-05-08	RyeBioenergyBM 	5.238          	1.080          	0.000          	3.742          	0.416          	0.0000         	96.79          	96.79          	140.43         	0.090          	0.0064         	0.0000         	0.075          	0.037          	75.165         	14.791         	2.008          	
1987-09-26	Maize          	20.606         	2.568          	10.309         	0.000          	7.728          	0.5716         	366.97         	336.73         	141.65         	0.254          	0.0239         	0.1726         	0.000          	0.000          	172.643        	80.927         	0.000          	
1988-05-21	RyeBioenergyBS 	6.536          	1.222          	0.000          	4.782          	0.531          	0.0000         	126.95         	126.95         	119.65         	0.103          	0.0073         	0.0000         	0.087          	0.055          	86.605         	16.878         	1.811          	
1988-09-28	Soybean        	9.114          	1.180          	2.643          	0.000          	5.292          	0.3331         	311.87         	280.78         	93.87          	0.267          	0.0118         	0.1388         	0.000          	0.000          	138.753        	128.681        	0.000          	
1989-05-08	RyeBioenergyBM 	4.419          	0.979          	0.000          	3.096          	0.344          	0.0000         	86.28          	86.28          	133.29         	0.079          	0.0057         	0.0000         	0.066          	0.044          	65.502         	13.020         	2.116          	
1989-09-24	Maize          	19.848         	2.614          	9.877          	0.000          	7.357          	0.5731         	332.74         	302.78         	141.69         	0.254          	0.0250         	0.1723         	0.000          	0.000          	172.278        	81.606         	0.000          	
1990-05-21	RyeBioenergyBS 	7.613          	1.223          	1.321          	4.563          	0.507          	0.2067         	146.71         	146.71         	122.14         	0.111          	0.0073         	0.0360         	0.061          	0.071          	96.963         	14.075         	1.337          	
1990-09-18	Soybean        	9.425          	1.170          	2.752          	0.000          	5.503          	0.3334         	254.66         	254.66         	140.30         	0.279          	0.0117         	0.1452         	0.000          	0.000          	145.192        	133.753        	0.000          	
1991-05-08	RyeBioenergyBM 	7.113          	1.187          	1.085          	4.357          	0.484          	0.1831         	126.31         	126.31         	120.21         	0.106          	0.0072         	0.0300         	0.062          	0.063          	91.693         	14.050         	1.416          	
1991-09-21	Maize          	16.384         	2.281          	7.812          	0.000          	6.291          	0.5539         	375.18         	279.76         	85.64          	0.222          	0.0213         	0.1489         	0.000          	0.001          	148.884        	73.136         	0.000          	
1992-05-21	RyeBioenergyBS 	7.020          	1.113          	1.091          	4.334          	0.482          	0.1848         	114.51         	114.51         	124.52         	0.116          	0.0070         	0.0334         	0.068          	0.035          	101.012        	14.554         	1.561          	
1992-09-25	Soybean        	9.974          	1.220          	2.970          	0.000          	5.784          	0.3392         	249.18         	249.18         	125.42         	0.288          	0.0122         	0.1522         	0.000          	0.000          	152.163        	136.326        	0.000          	
1993-05-08	RyeBioenergyBM 	3.738          	0.924          	0.000          	2.533          	0.281          	0.0000         	82.22          	82.22          	110.97         	0.070          	0.0053         	0.0000         	0.058          	0.061          	58.148         	11.768         	2.296          	
1993-09-28	Maize          	17.533         	2.395          	8.765          	0.000          	6.373          	0.5790         	355.84         	283.19         	121.64         	0.239          	0.0221         	0.1643         	0.000          	0.000          	164.270        	75.194         	0.000          	
1994-05-21	RyeBioenergyBS 	6.405          	1.308          	0.000          	4.587          	0.510          	0.0000         	129.58         	129.58         	105.11         	0.093          	0.0072         	0.0000         	0.077          	0.083          	76.829         	15.703         	1.675          	
1994-09-28	Soybean        	10.572         	1.204          	3.177          	0.000          	6.190          	0.3392         	273.11         	273.11         	136.32         	0.298          	0.0119         	0.1578         	0.000          	0.000          	157.789        	140.611        	0.000          	
1995-05-08	RyeBioenergyBM 	5.801          	1.003          	0.000          	4.318          	0.480          	0.0000         	104.09         	104.09         	116.13         	0.092          	0.0059         	0.0000         	0.077          	0.057          	77.211         	14.467         	1.788          	
1995-09-11	Maize          	14.660         	2.303          	6.230          	0.000          	6.128          	0.5041         	337.11         	245.21         	130.00         	0.240          	0.0231         	0.1541         	0.000          	0.000          	154.133        	86.077         	0.000          	
1996-05-21	RyeBioenergyBS 	6.385          	1.295          	0.000          	4.581          	0.509          	0.0000         	117.37         	117.37         	133.37         	0.107          	0.0080         	0.0000         	0.089          	0.040          	88.681         	17.849         	1.936          	
1996-09-24	Soybean        	10.538         	1.264          	3.109          	0.000          	6.165          	0.3352         	275.10         	275.10         	159.09         	0.297          	0.0125         	0.1553         	0.000          	0.000          	155.250        	141.768        	0.000          	
1997-05-08	RyeBioenergyBM 	5.393          	1.071          	0.000          	3.890          	0.432          	0.0000         	105.72         	105.72         	123.16         	0.084          	0.0060         	0.0000         	0.071          	0.057          	70.587         	13.878         	1.815          	
1997-09-28	Maize          	19.956         	2.567          	10.198         	0.000          	7.191          	0.5865         	365.29         	322.17         	147.78         	0.243          	0.0222         	0.1677         	0.000          	0.000          	167.703        	75.257         	0.000          	
1998-05-21	RyeBioenergyBS 	7.329          	1.174          	1.422          	4.260          	0.473          	0.2310         	146.21         	146.21         	122.51         	0.107          	0.0068         	0.0388         	0.055          	0.090          	93.683         	12.926         	1.289          	
1998-09-27	Soybean        	9.631          	1.174          	2.817          	0.000          	5.640          	0.3331         	292.20         	273.14         	131.72         	0.279          	0.0115         	0.1452         	0.000          	0.000          	145.179        	133.777        	0.000          	
1999-05-08	RyeBioenergyBM 	6.700          	1.132          	0.926          	4.178          	0.464          	0.1663         	133.98         	133.98         	103.29         	0.091          	0.0061         	0.0232         	0.055          	0.100          	78.545         	12.213         	1.325          	
1999-09-28	Maize          	18.842         	2.546          	9.180          	0.000          	7.117          	0.5633         	407.04         	320.81         	113.83         	0.242          	0.0246         	0.1626         	0.000          	0.000          	162.573        	79.635         	0.000          	
2000-05-21	RyeBioenergyBS 	8.239          	1.170          	1.691          	4.840          	0.538          	0.2393         	163.12         	163.12         	126.04         	0.118          	0.0071         	0.0446         	0.059          	0.067          	104.066        	13.678         	1.229          	
2000-09-28	Soybean        	9.670          	1.209          	2.817          	0.000          	5.644          	0.3330         	253.98         	243.61         	138.55         	0.281          	0.0120         	0.1458         	0.000          	0.000          	145.769        	134.804        	0.000          	
2001-05-08	RyeBioenergyBM 	4.432          	0.955          	0.000          	3.130          	0.348          	0.0000         	89.64          	89.64          	122.51         	0.080          	0.0058         	0.0000         	0.067          	0.035          	67.146         	13.216         	2.145          	
2001-09-28	Maize          	16.278         	2.472          	7.407          	0.000          	6.399          	0.5365         	371.28         	263.99         	145.96         	0.236          	0.0239         	0.1550         	0.000          	0.000          	155.007        	80.914         	0.000          	
2002-05-21	RyeBioenergyBS 	9.366          	1.201          	2.233          	5.339          	0.593          	0.2735         	168.02         	168.02         	119.64         	0.130          	0.0077         	0.0561         	0.060          	0.061          	115.846        	14.378         	1.119          	
2002-09-26	Soybean        	6.949          	1.074          	1.826          	0.000          	4.048          	0.3109         	320.74         	204.11         	125.95         	0.208          	0.0106         	0.1010         	0.000          	0.000          	101.024        	106.540        	0.000          	
2003-05-08	RyeBioenergyBM 	4.241          	1.084          	0.000          	2.841          	0.316          	0.0000         	89.93          	89.93          	122.56         	0.077          	0.0064         	0.0000         	0.064          	0.048          	63.740         	13.456         	2.243          	
2003-09-28	Maize          	21.449         	2.707          	10.911         	0.000          	7.831          	0.5822         	323.83         	323.83         	146.55         	0.259          	0.0253         	0.1771         	0.000          	0.000          	177.097        	81.997         	0.000          	
2004-05-21	RyeBioenergyBS 	6.765          	1.109          	1.111          	4.091          	0.455          	0.1964         	137.34         	137.34         	107.61         	0.102          	0.0066         	0.0312         	0.058          	0.087          	88.742         	12.995         	1.406          	
2004-09-28	Soybean        	10.490         	1.249          	3.131          	0.000          	6.111          	0.3388         	257.12         	257.12         	150.10         	0.296          	0.0123         	0.1561         	0.000          	0.000          	156.119        	139.936        	0.000          	
2005-05-08	RyeBioenergyBM 	5.373          	1.053          	0.000          	3.888          	0.432          	0.0000         	101.47         	101.47         	106.59         	0.087          	0.0060         	0.0000         	0.073          	0.057          	72.695         	14.097         	1.870          	
2005-09-28	Maize          	12.943         	1.994          	5.628          	0.000          	5.322          	0.5140         	349.47         	221.42         	118.95         	0.208          	0.0197         	0.1349         	0.000          	0.000          	134.883        	72.965         	0.000          	
2006-05-21	RyeBioenergyBS 	8.324          	1.261          	1.443          	5.058          	0.562          	0.2043         	156.63         	156.63         	134.20         	0.128          	0.0082         	0.0411         	0.071          	0.038          	112.062        	16.064         	1.404          	
2006-09-28	Soybean        	9.843          	1.195          	2.890          	0.000          	5.758          	0.3342         	283.31         	267.30         	147.51         	0.282          	0.0118         	0.1471         	0.000          	0.000          	147.118        	134.996        	0.000          	
2007-05-08	RyeBioenergyBM 	5.532          	1.002          	0.000          	4.077          	0.453          	0.0000         	106.28         	106.28         	115.72         	0.093          	0.0062         	0.0000         	0.079          	0.045          	78.583         	14.886         	1.927          	
2007-09-17	Maize          	20.065         	2.744          	9.843          	0.000          	7.477          	0.5683         	379.38         	329.73         	115.25         	0.241          	0.0253         	0.1621         	0.000          	0.000          	162.116        	79.360         	0.000          	
2008-05-21	RyeBioenergyBS 	6.353          	1.097          	0.809          	4.002          	0.445          	0.1539         	113.72         	113.72         	121.99         	0.102          	0.0068         	0.0238         	0.064          	0.065          	87.725         	13.904         	1.598          	
2008-09-28	Soybean        	9.154          	1.147          	2.665          	0.000          	5.341          	0.3329         	290.85         	257.37         	140.29         	0.271          	0.0114         	0.1406         	0.000          	0.000          	140.605        	129.923        	0.000          	
2009-05-08	RyeBioenergyBM 	4.754          	1.034          	0.000          	3.349          	0.372          	0.0000         	87.40          	87.40          	119.31         	0.085          	0.0061         	0.0000         	0.071          	0.049          	70.771         	13.972         	2.113          	
2009-09-28	Maize          	22.808         	2.996          	11.392         	0.000          	8.420          	0.5750         	337.75         	337.75         	147.76         	0.274          	0.0283         	0.1852         	0.000          	0.000          	185.189        	88.882         	0.000          	
2010-05-21	RyeBioenergyBS 	7.819          	1.349          	1.151          	4.787          	0.532          	0.1779         	163.07         	163.07         	88.23          	0.102          	0.0073         	0.0280         	0.060          	0.096          	88.112         	13.940         	1.257          	
2010-09-28	Soybean        	9.523          	1.216          	2.762          	0.000          	5.545          	0.3324         	307.03         	281.89         	108.89         	0.279          	0.0120         	0.1450         	0.000          	0.000          	144.959        	134.496        	0.000          	
2011-05-08	RyeBioenergyBM 	4.746          	1.015          	0.000          	3.358          	0.373          	0.0000         	86.81          	86.81          	110.31         	0.083          	0.0060         	0.0000         	0.069          	0.049          	69.054         	13.682         	2.056          	
2011-09-24	Maize          	19.750         	2.503          	10.481         	0.000          	6.766          	0.6077         	370.21         	317.83         	147.41         	0.264          	0.0241         	0.1845         	0.000          	0.000          	184.516        	79.040         	0.000          	
2012-05-21	RyeBioenergyBS 	9.215          	1.195          	2.098          	5.330          	0.592          	0.2616         	167.80         	167.80         	127.52         	0.126          	0.0073         	0.0521         	0.060          	0.086          	111.915        	13.940         	1.123          	
2012-09-26	Soybean        	10.545         	1.274          	3.126          	0.000          	6.145          	0.3371         	297.17         	296.93         	129.50         	0.298          	0.0126         	0.1563         	0.000          	0.000          	156.286        	141.481        	0.000          	
